model_type,lr,feature_dim,hidden_dim,num_layers,dropout,batch_size,trained_epochs,predictor_type,train_loss,valid_loss,test_loss,train_aucroc,valid_aucroc,test_aucroc,train_precision,valid_precision,test_precision,train_recall,valid_recall,test_recall,train_f1,valid_f1,test_f1
GAT_binary_lr0.001,0.01,64,16,1,0,32,62,MLP,0.6849934630343134,0.6886042526790074,0.7316713044137666,0.5856132978276196,0.6629464705579917,0.5415141221292412,0.5591874854074247,0.7867132867132867,0.6449086161879896,0.5326167531504818,0.251959686450168,0.2381870781099325,0.545578799498842,0.3816793893129771,0.34788732394366195
GAT_binary_lr0.001,0.01,64,16,2,0,32,35,MLP,0.620832340659406,0.6449099566255297,0.7303142439235341,0.6875678796747555,0.6453102330054963,0.550033523376627,0.6974185818538285,0.687192118226601,0.6215644820295984,0.47464788732394364,0.3124300111982083,0.28351012536162007,0.5648625997970976,0.4295612009237875,0.3894039735099338
GAT_binary_lr0.001,0.01,64,16,3,0,32,78,MLP,0.6043585861958034,0.6700229410614286,0.6927886153712417,0.6981334799794043,0.6381749804689704,0.5701219767354275,0.8206160308015401,0.7827868852459017,0.8285714285714286,0.34759080800593034,0.21388577827547592,0.1398264223722276,0.48833576338262863,0.335971855760774,0.23927392739273928
GAT_binary_lr0.001,0.01,64,16,1,0.1,32,196,MLP,0.6868235559966327,0.7043445174183164,0.7377537967580737,0.5888031575980011,0.6718993941932337,0.5838228552245788,0.5583123072610037,0.788,0.7640449438202247,0.5905114899925871,0.2206047032474804,0.13114754098360656,0.5739606599899129,0.3447069116360455,0.22386831275720165
GAT_binary_lr0.001,0.01,64,16,2,0.1,32,56,MLP,0.6114281772931606,0.7013387616191592,0.7781595425172285,0.6809744581962534,0.6320981028253845,0.5529436872366602,0.7766369298097964,0.7862595419847328,0.6416382252559727,0.3420311341734618,0.23068309070548712,0.18129218900675023,0.4749112243322526,0.3567099567099567,0.28270676691729324
GAT_binary_lr0.001,0.01,64,16,3,0.1,32,1,MLP,0.6613466467761315,0.6542380558592933,0.6688402999531139,0.6132248361221914,0.6230918842458891,0.5449845587886577,0.6515775034293553,0.7700729927007299,0.6732673267326733,0.352112676056338,0.23628219484882418,0.13114754098360656,0.4571703561116458,0.3616109682947729,0.2195318805488297
GAT_binary_lr0.001,0.01,64,16,1,0.2,32,9,MLP,0.6968278622881496,0.7218350768089294,0.7587137746088433,0.5749912655284837,0.666760507568509,0.548691658398187,0.557345414883799,0.8652173913043478,0.7027027027027027,0.49243884358784284,0.22284434490481522,0.1755062680810029,0.5228855917194695,0.3544078361531612,0.2808641975308642
GAT_binary_lr0.001,0.01,64,16,2,0.2,32,41,MLP,0.6239811901656372,0.6362441842045102,0.727418550939271,0.6658732548229174,0.6470413781947184,0.5546110218910905,0.7272727272727273,0.8785425101214575,0.6580645161290323,0.3759822090437361,0.24300111982082867,0.19672131147540983,0.49569976544175137,0.38070175438596493,0.3028953229398664
GAT_binary_lr0.001,0.01,64,16,3,0.2,32,4,MLP,0.6625320625389922,0.6574294205222811,0.6656190301432754,0.6205880972699762,0.6371517175393033,0.5367785383435826,0.6750433275563258,0.75,0.8397435897435898,0.2887323943661972,0.1881298992161254,0.12632594021215043,0.40446521287642784,0.3008057296329454,0.2196144174350377
GAT_binary_lr0.001,0.01,64,16,1,0.3,32,108,MLP,0.6964062840028962,0.6942386605909893,0.7462813492977258,0.575031300125673,0.6785085942800104,0.5477422168576553,0.572483440112933,0.75,0.6254826254826255,0.3908080059303188,0.23852183650615902,0.1562198649951784,0.4645138552359135,0.3619371282922685,0.25
