dataset,decay_factor,alpha,beta,mean_precision,std_precision,mode_precision,min_precision,max_precision,mean_recall,std_recall,mode_recall,min_recall,max_recall,mean_f1,std_f1,mode_f1,min_f1,max_f1
networkadex,0,0,0.1,0.05190058939988848,0.040691277727865044,0.0,0.0,0.27624309392265195,0.011547493474350669,0.010148486542681806,0.0,0.0,0.062266500622665005,0.018657404272465088,0.01585118079844574,0.0,0.0,0.10162601626016261
networkadex,0,0,0.25,0.05112266127794385,0.039758403796385754,0.0,0.0,0.27071823204419887,0.011669224337676821,0.01104788238039148,0.0,0.0,0.08264462809917356,0.018759175308388935,0.016783485531133357,0.0,0.0,0.1135972461273666
networkadex,0,0,0.5,0.06288309846930998,0.047083362664669004,0.0,0.0,0.3370165745856354,0.014201422852551332,0.012264695486464174,0.0,0.0,0.081145584725537,0.022896253269270774,0.01902135442117253,0.0,0.0,0.12398373983739838
networkadex,0,0,0.75,0.07634938765455354,0.05347246228247872,0.0,0.0,0.32,0.017240182230314486,0.014659864808712982,0.0,0.0,0.11570247933884298,0.027767834882477697,0.022280625440687298,0.0,0.0,0.15730337078651685
networkadex,0,0,1.0,0.08861524645119351,0.05877276323176325,0.0,0.0,0.3314917127071823,0.019905727728538745,0.015713199905124115,0.0,0.0,0.1322314049586777,0.032137581991785076,0.02405176326430988,0.0,0.0,0.17977528089887643
networkadex,0,0,2.0,0.16164021894243003,0.08321662072156454,0.14285714285714285,0.0,0.39285714285714285,0.0361300616405236,0.02353725737753247,0.0273972602739726,0.0,0.13580246913580246,0.05843094327446576,0.036034794352918315,0.0320855614973262,0.0,0.19642857142857142
networkadex,0,0,3.0,0.2500884942947376,0.10694910839299517,0.25,0.05,0.5333333333333333,0.054833906903701206,0.028876180797803786,0.023148148148148147,0.004101722723543888,0.1643835616438356,0.08905396832258985,0.04457524965527556,0.03902439024390244,0.00801924619085806,0.24615384615384614
networkadex,0,0,5.0,0.3108423939109342,0.12620738810510868,0.25,0.0582010582010582,0.6428571428571429,0.06824270709257849,0.03481229465213686,0.08823529411764706,0.004922067268252666,0.19753086419753085,0.11081047635718207,0.05347048349749887,0.05555555555555555,0.009623095429029671,0.2857142857142857
networkadex,0,0.1,0,0.05238088893964862,0.043453890618699816,0.0,0.0,0.2983425414364641,0.01195874312803448,0.011325641180274787,0.0,0.0,0.08264462809917356,0.019240130063698346,0.017489642744563102,0.0,0.0,0.11235955056179775
networkadex,0,0.1,0.1,0.05328225851234947,0.043858837264562495,0.0,0.0,0.3259668508287293,0.012133030828871644,0.0115139965985597,0.0,0.0,0.07446808510638298,0.01953111327772571,0.01775030285840765,0.0,0.0,0.11991869918699187
networkadex,0,0.1,0.25,0.058899895994386726,0.04097686798090987,0.0,0.0,0.2596685082872928,0.013240713105329212,0.010725004884384968,0.0,0.0,0.06382978723404255,0.021369925276876485,0.016633509210112234,0.0,0.0,0.09552845528455284
networkadex,0,0.1,0.5,0.06646537913975596,0.049784358633304444,0.0,0.0,0.3149171270718232,0.015212999042708524,0.013548915838308088,0.0,0.0,0.12396694214876033,0.024466425625992546,0.020676607132350353,0.0,0.0,0.16853932584269665
networkadex,0,0.1,0.75,0.0757306627613545,0.051729425788865344,0.0,0.0,0.281767955801105,0.016921119575976327,0.013943624104818862,0.0,0.0,0.09069212410501193,0.02733821731752011,0.021399055820867693,0.0,0.0,0.1308089500860585
networkadex,0,0.1,1.0,0.08903909338208459,0.05550412555337364,0.0,0.0,0.32044198895027626,0.02001373702001059,0.014791632337435658,0.0,0.0,0.08264462809917356,0.03232167744125075,0.02281317367471089,0.0,0.0,0.11788617886178862
networkadex,0,0.1,2.0,0.1746659330792889,0.08328409256630316,0.2,0.027777777777777776,0.45,0.0390597594655332,0.023924087178445293,0.07142857142857142,0.002461033634126333,0.1487603305785124,0.06320507511047924,0.03661729522305035,0.05405405405405406,0.0048115477145148355,0.20224719101123595
networkadex,0,0.1,3.0,0.25537414593195534,0.10735969593292267,0.2,0.05128205128205128,0.5625,0.056433040583920686,0.030833081882008978,0.047619047619047616,0.005742411812961444,0.18518518518518517,0.0915020283514263,0.0470804391861606,0.038709677419354833,0.011226944667201285,0.26785714285714285
networkadex,0,0.1,5.0,0.3173415999687616,0.12678666990854015,0.3333333333333333,0.07894736842105263,0.7142857142857143,0.06976418515180356,0.035496242485259864,0.05,0.004922067268252666,0.19148936170212766,0.1132513134282939,0.05439802632203513,0.13333333333333333,0.009623095429029671,0.2842105263157895
networkadex,0,0.25,0,0.056373726401760575,0.04189441842815045,0.0,0.0,0.2983425414364641,0.01289544215852213,0.011426272201961692,0.0,0.0,0.0684931506849315,0.020731191677019742,0.017527190976808146,0.0,0.0,0.10975609756097562
networkadex,0,0.25,0.1,0.056769311763939394,0.045287546588826354,0.0,0.0,0.3149171270718232,0.012867861190334026,0.01194095727261976,0.0,0.0,0.08264462809917356,0.02073402750040993,0.018406511658893492,0.0,0.0,0.11585365853658537
networkadex,0,0.25,0.25,0.06103551306300042,0.04551626789923805,0.0,0.0,0.30939226519337015,0.01386167565468335,0.0121122358802085,0.0,0.0,0.09090909090909091,0.022334747211411106,0.018633577805379425,0.0,0.0,0.12359550561797754
networkadex,0,0.25,0.5,0.0725467544974792,0.04796712610130443,0.0,0.0,0.34806629834254144,0.016447064730984756,0.012806025650442919,0.0,0.0,0.0784557907845579,0.026517811941924967,0.01977572447195038,0.0,0.0,0.12804878048780488
networkadex,0,0.25,0.75,0.0847852322673719,0.05700936894563225,0.0,0.0,0.325,0.018980599703058564,0.014959644648281993,0.0,0.0,0.10743801652892562,0.030628742273389784,0.022984745183140823,0.0,0.0,0.14606741573033705
networkadex,0,0.25,1.0,0.10319546425438823,0.06097577112886788,0.0,0.0,0.40331491712707185,0.023044094162277328,0.016306676748316193,0.0,0.0,0.09090909090909091,0.03726282969744139,0.025210063149707067,0.0,0.0,0.1483739837398374
networkadex,0,0.25,2.0,0.1795620976063784,0.08531110958553777,0.2,0.016666666666666666,0.45,0.03960816514230491,0.023650335739170598,0.030303030303030304,0.003281378178835111,0.1276595744680851,0.0642329659997502,0.036364497135413294,0.06,0.006415396952686447,0.1894736842105263
networkadex,0,0.25,3.0,0.26385373332221135,0.11343469990905668,0.3333333333333333,0.05263157894736842,0.6428571428571429,0.058053624515740115,0.03228507300861663,0.05555555555555555,0.004922067268252666,0.20987654320987653,0.09416514354671268,0.04914762149853149,0.06896551724137931,0.009623095429029671,0.30357142857142855
networkadex,0,0.25,5.0,0.3171140773864045,0.12495975664894696,0.3333333333333333,0.07407407407407407,0.6875,0.06954447044561816,0.03533659811217037,0.05,0.004101722723543888,0.19834710743801653,0.11291950025483054,0.053863022298533285,0.0392156862745098,0.00801924619085806,0.2857142857142857
networkadex,0,0.5,0,0.06377389389195769,0.04329829836608767,0.0,0.0,0.3259668508287293,0.014244504655065845,0.011693732935299966,0.0,0.0,0.08264462809917356,0.023007120388918455,0.017923124089053933,0.0,0.0,0.11991869918699187
networkadex,0,0.5,0.1,0.0716099281476508,0.04712981645620862,0.0,0.0,0.3259668508287293,0.016078544910845132,0.012148710125731774,0.0,0.0,0.07347447073474471,0.025991775637852443,0.01894867460000267,0.0,0.0,0.11991869918699187
networkadex,0,0.5,0.25,0.07432829989437621,0.04950762038820966,0.0,0.0,0.3425414364640884,0.01671801700667595,0.013347095967130181,0.0,0.0,0.08333333333333333,0.02697248213912597,0.020565438842677575,0.0,0.0,0.12844036697247707
networkadex,0,0.5,0.5,0.09004361120690663,0.059380879269809624,0.0,0.0,0.391304347826087,0.02032880781836091,0.015699985442297882,0.0,0.0,0.09917355371900827,0.03280822669282714,0.02429752014872567,0.0,0.0,0.1348314606741573
networkadex,0,0.5,0.75,0.10169604496615464,0.05792390057098289,0.0,0.0,0.35714285714285715,0.02291451694299706,0.015977552371389005,0.0,0.0,0.09917355371900827,0.03699413406725511,0.0245103083281902,0.0,0.0,0.1348314606741573
networkadex,0,0.5,1.0,0.11995370896244642,0.06497969988695063,0.08333333333333333,0.0,0.35714285714285715,0.026765216240044003,0.018249463435480458,0.018518518518518517,0.0,0.12396694214876033,0.04329115791170707,0.027857903571767508,0.03636363636363636,0.0,0.16853932584269665
