model_type,lr,feature_dim,hidden_dim,num_layers,dropout,batch_size,trained_epochs,predictor_type,train_loss,valid_loss,test_loss,train_aucroc,valid_aucroc,test_aucroc,train_precision,valid_precision,test_precision,train_recall,valid_recall,test_recall,train_f1,valid_f1,test_f1
GCN_binary_lr0.001,0.01,64,16,1,0,32,232,MLP,0.6588737798669327,0.7983700824635369,0.94951018781373,0.6201324540430521,0.609842761104472,0.561229215274013,0.6110445284410436,0.581668625146886,0.550471063257066,0.49132690882134916,0.5543113101903695,0.3944069431051109,0.5446850474586021,0.5676605504587156,0.45955056179775283
GCN_binary_lr0.001,0.01,64,16,2,0,32,15,MLP,0.6669262894804444,0.6678756305149623,0.6798202323191094,0.6084934396673044,0.599143017296404,0.5714731408474671,0.6029742686625574,0.5888738127544098,0.5623052959501558,0.4568569310600445,0.48600223964165734,0.3481195756991321,0.5198431107924592,0.5325153374233129,0.43001786777843953
GCN_binary_lr0.001,0.01,64,16,3,0,32,9,MLP,0.677206427776983,0.6699041660342898,0.6815379316156561,0.60268673058208,0.6027802404918683,0.5334317801610423,0.6527644920604553,0.6583710407239819,0.599388379204893,0.2529280948851001,0.3258678611422172,0.18900675024108005,0.36458834214884867,0.43595505617977526,0.2873900293255132
GCN_binary_lr0.001,0.01,64,16,1,0.1,32,194,MLP,0.6633326277066182,0.6936872878244945,0.759959651665254,0.6133370159704274,0.5963654102017808,0.5584855059054147,0.616101777216665,0.6025641025641025,0.5576131687242798,0.4702742772424018,0.42105263157894735,0.26133076181292186,0.5334005969647286,0.4957152274225445,0.35587655942219304
GCN_binary_lr0.001,0.01,64,16,2,0.1,32,32,MLP,0.6951830990930304,0.7018714589732034,0.7003127029447844,0.5942112709026975,0.6060588200624742,0.5555609283883021,0.586402739497202,0.5804878048780487,0.5369030390738061,0.5204595997034841,0.5330347144456887,0.35776277724204436,0.5514668342300593,0.5557501459427904,0.42939814814814814
GCN_binary_lr0.001,0.01,64,16,3,0.1,32,228,MLP,0.662744358252575,0.6745252417666572,0.7148181181965452,0.6132357054425182,0.6061158770027927,0.5315952012750972,0.6094435667895384,0.6214405360134003,0.55078125,0.5147516679021498,0.4154535274356103,0.2719382835101254,0.5581096286770616,0.49798657718120803,0.36410587475790834
GCN_binary_lr0.001,0.01,64,16,1,0.2,32,7,MLP,0.6717620139579638,0.6659257560968399,0.6817967656886939,0.5996792066824889,0.6017325245877795,0.5388857220172796,0.5933680805176133,0.5967016491754122,0.5467128027681661,0.48947368421052634,0.44568868980963045,0.304725168756027,0.5364367535949306,0.5102564102564102,0.3913312693498452
GCN_binary_lr0.001,0.01,64,16,2,0.2,32,21,MLP,0.6771373111066095,0.6705018409660884,0.68178283626383,0.5886697501540004,0.6090865998954165,0.5757293542960602,0.5684446371783752,0.5615062761506276,0.5531419705197828,0.5830244625648628,0.7513997760358343,0.6875602700096431,0.5756422454804948,0.64272030651341,0.6130696474634566
GCN_binary_lr0.001,0.01,64,16,3,0.2,32,185,MLP,0.664262180997862,0.672505687390055,0.6879772399411057,0.6063290079519683,0.5981103493765746,0.5529418274099402,0.6246563290443198,0.6217712177121771,0.6144329896907217,0.42105263157894735,0.37737961926091823,0.28736740597878496,0.5030332551033964,0.4696864111498258,0.3915900131406045
GCN_binary_lr0.001,0.01,64,16,1,0.3,32,203,MLP,0.6732497420073685,0.7071112373045513,0.7148638295404839,0.6106328136977615,0.616311513338157,0.5571482904937747,0.6395610579628588,0.652,0.6030701754385965,0.33699036323202375,0.3650615901455767,0.2651880424300868,0.44140207787163804,0.4680545585068198,0.3683858004018754
