model_type,lr,feature_dim,hidden_dim,num_layers,dropout,batch_size,trained_epochs,predictor_type,train_loss,valid_loss,test_loss,train_aucroc,valid_aucroc,test_aucroc,train_precision,valid_precision,test_precision,train_recall,valid_recall,test_recall,train_f1,valid_f1,test_f1
GCN_binary_lr0.001,0.01,64,16,1,0,32,103,MLP,0.7064323815124295,0.6939731325422015,0.7128170584187363,0.5750542614274857,0.605816798315629,0.5639952425632504,0.5530722616798072,0.5472473294987674,0.5399214659685864,0.6292068198665678,0.7458006718924972,0.7955641272902604,0.5886881437042688,0.6312796208530805,0.6432748538011696
GCN_binary_lr0.001,0.01,64,16,2,0,32,87,MLP,0.6606708650975995,0.6744834376232964,0.7004826719110663,0.6181118622310903,0.6057365423995766,0.5638938820070134,0.6039151431528114,0.5810983397190294,0.5466034755134281,0.5191252779836916,0.509518477043673,0.33365477338476374,0.5583193813282309,0.5429594272076372,0.41437125748502995
GCN_binary_lr0.001,0.01,64,16,3,0,32,4,MLP,0.6740764693767538,0.6701092272996902,0.6866835843433033,0.6063616763591184,0.6098596900867641,0.5437877602943733,0.5970699524594936,0.6241935483870967,0.5333333333333333,0.4561897702001483,0.4333706606942889,0.3008678881388621,0.5172080514350549,0.511566424322538,0.3847102342786683
GCN_binary_lr0.001,0.01,64,16,1,0.1,32,78,MLP,0.69229975886537,0.6942423411778041,0.7230826426636089,0.5818023756443699,0.6008722814875935,0.5385630420813693,0.5535057689869405,0.5894736842105263,0.5425950196592398,0.6472201630837657,0.5016797312430011,0.39922854387656703,0.5967058501913614,0.5420447670901392,0.46
GCN_binary_lr0.001,0.01,64,16,2,0.1,32,168,MLP,0.6647917087326682,0.6590588986873627,0.6747571374430801,0.6086668240098779,0.6189756335514873,0.555769228980936,0.6114109483423285,0.6253776435045317,0.5830564784053156,0.4702742772424018,0.46360582306830905,0.33847637415621984,0.5316349618704433,0.532475884244373,0.4283099450884686
GCN_binary_lr0.001,0.01,64,16,3,0.1,32,27,MLP,0.668356435770672,0.6563046808753695,0.6827756310954238,0.5943520610220568,0.6242468170378294,0.5393934547118244,0.5992763455450023,0.6156583629893239,0.5361842105263158,0.4911045218680504,0.5811870100783875,0.47155255544840885,0.5398248115705846,0.597926267281106,0.5017957927142124
GCN_binary_lr0.001,0.01,64,16,1,0.2,32,147,MLP,0.7156281274924347,0.7422909247023719,0.7456483985438491,0.5779205638418706,0.5984094280637382,0.5290732762428525,0.567282109167137,0.6064690026954178,0.5334143377885784,0.5215715344699777,0.503919372900336,0.42333654773384766,0.5434673463870544,0.5504587155963303,0.4720430107526882
GCN_binary_lr0.001,0.01,64,16,2,0.2,32,239,MLP,0.6683868147185629,0.664070120879582,0.6797476013501486,0.602694940270942,0.6004057939755395,0.5423082681386576,0.6068432463003111,0.6106750392464678,0.5733590733590733,0.4772424017790956,0.43561030235162373,0.28640308582449375,0.5342960288808665,0.5084967320261438,0.3819935691318328
GCN_binary_lr0.001,0.01,64,16,3,0.2,32,147,MLP,0.671805663060803,0.666965622987066,0.6777545629125653,0.5891109082806306,0.5999737914274142,0.5536936623614778,0.5823789891586502,0.5899772209567198,0.5406746031746031,0.5654558932542624,0.58006718924972,0.5255544840887174,0.5737926884308711,0.5849802371541502,0.5330073349633252
GCN_binary_lr0.001,0.01,64,16,1,0.3,32,46,MLP,0.7130940000027842,0.6811944586890084,0.7401733127507296,0.5469064502107648,0.6002051541854088,0.5138199073992276,0.5274285421049931,0.5815861440291704,0.5171553337492202,0.7618977020014825,0.7144456886898096,0.7994214079074252,0.6233435424689936,0.6412060301507537,0.628030303030303
