model_type,lr,feature_dim,hidden_dim,num_layers,dropout,batch_size,trained_epochs,predictor_type,train_loss,valid_loss,test_loss,train_aucroc,valid_aucroc,test_aucroc,train_precision,valid_precision,test_precision,train_recall,valid_recall,test_recall,train_f1,valid_f1,test_f1
GCN_binary_lr0.001,0.001,64,16,1,0,32,88,MLP,0.6123339921534061,0.6484173455753842,0.7075909627808465,0.719988622501321,0.6665609899840496,0.6103388638587299,0.6715054862672937,0.6425661914460286,0.5803389830508474,0.6161976235146966,0.5402397260273972,0.601123595505618,0.6426637967583081,0.5869767441860465,0.5905484649879269
GCN_binary_lr0.001,0.001,64,16,2,0,32,151,MLP,0.6062489532530307,0.6724359811963262,0.7040629227956136,0.7289029494278201,0.6678280106492775,0.6109121520325717,0.6501911991324696,0.6170886075949367,0.5609167671893848,0.7124452782989369,0.6678082191780822,0.6530898876404494,0.6798961535018352,0.6414473684210527,0.6035042180402336
GCN_binary_lr0.001,0.001,64,16,3,0,32,137,MLP,0.6096691541075706,0.6484653885300095,0.6821341554323832,0.7232753996106855,0.66920828251079,0.6078321767295796,0.6662804171494786,0.6435546875,0.5779036827195467,0.6472795497185742,0.5642123287671232,0.5730337078651685,0.6566425580510088,0.6012773722627737,0.5754583921015515
GCN_binary_lr0.001,0.001,64,16,1,0.1,32,4,MLP,0.6479066416621209,0.659238963513761,0.6829309198591444,0.6689111354383857,0.6472811649699757,0.6143999633095568,0.619896246566982,0.5887931034482758,0.5823970037453183,0.6352095059412133,0.5847602739726028,0.6551966292134831,0.6274594594594595,0.5867697594501718,0.6166556510244547
GCN_binary_lr0.001,0.001,64,16,2,0.1,32,12,MLP,0.6355565296411514,0.6554887906925099,0.6878097467952304,0.6904385793028085,0.6548019240242071,0.6139351683815175,0.62209731448362,0.5960474308300395,0.5555555555555556,0.6852407754846779,0.6455479452054794,0.6776685393258427,0.652144153795792,0.6198109330045212,0.6105662764947801
GCN_binary_lr0.001,0.001,64,16,3,0.1,32,106,MLP,0.6115191058516503,0.6990519125719328,0.7258161306381226,0.7219694160789205,0.6510650010555452,0.5926921908534276,0.6517226814698606,0.6352705410821643,0.5600287562904386,0.6754846779237023,0.5428082191780822,0.5470505617977528,0.6633909652059086,0.5854108956602031,0.5534635879218472
GCN_binary_lr0.001,0.001,64,16,1,0.2,32,35,MLP,0.6224841511845589,0.6818344085603147,0.7124795304404364,0.7126106724770525,0.6605370525661476,0.5967747423778563,0.665969222462203,0.6647919010123734,0.5706997084548106,0.6170731707317073,0.5059931506849316,0.5498595505617978,0.6405894955528144,0.574623237724842,0.5600858369098712
GCN_binary_lr0.001,0.001,64,16,2,0.2,32,10,MLP,0.6333873375058174,0.6656168312639803,0.6883328040440877,0.6933270188020108,0.6489487796725464,0.6117714678544376,0.6335661808984704,0.6145552560646901,0.5704738760631834,0.6579737335834897,0.5856164383561644,0.6594101123595506,0.6455393299791385,0.5997369574747917,0.6117263843648209
GCN_binary_lr0.001,0.001,64,16,3,0.2,32,89,MLP,0.6162596697807312,0.6601170269218651,0.7161023630036248,0.7138110768104362,0.654939364796397,0.601530198601818,0.6530280280280281,0.6205533596837944,0.5727956254272044,0.6527829893683552,0.5376712328767124,0.5884831460674157,0.652905485707137,0.5761467889908257,0.5805334257014202
GCN_binary_lr0.001,0.001,64,16,1,0.3,32,3,MLP,0.6529652324914932,0.659420949381751,0.6815152380201551,0.6614314293525386,0.6456384728607618,0.6024168843106931,0.6083309227654036,0.5951107715813598,0.5612185120093731,0.6575984990619137,0.6669520547945206,0.672752808988764,0.6320060105184072,0.6289866774323779,0.6119450654742894
GCN_binary_lr0.001,0.001,64,16,2,0.3,32,103,MLP,0.6120747026205063,0.6550282932616569,0.6990329464276631,0.723335593970747,0.6718885608228561,0.6191845154494382,0.631412828331461,0.6055045871559633,0.5617044825677919,0.7381488430268918,0.678082191780822,0.7127808988764045,0.6806216301934666,0.6397415185783522,0.6282884555865057
GCN_binary_lr0.001,0.001,64,16,3,0.3,32,27,MLP,0.625553460419178,0.6597944804140039,0.6745198766390482,0.7062244715173375,0.6614606545552637,0.6233047930343392,0.646308850052864,0.6436781609195402,0.5870006770480705,0.649906191369606,0.5273972602739726,0.6088483146067416,0.6481025289220119,0.579764705882353,0.5977249224405378
GCN_binary_lr0.001,0.001,64,32,1,0,32,51,MLP,0.594826960682869,0.6662251321045128,0.6829517139328851,0.7431661713211157,0.6588873967911428,0.6288852910775155,0.6859906560505363,0.6159860990443093,0.5795165394402035,0.6519699812382739,0.6070205479452054,0.639747191011236,0.6685477923493763,0.6114704614057783,0.6081441922563418
GCN_binary_lr0.001,0.001,64,32,2,0,32,23,MLP,0.6134985964298248,0.656009446930241,0.7013102650642395,0.7232185003838781,0.6645034099971852,0.5969636192557758,0.6368621064060803,0.6065012831479898,0.5393053016453382,0.73364602876798,0.6070205479452054,0.6214887640449438,0.6818366753850624,0.6067608044501498,0.5774877650897227
GCN_binary_lr0.001,0.001,64,32,3,0,32,182,MLP,0.5852946446239948,0.7011034907521428,0.7382652958234152,0.7580294125354301,0.6670484465894163,0.6191889538094937,0.7140676117775354,0.6726618705035972,0.5966850828729282,0.6142589118198875,0.4803082191780822,0.5308988764044944,0.6604135148764498,0.5604395604395604,0.5618729096989966
GCN_binary_lr0.001,0.001,64,32,1,0.1,32,193,MLP,0.5791939580738544,0.6422238817086091,0.7013016197416517,0.7593367023870845,0.688989124953087,0.6311138409765181,0.6862635311683464,0.6465753424657534,0.5938092229943146,0.6898686679174484,0.6061643835616438,0.6601123595505618,0.688061377245509,0.6257180733539549,0.625207848353841
GCN_binary_lr0.001,0.001,64,32,2,0.1,32,146,MLP,0.5788389286398887,0.6784800089694358,0.7371274815665351,0.7595841561388625,0.6617538615359355,0.6194596937728822,0.6684394121347287,0.6027397260273972,0.5901328273244781,0.7310193871169481,0.6027397260273972,0.6551966292134831,0.6983301968515697,0.6027397260273972,0.6209650582362729
GCN_binary_lr0.001,0.001,64,32,3,0.1,32,184,MLP,0.5804873815476894,0.66731220000499,0.7146212418874105,0.763897994016742,0.6838103566569713,0.6265847411153895,0.716794731064764,0.6636363636363637,0.5968543046357616,0.6125703564727955,0.5,0.5063202247191011,0.6605968639352554,0.5703125,0.5478723404255319
GCN_binary_lr0.001,0.001,64,32,1,0.2,32,13,MLP,0.6213014648854732,0.6431317071656923,0.6813973267873128,0.7110630921217568,0.6796292251125915,0.6229021351470774,0.6480573599705847,0.6134868421052632,0.5698860227954409,0.6613508442776735,0.6386986301369864,0.6671348314606742,0.6546366225083571,0.6258389261744967,0.6146878032999029
GCN_binary_lr0.001,0.001,64,32,2,0.2,32,18,MLP,0.6162458960711956,0.6461671236399058,0.6744821389516195,0.7215024673410251,0.6780891554466129,0.6342949122585532,0.679659716895614,0.626362735381566,0.5887156644394952,0.6095684803001876,0.541095890410959,0.5568820224719101,0.6427087797962481,0.5806155259531466,0.572356549981956
GCN_binary_lr0.001,0.001,64,32,3,0.2,32,16,MLP,0.6191158689558506,0.656796330535734,0.728286063671112,0.7136460385458234,0.6769302548555076,0.5916849296963766,0.6519650655021834,0.6497695852534562,0.5713342140026421,0.6535959974984366,0.603595890410959,0.6074438202247191,0.6527795128044972,0.625832223701731,0.5888359428182437
GCN_binary_lr0.001,0.001,64,32,1,0.3,32,131,MLP,0.5860538065731525,0.6963266746417897,0.7211410284042359,0.7526683402423575,0.6678093187042596,0.6062230246338847,0.6892430278884463,0.6443798449612403,0.5871369294605809,0.6707942464040025,0.5693493150684932,0.5962078651685393,0.679893509127789,0.6045454545454545,0.5916376306620209
GCN_binary_lr0.001,0.001,64,32,2,0.3,32,14,MLP,0.617147212356329,0.6546375115175505,0.6777013288603888,0.7181308244169179,0.6630886863154437,0.6233940533865674,0.6651415688614813,0.6287534121929026,0.5859649122807018,0.6273295809881175,0.5916095890410958,0.586376404494382,0.645682469183483,0.6096162329069255,0.5861705861705861
GCN_binary_lr0.001,0.001,64,32,3,0.3,32,142,MLP,0.5810869431197643,0.6711699769303605,0.6981270962291294,0.7565645801139784,0.6734498879949333,0.6273580020672895,0.6809398196429667,0.6158886158886159,0.5684673366834171,0.6941838649155723,0.6438356164383562,0.6355337078651685,0.6874980644761698,0.6295521138551695,0.600132625994695
GCN_binary_lr0.001,0.001,64,64,1,0,32,100,MLP,0.5585555220246315,0.6615693391980352,0.7404383884535896,0.7859239397199861,0.7041787125867893,0.6065381481978285,0.7318130945719082,0.6918918918918919,0.5685823754789272,0.6542839274546591,0.547945205479452,0.5210674157303371,0.6908802747143895,0.6115623506927855,0.543788933675339
GCN_binary_lr0.001,0.001,64,64,2,0,32,19,MLP,0.5956128320395947,0.6470125986112131,0.6855888379944696,0.7420461858392577,0.6766187224385437,0.6202798040809241,0.6835313001605137,0.6302447552447552,0.5711436170212766,0.6657911194496561,0.6172945205479452,0.6032303370786517,0.674544590527483,0.6237024221453287,0.5867486338797814
GCN_binary_lr0.001,0.001,64,64,3,0,32,40,MLP,0.5760493730604649,0.6624703487834415,0.7331476661894056,0.7648093222742012,0.6835002902749109,0.599140881438581,0.7022554384091819,0.6439075630252101,0.5819032761310452,0.6581613508442776,0.5248287671232876,0.523876404494382,0.6794938016528925,0.5783018867924529,0.5513673318551368
GCN_binary_lr0.001,0.001,64,64,1,0.1,32,161,MLP,0.5457165340185165,0.7183819340692984,0.8317428297466702,0.7951320947543435,0.6754180398526928,0.6010143625331398,0.7301427709632012,0.6847345132743363,0.5774121166791324,0.6812382739212007,0.5299657534246576,0.5421348314606742,0.7048432495389693,0.5974903474903475,0.5592176747555233
GCN_binary_lr0.001,0.001,64,64,2,0.1,32,111,MLP,0.550428521513939,0.6848884450422751,0.7674440701802572,0.7886774136899977,0.6847310265762807,0.6134200720395153,0.7046607099734363,0.6451890034364262,0.5721854304635762,0.7299562226391495,0.6429794520547946,0.6067415730337079,0.7170854580082324,0.644082332761578,0.588957055214724
GCN_binary_lr0.001,0.001,64,64,3,0.1,32,70,MLP,0.5596215720772744,0.6987111052951297,0.7495124763912625,0.7789245623730591,0.6672339000046913,0.6337704460453225,0.6905211035133223,0.6162420382165605,0.5786202610316967,0.7325828642901814,0.6626712328767124,0.6537921348314607,0.7109303878133155,0.6386138613861386,0.6139136168809759
GCN_binary_lr0.001,0.001,64,64,1,0.2,32,9,MLP,0.616093643784523,0.6533637675079139,0.6791069123480055,0.7197470511001834,0.6673174639941828,0.6250313150959474,0.6627184466019418,0.6192982456140351,0.5846456692913385,0.6403377110694184,0.6044520547945206,0.6257022471910112,0.6513358778625954,0.6117850953206239,0.6044776119402985
GCN_binary_lr0.001,0.001,64,64,2,0.2,32,9,MLP,0.6182634732425213,0.6539123879896628,0.684342885017395,0.7179358033730431,0.666113849338525,0.6109148643637167,0.6713780918727915,0.6447916666666667,0.5799853907962016,0.6060037523452158,0.5299657534246576,0.5575842696629213,0.6370180455576373,0.581766917293233,0.5685642678123881
