Graph Number,Average Node Degree,Unique Degree Count,Degree Centrality,Assortivity Coefficient,Clustering Coefficient,Density,Number of Weakly Connected Components,Number of Strongly Connected Components,Number of Nodes,Number of Edges,Eigenvalue_1,Eigenvalue_2,Eigenvalue_3,Eigenvalue_4,Eigenvalue_5,Kernel Distance
0,-0.3333333333333335,-1,-0.007092198581560277,0.3175411947821374,0.0,-0.0035460992907801418,6,-1,0,-8,-0.9689499802039113,0.9689499802039111,0.0,0.0,0.0,212.952380952381
0,-0.5555555555555558,-7,-0.004444444444444449,-0.09999671246949637,-0.021328287445787075,-0.0022222222222222227,-2,-18,0,-35,-0.2166186556711287,0.22737271606566822,3.198178564431077,-3.1974488189465142,0.2076518577995996,10748.047619047622
0,-0.7006369426751595,-4,-0.004491262453045888,0.10864160007508807,0.0150432361195652,-0.002245631226522946,7,-17,0,-55,5.477542359743673,0.10288926812617127,0.03607189691498025,-4.0696897831524526,-3.752020908109884,46782.857142857145
0,-0.9449541284403669,-8,-0.004354627320001693,0.19046310202877725,-0.0001811899712489476,-0.002177313660000845,4,-32,0,-103,1.1790785570063314,5.258874328192175,4.753461584669095,-4.610201494322365,-4.610201494322365,176886.1428571429
0,-0.7102040816326527,-8,-0.002910672465707597,0.24554010920941421,-0.010534395454508266,-0.0014553362328537968,2,-30,0,-87,1.0725412311808178,0.22279825884915683,-0.08530692231083448,0.424591280159206,-4.955254225985122,280495.8571428572
0,-1.0169491525423728,-10,-0.0034590107229332413,0.14760732932015852,-0.010180113604988522,-0.0017295053614666206,5,-41,0,-150,0.2446527388363009,0.7618233796516884,0.7618233796516884,-0.271642816547478,-0.3239628803651402,534487.3809523811
0,-0.818991097922849,-8,-0.002437473505722763,0.15456377741194915,-0.026317422364212723,-0.0012187367528613815,9,-48,0,-138,0.994065637923244,0.6762839686298352,-6.870689731499805,-0.36683864883222705,0.4076214435414256,784701.8571428574
0,-0.7093333333333325,-10,-0.0018966131907308358,0.19373016284377875,-0.0172043291145913,-0.0009483065953654196,7,-31,0,-133,0.8650707891110789,-8.489298104955706,7.471337174956022,6.9513082327921865,-6.9361548608232715,939289.3809523812
0,-0.8163265306122449,-12,-0.0020877916383944886,0.1741679607493779,-0.01577236902750085,-0.0010438958191972443,1,-38,0,-160,0.7913302734224166,-0.06561502212519166,-8.207609185940232,-7.872110952581295,7.528975081860118,1046888.9523809524
0,-0.6551724137931032,-4,-0.0014150592090563796,0.121775292799259,-0.006172916967993242,-0.0007075296045281898,-2,-39,0,-152,1.45811593031386,0.07495766509084945,-0.765577771654705,-0.765577771654705,8.104781680787337,862763.2380952381
0,-0.4025423728813555,-10,-0.0008546547194933259,0.04639423451100394,-0.009785188803653241,-0.00042732735974666293,1,-39,0,-95,1.165082763466624,0.9745589578146419,-8.998469530958802,-8.32420629036096,8.136477025297513,782333.761904762
0,-0.4364406779661021,-9,-0.0009266256432401317,0.10768899340192155,-0.011717489048984828,-0.0004633128216200641,1,-5,0,-103,0.7601196899071034,0.8191213713609864,-8.821881841995896,0.6465769577053622,7.956316425158696,703026.0952380953
0,-0.5577689243027883,-8,-0.0011133112261532685,0.03748378645756585,-0.0063309562786568185,-0.000556655613076636,-5,-10,0,-140,0.5179564160008407,1.9213694165489592,-10.203017078636623,1.1002946300748073,-8.722511621465115,1061387.6666666667
0,-0.6725043782837119,-8,-0.0011798322426030024,0.08731891237807403,-0.022730807515221815,-0.000589916121301502,0,-15,0,-192,-0.3007462891272805,2.900579953444919,-9.776176129991342,-9.231587539953884,1.0903766410648403,2488606.8095238097
0,-0.5957446808510642,-10,-0.0009766306243460064,0.026224116351144716,-0.020475830703671767,-0.0004883153121730023,-2,-4,0,-182,-0.5841034528962741,12.657457177920554,-10.151305182259778,-10.151305182259778,-1.2518814799494073,1984763.047619048
0,-0.6635514018691584,-15,-0.0010351815941796565,0.12243162020044494,-0.0236260835845922,-0.0005175907970898282,1,2,0,-213,-1.0399193135548188,3.3541052323160363,-2.083550687496717,10.327482720248257,-1.692529233164315,2678138.1428571437
0,-0.6725146198830405,-13,-0.0009846480525373957,0.07086041190108439,-0.015607789062465446,-0.000492324026268697,-1,22,0,-230,-1.1336178659037266,13.738989930033803,-2.1422646341530456,-2.1422646341530456,-10.4408574210388,2893665.619047621
0,-0.6007905138339922,-9,-0.0007925996224722853,0.10490014535062558,-0.023566841970658017,-0.00039629981123614263,12,51,0,-228,-0.6690982045343219,5.5702825957679565,-11.928064471158072,-1.8564909675692691,-1.6863524105191257,17535254.952380966
