Graph Number,precision overall,recall overall,tp_overall,fp_overall,tn_overall,fn_overall,precision oo,recall oo,tp_oo,fp_oo,tn_oo,fn_oo,precision oon,recall oon,tp_oon,fp_oon,tn_oon,fn_oon,precision on,recall on,tp_on,fp_on,tn_on,fn_on,precision nn,recall nn,tp_nn,fp_nn,tn_nn,fn_nn,Correct Node IDs,Correct Old Node IDs,Precision Old IDs,Recall Old IDs,Correct New Node IDs,Precision New IDs,Recall New IDs,Correct Overall IDs,Precision Overall IDs,Recall Overall IDs
0,0.0,0.0,0,0,420,3,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,420,0,0.0,0.0,0,0,420,3,0.04038461538461539,0,0.0,0.0,21,0.04038461538461539,0.04038461538461539,21,0.04038461538461539,0.04038461538461539
1,0.0,0.0,0,0,132,3,0.0,0.0,0,0,30,0,0.0,0.0,0,0,30,1,0.0,0.0,0,0,132,0,0.0,0.0,0,0,2,1,0.022684310018903593,6,0.016483516483516484,0.5454545454545454,2,0.012121212121212121,0.003861003861003861,12,0.022684310018903593,0.022684310018903593
2,0.0,0.0,0,0,156,2,0.0,0.0,0,0,30,0,0.0,0.0,0,0,30,0,0.0,0.0,0,0,156,0,0.0,0.0,0,0,0,0,0.024074074074074074,6,0.01485148514851485,0.46153846153846156,1,0.007352941176470588,0.0018975332068311196,13,0.024074074074074074,0.024074074074074074
3,0.0,0.0,0,0,156,3,0.0,0.0,0,0,42,0,0.0,0.0,0,0,42,1,0.0,0.0,0,0,156,0,0.0,0.0,0,0,0,0,0.02443609022556391,7,0.015873015873015872,0.5384615384615384,0,0.0,0.0,13,0.02443609022556391,0.02443609022556391
4,0.0,0.0,0,0,240,3,0.0,0.0,0,0,56,0,0.0,0.0,0,0,56,2,0.0,0.0,0,0,240,0,0.0,0.0,0,0,2,0,0.0285204991087344,8,0.017278617710583154,0.5714285714285714,2,0.02040816326530612,0.003656307129798903,16,0.0285204991087344,0.0285204991087344
5,0.0,0.0,0,3,303,3,0.0,0.0,0,3,87,0,0.0,0.0,0,0,90,2,0.0,0.0,0,0,306,0,0.0,0.0,0,0,2,0,0.03197158081705151,10,0.020618556701030927,0.625,2,0.02564102564102564,0.003656307129798903,18,0.03197158081705151,0.03197158081705151
6,0.0,0.0,0,0,380,4,0.0,0.0,0,0,110,0,0.0,0.0,0,0,110,3,0.0,0.0,0,0,380,0,0.0,0.0,0,0,0,0,0.03616636528028933,11,0.022727272727272728,0.6111111111111112,1,0.014492753623188406,0.001869158878504673,20,0.03616636528028933,0.03616636528028933
7,0.0,0.0,0,1,305,2,0.0,0.0,0,0,132,0,0.0,0.0,0,0,132,2,0.0,0.0,0,0,306,0,0.0,0.0,0,0,0,0,0.03333333333333333,12,0.025974025974025976,0.5714285714285714,0,0.0,0.0,18,0.03333333333333333,0.03333333333333333
8,0.0,0.0,0,1,271,4,0.0,0.0,0,1,155,0,0.0,0.0,0,0,156,3,0.0,0.0,0,0,272,0,0.0,0.0,0,0,0,0,0.031598513011152414,13,0.028953229398663696,0.6190476190476191,0,0.0,0.0,17,0.031598513011152414,0.031598513011152414
9,0.0,0.0,0,1,238,5,0.0,0.0,0,1,109,0,0.0,0.0,0,0,109,4,0.0,0.0,0,0,240,0,0.0,0.0,0,0,2,1,0.0299625468164794,11,0.024336283185840708,0.5238095238095238,2,0.024390243902439025,0.003898635477582846,16,0.0299625468164794,0.0299625468164794
