Graph Number,Average Node Degree,Unique Degree Count,Degree Centrality,Assortivity Coefficient,Clustering Coefficient,Density,Number of Weakly Connected Components,Number of Strongly Connected Components,Number of Nodes,Number of Edges,Eigenvalue_1,Eigenvalue_2,Eigenvalue_3,Eigenvalue_4,Eigenvalue_5,Kernel Distance
0,-0.21153846153846168,-4,-0.0004075885578775744,0.06198315215029057,-0.030589661406969094,-0.00020379427893878763,-18,-89,0,-55,-1.0052467106157899,-4.463804294385961,-1.4381298220647851,-1.3543856822368068,-4.006692473987036,15534.476190476194
0,-0.18903591682419663,-1,-0.00035802256974279585,0.09811875031220602,-0.04141264112908725,-0.00017901128487139836,-32,-53,0,-50,-0.6616078520805155,-4.876351362258425,-1.05155611417606,-1.0095656444503922,-4.339181626260798,24278.190476190484
0,-0.12592592592592622,-2,-0.00023362880505737801,-0.007030765295948408,-0.032140097556764224,-0.00011681440252868814,-47,-95,0,-34,-0.16943987889561596,-1.0180700720193718,-1.3042462394486343,-4.143157778840802,-4.116146359222258,18771.42857142858
0,-0.15413533834586435,-1,-0.00029027370686603507,0.05279874454250966,-0.033135896058828385,-0.00014513685343301753,-36,-58,0,-41,-1.0897483205901821,-4.414626197801107,-1.1171766097563967,-1.073491193016948,-1.1355263972787717,33774.09523809525
0,-0.12834224598930488,-2,-0.00022918258212375857,-0.025807047820516994,-0.03901793393772003,-0.00011459129106187928,-44,-40,0,-36,-1.3287205220330698,-4.617338413365956,-4.617338413365956,-1.0327716454509526,-1.0095063499758012,24605.09523809525
0,-0.15275310834813505,-2,-0.000271802683893479,-0.004249980110313807,-0.028440301209604307,-0.0001359013419467395,-44,-57,0,-43,-1.7111917085852388,-4.669231832506858,-4.629315234504944,-1.3460377955401641,-4.0127656233440465,20802.2380952381
0,-0.1952983725135624,-2,-0.00035380139948109224,-0.0049608371500584475,-0.032344572186078405,-0.0001769006997405457,-39,-38,0,-54,-1.032610398552967,-5.223595896783155,-5.0630645403530306,-1.2917864741621274,-1.01313641146292,16600.476190476194
0,-0.1962962962962962,-2,-0.0003641860784717923,0.06860243820824155,-0.028887191335591752,-0.00018209303923589657,-25,-42,0,-53,-1.7188142418701697,-1.5808208484458177,-4.565962425725214,-4.450491882505855,-4.275853494228601,22327.809523809534
0,-0.1970260223048328,-4,-0.00036690134507417777,0.08905300524193963,-0.02561276981011809,-0.00018345067253708802,-24,-89,0,-53,-1.0557040744344186,-5.227795396365254,-5.08435738402358,-4.526030862562213,-1.203357315764122,21546.571428571435
0,-0.22471910112359517,-4,-0.00042161182199548786,-0.007757082106263625,-0.03787590571391714,-0.00021080591099774436,-30,-94,0,-60,-1.6162382870923513,-5.264645683423488,-5.090946572096685,-1.0837378950337504,-1.0382209072322843,13609.190476190483
0,-0.20751341681574242,-4,-0.0003718878437558113,0.0448192749037645,-0.04888196063877427,-0.00018594392187790566,-39,-83,0,-58,-1.9021540008424185,-5.14229097058808,-4.926192750171361,-1.1496557049999643,-1.1496557049999643,13869.952380952393
0,-0.18081180811808117,-3,-0.0003342177599225159,0.10375377495479017,-0.0525074368613607,-0.00016710887996125795,-37,-56,0,-49,-1.834006658415774,-5.083069646881622,-4.818383173779228,-1.2060121748361872,-1.0247059144408084,10883.238095238099
0,-0.125,1,-0.0002302025782688769,-0.004180660296108182,-0.047577338821361254,-0.00011510128913443801,-33,-86,0,-34,-1.3248749212901667,-5.992506717993098,-0.16919420372431038,-0.6204000890246986,-4.3719706800922395,23200.523809523816
0,-0.22024866785079933,-6,-0.0003919015442185045,0.04034209922828183,-0.051411472297888575,-0.00019595077210925183,-28,-62,0,-62,-2.863340348563791,-4.9099159775494154,-1.2105810196344018,-4.702392699230338,-0.890772995750289,28088.380952380958
0,-0.18149466192170838,-4,-0.0003235198964736336,-0.08293607718796982,-0.04007810653979797,-0.0001617599482368168,-30,-61,0,-51,-1.5352600906158358,-6.099256054017904,-0.8194798596368318,-4.834676202468099,-0.7491016354617273,22631.76190476191
0,-0.2124542124542126,-2,-0.0003898242430352512,-0.13949870543607573,-0.033946731048603004,-0.00019491212151762603,-29,-93,0,-58,-1.6687571957598544,-5.83995358881865,-0.46355869438663166,-0.5926469909304579,-4.26659399002242,17766.857142857145
0,-0.3266787658802177,-5,-0.0005939613925094863,-0.17746762954499884,-0.04237172908062532,-0.0002969806962547436,-23,-39,0,-90,-2.039757571410641,-1.159934632286268,-5.127908620426815,-0.9904465914300129,-0.906626744032849,11309.190476190477
0,-0.26595744680851086,-5,-0.00047239333358527636,-0.12285978637861282,-0.036558616242925585,-0.00023619666679263818,-33,-50,0,-75,-2.7294179195943746,-5.517392784464945,-4.918106475826838,-4.42821391316992,-1.0077407230010795,24307.238095238106
0,-0.29209621993127133,-3,-0.0005027473664910012,-0.19196919371243792,-0.039787213718384125,-0.0002513736832455006,-31,-57,0,-85,-2.570359850786257,-5.740486496948574,-5.1333337782457855,-4.936726551442319,-0.7842455850517007,19649.095238095248
0,-0.19377162629757771,-2,-0.00033582604211018687,-0.24484952918511674,-0.03640436413479119,-0.00016791302105509344,-33,-75,0,-56,-2.10609899256524,-6.237920309878152,-5.3363886097069475,-0.7612020788842493,-0.5121725664313144,51376.00000000001
