Graph Number,precision overall,recall overall,tp_overall,fp_overall,tn_overall,fn_overall,precision oo,recall oo,tp_oo,fp_oo,tn_oo,fn_oo,precision oon,recall oon,tp_oon,fp_oon,tn_oon,fn_oon,precision on,recall on,tp_on,fp_on,tn_on,fn_on,precision nn,recall nn,tp_nn,fp_nn,tn_nn,fn_nn,Correct Node IDs,Correct Old Node IDs,Precision Old IDs,Recall Old IDs,Correct New Node IDs,Precision New IDs,Recall New IDs,Correct Overall IDs,Precision Overall IDs,Recall Overall IDs
2,0.0,0.0,0,0,162343,628,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,162782,30,0.0,0.0,0,0,153617,596,0.7481481481481481,0,0.0,0.0,393,0.7304832713754646,0.74573055028463,404,0.7481481481481481,0.7481481481481481
3,0.03571428571428571,0.0018450184501845018,1,27,125247,541,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,28,125617,25,0.0,0.0,0,0,116943,504,0.6672932330827067,0,0.0,0.0,343,0.6520912547528517,0.6608863198458574,355,0.6672932330827067,0.6672932330827067
4,0.023529411764705882,0.003952569169960474,2,83,112777,504,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,1,0.0,0.0,0,41,113163,28,0.0,0.0,0,0,85325,343,0.6007130124777184,1,0.02040816326530612,0.07142857142857142,293,0.572265625,0.5356489945155393,337,0.6007130124777184,0.6007130124777184
5,0.018018018018018018,0.0045871559633027525,2,109,97237,434,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,1,0.0,0.0,0,37,97595,24,0.0,0.0,0,0,70826,300,0.5559502664298401,1,0.0196078431372549,0.0625,267,0.521484375,0.48811700182815354,313,0.5559502664298401,0.5559502664298401
6,0.018518518518518517,0.006006006006006006,2,106,67000,331,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,49,67271,20,0.0,0.0,0,0,46725,225,0.4701627486437613,1,0.018867924528301886,0.05555555555555555,217,0.434,0.405607476635514,260,0.4701627486437613,0.4701627486437613
7,0.008695652173913044,0.004273504273504274,1,114,36784,233,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,59,36988,9,0.0,0.0,0,0,24083,155,0.3574074074074074,1,0.017857142857142856,0.047619047619047616,156,0.32231404958677684,0.30057803468208094,193,0.3574074074074074,0.3574074074074074
8,0.012658227848101266,0.004464285714285714,1,78,35678,223,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,50,35849,11,0.0,0.0,0,0,22269,134,0.35315985130111527,1,0.01639344262295082,0.047619047619047616,150,0.31446540880503143,0.2901353965183752,190,0.35315985130111527,0.35315985130111527
9,0.011764705882352941,0.004424778761061947,1,84,29511,225,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,56,29686,14,0.0,0.0,0,0,18002,134,0.32397003745318353,1,0.015384615384615385,0.047619047619047616,135,0.2878464818763326,0.2631578947368421,173,0.32397003745318353,0.32397003745318353
10,0.0,0.0,0,95,26165,211,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,66,26329,11,0.0,0.0,0,0,15672,126,0.29159212880143115,1,0.014492753623188406,0.04,126,0.2571428571428571,0.23595505617977527,163,0.29159212880143115,0.29159212880143115
11,0.007194244604316547,0.004739336492890996,1,138,26449,210,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,80,26640,12,0.0,0.0,0,0,14926,126,0.3025830258302583,1,0.014492753623188406,0.04,123,0.26004228329809725,0.2379110251450677,164,0.3025830258302583,0.3025830258302583
12,0.007518796992481203,0.005,1,132,22684,199,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,78,22867,7,0.0,0.0,0,0,13500,119,0.27941176470588236,1,0.014705882352941176,0.037037037037037035,117,0.24579831932773108,0.2263056092843327,152,0.27941176470588236,0.27941176470588236
13,0.00819672131147541,0.004629629629629629,1,121,22682,215,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,70,22875,7,0.0,0.0,0,0,13262,129,0.2699822380106572,1,0.015151515151515152,0.038461538461538464,116,0.23340040241448692,0.21601489757914338,152,0.2699822380106572,0.2699822380106572
14,0.015384615384615385,0.009615384615384616,2,128,22679,206,0.0,0.0,0,0,2,0,0.0,0.0,0,0,2,0,0.0,0.0,0,81,22862,9,0.0,0.0,0,0,12826,102,0.2704626334519573,2,0.02666666666666667,0.06451612903225806,114,0.23408624229979466,0.21468926553672316,152,0.2704626334519573,0.2704626334519573
15,0.014285714285714285,0.006024096385542169,1,69,13862,165,0.0,0.0,0,0,2,0,0.0,0.0,0,0,2,1,0.0,0.0,0,26,14007,9,0.0,0.0,0,0,6936,74,0.21794871794871795,2,0.02666666666666667,0.07142857142857142,84,0.17834394904458598,0.16216216216216217,119,0.21794871794871795,0.21794871794871795
16,0.01818181818181818,0.009174311926605505,1,54,9386,108,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,1,0.0,0.0,0,8,9496,2,0.0,0.0,0,0,4799,62,0.17785843920145192,1,0.013513513513513514,0.03571428571428571,70,0.14675052410901468,0.1338432122370937,98,0.17785843920145192,0.17785843920145192
17,0.02631578947368421,0.014184397163120567,2,74,10338,139,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,1,0.0,0.0,0,26,10472,8,0.0,0.0,0,0,4946,55,0.18262411347517732,1,0.014705882352941176,0.034482758620689655,71,0.1431451612903226,0.13271028037383178,103,0.18262411347517732,0.18262411347517732
18,0.0,0.0,0,53,9561,131,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,1,0.0,0.0,0,25,9672,5,0.0,0.0,0,0,4259,58,0.17010309278350516,1,0.014925373134328358,0.02857142857142857,66,0.12815533980582525,0.1206581352833638,99,0.17010309278350516,0.17010309278350516
19,0.0,0.0,0,37,6879,97,0.0,0.0,0,0,2,0,0.0,0.0,0,0,2,1,0.0,0.0,0,16,6954,2,0.0,0.0,0,0,2337,38,0.1453287197231834,2,0.0273972602739726,0.05555555555555555,49,0.09702970297029703,0.09040590405904059,84,0.1453287197231834,0.1453287197231834
20,0.0,0.0,0,32,5754,104,0.0,0.0,0,0,2,0,0.0,0.0,0,0,2,1,0.0,0.0,0,11,5836,5,0.0,0.0,0,0,2054,39,0.13298791018998274,2,0.027777777777777776,0.05405405405405406,46,0.09072978303747535,0.08487084870848709,77,0.13298791018998274,0.13298791018998274
21,0.0,0.0,0,47,4604,66,0.0,0.0,0,0,2,0,0.0,0.0,0,0,2,1,0.0,0.0,0,8,4683,1,0.0,0.0,0,0,1546,27,0.11794871794871795,2,0.03125,0.05405405405405406,40,0.07677543186180422,0.072992700729927,69,0.11794871794871795,0.11794871794871795
