Graph Number,Average Node Degree,Unique Degree Count,Degree Centrality,Assortivity Coefficient,Clustering Coefficient,Density,Number of Weakly Connected Components,Number of Strongly Connected Components,Number of Nodes,Number of Edges,Eigenvalue_1,Eigenvalue_2,Eigenvalue_3,Eigenvalue_4,Eigenvalue_5
2,3.037037037037037,15,0.0056345770631484925,0.010435953951688861,0.04143162393162393,0.002817288531574246,70,464,540,820,2.9469973499220288,2.879385241571822,2.737513752684478,2.732050807569001,2.705039387950457
3,2.9849624060150375,17,0.005621398128088584,0.02569395504901584,0.04008173843700159,0.0028106990640442914,72,453,532,794,3.316906643036594,2.7320508075688954,2.705039387950461,2.661353971211012,2.6180339887498985
4,2.9340463458110517,18,0.005239368474662592,0.04716697009791231,0.04311015781604017,0.0026196842373312963,78,469,561,823,3.6003365815589934,2.7553309357725784,2.7553309357725784,2.7320508075688896,2.7050393879504875
5,2.9378330373001775,18,0.0052274609204629495,0.0403069599673738,0.037062525639999254,0.0026137304602314748,74,483,563,827,3.650586178411272,3.0399165980019203,3.0000000000000067,2.8975058611199964,2.5251983527524025
6,2.9439421338155514,17,0.005333228503289043,0.027830501108177936,0.038777620752942527,0.0026666142516445215,69,473,553,814,3.850225902680704,3.039916598001927,2.8793852415718026,2.7598443667912345,2.481194304092027
7,3.011111111111111,17,0.005586477015048444,0.026352053443915606,0.03277541216825703,0.002793238507524222,60,451,540,813,3.6629526501834584,3.2568805649597823,3.047322195797507,2.9318516525781475,2.8114577796802274
8,3.104089219330855,20,0.005780426851640327,-0.05420653986306539,0.03597668305507223,0.002890213425820163,56,457,538,835,3.725135061858528,3.2180953887232855,3.0746573763816105,2.8132791495894365,2.8132791495894365
9,3.191011235955056,19,0.005986887872335939,-0.030146196253345876,0.04655945063341712,0.00299344393616797,58,449,534,852,4.12666974837987,3.3717324331862644,3.198033321859462,2.8344901501460447,2.7889731623445786
10,3.2057245080500896,21,0.005745026000089766,-0.021954260070414393,0.0560679023059324,0.002872513000044883,65,464,559,896,3.978109344104577,3.3464758182078294,3.13037759779111,2.832517481106013,2.832517481106013
11,3.1845018450184504,20,0.00588632503700268,-0.03129374724408138,0.06361313981913659,0.0029431625185013404,69,449,542,863,4.067057733692158,3.4261689688296815,3.1614824957272876,2.7773331520078757,2.596026891612497
12,3.1691176470588234,18,0.005836312425522696,-0.020084291409339775,0.056965799366946256,0.0029181562127613475,60,461,544,862,4.081293750217117,3.3613354328111478,2.7190206126599636,2.541998374767428,2.5009070330463152
13,3.1829484902309058,22,0.005663609413222252,0.03544826529137236,0.05986487009409276,0.002831804706611126,60,470,563,896,5.070116965458976,3.0137353124306325,3.0137353124306325,3.010893357147799,2.5433749212712202
14,3.1601423487544484,21,0.005633052315070317,0.10068604310885962,0.04501070803198322,0.002816526157535159,56,478,562,888,4.6176626599923685,3.0168534846413757,3.0168534846413757,2.847759065022585,2.6403758359190252
15,3.2234432234432235,21,0.005914574721914171,0.12415070339886579,0.046075025454990835,0.0029572873609570857,56,455,546,880,4.552251867656369,3.1303780564122676,2.7936764332894084,2.7936764332894084,2.6329838813499533
16,3.20508166969147,21,0.005827421217620855,0.1741957937998838,0.048039815783194786,0.0029137106088104273,57,456,551,883,4.782981146695423,3.408074666685521,2.881871703523414,2.881871703523414,2.679764315302617
17,3.24468085106383,23,0.005763198669740372,0.16805725070568245,0.046039294559648954,0.002881599334870186,62,460,564,915,5.1206405713188445,3.7602501203643186,3.160963811726212,2.715251145220492,2.715251145220492
