Graph Number,precision overall,recall overall,tp_overall,fp_overall,tn_overall,fn_overall,precision oo,recall oo,tp_oo,fp_oo,tn_oo,fn_oo,precision oon,recall oon,tp_oon,fp_oon,tn_oon,fn_oon,precision on,recall on,tp_on,fp_on,tn_on,fn_on,precision nn,recall nn,tp_nn,fp_nn,tn_nn,fn_nn,Correct Node IDs,Correct Old Node IDs,Precision Old IDs,Recall Old IDs,Correct New Node IDs,Precision New IDs,Recall New IDs,Correct Overall IDs,Precision Overall IDs,Recall Overall IDs
2,0.0,0.0,0,0,90,1,0.0,0.0,0,0,56,0,0.0,0.0,0,0,56,1,0.0,0.0,0,0,90,0,0.0,0.0,0,0,2,0,0.018518518518518517,8,0.02,0.6153846153846154,2,0.014285714285714285,0.003795066413662239,10,0.018518518518518517,0.018518518518518517
3,0.0,0.0,0,0,240,4,0.0,0.0,0,0,110,0,0.0,0.0,0,0,110,3,0.0,0.0,0,0,240,0,0.0,0.0,0,0,12,1,0.03007518796992481,11,0.028205128205128206,0.8461538461538461,4,0.028169014084507043,0.007707129094412331,16,0.03007518796992481,0.03007518796992481
4,0.0,0.0,0,0,240,3,0.0,0.0,0,0,56,0,0.0,0.0,0,0,56,2,0.0,0.0,0,0,240,0,0.0,0.0,0,0,42,1,0.0285204991087344,8,0.0213903743315508,0.5714285714285714,7,0.0374331550802139,0.012797074954296161,16,0.0285204991087344,0.0285204991087344
5,0.0,0.0,0,0,210,2,0.0,0.0,0,0,56,0,0.0,0.0,0,0,56,1,0.0,0.0,0,0,210,0,0.0,0.0,0,0,20,1,0.02664298401420959,8,0.020202020202020204,0.5,5,0.029940119760479042,0.009140767824497258,15,0.02664298401420959,0.02664298401420959
6,0.0,0.0,0,0,181,3,0.0,0.0,0,0,42,0,0.0,0.0,0,0,42,1,0.0,0.0,0,0,182,0,0.0,0.0,0,0,12,1,0.02531645569620253,7,0.01876675603217158,0.3888888888888889,4,0.022222222222222223,0.007476635514018692,14,0.02531645569620253,0.02531645569620253
7,0.0,0.0,0,0,209,4,0.0,0.0,0,0,90,1,0.0,0.0,0,0,90,2,0.0,0.0,0,0,210,0,0.0,0.0,0,0,6,0,0.027777777777777776,10,0.0273972602739726,0.47619047619047616,3,0.017142857142857144,0.005780346820809248,15,0.027777777777777776,0.027777777777777776
8,0.0,0.0,0,0,209,4,0.0,0.0,0,0,90,0,0.0,0.0,0,0,90,2,0.0,0.0,0,0,210,0,0.0,0.0,0,0,6,1,0.027881040892193308,10,0.03048780487804878,0.47619047619047616,3,0.014285714285714285,0.005802707930367505,15,0.027881040892193308,0.027881040892193308
9,0.0,0.0,0,0,209,4,0.0,0.0,0,0,110,0,0.0,0.0,0,0,110,2,0.0,0.0,0,0,210,0,0.0,0.0,0,0,6,1,0.028089887640449437,11,0.03426791277258567,0.5238095238095238,3,0.014084507042253521,0.005847953216374269,15,0.028089887640449437,0.028089887640449437
10,0.0,0.0,0,1,238,3,0.0,0.0,0,1,109,0,0.0,0.0,0,0,110,2,0.0,0.0,0,0,240,0,0.0,0.0,0,0,2,0,0.028622540250447227,11,0.034482758620689655,0.44,2,0.008333333333333333,0.003745318352059925,16,0.028622540250447227,0.028622540250447227
11,0.0,0.0,0,1,208,2,0.0,0.0,0,1,71,0,0.0,0.0,0,0,72,0,0.0,0.0,0,0,210,0,0.0,0.0,0,0,12,1,0.027675276752767528,9,0.029605263157894735,0.36,4,0.01680672268907563,0.007736943907156673,15,0.027675276752767528,0.027675276752767528
