Graph Number,Average Node Degree,Unique Degree Count,Degree Centrality,Assortivity Coefficient,Clustering Coefficient,Density,Number of Weakly Connected Components,Number of Strongly Connected Components,Number of Nodes,Number of Edges,Eigenvalue_1,Eigenvalue_2,Eigenvalue_3,Eigenvalue_4,Eigenvalue_5,Kernel Distance
0,-0.3364928909952607,-2,-0.00019946229460299962,0.20086041459096698,-0.057233077323128836,-9.973114730149992e-05,154,122,0,-284,78711142.9506736,-63678657.301625736,-63678653.67092482,24323083.764718734,24323080.395369068,16317867.857142868
0,-0.3472706155632985,0,-0.00020178420427849992,0.26237706222570384,-0.04979354603740421,-0.00010089210213925002,160,131,0,-299,-4.100958671804261,1.994355191086676,1.994355191086676,-1.879385241571819,-1.6180339887498982,49227709.23809524
0,-0.3572296476306198,1,-0.00021716088001861374,0.2337739438916417,-0.04988663773247086,-0.00010858044000930692,167,127,0,-294,-4.248348351577383,2.3209252923557653,1.8756782292497458,-1.6180339887498978,-1.6180339887498951,94515015.47619046
0,-0.33374384236453203,0,-0.0002056339139645916,0.3087636971724747,-0.045595263329964615,-0.0001028169569822957,147,121,0,-271,-4.213275977670173,2.7483521981047727,-1.618033988749898,1.4839580980642937,-1.4142135623730994,87417095.04761913
0,-0.6491050320837555,-1,-0.0002192922405688364,0.3703000317478643,-0.03313625939710451,-0.00010964612028441814,759,137,0,-961,-4.585966801319405,3.170786722326114,-1.6180339887499005,1.4303043691413009,1.4142135623731003,32703844035.9048
0,-0.6645264847512038,-3,-0.00021339964185973135,0.37260428024406056,-0.033766591263725915,-0.00010669982092986573,781,135,0,-1035,-4.705004732900588,3.5383055400665073,-1.618033988749903,1.4142135623731,-1.4142135623730998,32945424478.71432
0,-0.6420563303254032,-7,-0.00017561715818528533,0.3124676083203567,-0.04017458030455215,-8.780857909264269e-05,741,120,0,-1174,-4.676296833193555,3.7670655886659983,-1.3247179572447476,1.079582333784815,-1.0261323204133386,33093076892.666702
0,-0.651625033575074,-10,-0.00017507389402876783,0.3342998420352049,-0.04016912478188453,-8.753694701438394e-05,700,116,0,-1213,-4.395217915125375,3.238964555852522,-1.3247179572447514,1.1235313855731863,1.0000000000000033,33090455762.238132
0,-0.6596263200649879,-9,-0.00017866368365790564,0.34984051714492376,-0.03895063504474672,-8.933184182895285e-05,703,103,0,-1218,-4.20064730137247,3.2529703569295076,1.414213562373096,-1.4142135623730938,-1.3247179572447458,33057207777.33337
0,-0.647361299052774,-9,-0.00017524669709062648,0.305122495378351,-0.03798699221059701,-8.762334854531321e-05,682,89,0,-1196,-3.9893102317824862,3.166521681286194,-1.414213562373099,1.4142135623730985,-1.3247179572447467,33021669133.047653
0,-0.6531932093775263,-10,-0.00017606285967049234,0.34064988913177097,-0.0359369064302954,-8.803142983524612e-05,696,83,0,-1212,-3.878695663463179,3.1506575518995086,1.4142135623730976,-1.4142135623730974,-1.414213562373094,33017056152.095276
0,-0.37148217636022496,-8,-0.00013944526139648088,0.2726800607942319,-0.008042785852804083,-6.972263069824044e-05,363,66,0,-495,-3.6252651353724765,2.9862030048835186,-1.414213562373094,-1.414213562373094,1.414213562373094,88690567.47619057
0,-0.381691867592971,-7,-0.0001560473702342483,0.3284607097459108,-0.009167944459409222,-7.802368511712409e-05,338,63,0,-467,-3.4612265736325387,2.9247692194913903,1.414213562373101,-1.4142135623730974,1.4142135623730945,56325960.95238101
0,-0.37771739130434767,-4,-0.00025677592882688486,0.21330850958314568,-0.009692864486132045,-0.00012838796441344243,180,42,0,-278,-2.9169700725394128,2.4943599025660443,1.4142135623730967,-1.414213562373096,1.4142135623730951,13378071.2857143
0,-0.3503902862098871,-2,-0.0003041582345571939,0.22588491977625968,-0.011449734750562343,-0.00015207911727859683,115,38,0,-202,-2.7163298040342636,2.3096222037959837,-1.414213562373098,1.414213562373092,1.0000000000000027,9242385.00000001
0,-0.31743119266055064,-1,-0.00029148869849453664,0.21421727087619466,-0.00660736709675799,-0.00014574434924726832,99,33,0,-173,-2.537216194688061,2.042312749646741,-1.000000000000002,-1.0000000000000016,1.0000000000000013,8076358.095238104
0,-0.34799608993157394,0,-0.0003405049803635752,0.14437309136481946,-0.007040978110410317,-0.0001702524901817876,114,28,0,-178,-2.347173448559073,1.6984282450817183,1.000000000000001,-1.0000000000000009,1.0000000000000009,7108557.714285722
