Graph Number,Average Node Degree,Unique Degree Count,Degree Centrality,Assortivity Coefficient,Clustering Coefficient,Density,Number of Weakly Connected Components,Number of Strongly Connected Components,Number of Nodes,Number of Edges,Eigenvalue_1,Eigenvalue_2,Eigenvalue_3,Eigenvalue_4,Eigenvalue_5
0,1.7381516587677726,11,0.0010303210781077486,-0.17703332325644658,0.057233077323128836,0.0005151605390538745,353,1562,1688,1467,3.867001060803653,1.879385241571818,-1.7513156763713438,-1.7513156763713438,1.6180339887499036
1,1.7259001161440186,11,0.0010028472493573612,-0.1837257012508736,0.049900011387772,0.0005014236246786806,377,1591,1722,1486,4.100958671804261,-1.994355191086676,-1.994355191086676,1.879385241571819,1.6180339887498982
2,1.6913730255164034,9,0.0010281902890677225,-0.19070541673680336,0.05116245790258021,0.0005140951445338612,383,1519,1646,1392,4.248348351577383,-2.3209252923557653,-1.8756782292497458,1.6180339887498978,1.6180339887498951
3,1.6748768472906403,10,0.0010319635534754407,-0.18896792617263028,0.045595263329964615,0.0005159817767377204,391,1503,1624,1360,4.213275977670173,-2.7483521981047727,1.618033988749898,-1.4839580980642937,1.4142135623730994
4,1.8770685579196218,11,0.0006341447830809534,-0.36566557856074816,0.03313625939710451,0.00031707239154047664,384,2824,2961,2779,4.585966801319405,-3.170786722326114,1.6180339887499005,-1.4303043691413009,-1.4142135623731003
5,1.8818619582664526,12,0.0006043230437592974,-0.3477896698360414,0.033766591263725915,0.00030216152187964877,439,2980,3115,2931,4.705004732900588,-3.5383055400665073,1.618033988749903,-1.4142135623731,1.4142135623730998
6,1.8900738310090237,17,0.0005169786189849628,-0.3005328174343255,0.04017458030455215,0.0002584893094924814,634,3537,3657,3456,4.676296833193555,-3.7670655886659983,1.3247179572447476,-1.079582333784815,1.0261323204133386
7,1.9118990061778136,20,0.000513675176297102,-0.29788671269707007,0.04016912478188453,0.000256837588148551,677,3607,3723,3559,4.395217915125375,-3.238964555852522,1.3247179572447514,-1.1235313855731863,-1.0000000000000033
8,1.9063092336853507,19,0.0005163351120491198,-0.295063244591621,0.03895063504474672,0.00025816755602455996,688,3590,3693,3520,4.20064730137247,-3.2529703569295076,-1.414213562373096,1.4142135623730938,1.3247179572447458
9,1.902571041948579,19,0.0005150435955464481,-0.28986582545694584,0.03798699221059701,0.00025752179777322403,694,3606,3695,3515,3.9893102317824862,-3.166521681286194,1.414213562373099,-1.4142135623730985,1.3247179572447467
10,1.8943680948531394,19,0.0005106113463216011,-0.2868462097722938,0.0359369064302954,0.0002553056731608004,712,3628,3711,3515,3.878695663463179,-3.1506575518995086,-1.4142135623730976,1.4142135623730974,1.414213562373094
11,1.5009380863039399,17,0.0005634151975615391,-0.238991470739211,0.008042785852804083,0.0002817075987807695,797,2599,2665,2000,3.6252651353724765,-2.9862030048835186,1.414213562373094,1.414213562373094,-1.414213562373094
12,1.4997956681651001,16,0.0006131625789718316,-0.24532693023050403,0.009167944459409222,0.0003065812894859158,741,2384,2447,1835,3.4612265736325387,-2.9247692194913903,-1.414213562373101,1.4142135623730974,-1.4142135623730945
13,1.497282608695652,13,0.001017867171105134,-0.21418247471860435,0.009692864486132045,0.000508933585552567,468,1430,1472,1102,2.9169700725394128,-2.4943599025660443,-1.4142135623730967,1.414213562373096,-1.4142135623730951
14,1.4917606244579358,10,0.0012949310976197361,-0.16265081533501932,0.011449734750562343,0.000647465548809868,380,1115,1153,860,2.7163298040342636,-2.3096222037959837,1.414213562373098,-1.414213562373092,-1.0000000000000027
15,1.4678899082568808,10,0.0013479246173157765,-0.15406199496180623,0.00660736709675799,0.0006739623086578883,364,1057,1090,800,2.537216194688061,-2.042312749646741,1.000000000000002,1.0000000000000016,-1.0000000000000013
16,1.4545454545454546,9,0.0014232342999466287,-0.14561841778437676,0.007040978110410317,0.0007116171499733144,343,995,1023,744,2.347173448559073,-1.6984282450817183,-1.000000000000001,1.0000000000000009,-1.0000000000000009
17,1.4404761904761905,8,0.0014304629498273986,-0.15329274796521133,0.004464938006593106,0.0007152314749136994,339,989,1008,726,1.9024173955149195,-1.4679248093276616,1.0000000000000002,-1.0000000000000002,1.0
18,1.4501452081316555,9,0.0014051794652438524,-0.1547112751899537,0.008972253042936983,0.000702589732621926,342,1010,1033,749,1.969779925929926,1.000000000000001,-1.0000000000000007,1.0000000000000004,-1.0000000000000004
