Graph Number,Average Node Degree,Unique Degree Count,Degree Centrality,Assortivity Coefficient,Clustering Coefficient,Density,Number of Weakly Connected Components,Number of Strongly Connected Components,Number of Nodes,Number of Edges,Eigenvalue_1,Eigenvalue_2,Eigenvalue_3,Eigenvalue_4,Eigenvalue_5
2,1.6913730255164034,9,0.0010281902890677225,-0.19070541673680336,0.05116245790258021,0.0005140951445338612,383,1519,1646,1392,4.2483483515773965,-2.3209252923557595,-1.875678229249745,1.6180339887499031,1.6180339887498951
3,1.6748768472906403,10,0.0010319635534754407,-0.18896792617263028,0.04559526332996461,0.0005159817767377204,391,1503,1624,1360,4.213275977670167,-2.7483521981047674,1.618033988749894,-1.4839580980642841,1.4142135623730987
4,1.8770685579196218,11,0.0006341447830809534,-0.36566557856074816,0.03313625939710452,0.00031707239154047664,384,2824,2961,2779,4.585966801319412,-3.170786722326112,1.6180339887498958,-1.430304369141301,-1.4142135623731016
5,1.8818619582664526,12,0.0006043230437592974,-0.3477896698360414,0.033766591263725915,0.00030216152187964877,439,2980,3115,2931,4.7050047329005835,-3.538305540066506,1.6180339887498936,1.4142135623730947,-1.4142135623730945
6,1.8900738310090237,17,0.0005169786189849628,-0.3005328174343255,0.040174580304552156,0.0002584893094924814,634,3537,3657,3456,4.6762968331935655,-3.767065588665999,1.324717957244748,-1.0795823337848092,1.0261323204133377
7,1.9118990061778136,20,0.000513675176297102,-0.29788671269707007,0.04016912478188455,0.000256837588148551,677,3607,3723,3559,4.395217915125361,-3.238964555852525,1.3247179572447485,-1.123531385573185,1.0000000000000022
8,1.9063092336853507,19,0.0005163351120491198,-0.295063244591621,0.03895063504474673,0.00025816755602455996,688,3590,3693,3520,4.200647301372475,-3.25297035692951,-1.4142135623730951,1.4142135623730938,1.3247179572447452
9,1.902571041948579,19,0.0005150435955464481,-0.28986582545694584,0.03798699221059702,0.00025752179777322403,694,3606,3695,3515,3.9893102317824907,-3.1665216812861914,-1.4142135623730967,1.414213562373095,1.3247179572447432
10,1.8943680948531394,19,0.0005106113463216011,-0.2868462097722938,0.03593690643029541,0.0002553056731608004,712,3628,3711,3515,3.8786956634631844,-3.1506575518995037,1.414213562373099,-1.4142135623730963,1.4142135623730954
11,1.5009380863039399,17,0.0005634151975615391,-0.238991470739211,0.008042785852804083,0.0002817075987807695,797,2599,2665,2000,3.625265135372477,-2.986203004883515,-1.4142135623730976,1.4142135623730958,1.4142135623730951
12,1.4997956681651001,16,0.0006131625789718316,-0.24532693023050403,0.009167944459409222,0.0003065812894859158,741,2384,2447,1835,3.461226573632535,-2.9247692194913903,-1.4142135623730974,1.414213562373097,-1.4142135623730954
13,1.497282608695652,13,0.001017867171105134,-0.21418247471860435,0.009692864486132045,0.000508933585552567,468,1430,1472,1102,2.9169700725394243,-2.4943599025660523,-1.414213562373099,1.4142135623730967,-1.4142135623730945
14,1.4917606244579358,10,0.0012949310976197361,-0.16265081533501932,0.011449734750562345,0.000647465548809868,380,1115,1153,860,2.716329804034262,-2.3096222037959815,-1.4142135623730976,1.4142135623730936,1.000000000000004
15,1.4678899082568808,10,0.0013479246173157765,-0.15406199496180623,0.006607367096757991,0.0006739623086578883,364,1057,1090,800,2.5372161946880647,-2.042312749646743,-1.0000000000000013,1.0000000000000009,-1.0000000000000009
16,1.4545454545454546,9,0.0014232342999466287,-0.14561841778437676,0.007040978110410318,0.0007116171499733144,343,995,1023,744,2.347173448559075,-1.6984282450817163,-1.0000000000000009,-1.0000000000000007,1.0000000000000007
17,1.4404761904761905,8,0.0014304629498273986,-0.15329274796521133,0.004464938006593105,0.0007152314749136994,339,989,1008,726,1.9024173955149144,-1.4679248093276596,-1.0000000000000002,1.0,-1.0
