Graph Number,precision overall,recall overall,tp_overall,fp_overall,tn_overall,fn_overall,precision oo,recall oo,tp_oo,fp_oo,tn_oo,fn_oo,precision oon,recall oon,tp_oon,fp_oon,tn_oon,fn_oon,precision on,recall on,tp_on,fp_on,tn_on,fn_on,precision nn,recall nn,tp_nn,fp_nn,tn_nn,fn_nn,Correct Node IDs,Correct Old Node IDs,Precision Old IDs,Recall Old IDs,Correct New Node IDs,Precision New IDs,Recall New IDs,Correct Overall IDs,Precision Overall IDs,Recall Overall IDs
0,0.0,0.0,0,0,4,2,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,6,0,0.0,0.0,0,0,4,2,0.0009115770282588879,0,0.0,0.0,3,0.0009115770282588879,0.0009115770282588879,3,0.0009115770282588879,0.0009115770282588879
1,0.0,0.0,0,0,10,2,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,11,1,0.0,0.0,0,0,0,0,0.0011344299489506524,1,0.0005299417064122947,1.0,1,0.0006101281269066504,0.00028368794326241134,4,0.0011344299489506524,0.0011344299489506524
2,0.0,0.0,0,0,10,2,0.0,0.0,0,0,2,0,0.0,0.0,0,0,2,0,0.0,0.0,0,0,11,1,0.0,0.0,0,0,0,0,0.001103448275862069,2,0.0008718395815170009,1.0,0,0.0,0.0,4,0.001103448275862069,0.001103448275862069
3,0.0,0.0,0,0,10,2,0.0,0.0,0,0,2,0,0.0,0.0,0,0,2,0,0.0,0.0,0,0,11,1,0.0,0.0,0,0,0,0,0.0010542962572482868,2,0.0007651109410864575,1.0,0,0.0,0.0,4,0.0010542962572482868,0.0010542962572482868
4,0.0,0.0,0,0,28,2,0.0,0.0,0,0,2,0,0.0,0.0,0,0,2,0,0.0,0.0,0,0,29,1,0.0,0.0,0,0,2,0,0.0019274012206874397,2,0.0008964589870013447,1.0,2,0.0022675736961451248,0.0006428801028608164,6,0.0019274012206874397,0.0019274012206874397
5,0.0,0.0,0,0,12,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,12,0,0.0,0.0,0,0,6,0,0.0016891891891891893,1,0.0005780346820809249,0.5,3,0.004702194357366771,0.001267962806424345,4,0.0016891891891891893,0.0016891891891891893
6,0.0,0.0,0,0,2,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,2,0,0.0,0.0,0,0,2,0,0.000984251968503937,0,0.0,0.0,2,0.004219409282700422,0.0009852216748768472,2,0.000984251968503937,0.000984251968503937
7,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.000550357732526142,1,0.0007037297677691766,0.3333333333333333,0,0.0,0.0,1,0.000550357732526142,0.000550357732526142
8,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
9,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0006333122229259025,0,0.0,0.0,1,0.003048780487804878,0.0006341154090044388,1,0.0006333122229259025,0.0006333122229259025
