Graph Number,Average Node Degree,Unique Degree Count,Degree Centrality,Assortivity Coefficient,Clustering Coefficient,Density,Number of Weakly Connected Components,Number of Strongly Connected Components,Number of Nodes,Number of Edges,Eigenvalue_1,Eigenvalue_2,Eigenvalue_3,Eigenvalue_4,Eigenvalue_5,Kernel Distance
0,-0.418848167539267,-4,-0.0010993390224127743,0.23568016729779157,-0.015384906969510745,-0.0005496695112063871,49,27,0,-80,1226219566161.4248,-613109783078.5726,-613109783081.4908,-1.4142135623730951,-1.0000000000000007,336973.42857142887
0,-0.37590361445783116,-2,-0.000907979745067226,0.25735585317263343,-0.014303047279718708,-0.00045398987253361276,46,30,0,-78,-4.384980182587383,4.332340926921474,-1.414213562373096,1.414213562373094,1.0000000000000002,343538.0476190479
0,-0.5255474452554745,-2,-0.000960781435567595,0.30452795145332756,-0.017212253082023066,-0.0004803907177837975,108,28,0,-144,370623628965.3879,-185311814480.49545,-185311814486.3566,1.4142135623730963,-1.0000000000000009,8536829.38095239
0,-0.5253940455341506,-2,-0.0009217439395335972,0.3933376450713086,-0.013426915406430347,-0.00046087196976679883,138,8,0,-150,1.4142135623730951,-1.414213562373095,-1.0,1.0,-1.0,34437002.476190515
0,-0.647359454855196,-2,-0.0011047089673296856,0.40407053863379905,-0.009653681368748125,-0.0005523544836648429,177,7,0,-190,-1.0,1.0,-1.0,1.0,-1.0,81180812.66666676
0,-0.653125,-3,-0.0010221048513302032,0.5562328277780771,-0.013802189892247626,-0.0005110524256651017,194,7,0,-209,-1.0,1.0,-1.0,1.0,-1.0,71125433.57142857
0,-0.6726190476190477,-2,-0.0010024128876587892,0.4757643408008304,-0.01959335462404659,-0.0005012064438293946,211,7,0,-226,-3167077763415.7344,3167077763415.734,-1.0,1.0,-1.0,12891269.333333343
0,-0.6875,-2,-0.000977951635846372,0.5485123202322382,-0.024384582163679554,-0.0004889758179231863,221,9,0,-242,-1.0,1.0,-1.0,1.0,-1.0,104755439.99999999
0,-0.7012278308321964,-2,-0.0009579615175303224,0.4942288530077127,-0.02023656692680483,-0.00047898075876516143,237,8,0,-257,-1.0,1.0,-1.0,1.0,-1.0,21778218.76190476
0,-0.6268656716417911,0,-0.0010413051023950015,0.38154636649718376,-0.012548462604956742,-0.0005206525511975008,174,4,0,-189,-1.0,1.0,-1.0,1.0,-1.0,94560884.47619048
0,-0.5062836624775582,4,-0.0009105821267581986,0.4183518406618732,-0.01149024738243106,-0.0004552910633790993,126,3,0,-141,-1.0,1.0,-1.0,1.0,-1.0,78394309.52380961
0,-0.5134099616858239,1,-0.000985431788264538,0.4166769662495552,-0.016092169810638785,-0.0004927158941322686,116,3,0,-134,-1.0,1.0,-1.0,1.0,-1.0,50581111.90476196
0,-0.587737843551797,-1,-0.0012452072956605875,0.3174862005842513,-0.00930246475817721,-0.0006226036478302935,124,2,0,-139,-1.0,1.0,-1.0,1.0,-1.0,37069973.7619048
0,-0.5307017543859649,1,-0.0011663774821669558,0.33645007116471737,-0.005482540143356169,-0.0005831887410834779,108,1,0,-121,-1.0,1.0,-1.0,0.0,0.0,27426004.5714286
0,-0.9079754601226995,1,-0.0013947395700809506,0.4394209531035249,-0.006901967825154647,-0.0006973697850404759,283,1,0,-296,-1.0,1.0,-1.0,0.0,0.0,41009765.80952386
0,-0.7220447284345048,0,-0.0011552715654952073,0.5636262134579575,-0.005857446303610962,-0.0005776357827476038,215,1,0,-226,-1.0,1.0,-1.0,0.0,0.0,35614336.52380956
0,-0.7295373665480427,-1,-0.0013004231132763683,0.7301159992378944,-0.006346623960104404,-0.0006502115566381842,202,-2,0,-205,2157677088004.0334,-1787231479211.1504,-370445608793.8827,0.0,0.0,26356904.428571455
0,-0.751908396946565,-2,-0.001437683359362456,0.6201449816268544,-0.007633916027908418,-0.0007188416796812284,192,0,0,-197,0.0,0.0,0.0,0.0,0.0,23116080.71428574
0,-0.7445544554455445,-2,-0.0014772905862014771,0.7145121214230137,-0.007921182150717779,-0.0007386452931007388,184,0,0,-188,0.0,0.0,0.0,0.0,0.0,21804117.4761905
0,-0.700787401574803,-1,-0.0013822236717451744,0.5688096975495145,-0.0078744711040197,-0.000691111835872587,173,0,0,-178,0.0,0.0,0.0,0.0,0.0,20710010.42857145
0,-0.8979591836734694,1,-0.0015297430726975633,0.6548679985932314,-0.003401583555006057,-0.0007648715363487813,259,0,0,-264,0.0,0.0,0.0,0.0,0.0,88748296.38095248
0,-0.6259946949602122,0,-0.001664879507872905,0.5064322058790782,0.0,-0.0008324397539364525,117,0,0,-118,0.0,0.0,0.0,0.0,0.0,2995208.4761904795
0,-0.6075949367088607,1,-0.0015421191287026924,0.6313226093338599,0.0,-0.0007710595643513464,118,0,0,-120,0.0,0.0,0.0,0.0,0.0,3131433.619047622
0,-0.5953488372093023,1,-0.0013877595272944092,0.7384216251297707,-0.010853507977130987,-0.0006938797636472055,122,1,0,-128,-1.0,1.0,-1.0,0.0,0.0,4115047.1904761945
0,-0.5733634311512414,1,-0.0012972023329213605,0.5478695244147386,-0.01053492238833961,-0.0006486011664606805,121,1,0,-127,-1.0,1.0,-1.0,-1.0,0.0,4944800.142857148
0,-0.5652173913043477,1,-0.0012314104385715637,0.48939605537514097,-0.010145617448337082,-0.0006157052192857818,124,1,0,-130,-1.0,1.0,-1.0,-1.0,0.0,4623668.714285719
0,-0.5675675675675675,1,-0.0012811908974437194,0.4907091129940905,-0.0060064966927712024,-0.0006405954487218595,118,1,0,-126,-1.0,1.0,-1.0,-1.0,0.0,4426869.761904767
0,-0.39639639639639634,5,-0.001193965049386736,0.26679933011720436,-0.010957046310902229,-0.000596982524693368,59,-1,0,-66,1862583958116.2683,-931291979057.6339,-931291979059.6339,-1.0,-1.0,3634322.8095238134
0,-0.48048048048048053,2,-0.0014472303628930128,0.2608317128387639,-0.015015328121365032,-0.0007236151814465068,73,2,0,-80,-1.3247179572447454,-1.0,-1.0,-1.0,0.6623589786223729,3754056.0476190513
0,-0.4606060606060607,2,-0.001400018421295017,0.20075612183448344,-0.00909090909090909,-0.0007000092106475087,70,2,0,-76,-1.324717957244746,-1.0,-1.0,-1.0,0.6623589786223731,3263047.809523813
0,-0.4322580645161289,3,-0.0013988934126735577,0.27361345212313093,-0.00967741935483871,-0.0006994467063367784,61,2,0,-67,-1.324717957244746,-1.0,-1.0,0.6623589786223731,0.6623589786223731,2891928.952380955
0,-0.44067796610169485,3,-0.0014989046466044051,0.24962743549929275,-0.016949582997040625,-0.0007494523233022021,60,2,0,-65,-1.3247179572447454,-1.0,0.6623589786223729,0.6623589786223729,0.0,2543877.2857142887
0,-0.49295774647887325,2,-0.0017419001642363027,0.19184435839877223,-0.01760602894665716,-0.0008709500821181505,66,2,0,-70,-1.3247179572447454,-1.0,0.6623589786223729,0.6623589786223729,0.0,3250171.523809527
0,-0.48299319727891166,1,-0.0016484409463444075,0.1553793485423723,-0.01020408163265306,-0.0008242204731722037,63,2,0,-71,-1.324717957244747,-1.0,0.6623589786223731,0.6623589786223731,0.0,3547039.809523813
0,-0.5192982456140351,-1,-0.0018285149493451926,0.46976911971825347,0.007142857142857143,-0.0009142574746725972,68,1,0,-74,-1.0,1.0,0.0,0.0,0.0,3060714.0000000033
0,-0.5092250922509225,0,-0.0018860188601886006,0.3312884178314891,0.0,-0.0009430094300943012,62,0,0,-69,0.0,0.0,0.0,0.0,0.0,2459635.5238095266
0,-0.5275590551181102,1,-0.0020852136565933186,0.19957346821668914,0.0,-0.0010426068282966606,60,0,0,-67,0.0,0.0,0.0,0.0,0.0,2015873.3333333354
0,-0.544,0,-0.002184738955823294,0.6110338502130825,0.0,-0.0010923694779116466,61,0,0,-68,0.0,0.0,0.0,0.0,0.0,2080064.9523809545
0,-0.4768211920529801,0,-0.0015841235616378072,0.23526609322184744,0.0,-0.000792061780818904,63,2,0,-72,-1.0,1.0,-1.0,1.0,0.0,2871841.6190476217
0,-0.5698630136986302,1,-0.001565557729941291,0.27081445757399264,-0.001643835616438356,-0.0007827788649706459,90,5,0,-104,-1.0000000000000004,-1.0000000000000004,1.0000000000000002,1.0000000000000002,-1.0,8739867.476190485
0,-0.5459459459459459,2,-0.0014795283087966006,0.2206471872162658,-0.007027185822720488,-0.0007397641543983007,90,5,0,-101,1.0000000089878023,-1.0000000082047036,-1.0,1.0,-1.0,11686939.761904774
0,-0.5855855855855856,-1,-0.0013218636243466945,0.17212922943014575,-0.01636646518836857,-0.0006609318121733473,117,5,0,-130,-1.0000034855691073,1.0000000000000007,1.0,1.0,1.0,20907857.4761905
0,-0.5825242718446602,0,-0.0008090614886731389,0.14809305717948654,-0.02163675603607757,-0.00040453074433656944,186,7,0,-210,1.0000029069801144,1.0000029069801144,-1.0000012244959968,-1.0000012244959968,1.0000000000000004,98088033.14285725
0,-0.522343594836147,2,-0.0005192282254832478,0.13206853834689725,-0.020622398568483292,-0.0002596141127416237,226,14,0,-263,1.0000000082593445,-1.0000000000000004,-1.0000000000000004,-1.0,1.0,8215016.380952382
0,-0.5201465201465201,0,-0.0004767612466970849,0.20789033786895486,-0.02970094974885394,-0.00023838062334854266,237,18,0,-284,1.000004701645367,-1.000004219462528,1.0000000000000004,-1.0000000000000004,1.0000000000000002,627153451.2857149
0,-0.5405405405405406,0,-0.00047167586434602115,0.20485586441698697,-0.02714337662903092,-0.00023583793217301068,263,17,0,-310,-1.0,1.0,-1.0,1.0,-1.0,903956242.7142867
0,-0.540722082283795,1,-0.00045438830444016406,0.19472052565819437,-0.022782061150101965,-0.00022719415222008192,278,16,0,-322,-1.0,1.0,-1.0,1.0,-1.0,993053232.6190487
0,-0.5615686274509804,1,-0.00044079170129590313,0.20848550194947604,-0.02245759996521186,-0.00022039585064795146,308,19,0,-358,-1.0,1.0,-1.0,1.0,-1.0,1405087740.3809538
0,-0.5397324940991344,1,-0.00042498621582609053,0.19966772482743125,-0.02252827070541755,-0.00021249310791304505,289,20,0,-343,-1.0,1.0,-1.0,1.0,-1.0,1638671271.523811
0,-0.6145922746781116,-1,-0.0005280002359777591,0.17333861885974358,-0.023891344819259308,-0.00026400011798887954,319,12,0,-358,-1.0000000088198302,1.000000000000001,-1.0000000000000009,1.0000000000000007,1.0000000000000004,1470340057.0952396
0,-0.6332046332046333,0,-0.0006117919161397417,0.20441580483539448,-0.018983325684023538,-0.0003058959580698711,298,8,0,-328,-1.0,1.0,-1.0,1.0,-1.0,1157301252.857144
0,-0.7939053728949479,-1,-0.0006371632206219486,0.1929880693169152,-0.03375726510730046,-0.00031858161031097425,444,9,0,-495,-1.0,-1.0,1.0,-1.0,1.0,3775063156.619052
0,-0.7805907172995779,1,-0.0005493249242080074,0.24682934674520152,-0.02878243179676927,-0.00027466246210400356,493,13,0,-555,1.414213562373096,-1.4142135623730945,1.0000000000000007,-1.0,-1.0,8094887891.285723
0,-0.7124528301886794,1,-0.0005381063672119935,0.256161276571281,-0.030889528571530326,-0.0002690531836059967,410,13,0,-472,-1.0000000000000009,1.0000000000000007,-1.0000000000000004,-1.0000000000000002,-1.0000000000000002,6041975845.33334
0,-0.7051177904142973,2,-0.0005732664962717867,0.25878811950331704,-0.028432213486618747,-0.00028663324813589324,379,14,0,-434,-1.0,-1.0,1.0,-1.0,1.0,4299080798.428576
0,-0.7123287671232876,-1,-0.000610393116643777,0.282428842607155,-0.024686121700746036,-0.0003051965583218884,368,10,0,-416,-1.0,1.0,-1.0,1.0,-1.0,3161438306.1904798
0,-0.6660516605166051,-1,-0.0006150061500615005,0.20867668678385876,-0.02659908406856737,-0.00030750307503075026,322,12,0,-361,-1.0,1.0,-1.0,1.0,-1.0,1874114358.09524
0,-0.5889447236180905,2,-0.0005924997219497888,0.2184902925507733,-0.04597371854796838,-0.0002962498609748946,235,37,0,-293,-3.0379606237613066,1.5189803118806557,1.5189803118806557,-1.0000000000000004,1.0000000000000002,896119807.8571439
0,-0.45401629802095456,2,-0.0005291565244999468,0.15180120400492883,-0.030746106169014836,-0.0002645782622499736,147,42,0,-195,-3.0379606237613093,1.5189803118806555,1.5189803118806555,-1.0000000000000027,1.0000000000000018,69455614.85714294
0,-0.12756264236902037,0,-0.0001454534120513345,0.11260169633105654,-0.027465203319417444,-7.272670602566735e-05,11,43,0,-56,-2.8371386686239264,1.4185693343119619,1.4185693343119619,-1.324717957244746,-1.0000000000000009,9941.619047619055
0,-0.11775878442545107,-1,-0.0001119380080089839,-0.017232228436871166,-0.020077665124898593,-5.5969004004492056e-05,19,41,0,-62,-2.70081430897735,1.3504071544886744,1.3504071544886744,-1.3247179572447454,-1.0,5612.428571428576
0,-0.11586901763224167,-1,-9.736892238003511e-05,-0.06923616837560553,-0.01023841817292699,-4.8684461190017555e-05,36,30,0,-69,-1.904160859134922,-1.3247179572447445,1.0000000000000029,1.0000000000000009,-1.0000000000000007,4526.333333333337
0,-0.10928143712574867,0,-8.185875440130973e-05,-0.03621590433450407,-0.0062375249500998,-4.092937720065487e-05,40,31,0,-73,-1.3247179572447454,-1.0,1.0,-1.0,1.0,4481.19047619048
0,-0.1065313887127457,0,-6.759605882788414e-05,-0.00025529541948428325,-0.009936981126085369,-3.379802941394218e-05,38,45,0,-84,-1.3247179572447474,-1.2207440846057613,-1.0000000000000013,-1.000000000000001,1.0000000000000009,7775.285714285721
0,-0.11408199643493777,0,-6.782520596607458e-05,0.05638639135046847,-0.01347008377137502,-3.3912602983037345e-05,49,48,0,-96,-1.5396133460819752,-1.3247179572447463,-1.3247179572447454,-1.0000000000000029,-1.0000000000000013,32676.142857142888
