Graph Number,Average Node Degree,Unique Degree Count,Degree Centrality,Assortivity Coefficient,Clustering Coefficient,Density,Number of Weakly Connected Components,Number of Strongly Connected Components,Number of Nodes,Number of Edges,Eigenvalue_1,Eigenvalue_2,Eigenvalue_3,Eigenvalue_4,Eigenvalue_5
0,1.7643979057591623,12,0.004630965631913812,-0.1460241856048199,0.018439008191151234,0.002315482815956906,79,353,382,337,4.384980182587385,-4.3323409269214785,-1.4142135623730965,1.4142135623730951,1.0000000000000007
1,1.7734939759036144,12,0.00428380187416332,-0.13811618091799047,0.014616682774077093,0.00214190093708166,83,385,415,368,4.384980182587383,-4.332340926921474,1.414213562373096,-1.414213562373094,-1.0000000000000002
2,1.8795620437956204,14,0.0034361280508146625,-0.35503980477894004,0.017391969958820235,0.0017180640254073312,76,518,548,515,4.496929392452444,-4.446923140107519,1.4142135623730967,-1.4142135623730963,1.0000000000000009
3,1.7057793345008756,11,0.002992595323685747,-0.3869128677652837,0.013426915406430347,0.0014962976618428734,98,563,571,487,-1.4142135623730951,1.414213562373095,1.0,-1.0,1.0
4,1.7751277683134583,10,0.003029228273572454,-0.4328316800625521,0.009653681368748125,0.0015146141367862272,79,580,587,521,1.0,-1.0,1.0,-1.0,1.0
5,1.790625,10,0.002802230046948357,-0.4420441834290736,0.013802189892247626,0.0014011150234741784,82,633,640,573,1.0,-1.0,1.0,-1.0,1.0
6,1.806547619047619,10,0.002692321339862323,-0.4099873687026515,0.01959335462404659,0.0013461606699311617,82,664,672,607,1.0,-1.0,1.0,-1.0,1.0
7,1.8409090909090908,10,0.0026186473554894603,-0.4084172761240641,0.024384582163679554,0.0013093236777447304,78,695,704,648,1.0,-1.0,1.0,-1.0,1.0
8,1.8362892223738063,9,0.002508591833843997,-0.38220358442692975,0.02023656692680483,0.0012542959169219987,80,725,733,673,1.0,-1.0,1.0,-1.0,1.0
9,1.7943615257048093,8,0.0029806669862206133,-0.3235280972854018,0.012548462604956742,0.0014903334931103066,77,599,603,541,1.0,-1.0,1.0,-1.0,1.0
10,1.7809694793536803,7,0.003203182516823166,-0.3383510384979226,0.01149024738243106,0.0016015912584115832,76,554,557,496,1.0,-1.0,1.0,-1.0,1.0
