Graph Number,precision overall,recall overall,tp_overall,fp_overall,tn_overall,fn_overall,precision oo,recall oo,tp_oo,fp_oo,tn_oo,fn_oo,precision oon,recall oon,tp_oon,fp_oon,tn_oon,fn_oon,precision on,recall on,tp_on,fp_on,tn_on,fn_on,precision nn,recall nn,tp_nn,fp_nn,tn_nn,fn_nn,Correct Node IDs,Correct Old Node IDs,Precision Old IDs,Recall Old IDs,Correct New Node IDs,Precision New IDs,Recall New IDs,Correct Overall IDs,Precision Overall IDs,Recall Overall IDs
2,0.125,0.01532567049808429,4,28,118392,257,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,32,118648,0,0.0,0.0,0,0,117776,217,0.6295620437956204,0,0.0,0.0,344,0.63003663003663,0.6277372262773723,345,0.6295620437956204,0.6295620437956204
3,0.02,0.007142857142857143,1,49,68718,139,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,44,68862,0,0.0,0.0,0,0,66699,124,0.46059544658493873,0,0.0,0.0,259,0.4649910233393178,0.45359019264448336,263,0.46059544658493873,0.46059544658493873
4,0.025,0.009900990099009901,1,39,51617,100,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,34,51722,0,0.0,0.0,0,0,49859,94,0.38841567291311757,0,0.0,0.0,224,0.3922942206654991,0.38160136286201024,228,0.38841567291311757,0.38841567291311757
5,0.02857142857142857,0.012048192771084338,1,34,45040,82,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,31,45125,0,0.0,0.0,0,0,43814,77,0.3328125,0,0.0,0.0,210,0.33762057877813506,0.328125,213,0.3328125,0.3328125
6,0.02857142857142857,0.022222222222222223,1,34,33228,44,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,27,33279,0,0.0,0.0,0,0,31113,40,0.27232142857142855,0,0.0,0.0,177,0.2714723926380368,0.26339285714285715,183,0.27232142857142855,0.27232142857142855
7,0.030303030303030304,0.03125,1,32,27993,31,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,25,28031,0,0.0,0.0,0,0,26056,27,0.23863636363636365,0,0.0,0.0,162,0.23718887262079064,0.23011363636363635,168,0.23863636363636365,0.23863636363636365
8,0.03225806451612903,0.037037037037037035,1,30,27334,26,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,23,27367,0,0.0,0.0,0,0,25419,22,0.22646657571623466,0,0.0,0.0,160,0.2250351617440225,0.21828103683492497,166,0.22646657571623466,0.22646657571623466
9,0.0,0.0,0,0,11107,23,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,11130,0,0.0,0.0,0,0,9879,21,0.175787728026534,0,0.0,0.0,100,0.1724137931034483,0.16583747927031509,106,0.175787728026534,0.175787728026534
10,0.0,0.0,0,15,6940,17,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,15,6957,0,0.0,0.0,0,0,5991,15,0.15080789946140036,0,0.0,0.0,78,0.14634146341463414,0.1400359066427289,84,0.15080789946140036,0.15080789946140036
11,0.0,0.0,0,0,4955,15,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,4970,0,0.0,0.0,0,0,4277,13,0.1360153256704981,0,0.0,0.0,66,0.13253012048192772,0.12643678160919541,71,0.1360153256704981,0.1360153256704981
