Graph Number,Average Node Degree,Unique Degree Count,Degree Centrality,Assortivity Coefficient,Clustering Coefficient,Density,Number of Weakly Connected Components,Number of Strongly Connected Components,Number of Nodes,Number of Edges,Eigenvalue_1,Eigenvalue_2,Eigenvalue_3,Eigenvalue_4,Eigenvalue_5,Kernel Distance
0,0.0,2,0.0,0.16260887785339329,0.04555043635425682,0.0,32,-4,0,0,7059701553329.771,-7011901535079.33,2334976814626.8896,-2334976814626.885,1398447504999.5396,11524627.190476201
0,0.0,6,0.0,0.17798301342314965,0.05197533384769147,0.0,71,-25,0,0,6103268016845.066,-5992735207694.165,3436661884409.074,-3436661884409.0737,-1533781377976.587,29884912.33333337
0,0.0,8,4.336808689942018e-19,0.25207364162960166,0.05711894784329567,0.0,78,-20,0,0,4332865845340.918,-4171480842597.1523,-2803345597016.8364,2803345597016.833,-2635151675433.59,75171169.85714294
0,0.0,12,0.0,0.27996703251410937,0.0588111361173702,0.0,120,-26,0,0,5791879651018.892,-5505449708304.821,1914550373533.3242,-1914550373533.3237,1911200737440.9084,134086534.80952395
0,0.0,12,8.673617379884035e-19,0.2927639006470037,0.03469426270864522,0.0,107,-18,0,0,4233863161020.1035,-2101851847642.2983,-2082441966440.8057,-2082441966438.8057,1670445268849.1416,210040381.6666669
0,0.0,6,8.673617379884035e-19,0.348225602951851,0.1079130775144419,0.0,128,-13,0,0,4659128219962.739,-3518220007693.383,3298870786721.2993,-3298870786721.2974,3020379089407.4404,300611872.2380955
0,0.0,9,8.673617379884035e-19,0.3990411000934432,0.14872101981481442,0.0,149,2,0,0,1991429636782.1423,-1502219596411.0725,-388384689085.597,-100825351285.47426,-0.9998136697056841,367549597.04761946
0,0.0,11,4.336808689942018e-19,0.08020829025369688,0.13568590567713448,0.0,122,-6,0,0,7768711995920.129,-6657408629183.605,-1111303366737.5403,0.9996664221025299,-1.0003335778974702,108531529.71428584
0,0.0,11,4.336808689942018e-19,0.12817049931887073,0.18541250701534676,0.0,158,-4,0,0,3777281334083.9204,-3605986106181.4995,319729223546.6817,-310832493655.42865,-180191957794.67453,72271609.90476198
0,0.0,12,-8.673617379884035e-19,0.2389887914397314,0.10850296569583984,0.0,97,1,0,0,4985375053639.028,-4675950459459.114,-309424594180.9136,1.0,-1.0,48870310.61904767
0,0.0,14,-8.673617379884035e-19,0.41670457649908443,0.06520444028726784,0.0,100,2,0,0,-1.0,1.0,-1.0,1.0,-1.0,36692490.6666667
0,0.0,17,8.673617379884035e-19,0.2748120253150019,0.013624438793865618,0.0,67,0,0,0,672441836583.38,-672441836583.3799,-1.0,0.0,0.0,27202882.76190479
0,0.0,15,8.673617379884035e-19,0.2575258835689264,0.02966005654260037,0.0,126,-4,0,0,5210644642048.895,-5210644642048.894,1900455222028.1584,-1900455222029.1577,-0.003848185913184122,24322374.04761907
0,0.0,15,0.0,0.5885203882548329,0.055557668866595716,0.0,142,-11,0,0,2387728605693.784,-1075255372766.2172,-1075255372768.2172,1035147872516.6396,-1035147872516.6394,34383703.857142895
0,0.0,16,1.3010426069826053e-18,0.5176944903399409,0.08187062211444726,0.0,136,-19,0,0,2227753025337.3096,-1674896515267.8037,-981533741593.8259,966414374960.479,-522088624676.052,25705037.142857168
0,0.0,14,0.0,0.6931393694159071,0.04814937653517193,0.0,125,-1,0,0,180415743569.3893,-180415743569.3893,0.0,0.0,0.0,22501390.380952407
0,0.0,16,0.0,0.7028019405545547,0.06655718761574891,0.0,111,-8,0,0,2121242087595.0217,-2121241591286.21,298344025133.6497,-237389478791.46054,-237389478791.46054,21534243.23809526
0,0.0,14,-8.673617379884035e-19,0.6843927001317628,0.07643255032846734,0.0,86,-2,0,0,2279632643363.9897,-2279632643363.989,-8.869171142578125e-05,0.0,0.0,20186030.666666687
0,0.0,18,0.0,0.4020056162056356,0.03627739115108187,0.0,93,-2,0,0,462155835851.1435,-462155835851.14343,192136197020.5716,-192136197020.5716,0.0,84559319.0952382
0,0.0,11,0.0,0.6214132294984543,0.0,0.0,19,0,0,0,0.0,0.0,0.0,0.0,0.0,1453619.0952380968
0,0.0,11,-8.673617379884035e-19,0.2836842508403572,0.023907911180996628,0.0,29,0,0,0,0.0,0.0,0.0,0.0,0.0,136966.04761904772
0,0.0,12,1.3010426069826053e-18,0.5864641744046045,0.013268144516509787,0.0,84,-1,0,0,-667639193925.0267,667639193925.0266,-248222372520.07657,248222372519.07654,0.0,200309.33333333343
0,0.0,17,8.673617379884035e-19,0.21161312997022402,0.051353743974583387,0.0,103,-5,0,0,1158795841334.2231,-1158795841334.2231,-283428376541.8931,283428376539.89307,0.0,4798965.666666672
0,0.0,13,4.336808689942018e-19,0.28051775740574175,-0.00035448166509690834,0.0,75,-4,0,0,1070172838287.3289,-535086419143.1642,-535086419145.1642,-340103959758.3823,340103959757.38226,1623220.3333333351
0,0.0,13,-8.673617379884035e-19,0.2627621325858579,-0.003723044409318919,0.0,46,-2,0,0,899179260724.8885,-899179260724.8883,-0.9999095797538757,-1.0,0.0,1675746.952380954
0,0.0,12,8.673617379884035e-19,0.157784130005075,-0.0011732819249176789,0.0,43,-3,0,0,2585716474920.8604,-2079463320713.4075,-506253154208.4556,-1.0002444915046547,-1.0000592415886729,3310289.66666667
0,0.0,15,1.734723475976807e-18,0.10323887606971557,-0.0019203988499651714,0.0,34,2,0,0,-1.3247179572447454,-1.0,-1.0,-1.0,0.6623589786223729,3690453.6190476227
0,0.0,10,0.0,0.4305011394321834,0.003161470440715247,0.0,33,1,0,0,1146410534713.3394,-1146410534715.664,-1.0,-1.0,0.6623589786223731,2917409.1904761936
0,0.0,13,0.0,-0.2868485733959685,0.004790324443025929,0.0,27,0,0,0,-972942519432.7843,972942519430.4595,-765043771511.2852,765043771510.9474,0.6623589786223731,2865536.6190476217
0,0.0,9,8.673617379884035e-19,0.29511433328700637,0.020634301074314357,0.0,14,1,0,0,217713992136.18478,-217713992138.5095,0.6623589786223729,0.6623589786223729,0.0,2370225.6666666693
0,0.0,12,-2.6020852139652106e-18,0.3195007383709985,-0.003339782817365673,0.0,30,1,0,0,-122766402511.70387,122766402509.37914,0.6623589786223729,0.6623589786223729,0.0,3164725.6190476227
0,0.0,9,-8.673617379884035e-19,0.24929420610248215,0.012871046703699545,0.0,14,2,0,0,-1.3247179572447465,-1.0,0.6623589786223725,0.6623589786223725,0.0,3491115.3333333367
0,0.0,12,0.0,-0.10400031004598392,0.010631562566547086,0.0,13,0,0,0,-1757362193436.6628,1757362193436.6626,0.0,0.0,0.0,3034832.2380952416
0,0.0,11,1.734723475976807e-18,0.09219555083318509,0.016463173972399065,0.0,17,-2,0,0,-17152242189050.588,17152242189050.586,4.8763681001882036e-05,0.0,0.0,2414895.190476193
0,0.0,7,2.6020852139652106e-18,0.3417555682100245,0.008087906565807067,0.0,5,0,0,0,0.0,0.0,0.0,0.0,0.0,1971866.1428571448
0,0.0,8,-8.673617379884035e-19,0.17072117968418968,0.012664935064935065,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2045681.6666666688
0,0.0,11,0.0,-0.15687264125092448,0.013581053955851486,0.0,29,0,0,0,14781435664546.332,-14781435664546.332,-5455818226662.336,5455818226662.334,0.0,2813583.6666666693
