Graph Number,precision overall,recall overall,tp_overall,fp_overall,tn_overall,fn_overall,precision oo,recall oo,tp_oo,fp_oo,tn_oo,fn_oo,precision oon,recall oon,tp_oon,fp_oon,tn_oon,fn_oon,precision on,recall on,tp_on,fp_on,tn_on,fn_on,precision nn,recall nn,tp_nn,fp_nn,tn_nn,fn_nn,Correct Node IDs,Correct Old Node IDs,Precision Old IDs,Recall Old IDs,Correct New Node IDs,Precision New IDs,Recall New IDs,Correct Overall IDs,Precision Overall IDs,Recall Overall IDs
2,0.0,0.0,0,44,1833552,1075,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,44,1834020,606,0.0,0.0,0,0,1826084,469,0.5845556514236411,0,0.0,0.0,1352,0.5837651122625216,0.5837651122625216,1355,0.5845556514236411,0.5845556514236411
3,0.006024096385542169,0.001256281407035176,1,165,964346,795,0.0,0.0,0,0,2,0,0.0,0.0,0,0,2,0,0.0,0.0,0,155,964700,451,0.0,0.0,0,0,953214,339,0.44519927536231885,2,0.3333333333333333,0.6666666666666666,977,0.44368755676657584,0.44308390022675737,983,0.44519927536231885,0.44519927536231885
4,0.0070921985815602835,0.0020876826722338203,1,140,423833,478,0.0,0.0,0,0,2,0,0.0,0.0,0,0,2,0,0.0,0.0,0,130,424020,302,0.0,0.0,0,0,416495,175,0.3286290322580645,2,0.2222222222222222,0.6666666666666666,646,0.3270886075949367,0.32609793033821305,652,0.3286290322580645,0.3286290322580645
5,0.00684931506849315,0.00234192037470726,1,145,296998,426,0.0,0.0,0,0,2,0,0.0,0.0,0,0,2,0,0.0,0.0,0,135,297167,268,0.0,0.0,0,0,290903,157,0.28556485355648537,2,0.18181818181818182,0.6666666666666666,540,0.2840610205155181,0.2828706128863279,546,0.28556485355648537,0.28556485355648537
6,0.04929577464788732,0.022653721682847898,7,135,172196,302,0.0,0.0,0,0,2,0,0.0,0.0,0,0,2,0,0.04580152671755725,0.02912621359223301,6,125,172309,200,0.0,0.0,0,0,166771,101,0.22174840085287847,2,0.15384615384615385,0.6666666666666666,409,0.21953837895866882,0.2183662573411639,416,0.22174840085287847,0.22174840085287847
7,0.022556390977443608,0.012552301255230125,3,130,113537,236,0.0,0.0,0,0,2,0,0.0,0.0,0,0,2,0,0.016,0.012578616352201259,2,123,113624,157,0.0,0.0,0,0,109813,79,0.18439716312056736,2,0.15384615384615385,0.5,332,0.1824175824175824,0.1815199562602515,338,0.18439716312056736,0.18439716312056736
8,0.009259259259259259,0.0070921985815602835,1,107,56158,140,0.0,0.0,0,0,2,0,0.0,0.0,0,0,2,0,0.01,0.01020408163265306,1,99,56209,97,0.0,0.0,0,0,53550,42,0.14610190300798034,2,0.13333333333333333,0.5,232,0.14374225526641884,0.14276923076923076,238,0.14610190300798034,0.14610190300798034
9,0.06,0.030927835051546393,3,47,27246,94,0.0,0.0,0,0,2,0,0.0,0.0,0,0,2,0,0.07142857142857142,0.046153846153846156,3,39,27286,62,0.0,0.0,0,0,25729,31,0.10899540380827315,2,0.11764705882352941,0.3333333333333333,161,0.10690571049136786,0.1061305207646671,166,0.10899540380827315,0.10899540380827315
10,0.045454545454545456,0.022988505747126436,2,42,21627,85,0.0,0.0,0,0,2,0,0.0,0.0,0,0,2,0,0.05555555555555555,0.037037037037037035,2,34,21668,52,0.0,0.0,0,0,20274,32,0.10249307479224377,2,0.10526315789473684,0.4,143,0.10035087719298245,0.09937456567060458,148,0.10249307479224377,0.10249307479224377
11,0.12903225806451613,0.04938271604938271,4,27,20772,77,0.0,0.0,0,0,2,0,0.0,0.0,0,0,2,0,0.13793103448275862,0.07272727272727272,4,25,20800,51,0.0,0.0,0,0,19715,25,0.0971198928332217,2,0.1111111111111111,0.4,141,0.09559322033898306,0.09475806451612903,145,0.0971198928332217,0.0971198928332217
12,0.09090909090909091,0.0379746835443038,3,30,18252,76,0.0,0.0,0,0,2,0,0.0,0.0,0,0,2,0,0.0967741935483871,0.057692307692307696,3,28,18280,49,0.0,0.0,0,0,17267,26,0.08651399491094147,2,0.10526315789473684,0.4,132,0.0849967804249839,0.08423739629865985,136,0.08651399491094147,0.08651399491094147
13,0.125,0.015384615384615385,1,7,14934,64,0.0,0.0,0,0,2,0,0.0,0.0,0,0,2,0,0.16666666666666666,0.023255813953488372,1,5,14958,42,0.0,0.0,0,0,14259,21,0.07692307692307693,2,0.08695652173913043,0.4,120,0.07614213197969544,0.07528230865746549,123,0.07692307692307693,0.07692307692307693
14,0.2,0.0196078431372549,1,4,9451,50,0.0,0.0,0,0,2,0,0.0,0.0,0,0,2,0,0.3333333333333333,0.02631578947368421,1,2,9466,37,0.0,0.0,0,0,8917,13,0.06269993602047345,2,0.08333333333333333,0.5,95,0.06172839506172839,0.06093649775497113,98,0.06269993602047345,0.06269993602047345
15,0.09090909090909091,0.017857142857142856,1,10,7766,55,0.0,0.0,0,0,2,0,0.0,0.0,0,0,2,0,0.3333333333333333,0.021739130434782608,1,2,7784,45,0.0,0.0,0,0,6964,8,0.056472081218274114,2,0.05714285714285714,0.5,84,0.054510058403634,0.05343511450381679,89,0.056472081218274114,0.056472081218274114
16,0.2,0.041666666666666664,2,8,7600,46,0.0,0.0,0,0,2,0,0.0,0.0,0,0,2,0,0.25,0.046511627906976744,2,6,7607,41,0.0,0.0,0,0,6475,5,0.05,2,0.025,1.0,81,0.048214285714285716,0.04607508532423208,88,0.05,0.05
17,0.2857142857142857,0.06153846153846154,4,10,11267,61,0.0,0.0,0,0,2,0,0.0,0.0,0,0,2,0,0.6666666666666666,0.0784313725490196,4,2,11289,47,0.0,0.0,0,0,10088,12,0.05780659103187466,2,0.044444444444444446,1.0,101,0.055924695459579184,0.05462412114656571,107,0.05780659103187466,0.05780659103187466
18,0.4,0.07692307692307693,4,6,7252,48,0.0,0.0,0,0,2,0,0.0,0.0,0,0,2,0,0.5,0.09523809523809523,4,4,7264,38,0.0,0.0,0,0,6796,10,0.04455958549222798,2,0.041666666666666664,1.0,83,0.04410201912858661,0.04304979253112033,86,0.04455958549222798,0.04455958549222798
19,0.4444444444444444,0.06349206349206349,4,5,11922,59,0.0,0.0,0,0,2,0,0.0,0.0,0,0,2,0,0.5714285714285714,0.07547169811320754,4,3,11934,49,0.0,0.0,0,0,11332,10,0.05448241703813769,2,0.047619047619047616,1.0,107,0.05412240768841679,0.05304908279623203,110,0.05448241703813769,0.05448241703813769
20,0.375,0.058823529411764705,3,5,10246,48,0.0,0.0,0,0,2,0,0.0,0.0,0,0,2,0,0.5,0.07317073170731707,3,3,10258,38,0.0,0.0,0,0,9496,10,0.04766355140186916,2,0.046511627906976744,1.0,98,0.04673342870767763,0.04583723105706267,102,0.04766355140186916,0.04766355140186916
21,0.42857142857142855,0.04918032786885246,3,4,12145,58,0.0,0.0,0,0,2,0,0.0,0.0,0,0,2,0,0.6,0.06,3,2,12158,47,0.0,0.0,0,0,10497,9,0.05199063231850117,2,0.04,1.0,103,0.049400479616306954,0.048288795124238164,111,0.05199063231850117,0.05199063231850117
22,0.5,0.022727272727272728,1,1,9657,43,0.0,0.0,0,0,2,0,0.0,0.0,0,0,2,0,0.5,0.02857142857142857,1,1,9666,34,0.0,0.0,0,0,8733,9,0.04639175257731959,2,0.038461538461538464,1.0,94,0.04514889529298751,0.04409005628517824,99,0.04639175257731959,0.04639175257731959
23,0.0,0.0,0,0,7787,45,0.0,0.0,0,0,2,0,0.0,0.0,0,0,2,0,0.0,0.0,0,0,7796,36,0.0,0.0,0,0,7473,9,0.04349951124144673,2,0.044444444444444446,1.0,87,0.043478260869565216,0.04256360078277886,89,0.04349951124144673,0.04349951124144673
24,0.5,0.058823529411764705,2,2,5076,32,0.0,0.0,0,0,2,0,0.0,0.0,0,0,2,0,1.0,0.07142857142857142,2,0,5084,26,0.0,0.0,0,0,4686,6,0.037954665260938325,2,0.05405405405405406,0.5,69,0.037096774193548385,0.03645007923930269,72,0.037954665260938325,0.037954665260938325
25,0.0,0.0,0,4,3049,27,0.0,0.0,0,0,2,0,0.0,0.0,0,0,2,0,0.0,0.0,0,4,3051,25,0.0,0.0,0,0,2860,2,0.03018867924528302,2,0.05,0.5,54,0.02975206611570248,0.029173419773095625,56,0.03018867924528302,0.03018867924528302
