Graph Number,precision overall,recall overall,tp_overall,fp_overall,tn_overall,fn_overall,precision oo,recall oo,tp_oo,fp_oo,tn_oo,fn_oo,precision oon,recall oon,tp_oon,fp_oon,tn_oon,fn_oon,precision on,recall on,tp_on,fp_on,tn_on,fn_on,precision nn,recall nn,tp_nn,fp_nn,tn_nn,fn_nn,Correct Node IDs,Correct Old Node IDs,Precision Old IDs,Recall Old IDs,Correct New Node IDs,Precision New IDs,Recall New IDs,Correct Overall IDs,Precision Overall IDs,Recall Overall IDs
0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
1,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
3,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
4,0.0,0.0,0,0,20,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,20,0,0.0,0.0,0,0,6,0,0.0015654351909830933,1,0.002277904328018223,0.5,3,0.001088929219600726,0.0009398496240601503,5,0.0015654351909830933,0.0015654351909830933
5,0.0,0.0,0,0,90,1,0.0,0.0,0,0,30,0,0.0,0.0,0,0,30,1,0.0,0.0,0,0,90,0,0.0,0.0,0,0,6,0,0.0017409470752089136,6,0.0030706243602865915,0.75,3,0.0007915567282321899,0.0005230125523012552,10,0.0017409470752089136,0.0017409470752089136
6,0.0,0.0,0,0,269,4,0.0,0.0,0,0,72,0,0.0,0.0,0,0,71,2,0.0,0.0,0,0,270,2,0.0,0.0,0,0,6,0,0.002549107812265707,9,0.0024855012427506215,0.8181818181818182,3,0.000984251968503937,0.0004505857614899369,17,0.002549107812265707,0.002549107812265707
7,0.0,0.0,0,0,338,5,0.0,0.0,0,0,110,0,0.0,0.0,0,0,109,2,0.0,0.0,0,0,339,3,0.0,0.0,0,0,12,0,0.0025910268648574935,11,0.002413339183852567,1.0,4,0.0014414414414414415,0.0005462988254575252,19,0.0025910268648574935,0.0025910268648574935
8,0.0,0.0,0,0,547,6,0.0,0.0,0,0,156,0,0.0,0.0,0,0,154,3,0.0,0.0,0,0,549,3,0.0,0.0,0,0,42,0,0.0030876109610189118,13,0.002470074102223067,1.0,7,0.0027888446215139444,0.0009020618556701031,24,0.0030876109610189118,0.0030876109610189118
9,0.0,0.0,0,0,458,5,0.0,0.0,0,0,156,0,0.0,0.0,0,0,154,3,0.0,0.0,0,0,460,2,0.0,0.0,0,0,6,0,0.002704031465093412,13,0.002217673149095872,0.9285714285714286,3,0.0013192612137203166,0.00036936715094804237,22,0.002704031465093412,0.002704031465093412
