Graph Number,Average Node Degree,Unique Degree Count,Degree Centrality,Assortivity Coefficient,Clustering Coefficient,Density,Number of Weakly Connected Components,Number of Strongly Connected Components,Number of Nodes,Number of Edges,Eigenvalue_1,Eigenvalue_2,Eigenvalue_3,Eigenvalue_4,Eigenvalue_5,Kernel Distance
0,-0.470737913486005,3,-0.0005996661318293057,0.17002313849811598,0.0,-0.0002998330659146529,191,-1,0,-185,1.965754934915037e+21,-1.965754934915037e+21,-1.9422444142633345e+21,1.9422444142633343e+21,1.5352340204970584e+21,8877.809523809532
0,-0.46537396121883656,2,-0.0006454562568915902,-0.01431928022242503,0.0,-0.0003227281284457951,171,-1,0,-168,-2.3005574473839904e+21,2.3005574473839901e+21,-4.0341421890091385e+20,4.034142189009138e+20,1.3082673081439755e+20,32475.666666666697
0,-0.09893550407013141,-7,-3.0985124982816064e-05,0.4893709134237256,-0.013828026456468698,-1.5492562491408005e-05,1191,26,0,-158,4.959165069623565e+21,-4.959165069623564e+21,1.9535377409662488e+21,-1.9535377409662488e+21,3.261816034009309e+20,12377427011.476206
0,0.0,-9,-5.421010862427522e-20,-0.04070750729612593,0.1501524198574704,0.0,1042,101,0,0,1.1358365787919942e+22,-9.415334281811769e+21,3.5528302377534457e+21,-3.5528302377534457e+21,-3.139040305443099e+21,31633916924.28575
0,0.0,-9,0.0,0.0049452357495095856,0.11998228082958992,0.0,1213,115,0,0,2.1056193097169866e+22,-1.195123849335127e+22,-5.308197315787948e+21,-5.308197315787948e+21,2.77942399127001e+21,72134365654.0953
0,0.0,-10,0.0,0.05505504780619608,0.10913469600044448,0.0,1186,139,0,0,1.7239673087481065e+22,-1.0870323845221428e+22,-8.232444566307235e+21,-5.6755623788346e+21,4.01805397083587e+21,88644314054.57152
0,0.0,-11,0.0,0.06632415232131623,0.09970057928187809,0.0,1145,177,0,0,1.6457480850355041e+22,-5.836108882937039e+21,-5.836108882937039e+21,-4.478238275411882e+21,-4.478238275411882e+21,107133006872.57155
0,0.0,-8,-5.421010862427522e-20,0.0445720677359529,0.10917475198873097,0.0,1390,199,0,0,2.016102795332653e+22,-1.5464517135419216e+22,-9.369437697522624e+21,5.623192553582703e+21,-3.6877255587314747e+21,98605529056.57153
0,0.0,-9,0.0,0.04289269171311348,0.09822574836187173,0.0,1482,249,0,0,1.7005020425742623e+22,-1.2048118023526554e+22,-5.524964535289785e+21,4.371571674183892e+21,-4.371571674183874e+21,95478477616.38106
0,0.0,-16,0.0,-0.02375825251101779,0.11627189731418475,0.0,1377,197,0,0,4.91940503650584e+21,3.724341431441932e+21,-3.724341431441929e+21,-2.3693194738452084e+21,-2.3693194738452084e+21,107922029817.14297
0,0.0,-13,0.0,0.13992851478691173,0.016833061021447944,0.0,291,108,0,0,6.358969596508237e+20,-6.358969596508237e+20,-2.080083823051906,1.6903263835515971,1.346246337170282,66634051650.28579
0,0.0,-9,1.0842021724855044e-19,-0.09565075834349704,0.041918286752771344,0.0,597,90,0,0,4.7128441462772e+21,-3.274507886495692e+21,-1.4383362597815095e+21,-1.1490919787797276e+21,1.1490919787797268e+21,37682894027.80956
0,0.0,-9,5.421010862427522e-20,-0.006878771852957877,0.00484928579276378,0.0,313,85,0,0,-1.579674257094898e+21,1.5796742570948978e+21,5.59323523410102e+20,-5.593235234101016e+20,-1808.1588556616152,24364347477.952408
0,0.0,-5,-1.6263032587282567e-19,0.10833479810438323,0.031515120461290055,0.0,269,54,0,0,1.9874630745408987e+21,-1.9874630745408985e+21,-1.4422495703074092,1.414213562373095,-1.414213562373095,15042145691.619064
0,0.0,-11,0.0,0.1834797199801617,0.11980375037079491,0.0,437,60,0,0,5.592131066136122e+21,-5.592131066136122e+21,-2.0000000000000027,-1.4422495703074074,-1.4142135623730976,17164337630.095257
