Graph Number,Average Node Degree,Unique Degree Count,Degree Centrality,Assortivity Coefficient,Clustering Coefficient,Density,Number of Weakly Connected Components,Number of Strongly Connected Components,Number of Nodes,Number of Edges,Eigenvalue_1,Eigenvalue_2,Eigenvalue_3,Eigenvalue_4,Eigenvalue_5
2,1.7053571428571428,5,0.007647341447789881,-0.23980857178998008,0.0,0.003823670723894939,38,220,224,191,1.0,-1.0,1.0,-1.0,1.0
3,1.8346456692913387,9,0.007251563910242441,-0.13345264551553324,0.018459309719152238,0.0036257819551212224,37,248,254,233,-1.4142135623730951,1.414213562373095,1.0,-1.0,1.0
4,1.8489208633093526,9,0.006674804560683583,-0.14320326502213127,0.03063588815068277,0.0033374022803417916,43,271,278,257,-1.4142135623730951,1.414213562373095,1.0,-1.0,1.0
5,1.8046875,9,0.007077205882352939,-0.08550326604321108,0.02230506777466696,0.0035386029411764706,47,247,256,231,1.414213562373095,-1.414213562373095,1.0,-1.0,1.0
6,1.8333333333333333,9,0.0069708491761723695,-0.023350831452130405,0.011402958657985877,0.003485424588086185,44,256,264,242,1.414213562373095,-1.414213562373095,1.0,-1.0,1.0
7,1.8690909090909091,8,0.006821499668214996,0.008656617810794095,0.010938719782152249,0.003410749834107498,44,264,275,257,1.0,-1.0,1.0,-1.0,1.0
8,1.8566775244299674,9,0.006067573609248259,0.0077575427171353685,0.009793366971802945,0.0030337868046241296,49,295,307,285,1.0,-1.0,1.0,-1.0,1.0
9,1.8280254777070064,8,0.005840336989479253,0.01499614356647479,0.023374384954771277,0.0029201684947396268,55,301,314,287,1.0,-1.0,1.0,-1.0,1.0
10,1.7865168539325842,8,0.005032441842063617,0.04520820886352118,0.012175253976926306,0.002516220921031809,67,339,356,318,1.0,-1.0,1.0,-1.0,1.0
11,1.8297872340425532,8,0.004879432624113475,0.016987619793587108,0.014188716312136683,0.0024397163120567374,63,359,376,344,1.0,-1.0,1.0,-1.0,1.0
12,1.79,8,0.004486215538847118,0.003922254420408498,0.021757186397720663,0.002243107769423559,70,391,400,358,1.0,-1.0,1.0,-1.0,1.0
13,1.8141809290953546,8,0.004446521885037632,0.0011467428492863338,0.02292011769340753,0.002223260942518817,65,405,409,371,1.0,-1.0,1.0,-1.0,1.0
14,1.8726415094339623,7,0.004427048485659485,-0.005981915055187645,0.03074358126457207,0.0022135242428297426,62,417,424,397,1.0,-1.0,1.0,-1.0,1.0
15,1.922077922077922,7,0.0041693664253317185,-0.02409054720693226,0.03471664640286207,0.0020846832126658593,61,453,462,444,1.0,-1.0,1.0,-1.0,1.0
16,1.9755600814663952,9,0.004031755268298766,-0.09894961811493055,0.037744654747406015,0.002015877634149383,58,480,491,485,1.0,-1.0,1.0,-1.0,1.0
17,1.9284294234592445,9,0.003841492875416821,-0.13449794197333811,0.019511818546720957,0.0019207464377084108,62,495,503,485,1.0,-1.0,1.0,-1.0,1.0
18,1.9225589225589226,9,0.003242089245461927,-0.1784940442328683,0.018214245626339262,0.0016210446227309635,73,587,594,571,-1.4142135623730951,1.414213562373095,1.0,-1.0,1.0
19,1.8275449101796408,11,0.002191300851534341,-0.11735171303029678,0.018382907748462577,0.0010956504257671707,156,787,835,763,1.497094048762795,1.4142135623730954,-1.4142135623730951,1.414213562373095,-1.4142135623730945
20,1.819915254237288,12,0.0019299207362007298,-0.09790414088328106,0.026000113848092435,0.0009649603681003649,192,879,944,859,1.4970940487627948,-1.4142135623730958,1.414213562373095,1.414213562373095,-1.4142135623730943
21,1.7916666666666667,12,0.0017792121813968882,-0.09553639642974379,0.02719603288997876,0.0008896060906984442,223,936,1008,903,1.4970940487627957,-1.4142135623730958,1.4142135623730954,-1.4142135623730954,-1.4142135623730954
22,1.7658536585365854,12,0.0017244664634146342,-0.11412428535390375,0.027069155409982185,0.0008622332317073171,234,953,1025,905,1.4970940487627962,1.4142135623730954,-1.4142135623730951,-1.4142135623730951,-1.4142135623730951
23,1.7412935323383085,13,0.0017343561079066815,-0.0885452888220432,0.028579278239948543,0.0008671780539533408,239,938,1005,875,-1.4142135623730951,-1.4142135623730951,-1.4142135623730951,-1.4142135623730951,1.414213562373095
24,1.753259779338014,13,0.0017603009832710985,-0.08781064618210016,0.02606287438898848,0.0008801504916355492,238,926,997,874,-1.4142135623730951,-1.4142135623730951,-1.4142135623730951,-1.4142135623730951,1.414213562373095
25,1.7035611164581328,12,0.0016411956805955034,-0.11334009123150682,0.0223988251044243,0.0008205978402977518,255,968,1039,885,-1.4142135623730951,-1.4142135623730951,1.414213562373095,-1.414213562373095,1.414213562373095
26,1.7540106951871657,11,0.0015646839386147778,-0.1910206755311421,0.016430691814547437,0.0007823419693073888,196,1087,1122,984,1.4142135623730951,-1.4142135623730951,-1.4142135623730951,1.414213562373095,-1.0000000000000004
27,1.7842064112587959,9,0.0013960926535671332,-0.18827385767033106,0.0055662212273773284,0.0006980463267835665,175,1253,1279,1141,-1.4142135623730951,-1.4142135623730951,1.414213562373095,1.414213562373095,1.0
28,1.796195652173913,8,0.0012210711435580647,-0.15746806457274246,0.002717514069621005,0.0006105355717790323,164,1463,1472,1322,1.0,-1.0,1.0,-1.0,1.0
29,1.846555323590814,9,0.000964258654616613,-0.19241536179358218,0.0031317483205900477,0.0004821293273083066,168,1906,1916,1769,1.0,-1.0,1.0,-1.0,1.0
30,1.8695854680950164,9,0.0008711954650955342,-0.22681892712219162,0.002794833591571954,0.0004355977325477671,166,2134,2147,2007,1.0,-1.0,1.0,-1.0,1.0
31,1.8847641144624903,11,0.0007291157115909055,-0.2522652546867717,0.0036846510836035878,0.0003645578557954527,181,2572,2586,2437,1.0000000000000004,1.0000000000000004,-1.0000000000000004,1.0000000000000002,1.0
32,1.8998699609882965,12,0.0006178438897522916,-0.30547752060740513,0.0029331021528680827,0.0003089219448761458,187,3058,3076,2922,1.3247179572447454,-1.0000000000000004,-1.0000000000000002,-1.0000000000000002,1.0000000000000002
33,1.8942307692307692,11,0.0006073199003625423,-0.3046496672881903,0.0035185185185185185,0.00030365995018127114,200,3102,3120,2955,-1.0000000000000002,1.0000000000000002,1.0,-1.0,1.0
34,1.9282614984090252,13,0.000557946035419278,-0.21787583303273297,0.003332323190581796,0.00027897301770963905,203,3438,3457,3333,1.5396133460819756,1.0000000000000009,-1.0000000000000007,1.0000000000000004,-1.0000000000000004
35,1.9439061703212646,14,0.0004957679597860915,-0.2382859038877355,0.0037044740867978212,0.00024788397989304573,207,3899,3922,3812,1.5874010519681994,1.0000000000000018,1.0000000000000016,1.0000000000000004,-1.0000000000000004
36,1.9474896361123906,14,0.00044862696063404533,-0.25008542539747874,0.004438855670836632,0.00022431348031702264,215,4313,4342,4228,1.9034048966171162,1.0450423580697208,1.0000000000000018,1.0000000000000016,-1.000000000000001
37,1.9489671931956258,14,0.0003947675092557475,-0.21939349075443476,0.004279873158812644,0.00019738375462787378,204,4908,4938,4812,1.955736142470927,1.1794778153089007,-1.0462823739504876,-1.0462823739504876,-1.0000000000000013
38,1.9499529633113828,13,0.00036694636118016243,-0.21680119062537728,0.003597604717281066,0.0001834731805900812,199,5283,5315,5182,2.200226431851099,1.071619377075676,-1.0607256987160083,-1.0607256987160083,1.0000000000000036
39,1.952318867573105,14,0.000363695765196182,-0.24525477994940353,0.0036140313987248563,0.000181847882598091,176,5337,5369,5241,2.1176777096682553,-1.0119324167912311,-1.0119324167912311,1.0000000000000018,-1.0000000000000018
40,1.9532658693652254,12,0.00035945268114928694,-0.30843789233626345,0.0032306328583834656,0.00017972634057464347,170,5401,5435,5308,2.4859595960448555,-1.1168341563076243,-1.1168341563076243,-1.0000000000000022,-1.000000000000002
41,1.9539136795903438,13,0.0003574014413005935,-0.33090066503491344,0.0022333770930969784,0.00017870072065029666,171,5428,5468,5342,2.737850575877385,-1.897691411470106,1.0000000002968823,-1.0000000000000018,1.0000000000000009
