Graph Number,Average Node Degree,Unique Degree Count,Degree Centrality,Assortivity Coefficient,Clustering Coefficient,Density,Number of Weakly Connected Components,Number of Strongly Connected Components,Number of Nodes,Number of Edges,Eigenvalue_1,Eigenvalue_2,Eigenvalue_3,Eigenvalue_4,Eigenvalue_5,Kernel Distance
0,-0.9941618015012512,-5,-0.00041475252461462307,0.27635044997437547,-0.0014095048382964145,-0.00020737626230731143,1164,4,0,-1192,-1.0,1.0,-1.0,1.0,-1.0,214176252667.8574
0,-0.36170212765957444,-3,-0.0009645390070921992,0.2598043720743991,0.0,-0.00048226950354609936,63,3,0,-68,-4.0756215430626175e+23,4.0756215430626155e+23,1.514714131477945e+23,-1.514714131477945e+23,-1.0,112644.9523809525
0,-0.34615384615384626,-2,-0.0013365013365013367,0.15804509932817085,0.0,-0.0006682506682506679,39,4,0,-45,1.0000000089878023,-1.0000000082047036,-1.0,1.0,-1.0,63173.42857142863
0,-0.29184549356223166,-2,-0.0012579547136303089,0.12611034407843477,0.0,-0.0006289773568151549,32,2,0,-34,-1.0,1.0,-1.0,1.0,0.0,31145.23809523812
0,-0.38818565400843874,0,-0.0016448544661374518,0.10863769134519571,0.0,-0.0008224272330687264,44,2,0,-46,-1.0,1.0,-1.0,1.0,0.0,44596.42857142861
0,-0.36363636363636354,1,-0.0012759170653907498,0.1836022205463741,-0.00815850815850816,-0.0006379585326953749,48,3,0,-52,-1.0,1.0,-1.0,1.0,-1.0,164944.14285714302
0,-0.476923076923077,-1,-0.0012260233339924866,0.05665135013712339,-0.005982905982905983,-0.0006130116669962429,88,4,0,-93,-1.0,1.0,-1.0,1.0,-1.0,1114913.0476190487
0,-0.40625,-2,-0.0007950097847358121,0.1024981849374279,-0.008470052083333334,-0.00039750489236790604,94,8,0,-104,-1.0,1.0,-1.0,1.0,-1.0,2345985.5238095266
0,-0.5202492211838006,-2,-0.0008116212498967255,0.21923269242840115,-0.006749827146613505,-0.0004058106249483624,156,8,0,-167,-1.0,1.0,-1.0,1.0,-1.0,12905835.333333347
0,-0.6185064935064934,4,-0.0005024423180393937,0.369749179864679,-0.025461707126953496,-0.00025122115901969676,114,2,0,-381,1.0717442737128482e+23,-1.071744273712845e+23,8.670593310577294e+22,8.670593310577294e+22,-8.670593310577277e+22,666594126.4285722
0,-0.6883988494726752,7,-0.00033016731389576726,0.30239073961220153,-0.02030660791182293,-0.00016508365694788368,169,-31,0,-718,1.765847579073515e+23,-1.7658475790735142e+23,1.1499371463057935e+23,-1.139079310998222e+23,-1.139079310998222e+23,7779342229.476199
0,-0.6697746697746696,1,-0.0002603088495043411,0.46470557355665104,-0.01716733126875406,-0.00013015442475217056,156,22,0,-862,1.5550470385756936e+23,-1.5497578540846275e+23,1.3239829687894656e+23,-1.0812701508024026e+23,7.788456028438903e+22,14657622675.619064
0,-0.6539413220219157,-2,-0.00023123809123830135,0.45994423756292835,-0.022793559079423157,-0.00011561904561915057,156,51,0,-925,-2.13698882417353,-1.4142135623730954,1.4142135623730943,-1.4142135623730943,1.4142135623730916,17656645605.90478
0,-0.6447863247863248,-1,-0.0002205151589556516,0.4643459699285604,-0.020475354544648168,-0.00011025757947782575,150,50,0,-943,1.2084266841923164e+23,-1.2084266841923163e+23,1.4142135623730965,-1.414213562373096,1.414213562373095,17965290121.857162
0,-0.6203208556149731,-5,-0.00020739580595619282,0.5046863509866911,-0.023069695698561595,-0.00010369790297809652,124,19,0,-928,2.4532867704752307e+23,-2.3137117724594396e+23,1.0659954193592681e+23,-1.0659950006174641e+23,-9.805512826937114e+22,19842322487.285736
0,-1.0743343195266273,0,-0.00019869323460821654,0.29005732121452443,-0.023710947485505122,-9.934661730410832e-05,1906,88,0,-2905,-2.300168219746771,-2.214588762896533,1.73205080756888,-1.732050807568879,-1.4422495703074036,266262240388.0003
0,-0.7975728973537839,-2,-0.0001344526125006379,0.4003946418100228,-0.04355004751440255,-6.722630625031895e-05,870,1403,0,-2366,8.068184034893629e+22,-8.068184034893627e+22,2.000000000000035,-2.0000000000000133,-1.4610133932113045,286807952247.4289
0,-0.8405904059040592,-6,-0.00015511910055435678,0.43722916707097487,-0.048595016684457246,-7.755955027717834e-05,869,1178,0,-2278,-8.921610690836333e+22,8.921610690836332e+22,-4.426147284172054e+22,4.426147284172053e+22,4.189574263794224e+22,261675888369.71457
0,-0.8665016187392875,-8,-0.00016504792737891198,0.43207606448478275,-0.053234902967263166,-8.252396368945599e-05,916,1120,0,-2275,-12.153299220454345,11.760109221179391,-1.9697442823542977,1.3478455749956884,1.3478455749956884,260032970623.57172
0,-0.8986184082506323,-8,-0.00017489653722277783,0.4728836374758935,-0.05902498320784114,-8.744826861138889e-05,911,1172,0,-2309,7.092456618970345e+21,-6.45452514606222e+21,6.454525146062218e+21,-3.5462283094851736e+21,-3.5462283094851736e+21,262869805020.19077
0,-0.9143968871595332,-10,-0.00017793284435873381,0.4512699127155034,-0.06032125225189377,-8.896642217936691e-05,867,1211,0,-2350,4.952737124459015e+22,-4.952737124459015e+22,2.343917640445387e+22,-1.1719588202226939e+22,-1.1719588202226939e+22,265328084440.85742
0,-0.9437295947762625,-12,-0.00018127729442494485,0.44598015388753065,-0.060949501783259,-9.06386472124724e-05,948,1200,0,-2457,2.3392315759016804e+22,-1.8924780986829495e+22,-1.8924780986829495e+22,-1.8242709028077253e+22,1.8242709028077251e+22,267405326572.0479
0,-0.7741734248284464,-4,-0.00024155177061730023,0.4638479165217494,-0.044914329086764286,-0.00012077588530865,184,1086,0,-1241,5.155579936829117e+22,-5.155579936829114e+22,3.97967820119123e+22,2.443029421288492e+22,2.443029421288492e+22,24272334951.142883
0,-0.6732673267326732,-4,-0.00030313702239201856,0.36986060512751073,-0.03691038198561314,-0.00015156851119600928,237,362,0,-748,4.649137308201943e+22,3.967107317153598e+22,-3.875441277017658e+22,-2.324568654100973e+22,-2.324568654100973e+22,3865710482.904766
0,-0.7071108901044254,-2,-0.00035179646273851995,0.4068248417242016,-0.03511548075454747,-0.00017589823136926008,240,340,0,-711,-8.596451215306857,8.264676107949029,-1.288770360925092,-1.0000000000000064,1.0000000000000064,3134101315.476194
0,-0.6636771300448432,-3,-0.00037222497478678806,0.3563447519092163,-0.02912206719099946,-0.00018611248739339398,212,273,0,-592,-7.7572691683495885,7.435873554238594,-1.2795927008005987,-1.0000000000000033,1.0000000000000033,1514807412.285716
0,-0.6720396776193429,-5,-0.00041689806303929456,0.37446238937629095,-0.029449084826427552,-0.00020844903151964733,228,232,0,-542,-7.1444740534638305,6.784183197046861,-1.0191222116364216,-1.0191222116364216,-1.0000000000000029,865006708.3809533
0,-0.6517150395778366,-5,-0.0004301749436157336,0.2807721779193097,-0.02891450933775249,-0.00021508747180786685,212,206,0,-494,-6.833889756384703,6.465186402047419,1.000000000000006,-1.000000000000005,-1.0000000000000016,693511126.6190484
0,-0.7140013271400134,-2,-0.00047410446689243925,0.3607840157108488,-0.03738187575088188,-0.00023705223344621952,247,280,0,-538,-6.958196578422317,6.516630320414761,-1.2046996543026687,1.0000000000000036,1.000000000000003,971880055.2380964
0,-0.7241379310344829,-3,-0.00048051621170171384,0.37512925795272195,-0.0433261944427331,-0.00024025810585085697,260,275,0,-546,-6.584045775652659,6.094964871596654,-1.3709163582522255,-1.2221847973896414,1.0000000000000084,1095474246.5238109
0,-0.7242050616482805,-2,-0.00047026302704433786,0.35790216741968295,-0.052371026463957096,-0.00023513151352216888,278,266,0,-558,4.771349470525175e+22,-4.771349470525175e+22,-1.6092772352545963,-1.221661926756032,1.0000000000000024,1361957659.8095253
0,-0.6849132176234982,-1,-0.00045752385946793437,0.3427240745376929,-0.05838400678215666,-0.0002287619297339673,241,265,0,-513,-6.358966544528369,5.634225404019982,-1.5436376637614373,-1.0000000000000067,1.0000000000000029,1180591155.857144
