Graph Number,Average Node Degree,Unique Degree Count,Degree Centrality,Assortivity Coefficient,Clustering Coefficient,Density,Number of Weakly Connected Components,Number of Strongly Connected Components,Number of Nodes,Number of Edges,Eigenvalue_1,Eigenvalue_2,Eigenvalue_3,Eigenvalue_4,Eigenvalue_5,Kernel Distance
0,-0.4274809160305344,-1,-0.000817363128165458,0.3848349656427279,-0.10429289413778613,-0.0004086815640827288,27,68,0,-112,-22.445301942449266,17.8614565929457,14.389275595364154,-11.569545617004636,7.893047432481944,13163020.66666668
0,-0.49765258215962427,0,-0.001170947252140293,0.3173438104305688,-0.052834274713606806,-0.0005854736260701462,50,44,0,-106,-2.6030595863740027,1.4142135623730965,-1.4142135623730958,-1.000000000000001,-1.0000000000000007,3325944.5714285746
0,-0.47921760391198065,1,-0.0011745529507646573,0.4229580930118838,-0.05373507506346954,-0.0005872764753823293,45,40,0,-98,38.52435625079161,-21.54810312498511,-21.54810312498511,1.0000000000000002,-1.0000000000000002,2640348.476190479
0,-0.5382716049382716,-1,-0.0013323554577679983,0.31389189316706,-0.05087032773350967,-0.0006661777288839996,53,40,0,-109,-2.5109290369086734,-1.0000000000000036,1.000000000000001,1.000000000000001,1.0000000000000009,2530083.428571431
0,-0.5450121654501217,0,-0.0013292979645124917,0.4007670193850504,-0.03877218730005622,-0.0006646489822562458,62,33,0,-112,-2.4513720870104394,1.0000000000000016,-1.0000000000000009,-1.0,0.9999999999999999,2980914.428571432
0,-0.5364705882352943,1,-0.0012652608213096555,0.46604235673182337,-0.04690733128480155,-0.0006326304106548278,65,31,0,-114,-2.4379902410608834,1.0780716553283844,1.0780716553283844,-1.0,-1.0,3482968.428571432
0,-0.5144356955380578,0,-0.0013537781461527842,0.39282669352627564,-0.05407564214913445,-0.0006768890730763917,43,32,0,-98,-2.462133056407609,1.1483144970365449,1.1483144970365449,1.0000000000000004,-1.0000000000000002,1799368.9047619065
0,-0.4932249322493225,2,-0.001340285141981857,0.3601190152716845,-0.04878800620923505,-0.0006701425709909272,43,33,0,-91,-2.5771727764683074,1.2785606927147875,1.2785606927147875,-1.1493022489808713,-1.0000000000000002,1522842.0952380968
0,-0.48,1,-0.0017518248175182475,0.3979031287763694,-0.04485834747388062,-0.0008759124087591242,33,23,0,-66,-2.2721360656155922,-1.1024283954731302,1.0670301695617108,1.0670301695617108,-1.0,580306.9523809529
0,-0.5236363636363637,3,-0.0019110816191108158,0.4494685871084227,-0.04914897832450579,-0.0009555408095554079,37,19,0,-72,1.7918537177924008,-2.7157893298697178,-1.0,-0.8528349929803792,0.7192529979529841,455748.0952380956
0,-0.5118110236220474,2,-0.002022968472814415,0.533995037637458,-0.036876644874130574,-0.001011484236407208,32,15,0,-65,42.235686071150546,-20.661225200343388,-23.194387982208667,14.316378609140644,-6.3734620983371775,311094.6190476193
0,-0.6233766233766231,-1,-0.0027103331451157533,0.5436045626367687,-0.0455211720173357,-0.001355166572557877,38,14,0,-72,-1.9999999999999967,1.0000000000000007,-1.0,0.4999999999999995,0.4999999999999995,183299.57142857154
0,-0.5700483091787438,1,-0.002767224801838562,0.5564203632082112,-0.04276983181569789,-0.0013836124009192815,37,12,0,-59,33.314923376852846,-36.22389823807515,-1.0,0.9999999999999998,0.6779468404816338,114095.85714285723
0,-0.6451612903225807,0,-0.0034873583260680028,0.35523947508670034,-0.02886272731995032,-0.0017436791630340014,42,7,0,-60,-1.6180339887498953,0.6180339887498936,0.4999999999999994,0.4999999999999994,1.0986659069823394e-08,89234.90476190485
0,-0.5508982035928143,0,-0.0033186638770651457,0.5713218475248532,-0.011740494166945612,-0.0016593319385325728,38,-2,0,-46,28.1944147186044,20.12433239789458,-14.097207359302203,-14.597207359302203,-9.812166198947295,72649.52380952387
0,-0.5935483870967742,-1,-0.003854210305823209,0.6136545611534499,-0.00967741935483871,-0.0019271051529116045,41,-1,0,-46,-7.558942345089347,7.5589423450893465,0.0,0.0,0.0,62487.619047619104
0,-0.41509433962264164,0,-0.003953279424977538,0.5964919942966388,0.0,-0.001976639712488769,18,0,0,-22,0.0,0.0,0.0,0.0,0.0,17786.476190476205
0,-0.5283018867924529,0,-0.0050314465408805,0.3157868434988518,0.0,-0.002515723270440252,24,0,0,-28,0.0,0.0,0.0,0.0,0.0,19091.285714285732
0,-0.4424778761061947,0,-0.0039506953223767405,0.656313505637675,0.0,-0.0019753476611883685,21,0,0,-25,-1.0,0.0,0.0,0.0,0.0,17218.09523809525
0,-0.37606837606837606,-2,-0.003241968759210139,0.47726712381696257,-0.028490028490028487,-0.0016209843796050685,13,1,0,-22,-10.554678008393015,9.554678008393013,-1.0,0.9999999999999998,0.0,15799.809523809537
0,-0.3669724770642202,0,-0.003397893306150186,0.23879214949087138,-0.026052133391582927,-0.0016989466530750938,11,1,0,-20,15.554473404988457,-16.96868696736155,-1.0,1.0,-1.0,12743.142857142868
0,-0.5233644859813085,-3,-0.004937400811144419,0.3676836364379531,-0.0328141225337487,-0.0024687004055722103,16,3,0,-28,-2.414213562373095,-1.0,-0.9999999999999998,0.9999999999999998,0.9999999999999994,9442.238095238103
0,-0.4247787610619469,-2,-0.0037926675094816717,0.3449953277305692,-0.03252435863055332,-0.0018963337547408332,15,3,0,-24,-2.414213562373093,1.0000000000000004,-1.0,1.0,-1.0,15196.095238095251
0,-0.4558823529411766,-3,-0.0033769063180827882,0.3630997276664716,-0.030090497737556562,-0.0016884531590413941,19,0,0,-31,3.4232543287129116,-4.478622407778013,-1.179422741653998,0.820577258346002,-1.0,19663.809523809537
0,-0.75,-4,-0.0037688442211055275,0.28904984716139875,-0.023794871794871796,-0.0018844221105527637,55,3,0,-75,-2.4142135623730936,1.0000000000000002,-1.0,1.0,-1.0,182026.3333333335
0,-0.7393364928909951,-3,-0.0035206499661475966,0.40773856642769163,-0.022554380848219712,-0.0017603249830737979,58,0,0,-78,15.058341314318401,-16.472554876691465,-0.9999999999999991,1.0000000000000009,-1.0,354382.8095238099
0,-0.7330316742081446,-2,-0.0033319621554915657,0.4717810070585782,-0.01960920564459541,-0.0016659810777457833,60,1,0,-81,31.12826463204197,-31.12826463204197,-1.0,1.0,-1.0,523127.6666666672
0,-0.7256637168141593,-2,-0.003225172074729595,0.35118218713865634,-0.03203403951240487,-0.0016125860373647984,59,3,0,-82,-1.0,1.0,-1.0,-0.9999999999999998,0.5000000000000002,598230.5714285721
0,-0.697095435684647,0,-0.002904564315352697,0.33941692457310946,-0.03866775887763674,-0.0014522821576763482,57,3,0,-84,-1.0,1.0,-1.0,-0.9999999999999998,0.5000000000000002,682256.1904761911
0,-0.7603305785123966,-3,-0.003154898666026542,0.31779659848476943,-0.03897829676755735,-0.0015774493330132713,65,3,0,-92,-1.0,1.0,-1.0,-0.9999999999999998,0.5000000000000002,733174.0476190483
0,-0.6864406779661016,-1,-0.002921024161557881,0.3057076799699697,-0.03996972758947704,-0.0014605120807789401,57,4,0,-81,-1.3247179572447452,-1.0,1.0,-1.0,0.662358978622373,347656.52380952414
0,-0.5517241379310347,0,-0.002731307613519974,0.3557229458061762,-0.03975058446663614,-0.0013656538067599862,40,3,0,-56,-6.48719301389915,4.1624750566544035,1.0,-1.0,0.6623589786223729,100164.33333333343
0,-0.5876777251184835,-2,-0.0027984653577070636,0.25788296820565393,-0.038090668843386986,-0.0013992326788535318,47,5,0,-62,-7.439650950415023,6.918271243610454,-0.9999999999999999,0.7606898534022832,0.7606898534022832,86618.61904761914
0,-0.5825242718446602,-3,-0.0028415818138763935,0.42918977325339025,-0.025226091836812764,-0.0014207909069381955,48,5,0,-60,-1.521379706804568,0.7606898534022841,0.7606898534022841,-3.5236570605778894e-16,0.0,68235.5714285715
