graph_num,l2_norm,cosine_similarity,g/s_pred_label,g/s_true_label,node_diff_1,edge_diff_1,node_diff_2,edge_diff_2,node_diff_3,edge_diff_3,node_diff_4,edge_diff_4,node_diff_5,edge_diff_5,node_diff_6,edge_diff_6,node_diff_7,edge_diff_7,node_diff_8,edge_diff_8,node_diff_9,edge_diff_9,node_diff_10,edge_diff_10
1,24.228082879171435,0.9884393940330443,1,1,3,4,3,4,-13,-11,1,5,-1,1,0,1,2,9,1,2,0,-8,0,-8
2,82.78284846512591,0.9788244662514994,1,1,0,-2,0,-2,-27,-11,3,5,-19,-10,-2,11,9,40,8,49,2,0,0,-35
3,123.73762564394066,0.9711856608451156,1,1,5,3,5,3,-29,-7,6,9,-17,-3,-4,13,5,32,5,47,7,86,0,-55
4,240.7010594077226,0.9458707016353299,1,1,0,2,0,2,-44,-4,0,14,-30,0,-7,19,8,67,8,101,12,170,0,-103
5,202.6030601940652,0.970070695667669,1,1,4,1,4,1,-45,-5,6,16,-28,5,-4,22,6,41,3,70,8,152,0,-87
6,304.8294605185004,0.9547484112953016,1,1,3,2,3,2,-52,-5,6,12,-31,3,-7,16,10,51,7,87,14,236,0,-150
7,306.54363474063524,0.9695602766172988,1,1,0,7,0,7,-55,0,1,13,-39,1,-14,23,6,38,10,90,13,244,0,-138
8,297.5684795135399,0.9790902542986802,1,1,2,3,2,3,-62,-5,4,8,-45,-1,-10,15,10,49,11,110,9,223,0,-133
9,368.6122624113311,0.9741998218525441,1,1,1,0,1,0,-63,-4,2,5,-37,-2,-19,10,7,42,13,123,17,295,0,-160
10,307.8830946966722,0.9882870201349165,1,1,2,-1,2,-1,-65,-6,5,8,-34,0,-19,10,22,59,21,122,14,215,0,-152
11,316.023733285967,0.9884704134562032,1,1,2,0,2,0,-63,-4,2,8,-35,4,-36,-3,7,45,8,89,14,272,0,-95
12,317.8285701443468,0.9891854467721372,1,1,3,2,3,2,-54,-4,3,3,-37,-6,-30,-2,7,49,5,111,10,265,0,-103
13,302.47644536393244,0.9926387579823096,1,1,0,-2,0,-2,-71,-9,1,4,-37,-4,-24,-2,12,23,13,81,16,239,0,-140
14,391.19943762740763,0.9912925846506258,1,1,0,2,0,2,-76,-3,0,4,-48,-4,-34,-2,3,11,8,75,24,317,0,-192
15,368.78720151328463,0.9938523883665801,1,1,0,1,0,1,-76,-7,0,-5,-46,-14,-36,-19,10,33,16,106,17,283,0,-182
16,427.66692647433,0.9932765419042856,1,1,0,3,0,3,-80,-6,1,4,-41,-3,-35,-13,7,6,14,115,15,338,0,-213
17,409.7840894910392,0.9948991436802013,1,1,2,1,2,1,-88,-7,3,-3,-49,-10,-28,-11,21,10,21,93,23,306,0,-230
18,365.0780738417469,0.996752678049329,1,1,28,4,28,4,-65,1,37,12,-17,6,0,6,38,22,34,76,27,253,0,-228
19,345.62262657412924,0.9970268478368768,1,1,3,2,3,2,-95,1,1,7,-56,-1,-42,1,13,35,16,94,17,274,0,-140
20,412.44029871000726,0.9960283884955483,1,1,2,1,2,1,-98,0,5,18,-52,12,-46,16,11,36,12,107,20,333,0,-175
21,357.9497171391535,0.9966253578544612,0,0,0,2,0,2,-103,-1,0,12,-52,3,-56,-3,3,38,6,101,11,281,0,-144
22,381.1836827567518,0.9964835217934329,0,1,1,1,1,1,-101,-1,2,7,-53,2,-40,1,11,26,18,75,19,289,0,-200
23,430.5124853009492,0.9944434241342209,0,0,2,4,2,4,-117,1,2,16,-55,8,-47,1,14,63,14,113,17,347,0,-168
24,356.1053214991318,0.9951434335739547,0,0,5,1,5,1,-110,-3,5,10,-57,1,-55,-4,7,33,7,101,11,298,0,-89
25,404.77524627872197,0.9928122379684526,0,0,10,0,10,0,-96,-5,13,4,-50,-8,-33,-10,14,23,15,99,26,326,0,-181
26,402.0845682191745,0.9923453475575675,0,0,4,-1,4,-1,-90,-8,7,0,-63,-20,-40,-21,12,30,11,81,23,346,0,-138
27,464.8698742659068,0.9898494699595591,0,0,4,-4,4,-4,-99,-15,5,-3,-56,-14,-34,-7,13,49,14,102,26,381,0,-206
28,516.0271310696754,0.9892275951012712,1,1,8,-2,8,-2,-91,-6,14,9,-51,-5,-30,-11,22,35,22,106,33,410,0,-267
29,531.5693745881152,0.988949600187213,1,1,1,-1,1,-1,-98,-6,3,5,-64,-11,-49,-17,8,22,18,105,28,426,0,-268
30,543.745344807659,0.9900258337061999,1,1,2,-1,2,-1,-105,-9,5,6,-61,-9,-40,-23,23,32,28,138,27,405,0,-304
31,528.4193410540533,0.9919386914623227,1,1,3,2,3,2,-111,-7,4,2,-75,-18,-48,-19,17,20,21,99,35,440,0,-229
32,471.0498912004969,0.9936016346078781,1,1,3,-4,3,-4,-105,-13,7,-5,-77,-26,-38,-17,13,26,17,121,20,396,0,-171
33,504.67910596734635,0.9926381570484386,1,1,2,-6,2,-6,-109,-13,7,0,-77,-23,-35,-13,15,7,16,100,18,450,0,-146
34,527.9100302134825,0.9930856171629495,1,1,3,-5,3,-5,-111,-19,9,-11,-72,-22,-42,-6,14,21,18,113,23,409,0,-277
35,477.58978213525467,0.9947572845765694,1,1,4,-7,4,-7,-113,-18,10,-11,-69,-21,-40,-17,27,13,29,72,25,355,0,-272
36,558.367262650668,0.9928674587227387,1,1,0,-5,0,-5,-111,-18,2,-14,-87,-25,-60,-26,9,19,15,116,26,431,0,-293
37,548.4076950590683,0.9946484622358878,1,1,12,-6,12,-6,-103,-18,20,-7,-52,-14,-33,-13,39,34,34,107,30,363,0,-370
38,577.4859305645463,0.9921957464027741,0,0,5,-3,5,-3,-105,-10,6,-3,-70,-15,-50,-7,9,42,8,136,14,496,0,-219
39,466.40433102620307,0.9944543983989272,0,0,8,-3,8,-3,-102,-11,8,-1,-77,-13,-56,-9,11,38,7,103,11,427,0,-53
40,621.7402994820264,0.9896888749834747,0,0,7,-2,7,-2,-110,-11,6,-4,-76,-13,-68,-16,7,56,10,150,28,572,0,-98
41,518.1312575014173,0.9916073233866709,0,0,6,-1,6,-1,-125,-12,9,4,-73,-10,-60,-8,13,40,15,117,28,464,0,-108
42,569.0852308749543,0.9882735905263254,0,0,3,-1,3,-1,-120,-8,6,5,-75,-5,-62,-2,11,49,11,116,28,506,0,-164
43,586.320731340791,0.9862763790507608,0,0,13,-1,13,-1,-113,-17,14,-1,-81,-20,-58,-21,26,78,18,159,31,511,0,-158
44,482.0373429517676,0.9876415395784846,0,0,3,1,3,1,-126,-8,9,9,-98,-27,-50,-47,37,64,42,191,29,354,0,-177
45,481.2805834437953,0.9872963278099163,0,0,4,1,4,1,-137,-18,5,11,-94,-40,-65,-57,15,37,27,188,21,378,0,-116
46,530.531808659952,0.9844309299281218,0,0,10,0,10,0,-136,-23,7,10,-90,-34,-70,-51,11,71,27,226,22,419,0,-111
47,504.600832341763,0.9851373165483319,0,0,1,-1,1,-1,-158,-32,2,-1,-85,-52,-54,-55,13,48,18,173,22,412,0,-99
48,517.2687889289281,0.9831194896082571,0,1,14,-2,14,-2,-153,-32,15,-2,-77,-50,-44,-54,18,62,15,153,25,426,0,-139
49,528.8979107540509,0.9811158483030383,0,0,5,0,5,0,-163,-28,10,13,-60,-33,-56,-42,17,57,20,225,22,399,0,-168
50,588.135188540866,0.9751194370689523,0,0,3,3,3,3,-154,-23,5,15,-69,-29,-46,-34,13,59,19,221,27,481,0,-166
