graph_num,l2_norm,cosine_similarity,g/s_pred_label,g/s_true_label,node_diff_1,edge_diff_1,node_diff_2,edge_diff_2,node_diff_3,edge_diff_3,node_diff_4,edge_diff_4,node_diff_5,edge_diff_5,node_diff_6,edge_diff_6,node_diff_7,edge_diff_7,node_diff_8,edge_diff_8,node_diff_9,edge_diff_9,node_diff_10,edge_diff_10
1,198.79889335708083,0.991759012805048,1,1,1,1,1,1,1,1,1,1,2,1,-53,-75,5,-5,23,75,23,146,0,-55
2,128.7866452703851,0.9965379739997109,1,0,7,-8,7,-8,7,-8,7,-8,13,-8,-35,-61,16,-6,17,23,17,84,0,-50
3,155.2127572076471,0.9950869903438784,1,1,4,-20,4,-20,4,-20,4,-20,7,-13,-56,-90,10,-27,11,19,15,91,0,-34
4,126.763559432512,0.9966113510520866,0,0,8,-12,8,-12,8,-12,8,-12,15,-2,-51,-76,17,2,16,29,14,58,0,-41
5,137.79695207079146,0.9963294062217528,1,1,7,-10,7,-10,7,-10,7,-10,10,-16,-59,-88,11,-3,8,14,15,70,0,-36
6,143.21661914736012,0.9960970995175016,0,1,3,-14,3,-14,3,-14,3,-14,9,-7,-61,-88,11,-8,16,35,15,66,0,-43
7,145.14131045295133,0.9958498122444016,0,0,8,-15,8,-15,8,-15,8,-15,13,-4,-55,-86,14,-13,13,27,15,70,0,-54
8,148.2025640803829,0.9954191779166702,0,0,6,-10,6,-10,6,-10,6,-10,6,-5,-60,-79,11,13,11,28,17,85,0,-53
9,128.11323116680805,0.9965550756184904,1,1,7,-6,7,-6,7,-6,7,-6,9,-5,-54,-80,14,-1,12,21,12,54,0,-53
10,156.51517498313063,0.9948591551019633,1,1,3,-6,3,-6,3,-6,3,-6,3,-14,-61,-83,7,-19,9,31,13,91,0,-60
11,130.07305639524276,0.9967235027128524,1,1,6,-11,6,-11,6,-11,6,-11,10,-10,-43,-62,11,-16,16,38,14,69,0,-58
12,155.0129026887762,0.9951840651868601,0,0,5,-14,5,-14,5,-14,5,-14,6,-8,-45,-56,9,0,13,53,18,110,0,-49
13,109.9136024339117,0.9975451643462441,1,0,7,-9,7,-9,7,-9,7,-9,10,-13,-39,-58,12,-7,16,43,12,53,0,-34
14,168.23495475078894,0.9947055055399269,1,1,1,3,1,3,1,3,1,3,3,-5,-56,-65,9,7,19,71,16,106,0,-62
15,125.04799078753724,0.9970396714793208,1,0,3,-6,3,-6,3,-6,3,-6,11,-5,-48,-68,14,-6,16,34,13,63,0,-51
16,155.3769609691218,0.9952225198753503,0,0,3,-3,3,-3,3,-3,3,-3,8,-17,-59,-88,16,-14,19,43,15,79,0,-58
17,164.7088340071655,0.9946574938577827,0,1,6,2,6,2,6,2,6,2,16,3,-39,-62,15,-10,15,25,20,108,0,-90
18,163.6765102267274,0.9949176541300985,1,1,8,-14,8,-14,8,-14,8,-14,8,-6,-57,-84,12,-15,17,35,21,86,0,-75
19,179.87217683677486,0.9942863198558161,1,1,3,-4,3,-4,3,-4,3,-4,8,-15,-50,-76,12,-3,21,46,23,115,0,-85
20,151.16877984557524,0.9959324103153474,1,1,1,-11,1,-11,1,-11,1,-11,4,-11,-57,-80,10,-15,16,38,19,84,0,-56
21,132.64237633576985,0.9968437484523704,0,0,4,-8,4,-8,4,-8,4,-8,8,-11,-55,-79,12,-7,13,6,20,68,0,-49
22,111.1080555135405,0.9978198671257147,1,0,9,-4,9,-4,9,-4,9,-4,12,0,-51,-74,12,-5,18,25,12,25,0,-43
23,126.99212574014186,0.9973685445212894,1,1,7,-13,7,-13,7,-13,7,-13,12,2,-47,-68,13,-10,15,23,19,67,0,-49
24,177.80326206231425,0.9950680945304996,0,0,4,-8,4,-8,4,-8,4,-8,7,4,-67,-79,11,3,19,46,24,120,0,-54
25,189.90523952750752,0.9938270642945386,0,0,6,-4,6,-4,6,-4,6,-4,7,0,-60,-84,12,-5,16,47,24,130,0,-71
26,141.45670715805596,0.9966800745277816,1,0,5,-7,5,-7,5,-7,5,-7,7,1,-51,-73,8,-18,14,39,18,91,0,-32
27,158.11072069913538,0.9957788887855323,0,0,7,-7,7,-7,7,-7,7,-7,12,-16,-50,-87,13,-15,14,31,19,101,0,-45
28,170.30267173476756,0.9948407362140061,0,1,4,-11,4,-11,4,-11,4,-11,10,-19,-47,-90,14,-23,13,25,21,115,0,-50
29,175.29974329701685,0.9945112292277524,1,1,3,-11,3,-11,3,-11,3,-11,12,-12,-52,-90,12,-28,19,40,23,110,0,-60
30,184.71599822430107,0.9944096107632964,1,1,15,-9,15,-9,15,-9,15,-9,18,-8,-41,-76,17,-6,21,48,26,124,0,-77
31,197.02030352225123,0.9935992234896697,1,1,7,-6,7,-6,7,-6,7,-6,10,-2,-52,-71,14,-9,20,43,29,150,0,-69
32,167.88984483881092,0.9955413983738076,1,1,9,-5,9,-5,9,-5,9,-5,15,-3,-50,-76,13,-28,24,53,25,113,0,-39
33,179.1898434621784,0.9947471105498622,1,1,7,-4,7,-4,7,-4,7,-4,10,-24,-49,-91,10,-38,20,33,27,123,0,-40
