graph_num,l2_norm,cosine_similarity,g/s_pred_label,g/s_true_label,node_diff_1,edge_diff_1,node_diff_2,edge_diff_2,node_diff_3,edge_diff_3,node_diff_4,edge_diff_4,node_diff_5,edge_diff_5,node_diff_6,edge_diff_6,node_diff_7,edge_diff_7,node_diff_8,edge_diff_8,node_diff_9,edge_diff_9,node_diff_10,edge_diff_10
1,810.2999444650111,0.9961044898924274,1,1,91,48,91,48,91,48,91,48,91,48,91,48,91,48,53,384,53,384,0,-531
2,898.7769467448528,0.99583348003698,1,1,101,102,101,102,101,102,101,102,101,102,101,102,101,102,47,419,47,419,0,-555
3,978.3302101029079,0.9952710917896916,1,1,97,85,97,85,97,85,97,85,97,85,97,85,97,85,58,478,58,478,0,-614
4,977.8563289154496,0.9956324685135205,1,1,104,87,104,87,104,87,104,87,104,87,104,87,104,87,39,461,39,461,0,-632
5,936.7603749091867,0.9940528529672007,0,0,99,71,99,71,99,71,99,71,99,71,99,71,99,71,34,437,34,437,0,-624
6,766.3197765946015,0.9931879769256051,0,0,80,74,80,74,80,74,80,74,80,74,80,74,80,74,24,347,24,347,0,-512
7,665.7364343341891,0.9931553812571672,0,0,52,44,52,44,52,44,52,44,52,44,52,44,52,44,27,333,27,333,0,-433
8,587.746544013659,0.9934631402160914,0,0,50,61,50,61,50,61,50,61,50,61,50,61,50,61,19,282,19,282,0,-377
9,590.4032520235639,0.9924760140267923,0,0,61,75,61,75,61,75,61,75,61,75,61,75,61,75,16,257,16,257,0,-388
10,636.7723298008481,0.9904762105968637,0,0,64,97,64,97,64,97,64,97,64,97,64,97,64,97,26,282,26,282,0,-388
11,536.6302265061111,0.9921692816596795,0,0,46,71,46,71,46,71,46,71,46,71,46,71,46,71,18,250,18,250,0,-335
12,519.2927883188828,0.991608115458925,0,0,47,67,47,67,47,67,47,67,47,67,47,67,47,67,22,245,22,245,0,-319
13,451.5617344284168,0.9919159394033976,0,0,38,74,38,74,38,74,38,74,38,74,38,74,38,74,14,200,14,200,0,-274
14,424.0448089530162,0.992264153853114,0,0,32,66,32,66,32,66,32,66,32,66,32,66,32,66,14,187,14,187,0,-268
15,344.75933634928583,0.994037682570487,0,0,19,46,19,46,19,46,19,46,19,46,19,46,19,46,8,168,8,168,0,-212
16,355.5446526106109,0.9934735585524821,0,0,39,69,39,69,39,69,39,69,39,69,39,69,39,69,9,144,9,144,0,-202
17,300.8222066271039,0.9946576604969533,0,0,31,45,31,45,31,45,31,45,31,45,31,45,31,45,10,136,10,136,0,-180
18,320.94703612901617,0.9936963387536106,0,0,37,43,37,43,37,43,37,43,37,43,37,43,37,43,10,144,10,144,0,-197
19,279.4315658618403,0.9944906669453228,0,0,29,32,29,32,29,32,29,32,29,32,29,32,29,32,5,124,5,124,0,-185
20,271.12912053115946,0.99417684213231,0,0,22,32,22,32,22,32,22,32,22,32,22,32,22,32,6,127,6,127,0,-175
21,268.4231733662353,0.9944455387335682,0,0,33,29,33,29,33,29,33,29,33,29,33,29,33,29,5,115,5,115,0,-179
22,375.198614069935,0.9901632439767845,1,1,40,60,40,60,40,60,40,60,40,60,40,60,40,60,5,148,5,148,0,-246
23,433.1835638617883,0.9879201241791845,1,1,37,70,37,70,37,70,37,70,37,70,37,70,37,70,7,193,7,193,0,-263
24,446.42020563590086,0.987796301243623,1,1,33,74,33,74,33,74,33,74,33,74,33,74,33,74,9,203,9,203,0,-266
25,470.5826176135281,0.9867158911883978,1,1,33,86,33,86,33,86,33,86,33,86,33,86,33,86,9,209,9,209,0,-273
26,464.1379105395292,0.9862828841779695,0,0,27,85,27,85,27,85,27,85,27,85,27,85,27,85,9,212,9,212,0,-264
27,437.01258563112344,0.9880532664315065,1,1,21,79,21,79,21,79,21,79,21,79,21,79,21,79,7,202,7,202,0,-250
28,448.0658433757253,0.9870862009435586,0,0,30,78,30,78,30,78,30,78,30,78,30,78,30,78,12,203,12,203,0,-263
29,334.95223540081054,0.990997951861672,0,0,38,43,38,43,38,43,38,43,38,43,38,43,38,43,8,147,8,147,0,-214
30,315.9319546991092,0.9909567819019833,0,0,24,47,24,47,24,47,24,47,24,47,24,47,24,47,5,146,5,146,0,-194
31,307.61339372660615,0.9914519987036946,0,0,29,45,29,45,29,45,29,45,29,45,29,45,29,45,9,137,9,137,0,-192
32,271.5897641664722,0.9922556282223526,0,0,21,37,21,37,21,37,21,37,21,37,21,37,21,37,7,126,7,126,0,-171
33,337.4507371454388,0.988943654508832,1,1,25,59,25,59,25,59,25,59,25,59,25,59,25,59,12,153,12,153,0,-195
34,307.67515336796373,0.9900343798853513,1,0,23,52,23,52,23,52,23,52,23,52,23,52,23,52,6,140,6,140,0,-181
35,324.764530082951,0.9898753223325939,0,1,33,53,33,53,33,53,33,53,33,53,33,53,33,53,7,138,7,138,0,-200
36,314.9190372143291,0.9901033644669063,0,0,32,54,32,54,32,54,32,54,32,54,32,54,32,54,10,137,10,137,0,-184
37,325.98159457245436,0.989625689553767,1,1,33,49,33,49,33,49,33,49,33,49,33,49,33,49,10,147,10,147,0,-196
38,311.8733717392365,0.9903448863660954,1,1,31,46,31,46,31,46,31,46,31,46,31,46,31,46,6,135,6,135,0,-198
39,305.1507824010943,0.9905683464736167,0,0,30,47,30,47,30,47,30,47,30,47,30,47,30,47,7,134,7,134,0,-188
40,271.654191942624,0.9914574361577021,0,0,22,30,22,30,22,30,22,30,22,30,22,30,22,30,4,130,4,130,0,-174
41,297.18512748790107,0.9909890665708347,1,1,33,31,33,31,33,31,33,31,33,31,33,31,33,31,4,134,4,134,0,-195
42,345.05361902173985,0.988201728679395,0,1,37,45,37,45,37,45,37,45,37,45,37,45,37,45,8,150,8,150,0,-224
43,323.85027404651055,0.988942138656602,0,0,29,47,29,47,29,47,29,47,29,47,29,47,29,47,6,152,6,152,0,-193
44,293.5830376571508,0.9904913268987879,0,0,29,47,29,47,29,47,29,47,29,47,29,47,29,47,4,128,4,128,0,-179
