graph_num,l2_norm,cosine_similarity,g/s_pred_label,g/s_true_label,node_diff_1,edge_diff_1,node_diff_2,edge_diff_2,node_diff_3,edge_diff_3,node_diff_4,edge_diff_4,node_diff_5,edge_diff_5,node_diff_6,edge_diff_6,node_diff_7,edge_diff_7,node_diff_8,edge_diff_8,node_diff_9,edge_diff_9,node_diff_10,edge_diff_10
1,4.358898943540674,0.998803911292549,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,-1,-3,0,-1,0,-1
2,4.358898943540674,0.9988005909517609,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,-2,0,-2,0,-2
3,7.280109889280518,0.9993097595120619,1,1,0,-2,0,-2,0,-2,0,-2,0,-2,0,-2,0,-2,-1,-4,0,-2,0,-2
4,12.649110640673518,0.9990252056278229,1,1,3,2,3,2,3,2,3,2,3,2,3,2,3,2,-1,-6,0,-4,0,-4
5,17.11724276862369,0.9989192285634154,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,-1,-6,0,-4,0,-4
6,25.238858928247925,0.9985617476031414,1,1,5,8,5,8,5,8,5,8,5,8,5,8,5,8,0,-2,1,0,0,-3
7,15.524174696260024,0.9995641350360235,1,1,1,-2,1,-2,1,-2,1,-2,1,-2,1,-2,1,-2,-4,-12,1,-3,0,-6
8,19.467922333931785,0.9996284203606762,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-7,-16,1,-1,0,-4
9,28.30194339616981,0.9994773226102085,1,1,5,2,5,2,5,2,5,2,5,2,5,2,5,2,-6,-20,0,-9,0,-9
10,29.966648127543394,0.9995574812953728,1,1,5,2,5,2,5,2,5,2,5,2,5,2,5,2,-7,-22,0,-9,0,-9
11,35.874782229304195,0.9994288911507806,1,1,7,2,7,2,7,2,7,2,7,2,7,2,7,2,-7,-25,0,-11,0,-11
12,35.58089374931439,0.9994228200866115,0,1,5,-2,5,-2,5,-2,5,-2,5,-2,5,-2,5,-2,-8,-27,1,-10,0,-13
13,35.014282800023196,0.9994302387599869,0,0,4,-3,4,-3,4,-3,4,-3,4,-3,4,-3,4,-3,-9,-28,1,-8,0,-11
14,27.92848008753788,0.99950865248682,0,0,4,-1,4,-1,4,-1,4,-1,4,-1,4,-1,4,-1,-7,-22,0,-8,0,-8
15,24.392621835300936,0.9994269864441113,0,0,4,-2,4,-2,4,-2,4,-2,4,-2,4,-2,4,-2,-4,-17,1,-7,0,-10
16,21.88606862823929,0.9993602452061491,0,0,2,-4,2,-4,2,-4,2,-4,2,-4,2,-4,2,-4,-4,-15,0,-7,0,-7
17,14.560219778561036,0.9994911076621499,0,0,0,-4,0,-4,0,-4,0,-4,0,-4,0,-4,0,-4,-2,-8,0,-4,0,-4
18,10.344080432788601,0.9995525982332121,0,0,0,-3,0,-3,0,-3,0,-3,0,-3,0,-3,0,-3,-1,-5,0,-3,0,-3
19,6.324555320336759,0.9996796924965877,0,0,0,-2,0,-2,0,-2,0,-2,0,-2,0,-2,0,-2,0,-2,0,-2,0,-2
20,3.1622776601683795,0.9998798365773117,0,0,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1
21,6.324555320336759,0.9994716332766337,0,0,0,-2,0,-2,0,-2,0,-2,0,-2,0,-2,0,-2,0,-2,0,-2,0,-2
22,9.486832980505138,0.9985681322700888,0,0,0,-3,0,-3,0,-3,0,-3,0,-3,0,-3,0,-3,0,-3,0,-3,0,-3
23,3.1622776601683795,0.9998317064949375,1,0,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1
24,6.4031242374328485,0.9990739471384523,0,0,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,0,-3,0,-3,0,-3
25,10.344080432788601,0.9985815010804574,1,1,0,-3,0,-3,0,-3,0,-3,0,-3,0,-3,0,-3,-1,-5,0,-3,0,-3
26,8.06225774829855,0.9995028285064007,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,-2,-6,0,-3,0,-3
27,960.8605517971897,0.9868295584400812,1,1,47,307,47,307,47,307,47,307,47,307,47,307,47,307,-99,91,37,310,0,-364
28,1088.9674007976548,0.9924338025982464,1,1,54,347,54,347,54,347,54,347,54,347,54,347,54,347,-252,-47,42,347,0,-367
29,1381.1831884293988,0.9911381952473877,1,1,74,418,74,418,74,418,74,418,74,418,74,418,74,418,-355,-98,75,502,0,-503
30,1487.5281509941249,0.9908167237940816,1,1,69,448,69,448,69,448,69,448,69,448,69,448,69,448,-407,-115,75,555,0,-531
31,1569.5696862516172,0.9906332227304532,1,1,62,481,62,481,62,481,62,481,62,481,62,481,62,481,-454,-124,65,561,0,-526
32,1657.4797132996832,0.990741477590776,1,1,96,498,96,498,96,498,96,498,96,498,96,498,96,498,-457,-143,76,596,0,-597
33,1719.361800203785,0.9908469464591868,1,1,89,497,89,497,89,497,89,497,89,497,89,497,89,497,-574,-253,75,627,0,-616
