graph_num,l2_norm,cosine_similarity,g/s_pred_label,g/s_true_label,node_diff_1,edge_diff_1,node_diff_2,edge_diff_2,node_diff_3,edge_diff_3,node_diff_4,edge_diff_4,node_diff_5,edge_diff_5,node_diff_6,edge_diff_6,node_diff_7,edge_diff_7,node_diff_8,edge_diff_8,node_diff_9,edge_diff_9,node_diff_10,edge_diff_10
1,3228.1657330440767,0.9160953817301861,1,1,22,976,22,976,22,976,22,976,22,976,22,976,22,976,12,1079,12,1079,0,-1192
2,178.3647947325929,0.9880695784628706,0,0,6,52,6,52,6,52,6,52,6,52,6,52,6,52,6,63,6,63,0,-68
3,90.11659114724658,0.993858230789991,0,0,3,23,3,23,3,23,3,23,3,23,3,23,3,23,3,34,3,34,0,-45
4,76.86351540230254,0.9949684647846816,0,0,5,21,5,21,5,21,5,21,5,21,5,21,5,21,4,27,4,27,0,-34
5,95.16827202382105,0.9922595444396117,0,1,6,27,6,27,6,27,6,27,6,27,6,27,6,27,3,28,3,28,0,-46
6,93.637599285757,0.9946371075458107,1,1,5,23,5,23,5,23,5,23,5,23,5,23,5,23,2,33,2,33,0,-52
7,158.082257068907,0.9920589040330501,1,1,15,38,15,38,15,38,15,38,15,38,15,38,15,38,5,48,5,48,0,-93
8,182.2388542545195,0.9937988390270169,1,1,15,40,15,40,15,40,15,40,15,40,15,40,15,40,7,69,7,69,0,-104
9,307.0358285282029,0.9890817376569839,1,1,26,80,26,80,26,80,26,80,26,80,26,80,26,80,12,91,12,91,0,-167
10,622.425899204074,0.9811320276209765,1,1,26,-17,26,-17,26,-17,26,-17,26,-17,26,-17,26,-17,10,343,10,343,0,-381
11,1021.9075300632636,0.9806426547953061,1,1,196,-61,196,-61,196,-61,196,-61,196,-61,196,-61,196,-61,25,341,25,341,0,-718
12,1287.4548535773984,0.9792493511915253,1,1,121,-75,121,-75,121,-75,121,-75,121,-75,121,-75,121,-75,26,621,26,621,0,-862
13,1407.979758377229,0.9793994235764575,1,1,110,-84,110,-84,110,-84,110,-84,110,-84,110,-84,110,-84,27,704,27,704,0,-925
14,1462.0755794417744,0.979324395579756,1,1,87,-95,87,-95,87,-95,87,-95,87,-95,87,-95,87,-95,25,752,25,752,0,-943
15,1487.9946236462013,0.9792707187213356,1,1,67,-95,67,-95,67,-95,67,-95,67,-95,67,-95,67,-95,18,793,18,793,0,-928
16,3725.483190137891,0.9699786441194002,1,1,709,275,709,275,709,275,709,275,709,275,709,275,709,275,110,827,110,827,0,-2905
17,3545.667638118384,0.9735318821436558,1,1,226,289,226,289,226,289,226,289,226,289,226,289,226,289,46,1736,46,1736,0,-2366
18,3638.0057723978393,0.9670883629901422,0,0,115,359,115,359,115,359,115,359,115,359,115,359,115,359,49,1877,49,1877,0,-2278
19,3571.2618218215252,0.9666683393413422,0,0,123,359,123,359,123,359,123,359,123,359,123,359,123,359,42,1812,42,1812,0,-2275
20,3698.420203275988,0.9621778685102419,0,0,108,397,108,397,108,397,108,397,108,397,108,397,108,397,36,1892,36,1892,0,-2309
21,3802.242364710593,0.9596856334879418,1,1,77,400,77,400,77,400,77,400,77,400,77,400,77,400,41,1971,41,1971,0,-2350
22,3928.2068428228167,0.9583905060777705,0,1,103,431,103,431,103,431,103,431,103,431,103,431,103,431,41,2002,41,2002,0,-2457
