Epoch 01 | Edge Type: o-o-bank  | Validation AUCROC 0.5905 | GPU: 83.6MiB
Epoch 01 | Edge Type: o-o-nobank  | Validation AUCROC 0.5768 | GPU: 83.6MiB
Epoch 01 | Edge Type: o-n  | Validation AUCROC 0.5924 | GPU: 83.6MiB
Epoch 01 | Edge Type: n-n  | Validation AUCROC 0.5929 | GPU: 83.6MiB
Epoch 01 | Edge Type: o-o-bank  | Validation AUCROC 0.5873 | GPU: 83.6MiB
Epoch 01 | Edge Type: o-o-nobank  | Validation AUCROC 0.5812 | GPU: 83.6MiB
Epoch 01 | Edge Type: o-n  | Validation AUCROC 0.5959 | GPU: 83.6MiB
Epoch 01 | Edge Type: n-n  | Validation AUCROC 0.5947 | GPU: 83.6MiB
Epoch 02 | Edge Type: o-o-bank  | Validation AUCROC 0.5837 | GPU: 83.6MiB
Epoch 02 | Edge Type: o-o-nobank  | Validation AUCROC 0.5738 | GPU: 83.6MiB
Epoch 02 | Edge Type: o-n  | Validation AUCROC 0.5883 | GPU: 83.6MiB
Epoch 02 | Edge Type: n-n  | Validation AUCROC 0.5884 | GPU: 83.6MiB
Epoch 03 | Edge Type: o-o-bank  | Validation AUCROC 0.5710 | GPU: 83.6MiB
Epoch 03 | Edge Type: o-o-nobank  | Validation AUCROC 0.5641 | GPU: 83.6MiB
Epoch 03 | Edge Type: o-n  | Validation AUCROC 0.5769 | GPU: 83.6MiB
Epoch 03 | Edge Type: n-n  | Validation AUCROC 0.5772 | GPU: 83.6MiB
Epoch 04 | Edge Type: o-o-bank  | Validation AUCROC 0.5642 | GPU: 83.6MiB
Epoch 04 | Edge Type: o-o-nobank  | Validation AUCROC 0.5625 | GPU: 83.6MiB
Epoch 04 | Edge Type: o-n  | Validation AUCROC 0.5752 | GPU: 83.6MiB
Epoch 04 | Edge Type: n-n  | Validation AUCROC 0.5757 | GPU: 83.6MiB
Epoch 05 | Edge Type: o-o-bank  | Validation AUCROC 0.5612 | GPU: 83.6MiB
Epoch 05 | Edge Type: o-o-nobank  | Validation AUCROC 0.5612 | GPU: 83.6MiB
Epoch 05 | Edge Type: o-n  | Validation AUCROC 0.5747 | GPU: 83.6MiB
Epoch 05 | Edge Type: n-n  | Validation AUCROC 0.5751 | GPU: 83.6MiB
Epoch 06 | Edge Type: o-o-bank  | Validation AUCROC 0.5628 | GPU: 83.6MiB
Epoch 06 | Edge Type: o-o-nobank  | Validation AUCROC 0.5621 | GPU: 83.6MiB
Epoch 06 | Edge Type: o-n  | Validation AUCROC 0.5764 | GPU: 83.6MiB
Epoch 06 | Edge Type: n-n  | Validation AUCROC 0.5766 | GPU: 83.6MiB
Epoch 07 | Edge Type: o-o-bank  | Validation AUCROC 0.5602 | GPU: 83.6MiB
Epoch 07 | Edge Type: o-o-nobank  | Validation AUCROC 0.5588 | GPU: 83.6MiB
Epoch 07 | Edge Type: o-n  | Validation AUCROC 0.5731 | GPU: 83.6MiB
Epoch 07 | Edge Type: n-n  | Validation AUCROC 0.5739 | GPU: 83.6MiB
