Epoch: 01 | Edge Type: o-o-bank | Train Loss: 0.7685 | Train AUCROC: nan | GPU: 0.0MiB
Epoch: 01 | Edge Type: o-o-nobank | Train Loss: 0.7071 | Train AUCROC: 0.5090 | GPU: 0.0MiB
Epoch: 01 | Edge Type: o-n | Train Loss: 0.7063 | Train AUCROC: 0.4966 | GPU: 0.0MiB
Epoch: 01 | Edge Type: n-n | Train Loss: 0.7231 | Train AUCROC: 0.5000 | GPU: 0.0MiB
Epoch: 01 | Edge Type: o-o-bank | Train Loss: 0.7949 | Train AUCROC: nan | GPU: 0.0MiB
Epoch: 01 | Edge Type: o-o-nobank | Train Loss: 0.7072 | Train AUCROC: 0.4699 | GPU: 0.0MiB
Epoch: 01 | Edge Type: o-n | Train Loss: 0.7056 | Train AUCROC: 0.4972 | GPU: 0.0MiB
Epoch: 01 | Edge Type: n-n | Train Loss: 0.7231 | Train AUCROC: 0.5000 | GPU: 0.0MiB
Epoch: 01 | Edge Type: o-o-bank | Train Loss: 0.7655 | Train AUCROC: nan | GPU: 0.0MiB
Epoch: 01 | Edge Type: o-o-nobank | Train Loss: 0.7066 | Train AUCROC: 0.4958 | GPU: 0.0MiB
Epoch: 01 | Edge Type: o-n | Train Loss: 0.7060 | Train AUCROC: 0.5008 | GPU: 0.0MiB
Epoch: 01 | Edge Type: n-n | Train Loss: 0.7233 | Train AUCROC: 0.5000 | GPU: 0.0MiB
Epoch: 02 | Edge Type: o-o-bank | Train Loss: 0.7311 | Train AUCROC: nan | GPU: 0.0MiB
Epoch: 02 | Edge Type: o-o-nobank | Train Loss: 0.7036 | Train AUCROC: 0.5097 | GPU: 0.0MiB
Epoch: 02 | Edge Type: o-n | Train Loss: 0.7037 | Train AUCROC: 0.4976 | GPU: 0.0MiB
Epoch: 02 | Edge Type: n-n | Train Loss: 0.7231 | Train AUCROC: 0.5000 | GPU: 0.0MiB
Epoch: 03 | Edge Type: o-o-bank | Train Loss: 0.7272 | Train AUCROC: nan | GPU: 0.0MiB
Epoch: 03 | Edge Type: o-o-nobank | Train Loss: 0.7011 | Train AUCROC: 0.5030 | GPU: 0.0MiB
Epoch: 03 | Edge Type: o-n | Train Loss: 0.7022 | Train AUCROC: 0.5004 | GPU: 0.0MiB
Epoch: 03 | Edge Type: n-n | Train Loss: 0.7230 | Train AUCROC: 0.5000 | GPU: 0.0MiB
Epoch: 04 | Edge Type: o-o-bank | Train Loss: 0.7256 | Train AUCROC: nan | GPU: 0.0MiB
Epoch: 04 | Edge Type: o-o-nobank | Train Loss: 0.6993 | Train AUCROC: 0.5121 | GPU: 0.0MiB
Epoch: 04 | Edge Type: o-n | Train Loss: 0.7014 | Train AUCROC: 0.5038 | GPU: 0.0MiB
Epoch: 04 | Edge Type: n-n | Train Loss: 0.7231 | Train AUCROC: 0.5000 | GPU: 0.0MiB
Epoch: 05 | Edge Type: o-o-bank | Train Loss: 0.7244 | Train AUCROC: nan | GPU: 0.0MiB
Epoch: 05 | Edge Type: o-o-nobank | Train Loss: 0.6978 | Train AUCROC: 0.5199 | GPU: 0.0MiB
Epoch: 05 | Edge Type: o-n | Train Loss: 0.7009 | Train AUCROC: 0.4999 | GPU: 0.0MiB
Epoch: 05 | Edge Type: n-n | Train Loss: 0.7230 | Train AUCROC: 0.5000 | GPU: 0.0MiB
Epoch: 06 | Edge Type: o-o-bank | Train Loss: 0.7234 | Train AUCROC: nan | GPU: 0.0MiB
Epoch: 06 | Edge Type: o-o-nobank | Train Loss: 0.6961 | Train AUCROC: 0.4735 | GPU: 0.0MiB
Epoch: 06 | Edge Type: o-n | Train Loss: 0.6993 | Train AUCROC: 0.5019 | GPU: 0.0MiB
Epoch: 06 | Edge Type: n-n | Train Loss: 0.7233 | Train AUCROC: 0.5000 | GPU: 0.0MiB
Epoch: 07 | Edge Type: o-o-bank | Train Loss: 0.7224 | Train AUCROC: nan | GPU: 0.0MiB
Epoch: 07 | Edge Type: o-o-nobank | Train Loss: 0.6938 | Train AUCROC: 0.5178 | GPU: 0.0MiB
Epoch: 07 | Edge Type: o-n | Train Loss: 0.6992 | Train AUCROC: 0.5036 | GPU: 0.0MiB
Epoch: 07 | Edge Type: n-n | Train Loss: 0.7232 | Train AUCROC: 0.5000 | GPU: 0.0MiB
Epoch: 08 | Edge Type: o-o-bank | Train Loss: 0.7214 | Train AUCROC: nan | GPU: 0.0MiB
Epoch: 08 | Edge Type: o-o-nobank | Train Loss: 0.6915 | Train AUCROC: 0.4970 | GPU: 0.0MiB
Epoch: 08 | Edge Type: o-n | Train Loss: 0.6987 | Train AUCROC: 0.4995 | GPU: 0.0MiB
Epoch: 08 | Edge Type: n-n | Train Loss: 0.7231 | Train AUCROC: 0.5000 | GPU: 0.0MiB
Epoch: 09 | Edge Type: o-o-bank | Train Loss: 0.7204 | Train AUCROC: nan | GPU: 0.0MiB
Epoch: 09 | Edge Type: o-o-nobank | Train Loss: 0.6886 | Train AUCROC: 0.5101 | GPU: 0.0MiB
Epoch: 09 | Edge Type: o-n | Train Loss: 0.6983 | Train AUCROC: 0.4969 | GPU: 0.0MiB
Epoch: 09 | Edge Type: n-n | Train Loss: 0.7232 | Train AUCROC: 0.5000 | GPU: 0.0MiB
Epoch: 10 | Edge Type: o-o-bank | Train Loss: 0.7194 | Train AUCROC: nan | GPU: 0.0MiB
Epoch: 10 | Edge Type: o-o-nobank | Train Loss: 0.6861 | Train AUCROC: 0.5230 | GPU: 0.0MiB
Epoch: 10 | Edge Type: o-n | Train Loss: 0.6972 | Train AUCROC: 0.5019 | GPU: 0.0MiB
Epoch: 10 | Edge Type: n-n | Train Loss: 0.7232 | Train AUCROC: 0.5000 | GPU: 0.0MiB
Epoch: 11 | Edge Type: o-o-bank | Train Loss: 0.7184 | Train AUCROC: nan | GPU: 0.0MiB
Epoch: 11 | Edge Type: o-o-nobank | Train Loss: 0.6832 | Train AUCROC: 0.5077 | GPU: 0.0MiB
Epoch: 11 | Edge Type: o-n | Train Loss: 0.6965 | Train AUCROC: 0.4975 | GPU: 0.0MiB
Epoch: 11 | Edge Type: n-n | Train Loss: 0.7232 | Train AUCROC: 0.5000 | GPU: 0.0MiB
Epoch: 12 | Edge Type: o-o-bank | Train Loss: 0.7174 | Train AUCROC: nan | GPU: 0.0MiB
Epoch: 12 | Edge Type: o-o-nobank | Train Loss: 0.6808 | Train AUCROC: 0.4992 | GPU: 0.0MiB
Epoch: 12 | Edge Type: o-n | Train Loss: 0.6953 | Train AUCROC: 0.4982 | GPU: 0.0MiB
Epoch: 12 | Edge Type: n-n | Train Loss: 0.7231 | Train AUCROC: 0.5000 | GPU: 0.0MiB
Epoch: 13 | Edge Type: o-o-bank | Train Loss: 0.7166 | Train AUCROC: nan | GPU: 0.0MiB
Epoch: 13 | Edge Type: o-o-nobank | Train Loss: 0.6781 | Train AUCROC: 0.4818 | GPU: 0.0MiB
Epoch: 13 | Edge Type: o-n | Train Loss: 0.6952 | Train AUCROC: 0.5036 | GPU: 0.0MiB
Epoch: 13 | Edge Type: n-n | Train Loss: 0.7231 | Train AUCROC: 0.5000 | GPU: 0.0MiB
Epoch: 14 | Edge Type: o-o-bank | Train Loss: 0.7157 | Train AUCROC: nan | GPU: 0.0MiB
Epoch: 14 | Edge Type: o-o-nobank | Train Loss: 0.6753 | Train AUCROC: 0.5184 | GPU: 0.0MiB
Epoch: 14 | Edge Type: o-n | Train Loss: 0.6949 | Train AUCROC: 0.5001 | GPU: 0.0MiB
Epoch: 14 | Edge Type: n-n | Train Loss: 0.7231 | Train AUCROC: 0.5000 | GPU: 0.0MiB
Epoch: 15 | Edge Type: o-o-bank | Train Loss: 0.7148 | Train AUCROC: nan | GPU: 0.0MiB
Epoch: 15 | Edge Type: o-o-nobank | Train Loss: 0.6736 | Train AUCROC: 0.4982 | GPU: 0.0MiB
Epoch: 15 | Edge Type: o-n | Train Loss: 0.6942 | Train AUCROC: 0.4998 | GPU: 0.0MiB
Epoch: 15 | Edge Type: n-n | Train Loss: 0.7230 | Train AUCROC: 0.5000 | GPU: 0.0MiB
Epoch: 16 | Edge Type: o-o-bank | Train Loss: 0.7139 | Train AUCROC: nan | GPU: 0.0MiB
Epoch: 16 | Edge Type: o-o-nobank | Train Loss: 0.6713 | Train AUCROC: 0.5091 | GPU: 0.0MiB
Epoch: 16 | Edge Type: o-n | Train Loss: 0.6937 | Train AUCROC: 0.4974 | GPU: 0.0MiB
Epoch: 16 | Edge Type: n-n | Train Loss: 0.7231 | Train AUCROC: 0.5000 | GPU: 0.0MiB
Epoch: 17 | Edge Type: o-o-bank | Train Loss: 0.7130 | Train AUCROC: nan | GPU: 0.0MiB
Epoch: 17 | Edge Type: o-o-nobank | Train Loss: 0.6693 | Train AUCROC: 0.5036 | GPU: 0.0MiB
Epoch: 17 | Edge Type: o-n | Train Loss: 0.6940 | Train AUCROC: 0.4990 | GPU: 0.0MiB
Epoch: 17 | Edge Type: n-n | Train Loss: 0.7230 | Train AUCROC: 0.5000 | GPU: 0.0MiB
Epoch: 18 | Edge Type: o-o-bank | Train Loss: 0.7120 | Train AUCROC: nan | GPU: 0.0MiB
Epoch: 18 | Edge Type: o-o-nobank | Train Loss: 0.6671 | Train AUCROC: 0.5092 | GPU: 0.0MiB
Epoch: 18 | Edge Type: o-n | Train Loss: 0.6940 | Train AUCROC: 0.4992 | GPU: 0.0MiB
Epoch: 18 | Edge Type: n-n | Train Loss: 0.7230 | Train AUCROC: 0.5000 | GPU: 0.0MiB
Epoch: 19 | Edge Type: o-o-bank | Train Loss: 0.7110 | Train AUCROC: nan | GPU: 0.0MiB
Epoch: 19 | Edge Type: o-o-nobank | Train Loss: 0.6651 | Train AUCROC: 0.5091 | GPU: 0.0MiB
Epoch: 19 | Edge Type: o-n | Train Loss: 0.6928 | Train AUCROC: 0.4961 | GPU: 0.0MiB
Epoch: 19 | Edge Type: n-n | Train Loss: 0.7231 | Train AUCROC: 0.5000 | GPU: 0.0MiB
Epoch: 20 | Edge Type: o-o-bank | Train Loss: 0.7101 | Train AUCROC: nan | GPU: 0.0MiB
Epoch: 20 | Edge Type: o-o-nobank | Train Loss: 0.6637 | Train AUCROC: 0.4879 | GPU: 0.0MiB
Epoch: 20 | Edge Type: o-n | Train Loss: 0.6929 | Train AUCROC: 0.4957 | GPU: 0.0MiB
Epoch: 20 | Edge Type: n-n | Train Loss: 0.7229 | Train AUCROC: 0.5000 | GPU: 0.0MiB
Epoch: 21 | Edge Type: o-o-bank | Train Loss: 0.7091 | Train AUCROC: nan | GPU: 0.0MiB
Epoch: 21 | Edge Type: o-o-nobank | Train Loss: 0.6619 | Train AUCROC: 0.4955 | GPU: 0.0MiB
Epoch: 21 | Edge Type: o-n | Train Loss: 0.6923 | Train AUCROC: 0.4997 | GPU: 0.0MiB
Epoch: 21 | Edge Type: n-n | Train Loss: 0.7232 | Train AUCROC: 0.5000 | GPU: 0.0MiB
