Epoch: 01 | Edge Type: o-o-bank | Train Loss: 3.0538 | Train AUCROC: 0.4943 | GPU: 0.0MiB
Epoch: 01 | Edge Type: o-o-nobank | Train Loss: 7.8613 | Train AUCROC: 0.5060 | GPU: 0.0MiB
Epoch: 01 | Edge Type: o-n | Train Loss: 5.2318 | Train AUCROC: 0.4987 | GPU: 0.0MiB
Epoch: 01 | Edge Type: n-n | Train Loss: 0.4749 | Train AUCROC: 0.5015 | GPU: 0.0MiB
Epoch: 02 | Edge Type: o-o-bank | Train Loss: 2.6576 | Train AUCROC: 0.5010 | GPU: 0.0MiB
Epoch: 02 | Edge Type: o-o-nobank | Train Loss: 5.1603 | Train AUCROC: 0.5291 | GPU: 0.0MiB
Epoch: 02 | Edge Type: o-n | Train Loss: 2.6200 | Train AUCROC: 0.5021 | GPU: 0.0MiB
Epoch: 02 | Edge Type: n-n | Train Loss: 0.4641 | Train AUCROC: 0.5037 | GPU: 0.0MiB
Epoch: 03 | Edge Type: o-o-bank | Train Loss: 2.4258 | Train AUCROC: 0.5041 | GPU: 0.0MiB
Epoch: 03 | Edge Type: o-o-nobank | Train Loss: 6.0733 | Train AUCROC: 0.5010 | GPU: 0.0MiB
Epoch: 03 | Edge Type: o-n | Train Loss: 3.7405 | Train AUCROC: 0.5010 | GPU: 0.0MiB
Epoch: 03 | Edge Type: n-n | Train Loss: 0.4597 | Train AUCROC: 0.4998 | GPU: 0.0MiB
Epoch: 04 | Edge Type: o-o-bank | Train Loss: 2.1111 | Train AUCROC: 0.4952 | GPU: 0.0MiB
Epoch: 04 | Edge Type: o-o-nobank | Train Loss: 2.1029 | Train AUCROC: 0.4821 | GPU: 0.0MiB
Epoch: 04 | Edge Type: o-n | Train Loss: 1.6339 | Train AUCROC: 0.5002 | GPU: 0.0MiB
Epoch: 04 | Edge Type: n-n | Train Loss: 0.4586 | Train AUCROC: 0.4979 | GPU: 0.0MiB
Epoch: 05 | Edge Type: o-o-bank | Train Loss: 2.4819 | Train AUCROC: 0.4956 | GPU: 0.0MiB
Epoch: 05 | Edge Type: o-o-nobank | Train Loss: 5.6545 | Train AUCROC: 0.4989 | GPU: 0.0MiB
Epoch: 05 | Edge Type: o-n | Train Loss: 1.7463 | Train AUCROC: 0.4988 | GPU: 0.0MiB
Epoch: 05 | Edge Type: n-n | Train Loss: 0.4591 | Train AUCROC: 0.4992 | GPU: 0.0MiB
Epoch: 06 | Edge Type: o-o-bank | Train Loss: 3.9430 | Train AUCROC: 0.5059 | GPU: 0.0MiB
Epoch: 06 | Edge Type: o-o-nobank | Train Loss: 6.9357 | Train AUCROC: 0.5088 | GPU: 0.0MiB
Epoch: 06 | Edge Type: o-n | Train Loss: 1.7234 | Train AUCROC: 0.5025 | GPU: 0.0MiB
Epoch: 06 | Edge Type: n-n | Train Loss: 0.4519 | Train AUCROC: 0.4990 | GPU: 0.0MiB
Epoch: 07 | Edge Type: o-o-bank | Train Loss: 2.3988 | Train AUCROC: 0.4908 | GPU: 0.0MiB
Epoch: 07 | Edge Type: o-o-nobank | Train Loss: 6.3532 | Train AUCROC: 0.4829 | GPU: 0.0MiB
Epoch: 07 | Edge Type: o-n | Train Loss: 1.6050 | Train AUCROC: 0.5002 | GPU: 0.0MiB
Epoch: 07 | Edge Type: n-n | Train Loss: 0.4538 | Train AUCROC: 0.5025 | GPU: 0.0MiB
Epoch: 08 | Edge Type: o-o-bank | Train Loss: 1.7441 | Train AUCROC: 0.5116 | GPU: 0.0MiB
Epoch: 08 | Edge Type: o-o-nobank | Train Loss: 5.2522 | Train AUCROC: 0.4803 | GPU: 0.0MiB
Epoch: 08 | Edge Type: o-n | Train Loss: 1.8391 | Train AUCROC: 0.4993 | GPU: 0.0MiB
Epoch: 08 | Edge Type: n-n | Train Loss: 0.4518 | Train AUCROC: 0.4998 | GPU: 0.0MiB
Epoch: 09 | Edge Type: o-o-bank | Train Loss: 0.5466 | Train AUCROC: 0.5037 | GPU: 0.0MiB
Epoch: 09 | Edge Type: o-o-nobank | Train Loss: 5.0254 | Train AUCROC: 0.5034 | GPU: 0.0MiB
Epoch: 09 | Edge Type: o-n | Train Loss: 1.8618 | Train AUCROC: 0.5021 | GPU: 0.0MiB
Epoch: 09 | Edge Type: n-n | Train Loss: 0.4536 | Train AUCROC: 0.4989 | GPU: 0.0MiB
Epoch: 10 | Edge Type: o-o-bank | Train Loss: 0.6760 | Train AUCROC: 0.5125 | GPU: 0.0MiB
Epoch: 10 | Edge Type: o-o-nobank | Train Loss: 4.3398 | Train AUCROC: 0.4958 | GPU: 0.0MiB
Epoch: 10 | Edge Type: o-n | Train Loss: 2.2937 | Train AUCROC: 0.5022 | GPU: 0.0MiB
Epoch: 10 | Edge Type: n-n | Train Loss: 0.4492 | Train AUCROC: 0.4992 | GPU: 0.0MiB
Epoch: 11 | Edge Type: o-o-bank | Train Loss: 1.2404 | Train AUCROC: 0.4966 | GPU: 0.0MiB
Epoch: 11 | Edge Type: o-o-nobank | Train Loss: 3.8475 | Train AUCROC: 0.5056 | GPU: 0.0MiB
Epoch: 11 | Edge Type: o-n | Train Loss: 2.4184 | Train AUCROC: 0.4988 | GPU: 0.0MiB
Epoch: 11 | Edge Type: n-n | Train Loss: 0.4513 | Train AUCROC: 0.4942 | GPU: 0.0MiB
Epoch: 12 | Edge Type: o-o-bank | Train Loss: 2.0326 | Train AUCROC: 0.5034 | GPU: 0.0MiB
Epoch: 12 | Edge Type: o-o-nobank | Train Loss: 3.8372 | Train AUCROC: 0.4981 | GPU: 0.0MiB
Epoch: 12 | Edge Type: o-n | Train Loss: 1.8968 | Train AUCROC: 0.5065 | GPU: 0.0MiB
Epoch: 12 | Edge Type: n-n | Train Loss: 0.4475 | Train AUCROC: 0.5069 | GPU: 0.0MiB
Epoch: 13 | Edge Type: o-o-bank | Train Loss: 1.5287 | Train AUCROC: 0.4973 | GPU: 0.0MiB
Epoch: 13 | Edge Type: o-o-nobank | Train Loss: 3.8160 | Train AUCROC: 0.4945 | GPU: 0.0MiB
Epoch: 13 | Edge Type: o-n | Train Loss: 2.0046 | Train AUCROC: 0.4959 | GPU: 0.0MiB
Epoch: 13 | Edge Type: n-n | Train Loss: 0.4472 | Train AUCROC: 0.5039 | GPU: 0.0MiB
Epoch: 14 | Edge Type: o-o-bank | Train Loss: 1.1020 | Train AUCROC: 0.4920 | GPU: 0.0MiB
Epoch: 14 | Edge Type: o-o-nobank | Train Loss: 3.8204 | Train AUCROC: 0.4912 | GPU: 0.0MiB
Epoch: 14 | Edge Type: o-n | Train Loss: 1.7728 | Train AUCROC: 0.5028 | GPU: 0.0MiB
Epoch: 14 | Edge Type: n-n | Train Loss: 0.4486 | Train AUCROC: 0.5045 | GPU: 0.0MiB
Epoch: 15 | Edge Type: o-o-bank | Train Loss: 2.4489 | Train AUCROC: 0.4926 | GPU: 0.0MiB
Epoch: 15 | Edge Type: o-o-nobank | Train Loss: 3.9112 | Train AUCROC: 0.4887 | GPU: 0.0MiB
Epoch: 15 | Edge Type: o-n | Train Loss: 1.2310 | Train AUCROC: 0.5006 | GPU: 0.0MiB
Epoch: 15 | Edge Type: n-n | Train Loss: 0.4466 | Train AUCROC: 0.4959 | GPU: 0.0MiB
