Epoch 01 | Edge Type: o-o-bank  | Validation AUCROC 0.6273 | GPU: 137.7MiB
Epoch 01 | Edge Type: o-o-nobank  | Validation AUCROC 0.6275 | GPU: 137.7MiB
Epoch 01 | Edge Type: o-n  | Validation AUCROC 0.6336 | GPU: 137.7MiB
Epoch 01 | Edge Type: n-n  | Validation AUCROC 0.6278 | GPU: 137.7MiB
Epoch 02 | Edge Type: o-o-bank  | Validation AUCROC 0.6355 | GPU: 137.7MiB
Epoch 02 | Edge Type: o-o-nobank  | Validation AUCROC 0.6383 | GPU: 137.7MiB
Epoch 02 | Edge Type: o-n  | Validation AUCROC 0.6368 | GPU: 137.7MiB
Epoch 02 | Edge Type: n-n  | Validation AUCROC 0.6377 | GPU: 137.7MiB
Epoch 03 | Edge Type: o-o-bank  | Validation AUCROC 0.6916 | GPU: 137.7MiB
Epoch 03 | Edge Type: o-o-nobank  | Validation AUCROC 0.6951 | GPU: 137.7MiB
Epoch 03 | Edge Type: o-n  | Validation AUCROC 0.6971 | GPU: 137.7MiB
Epoch 03 | Edge Type: n-n  | Validation AUCROC 0.6974 | GPU: 137.7MiB
