Epoch: 01 | Edge Type: o-o-bank | Train Loss: 0.5129 | Train AUCROC: 0.0435 | GPU: 0.0MiB
Epoch: 01 | Edge Type: o-o-nobank | Train Loss: 0.6618 | Train AUCROC: 0.0938 | GPU: 0.0MiB
Epoch: 01 | Edge Type: o-n | Train Loss: 0.6996 | Train AUCROC: 0.5420 | GPU: 0.0MiB
Epoch: 01 | Edge Type: n-n | Train Loss: 0.7144 | Train AUCROC: 0.2378 | GPU: 0.0MiB
Epoch: 02 | Edge Type: o-o-bank | Train Loss: 0.5177 | Train AUCROC: 0.0462 | GPU: 0.0MiB
Epoch: 02 | Edge Type: o-o-nobank | Train Loss: 0.6646 | Train AUCROC: 0.0842 | GPU: 0.0MiB
Epoch: 02 | Edge Type: o-n | Train Loss: 0.6609 | Train AUCROC: 0.5969 | GPU: 0.0MiB
Epoch: 02 | Edge Type: n-n | Train Loss: 0.7048 | Train AUCROC: 0.2397 | GPU: 0.0MiB
Epoch: 03 | Edge Type: o-o-bank | Train Loss: 0.5094 | Train AUCROC: 0.0452 | GPU: 0.0MiB
Epoch: 03 | Edge Type: o-o-nobank | Train Loss: 0.6718 | Train AUCROC: 0.0769 | GPU: 0.0MiB
Epoch: 03 | Edge Type: o-n | Train Loss: 0.6437 | Train AUCROC: 0.6368 | GPU: 0.0MiB
Epoch: 03 | Edge Type: n-n | Train Loss: 0.6971 | Train AUCROC: 0.2460 | GPU: 0.0MiB
Epoch: 04 | Edge Type: o-o-bank | Train Loss: 0.5055 | Train AUCROC: 0.0505 | GPU: 0.0MiB
Epoch: 04 | Edge Type: o-o-nobank | Train Loss: 0.6645 | Train AUCROC: 0.0767 | GPU: 0.0MiB
Epoch: 04 | Edge Type: o-n | Train Loss: 0.6335 | Train AUCROC: 0.6367 | GPU: 0.0MiB
Epoch: 04 | Edge Type: n-n | Train Loss: 0.6946 | Train AUCROC: 0.2393 | GPU: 0.0MiB
Epoch: 05 | Edge Type: o-o-bank | Train Loss: 0.5115 | Train AUCROC: 0.0490 | GPU: 0.0MiB
Epoch: 05 | Edge Type: o-o-nobank | Train Loss: 0.6651 | Train AUCROC: 0.0727 | GPU: 0.0MiB
Epoch: 05 | Edge Type: o-n | Train Loss: 0.6289 | Train AUCROC: 0.6417 | GPU: 0.0MiB
Epoch: 05 | Edge Type: n-n | Train Loss: 0.6941 | Train AUCROC: 0.2408 | GPU: 0.0MiB
Epoch: 06 | Edge Type: o-o-bank | Train Loss: 0.5027 | Train AUCROC: 0.0495 | GPU: 0.0MiB
Epoch: 06 | Edge Type: o-o-nobank | Train Loss: 0.6668 | Train AUCROC: 0.0726 | GPU: 0.0MiB
Epoch: 06 | Edge Type: o-n | Train Loss: 0.6239 | Train AUCROC: 0.6634 | GPU: 0.0MiB
Epoch: 06 | Edge Type: n-n | Train Loss: 0.6938 | Train AUCROC: 0.2402 | GPU: 0.0MiB
Epoch: 07 | Edge Type: o-o-bank | Train Loss: 0.5009 | Train AUCROC: 0.0548 | GPU: 0.0MiB
Epoch: 07 | Edge Type: o-o-nobank | Train Loss: 0.6745 | Train AUCROC: 0.0684 | GPU: 0.0MiB
Epoch: 07 | Edge Type: o-n | Train Loss: 0.6218 | Train AUCROC: 0.6623 | GPU: 0.0MiB
Epoch: 07 | Edge Type: n-n | Train Loss: 0.6936 | Train AUCROC: 0.2369 | GPU: 0.0MiB
Epoch: 08 | Edge Type: o-o-bank | Train Loss: 0.4966 | Train AUCROC: 0.0522 | GPU: 0.0MiB
Epoch: 08 | Edge Type: o-o-nobank | Train Loss: 0.6634 | Train AUCROC: 0.0630 | GPU: 0.0MiB
Epoch: 08 | Edge Type: o-n | Train Loss: 0.6182 | Train AUCROC: 0.6612 | GPU: 0.0MiB
Epoch: 08 | Edge Type: n-n | Train Loss: 0.6936 | Train AUCROC: 0.2428 | GPU: 0.0MiB
Epoch: 09 | Edge Type: o-o-bank | Train Loss: 0.4827 | Train AUCROC: 0.0534 | GPU: 0.0MiB
Epoch: 09 | Edge Type: o-o-nobank | Train Loss: 0.6635 | Train AUCROC: 0.0629 | GPU: 0.0MiB
Epoch: 09 | Edge Type: o-n | Train Loss: 0.6168 | Train AUCROC: 0.6601 | GPU: 0.0MiB
Epoch: 09 | Edge Type: n-n | Train Loss: 0.6933 | Train AUCROC: 0.2392 | GPU: 0.0MiB
Epoch: 10 | Edge Type: o-o-bank | Train Loss: 0.4796 | Train AUCROC: 0.0592 | GPU: 0.0MiB
Epoch: 10 | Edge Type: o-o-nobank | Train Loss: 0.6562 | Train AUCROC: 0.0610 | GPU: 0.0MiB
Epoch: 10 | Edge Type: o-n | Train Loss: 0.6146 | Train AUCROC: 0.6599 | GPU: 0.0MiB
