Epoch: 01 | Edge Type: o-o-bank | Train Loss: 0.6016 | Train AUCROC: 0.5753 | GPU: 0.0MiB
Epoch: 01 | Edge Type: n-n | Train Loss: 0.6932 | Train AUCROC: 0.4999 | GPU: 0.0MiB
Epoch: 01 | Edge Type: o-n | Train Loss: 0.6921 | Train AUCROC: 0.5915 | GPU: 0.0MiB
Epoch: 01 | Edge Type: o-o-nobank | Train Loss: 0.6752 | Train AUCROC: 0.6211 | GPU: 0.0MiB
Epoch: 01 | Edge Type: n-n | Train Loss: 0.6944 | Train AUCROC: 0.5000 | GPU: 0.0MiB
Epoch: 01 | Edge Type: o-n | Train Loss: 0.6781 | Train AUCROC: 0.5900 | GPU: 0.0MiB
Epoch: 01 | Edge Type: o-o-nobank | Train Loss: 0.6744 | Train AUCROC: 0.6106 | GPU: 0.0MiB
Epoch: 02 | Edge Type: o-o-bank | Train Loss: 0.5838 | Train AUCROC: 0.6180 | GPU: 0.0MiB
Epoch: 02 | Edge Type: n-n | Train Loss: 0.6932 | Train AUCROC: 0.5000 | GPU: 0.0MiB
Epoch: 02 | Edge Type: o-n | Train Loss: 0.6728 | Train AUCROC: 0.5587 | GPU: 0.0MiB
Epoch: 02 | Edge Type: o-o-nobank | Train Loss: 0.6590 | Train AUCROC: 0.6567 | GPU: 0.0MiB
Epoch: 02 | Edge Type: n-n | Train Loss: 0.6932 | Train AUCROC: 0.5000 | GPU: 0.0MiB
Epoch: 02 | Edge Type: o-n | Train Loss: 0.6591 | Train AUCROC: 0.6106 | GPU: 0.0MiB
Epoch: 02 | Edge Type: o-o-nobank | Train Loss: 0.6576 | Train AUCROC: 0.6529 | GPU: 0.0MiB
Epoch: 03 | Edge Type: o-o-bank | Train Loss: 0.5770 | Train AUCROC: 0.6303 | GPU: 0.0MiB
Epoch: 03 | Edge Type: n-n | Train Loss: 0.6932 | Train AUCROC: 0.5000 | GPU: 0.0MiB
Epoch: 03 | Edge Type: o-n | Train Loss: 0.6500 | Train AUCROC: 0.6046 | GPU: 0.0MiB
Epoch: 03 | Edge Type: o-o-nobank | Train Loss: 0.6562 | Train AUCROC: 0.6589 | GPU: 0.0MiB
Epoch: 03 | Edge Type: n-n | Train Loss: 0.6931 | Train AUCROC: 0.4999 | GPU: 0.0MiB
Epoch: 03 | Edge Type: o-n | Train Loss: 0.6398 | Train AUCROC: 0.6355 | GPU: 0.0MiB
