Graph_Num,Num_Pred_Nodes,Num_True_Nodes,Common_Nodes,Removed_From_Pred,Removed_From_True,Num_Pred_Edges,Num_True_Edges,Correct_Edges,Precision,Recall,F1
0,2,2,1,1,1,0,0,0,0,0,0
1,24,24,24,0,0,20,20,1,0.05,0.05,0.05000000000000001
2,25,25,19,6,6,14,14,0,0.0,0.0,0
3,97,97,85,12,12,64,94,0,0.0,0.0,0
4,87,87,56,31,31,65,25,4,0.06153846153846154,0.16,0.08888888888888889
5,121,121,84,37,37,76,80,3,0.039473684210526314,0.0375,0.038461538461538464
6,99,99,47,52,52,42,27,7,0.16666666666666666,0.25925925925925924,0.20289855072463767
7,127,127,78,49,49,129,57,1,0.007751937984496124,0.017543859649122806,0.010752688172043012
8,154,154,89,65,65,138,88,5,0.036231884057971016,0.056818181818181816,0.04424778761061947
9,189,189,102,87,87,103,69,10,0.0970873786407767,0.14492753623188406,0.11627906976744187
10,194,194,98,96,96,109,71,4,0.03669724770642202,0.056338028169014086,0.044444444444444446
11,256,256,147,109,109,107,97,6,0.056074766355140186,0.061855670103092786,0.0588235294117647
12,198,198,82,116,116,98,61,3,0.030612244897959183,0.04918032786885246,0.03773584905660377
13,176,176,61,115,115,38,30,7,0.18421052631578946,0.23333333333333334,0.20588235294117646
14,263,263,121,142,142,142,95,13,0.09154929577464789,0.1368421052631579,0.10970464135021098
15,333,333,172,161,161,268,205,18,0.06716417910447761,0.08780487804878048,0.07610993657505286
16,337,337,162,175,175,269,117,15,0.055762081784386616,0.1282051282051282,0.07772020725388601
17,346,346,145,201,201,200,119,33,0.165,0.2773109243697479,0.20689655172413793
18,384,384,184,200,200,205,141,26,0.12682926829268293,0.18439716312056736,0.15028901734104047
19,423,423,196,227,227,271,65,24,0.08856088560885608,0.36923076923076925,0.14285714285714285
20,284,284,96,188,188,98,36,6,0.061224489795918366,0.16666666666666666,0.08955223880597016
21,301,301,94,207,207,161,60,15,0.09316770186335403,0.25,0.13574660633484162
22,278,278,79,199,199,69,40,8,0.11594202898550725,0.2,0.14678899082568805
23,376,376,145,231,231,171,86,26,0.15204678362573099,0.3023255813953488,0.20233463035019456
24,335,335,108,227,227,64,40,7,0.109375,0.175,0.1346153846153846
25,225,225,51,174,174,13,7,1,0.07692307692307693,0.14285714285714285,0.1
26,309,309,95,214,214,108,54,12,0.1111111111111111,0.2222222222222222,0.14814814814814814
27,270,270,85,185,185,69,40,12,0.17391304347826086,0.3,0.2201834862385321
28,340,340,108,232,232,100,61,26,0.26,0.4262295081967213,0.3229813664596273
29,420,420,171,249,249,154,128,28,0.18181818181818182,0.21875,0.19858156028368792
30,378,378,139,239,239,176,74,20,0.11363636363636363,0.2702702702702703,0.16
31,429,429,172,257,257,224,112,44,0.19642857142857142,0.39285714285714285,0.26190476190476186
32,404,404,148,256,256,138,62,17,0.12318840579710146,0.27419354838709675,0.17
33,330,330,93,237,237,53,31,7,0.1320754716981132,0.22580645161290322,0.16666666666666666
34,301,301,72,229,229,32,25,6,0.1875,0.24,0.21052631578947367
35,424,424,147,277,277,132,62,18,0.13636363636363635,0.2903225806451613,0.18556701030927836
36,448,448,160,288,288,96,109,18,0.1875,0.1651376146788991,0.175609756097561
37,442,442,140,302,302,122,78,19,0.1557377049180328,0.24358974358974358,0.19
38,548,548,222,326,326,169,158,30,0.17751479289940827,0.189873417721519,0.18348623853211007
39,389,389,110,279,279,71,40,15,0.2112676056338028,0.375,0.27027027027027034
40,231,231,42,189,189,26,8,4,0.15384615384615385,0.5,0.23529411764705882
41,233,233,40,193,193,15,10,2,0.13333333333333333,0.2,0.16
42,256,256,46,210,210,17,17,4,0.23529411764705882,0.23529411764705882,0.23529411764705882
43,340,340,78,262,262,28,25,5,0.17857142857142858,0.2,0.1886792452830189
44,341,341,87,254,254,17,25,2,0.11764705882352941,0.08,0.09523809523809526
45,344,344,76,268,268,18,30,3,0.16666666666666666,0.1,0.125
46,316,316,66,250,250,15,22,1,0.06666666666666667,0.045454545454545456,0.05405405405405406
47,214,214,33,181,181,3,3,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
48,190,190,26,164,164,2,3,1,0.5,0.3333333333333333,0.4
49,258,258,49,209,209,11,12,4,0.36363636363636365,0.3333333333333333,0.34782608695652173
50,274,274,48,226,226,19,9,3,0.15789473684210525,0.3333333333333333,0.21428571428571427
51,283,283,52,231,231,7,7,0,0.0,0.0,0
52,233,233,39,194,194,7,7,0,0.0,0.0,0
53,184,184,20,164,164,0,2,0,0,0.0,0
54,179,179,19,160,160,2,4,0,0.0,0.0,0
55,215,215,28,187,187,10,5,1,0.1,0.2,0.13333333333333333
56,226,226,34,192,192,4,5,1,0.25,0.2,0.22222222222222224
57,83,83,6,77,77,0,0,0,0,0,0
58,13,13,1,12,12,0,0,0,0,0,0
59,15,15,0,15,15,0,0,0,0,0,0
60,14,14,3,11,11,0,0,0,0,0,0
61,10,10,1,9,9,0,0,0,0,0,0
62,12,12,1,11,11,0,0,0,0,0,0
63,4,4,1,3,3,0,0,0,0,0,0
64,9,9,0,9,9,0,0,0,0,0,0
65,16,16,0,16,16,0,0,0,0,0,0
66,24,24,5,19,19,1,1,0,0.0,0.0,0
67,13,13,1,12,12,0,0,0,0,0,0
68,9,9,0,9,9,0,0,0,0,0,0
69,76,76,7,69,69,0,0,0,0,0,0
70,107,107,9,98,98,0,0,0,0,0,0
71,121,121,13,108,108,3,0,0,0.0,0,0
72,133,133,15,118,118,5,0,0,0.0,0,0
73,113,113,8,105,105,0,0,0,0,0,0
74,120,120,10,110,110,0,0,0,0,0,0
75,109,109,3,106,106,0,0,0,0,0,0
76,111,111,8,103,103,1,2,0,0.0,0.0,0
77,109,109,10,99,99,2,0,0,0.0,0,0
78,112,112,9,103,103,2,1,0,0.0,0.0,0
79,107,107,5,102,102,0,0,0,0,0,0
80,95,95,6,89,89,0,1,0,0,0.0,0
81,86,86,8,78,78,0,0,0,0,0,0
82,116,116,13,103,103,0,0,0,0,0,0
83,72,72,4,68,68,0,1,0,0,0.0,0
84,176,176,21,155,155,4,2,1,0.25,0.5,0.3333333333333333
85,87,87,1,86,86,0,0,0,0,0,0
86,80,80,7,73,73,1,1,1,1.0,1.0,1.0
87,70,70,5,65,65,2,1,1,0.5,1.0,0.6666666666666666
88,53,53,4,49,49,0,0,0,0,0,0
89,26,26,1,25,25,0,0,0,0,0,0
90,33,33,2,31,31,0,0,0,0,0,0
91,49,49,2,47,47,1,0,0,0.0,0,0
92,70,70,7,63,63,0,0,0,0,0,0
93,76,76,5,71,71,0,0,0,0,0,0
94,79,79,8,71,71,3,1,0,0.0,0.0,0
95,62,62,1,61,61,0,0,0,0,0,0
96,55,55,0,55,55,0,0,0,0,0,0
97,54,54,3,51,51,0,0,0,0,0,0
98,92,92,8,84,84,1,3,0,0.0,0.0,0
99,65,65,2,63,63,0,0,0,0,0,0
100,80,80,8,72,72,0,0,0,0,0,0
101,85,85,8,77,77,0,0,0,0,0,0
102,65,65,2,63,63,0,0,0,0,0,0
103,52,52,5,47,47,0,0,0,0,0,0
104,57,57,4,53,53,0,0,0,0,0,0
105,56,56,1,55,55,0,0,0,0,0,0
106,82,82,6,76,76,2,1,0,0.0,0.0,0
107,59,59,3,56,56,0,1,0,0,0.0,0
108,60,60,2,58,58,0,0,0,0,0,0
109,51,51,3,48,48,0,0,0,0,0,0
110,40,40,0,40,40,0,0,0,0,0,0
111,40,40,0,40,40,0,0,0,0,0,0
112,53,53,2,51,51,0,0,0,0,0,0
113,59,59,8,51,51,0,1,0,0,0.0,0
114,43,43,3,40,40,0,0,0,0,0,0
115,67,67,5,62,62,0,1,0,0,0.0,0
116,73,73,3,70,70,0,0,0,0,0,0
117,35,35,3,32,32,0,0,0,0,0,0
118,31,31,1,30,30,0,0,0,0,0,0
119,97,97,7,90,90,1,1,1,1.0,1.0,1.0
120,70,70,6,64,64,0,0,0,0,0,0
121,61,61,3,58,58,1,1,1,1.0,1.0,1.0
122,57,57,4,53,53,1,1,0,0.0,0.0,0
123,65,65,3,62,62,0,1,0,0,0.0,0
124,38,38,1,37,37,0,0,0,0,0,0
125,41,41,1,40,40,0,0,0,0,0,0
126,72,72,4,68,68,0,0,0,0,0,0
127,59,59,3,56,56,0,0,0,0,0,0
128,73,73,2,71,71,0,0,0,0,0,0
129,48,48,3,45,45,1,1,1,1.0,1.0,1.0
130,61,61,5,56,56,0,0,0,0,0,0
131,103,103,16,87,87,0,0,0,0,0,0
132,49,49,2,47,47,0,0,0,0,0,0
133,53,53,1,52,52,0,0,0,0,0,0
134,58,58,1,57,57,0,0,0,0,0,0
135,54,54,3,51,51,0,0,0,0,0,0
136,60,60,2,58,58,0,0,0,0,0,0
137,50,50,0,50,50,0,0,0,0,0,0
138,38,38,1,37,37,0,0,0,0,0,0
139,28,28,1,27,27,0,0,0,0,0,0
140,41,41,0,41,41,0,0,0,0,0,0
141,52,52,1,51,51,0,0,0,0,0,0
142,44,44,0,44,44,0,0,0,0,0,0
143,43,43,1,42,42,0,0,0,0,0,0
144,31,31,0,31,31,0,0,0,0,0,0
145,57,57,6,51,51,0,0,0,0,0,0
146,42,42,3,39,39,0,0,0,0,0,0
147,80,80,6,74,74,0,0,0,0,0,0
148,62,62,0,62,62,0,0,0,0,0,0
149,60,60,2,58,58,0,0,0,0,0,0
150,72,72,1,71,71,0,0,0,0,0,0
151,57,57,1,56,56,0,0,0,0,0,0
152,40,40,1,39,39,0,0,0,0,0,0
153,33,33,4,29,29,2,2,0,0.0,0.0,0
154,39,39,8,31,31,0,0,0,0,0,0
155,48,48,2,46,46,0,0,0,0,0,0
156,47,47,2,45,45,0,0,0,0,0,0
157,50,50,6,44,44,5,0,0,0.0,0,0
158,54,54,4,50,50,0,0,0,0,0,0
159,35,35,3,32,32,0,0,0,0,0,0
160,37,37,2,35,35,0,0,0,0,0,0
161,49,49,2,47,47,0,0,0,0,0,0
162,44,44,1,43,43,0,0,0,0,0,0
163,47,47,3,44,44,0,0,0,0,0,0
164,38,38,0,38,38,0,0,0,0,0,0
165,46,46,1,45,45,0,0,0,0,0,0
166,27,27,1,26,26,0,0,0,0,0,0
167,31,31,1,30,30,0,0,0,0,0,0
168,32,32,2,30,30,0,0,0,0,0,0
169,40,40,0,40,40,0,0,0,0,0,0
170,33,33,3,30,30,0,0,0,0,0,0
171,38,38,1,37,37,0,0,0,0,0,0
172,13,13,0,13,13,0,0,0,0,0,0
173,23,23,2,21,21,0,0,0,0,0,0
174,30,30,6,24,24,0,0,0,0,0,0
175,34,34,1,33,33,0,0,0,0,0,0
