0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,68,344,0,0,0,129,716,0,0,0,0,7,28,0,0,0,0,0,0,0
139,44,156,0,0,0,54,216,0,0,0,0,0,0,0,0,0,0,0,0,0
2187,8448,7756,876,44,20060,51275,55135,3762,2947,1756,4810,936,2944,357,298,354,260,261,10,75
1905,5567,7380,96,0,15080,31709,44826,483,360,152,525,625,2160,0,0,0,30,70,0,0
4706,18951,34096,2816,100,65428,159820,330127,12459,9700,5576,30790,5672,20928,1818,1512,855,1509,1916,30,315
2084,7605,6352,232,4,20872,41158,42385,987,786,512,1295,890,3300,24,21,36,72,102,0,5
2312,8107,5816,352,12,22332,36837,33871,1185,959,676,1540,884,3136,81,64,105,124,166,0,40
5370,30242,19860,2476,160,121632,200849,185427,9282,8726,10152,11090,5215,16580,1137,953,1080,1035,1245,454,551
3981,16625,9264,1524,120,54892,83057,64423,4647,4450,5408,4845,1093,2772,984,871,513,351,211,579,406
5781,30035,17244,1716,92,122548,178663,141949,6444,6050,7016,7285,3975,12260,957,818,456,532,612,100,50
12501,75825,129496,8348,344,339720,980498,2228881,48900,38917,25268,174905,15418,50672,11397,8778,3108,2801,2936,646,929
5457,24258,23664,1280,44,92660,172388,208677,6156,4917,3252,9425,2297,7088,615,450,222,235,183,15,30
3481,13994,8068,276,4,45036,68502,55852,684,701,980,1170,931,2724,45,30,21,59,65,0,0
8458,51952,30788,1924,84,242152,364585,300118,10425,8939,7956,10730,9713,32072,1248,887,714,1184,1447,105,85
20380,147527,229524,19416,916,748076,2228493,4656885,145116,116373,78516,405915,27540,91000,24195,20325,12459,9200,7401,2440,3525
13179,81029,94972,3348,56,398048,858185,1421727,19341,16598,14816,37215,10274,33516,825,725,909,912,1164,10,100
14364,101488,71420,4560,160,540760,929434,874891,28137,24481,22892,36825,18467,63748,2373,1922,1860,2254,3046,120,350
14169,93365,70744,5568,244,448956,867317,858671,38835,32136,24984,50840,9573,30372,5376,4109,2307,1769,1499,511,369
49986,168772,2888560,4304,64,678164,7843442,146912194,32679,25567,15124,266795,34640,131180,2145,1550,861,1501,1028,15,60
6145,25476,22324,568,4,88804,164008,182948,2106,1915,2044,3215,1526,4844,39,41,12,41,97,0,0
9712,56581,40700,1540,60,256316,443852,420457,7452,6609,6564,8395,6874,21796,693,547,627,643,510,15,110
7380,39953,26952,1688,32,163420,285079,258071,8022,7022,6696,10255,4721,17044,324,351,345,449,806,5,75
8638,39494,26472,512,0,151240,244618,220247,2607,2208,1880,3100,1825,5840,0,5,0,24,126,0,0
5800,19653,21648,128,0,60336,120975,180284,318,299,348,360,795,2420,0,0,0,15,15,0,0
2666,5762,9612,152,0,11788,31318,66774,285,242,208,1355,163,592,0,0,0,0,5,0,0
10256,30297,156272,1912,28,104324,400157,2854184,7956,5896,2368,50720,1742,6028,1239,851,126,105,144,10,35
4981,17733,23164,656,20,53628,128679,202008,3360,2689,1796,4770,898,2652,354,236,72,51,137,5,5
8055,38494,30956,1328,24,147056,290390,295304,6393,5563,5204,7930,2174,6756,243,202,177,145,173,0,5
23399,105493,718032,10480,100,347484,3216960,23676291,55836,42636,21648,560925,12607,46448,7191,5929,1125,951,1124,35,130
10543,57547,47020,1896,28,244076,484301,519788,9672,8480,8128,15985,5172,16928,519,461,183,302,525,5,10
10542,53019,37716,1032,4,219716,368639,344145,4833,4245,4092,6620,2867,8768,66,79,36,78,226,0,0
8611,38420,30956,1056,4,132556,264799,276060,3954,3496,3440,6040,1805,6120,24,46,6,31,123,0,0
5467,19771,14448,492,8,60024,106086,99770,1296,1234,1480,2175,646,2024,27,23,48,38,24,0,5
3651,10817,6972,320,4,28076,46673,40296,798,701,676,1200,167,368,21,19,6,4,0,0,0
25064,108976,826736,22772,376,371636,3409025,27823734,110169,83613,40668,1301995,11350,40560,29265,24725,1920,1478,1622,455,605
15283,78618,149000,4396,96,351196,1004275,2386904,24378,19721,13876,66210,5710,16780,2133,1667,627,481,502,60,65
11609,64520,63928,1244,16,267680,652529,877661,5847,5246,5392,10800,5499,18016,108,102,219,260,306,0,0
18028,101848,102296,3084,84,500476,965032,1198602,17280,14783,13052,22495,8840,29320,1281,1004,828,819,898,25,140
6225,23314,18864,1312,32,73124,142337,157409,6396,5052,3152,10485,740,2260,492,433,213,145,147,10,0
928,808,348,0,0,888,1047,690,0,0,0,0,0,0,0,0,0,0,0,0,0
1712,2132,2984,72,4,3484,6052,11299,99,82,64,115,5,0,0,0,9,6,0,0,0
1926,2894,3916,56,4,4764,9522,17594,96,91,108,70,0,0,12,8,18,12,0,0,0
3069,6372,8912,332,4,10856,32129,55370,1131,854,400,2345,37,88,72,53,3,2,5,0,0
3027,5860,12344,0,0,10872,40563,102465,0,0,0,0,108,392,0,0,0,0,0,0,0
5008,16930,15068,948,16,46692,94760,102957,3651,3001,2268,5220,494,1676,219,181,114,79,62,100,45
9740,15941,248844,1788,0,29728,373447,5613960,2592,2033,1220,74555,438,1532,0,75,0,3,17,0,0
1701,1380,7532,0,0,1524,7842,42139,0,0,0,0,0,0,0,0,0,0,0,0,0
1285,2012,2284,0,0,2820,7869,9636,0,0,0,0,5,0,0,0,0,0,0,0,0
2505,3358,10220,104,0,4192,15928,65545,9,31,100,1170,35,100,0,0,0,0,0,0,0
3104,7822,12152,104,0,20700,50052,88408,264,214,152,1060,589,2296,0,0,0,33,22,0,0
2866,6985,5380,84,0,15788,28646,28286,153,153,204,105,79,176,0,0,0,0,0,0,0
2291,5737,5584,196,0,11500,30958,36392,669,539,372,1330,139,476,0,5,0,0,5,0,0
1276,2458,2396,88,0,3984,9645,12636,114,112,144,440,74,296,0,0,0,3,2,0,0
850,848,816,0,0,864,2046,2240,0,0,0,0,0,0,0,0,0,0,0,0,0
1389,2168,1848,0,0,3012,7038,7500,0,0,0,0,5,0,0,0,0,0,0,0,0
2882,8388,9976,428,12,21228,51624,67673,966,900,1024,2410,313,1032,114,86,33,25,42,0,0
375,440,452,0,0,348,1383,1549,0,0,0,0,0,0,0,0,0,0,0,0,0
28,8,4,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
