Graph_Num,Num_Pred_Nodes,Num_True_Nodes,Common_Nodes,Removed_From_Pred,Removed_From_True,Num_Pred_Edges,Num_True_Edges,Correct_Edges,Precision,Recall,F1
0,1,1,1,0,0,0,0,0,0,0,0
1,24,24,24,0,0,0,20,0,0,0.0,0
2,19,19,19,0,0,0,14,0,0,0.0,0
3,78,78,78,0,0,5,52,0,0.0,0.0,0
4,32,32,32,0,0,50,2,0,0.0,0.0,0
5,61,61,61,0,0,40,47,0,0.0,0.0,0
6,27,27,27,0,0,66,3,1,0.015151515151515152,0.3333333333333333,0.028985507246376812
7,52,52,52,0,0,37,13,1,0.02702702702702703,0.07692307692307693,0.04
8,51,51,51,0,0,108,24,0,0.0,0.0,0
9,47,47,47,0,0,118,13,1,0.00847457627118644,0.07692307692307693,0.015267175572519082
10,40,40,40,0,0,179,7,1,0.00558659217877095,0.14285714285714285,0.010752688172043012
11,86,86,86,0,0,183,21,1,0.00546448087431694,0.047619047619047616,0.00980392156862745
12,34,34,34,0,0,166,9,1,0.006024096385542169,0.1111111111111111,0.011428571428571429
13,18,18,18,0,0,78,0,0,0.0,0,0
14,50,50,50,0,0,258,12,1,0.003875968992248062,0.08333333333333333,0.007407407407407408
15,75,75,75,0,0,311,55,5,0.01607717041800643,0.09090909090909091,0.0273224043715847
16,59,59,59,0,0,336,36,5,0.01488095238095238,0.1388888888888889,0.026881720430107524
17,46,46,46,0,0,378,11,4,0.010582010582010581,0.36363636363636365,0.02056555269922879
18,57,57,57,0,0,415,14,1,0.0024096385542168677,0.07142857142857142,0.004662004662004662
19,56,56,56,0,0,417,4,1,0.002398081534772182,0.25,0.004750593824228029
20,38,38,38,0,0,271,3,2,0.007380073800738007,0.6666666666666666,0.0145985401459854
21,26,26,26,0,0,153,6,3,0.0196078431372549,0.5,0.03773584905660377
22,14,14,14,0,0,45,4,3,0.06666666666666667,0.75,0.12244897959183675
23,38,38,38,0,0,231,5,1,0.004329004329004329,0.2,0.00847457627118644
24,26,26,26,0,0,153,4,1,0.006535947712418301,0.25,0.012738853503184716
25,13,13,13,0,0,55,1,1,0.01818181818181818,1.0,0.03571428571428572
26,21,21,21,0,0,136,3,2,0.014705882352941176,0.6666666666666666,0.028776978417266192
27,16,16,16,0,0,55,1,1,0.01818181818181818,1.0,0.03571428571428572
28,17,17,17,0,0,78,0,0,0.0,0,0
29,40,40,40,0,0,394,1,0,0.0,0.0,0
30,32,32,32,0,0,171,5,1,0.005847953216374269,0.2,0.011363636363636364
31,44,44,44,0,0,385,2,1,0.0025974025974025974,0.5,0.00516795865633075
32,39,39,39,0,0,210,4,2,0.009523809523809525,0.5,0.01869158878504673
33,23,23,23,0,0,136,2,2,0.014705882352941176,1.0,0.028985507246376812
34,25,25,25,0,0,153,3,1,0.006535947712418301,0.3333333333333333,0.01282051282051282
