Graph_Num,Num_Pred_Nodes,Num_True_Nodes,Common_Nodes,Removed_From_Pred,Removed_From_True,Num_Pred_Edges,Num_True_Edges,Correct_Edges,Precision,Recall,F1
0,2,2,2,0,0,1,1,1,1.0,1.0,1.0
1,24,24,24,0,0,20,20,1,0.05,0.05,0.05000000000000001
2,25,25,20,5,5,14,15,0,0.0,0.0,0
3,97,97,86,11,11,64,89,0,0.0,0.0,0
4,87,87,56,31,31,69,44,2,0.028985507246376812,0.045454545454545456,0.035398230088495575
5,121,121,82,39,39,71,78,3,0.04225352112676056,0.038461538461538464,0.040268456375838924
6,99,99,55,44,44,92,31,2,0.021739130434782608,0.06451612903225806,0.032520325203252036
7,127,127,76,51,51,88,50,6,0.06818181818181818,0.12,0.08695652173913043
8,154,154,93,61,61,121,81,7,0.05785123966942149,0.08641975308641975,0.06930693069306931
9,189,189,105,84,84,115,88,17,0.14782608695652175,0.19318181818181818,0.16748768472906406
10,194,194,101,93,93,119,82,8,0.06722689075630252,0.0975609756097561,0.07960199004975124
11,256,256,158,98,98,241,158,28,0.11618257261410789,0.17721518987341772,0.14035087719298248
12,198,198,91,107,107,114,49,11,0.09649122807017543,0.22448979591836735,0.13496932515337423
13,176,176,69,107,107,45,28,7,0.15555555555555556,0.25,0.1917808219178082
14,263,263,123,140,140,167,89,19,0.11377245508982035,0.21348314606741572,0.1484375
15,333,333,191,142,142,287,294,29,0.10104529616724739,0.09863945578231292,0.09982788296041308
16,337,337,190,147,147,271,200,33,0.12177121771217712,0.165,0.14012738853503187
17,346,346,174,172,172,306,166,52,0.16993464052287582,0.3132530120481928,0.22033898305084745
18,384,384,195,189,189,239,154,34,0.14225941422594143,0.22077922077922077,0.17302798982188294
19,423,423,221,202,202,192,112,28,0.14583333333333334,0.25,0.18421052631578946
20,284,284,119,165,165,166,66,12,0.07228915662650602,0.18181818181818182,0.10344827586206895
21,301,301,103,198,198,117,54,18,0.15384615384615385,0.3333333333333333,0.21052631578947367
22,278,278,90,188,188,76,36,13,0.17105263157894737,0.3611111111111111,0.23214285714285712
23,376,376,153,223,223,124,86,20,0.16129032258064516,0.23255813953488372,0.1904761904761905
24,335,335,124,211,211,153,66,17,0.1111111111111111,0.25757575757575757,0.1552511415525114
25,225,225,62,163,163,36,12,3,0.08333333333333333,0.25,0.125
26,309,309,101,208,208,88,33,10,0.11363636363636363,0.30303030303030304,0.1652892561983471
27,270,270,82,188,188,63,36,9,0.14285714285714285,0.25,0.18181818181818182
28,340,340,115,225,225,80,26,10,0.125,0.38461538461538464,0.18867924528301888
29,420,420,184,236,236,198,87,30,0.15151515151515152,0.3448275862068966,0.2105263157894737
30,378,378,142,236,236,102,60,15,0.14705882352941177,0.25,0.18518518518518517
31,429,429,186,243,243,177,103,28,0.15819209039548024,0.27184466019417475,0.2
32,404,404,155,249,249,145,90,22,0.15172413793103448,0.24444444444444444,0.18723404255319148
33,330,330,94,236,236,100,39,15,0.15,0.38461538461538464,0.21582733812949642
34,301,301,90,211,211,54,37,7,0.12962962962962962,0.1891891891891892,0.15384615384615385
35,424,424,160,264,264,125,92,24,0.192,0.2608695652173913,0.22119815668202766
36,448,448,176,272,272,214,109,25,0.11682242990654206,0.22935779816513763,0.15479876160990713
37,442,442,150,292,292,101,59,16,0.15841584158415842,0.2711864406779661,0.20000000000000004
38,548,548,246,302,302,394,149,39,0.09898477157360407,0.26174496644295303,0.143646408839779
39,389,389,124,265,265,147,52,21,0.14285714285714285,0.40384615384615385,0.21105527638190952
40,231,231,46,185,185,7,5,2,0.2857142857142857,0.4,0.3333333333333333
41,233,233,51,182,182,8,7,3,0.375,0.42857142857142855,0.39999999999999997
42,256,256,49,207,207,12,11,1,0.08333333333333333,0.09090909090909091,0.08695652173913043
43,340,340,87,253,253,15,11,3,0.2,0.2727272727272727,0.23076923076923075
44,341,341,98,243,243,22,30,6,0.2727272727272727,0.2,0.23076923076923075
45,344,344,82,262,262,36,20,4,0.1111111111111111,0.2,0.14285714285714285
46,316,316,76,240,240,45,30,3,0.06666666666666667,0.1,0.08
47,214,214,32,182,182,9,1,0,0.0,0.0,0
48,190,190,27,163,163,7,3,0,0.0,0.0,0
49,258,258,41,217,217,4,3,0,0.0,0.0,0
50,274,274,59,215,215,5,9,2,0.4,0.2222222222222222,0.2857142857142857
51,283,283,52,231,231,30,14,5,0.16666666666666666,0.35714285714285715,0.22727272727272724
52,233,233,43,190,190,6,8,1,0.16666666666666666,0.125,0.14285714285714288
53,184,184,29,155,155,2,4,1,0.5,0.25,0.3333333333333333
54,179,179,22,157,157,3,3,0,0.0,0.0,0
55,215,215,32,183,183,8,7,3,0.375,0.42857142857142855,0.39999999999999997
56,226,226,48,178,178,19,16,7,0.3684210526315789,0.4375,0.39999999999999997
57,83,83,8,75,75,1,1,1,1.0,1.0,1.0
58,13,13,1,12,12,0,0,0,0,0,0
59,15,15,0,15,15,0,0,0,0,0,0
60,14,14,4,10,10,0,0,0,0,0,0
61,10,10,1,9,9,0,0,0,0,0,0
62,12,12,1,11,11,0,0,0,0,0,0
63,4,4,1,3,3,0,0,0,0,0,0
64,9,9,0,9,9,0,0,0,0,0,0
65,16,16,0,16,16,0,0,0,0,0,0
66,24,24,5,19,19,1,1,0,0.0,0.0,0
67,13,13,1,12,12,0,0,0,0,0,0
68,9,9,0,9,9,0,0,0,0,0,0
69,76,76,5,71,71,0,0,0,0,0,0
70,107,107,8,99,99,1,0,0,0.0,0,0
71,121,121,13,108,108,0,0,0,0,0,0
72,133,133,12,121,121,0,0,0,0,0,0
73,113,113,14,99,99,4,0,0,0.0,0,0
74,120,120,14,106,106,2,1,0,0.0,0.0,0
75,109,109,15,94,94,0,0,0,0,0,0
76,111,111,10,101,101,0,0,0,0,0,0
77,109,109,14,95,95,0,0,0,0,0,0
78,112,112,12,100,100,0,1,0,0,0.0,0
79,107,107,6,101,101,3,0,0,0.0,0,0
80,95,95,6,89,89,3,1,1,0.3333333333333333,1.0,0.5
81,86,86,9,77,77,5,0,0,0.0,0,0
82,116,116,12,104,104,3,2,0,0.0,0.0,0
83,72,72,5,67,67,0,0,0,0,0,0
84,176,176,20,156,156,0,1,0,0,0.0,0
85,87,87,5,82,82,0,0,0,0,0,0
86,80,80,4,76,76,2,0,0,0.0,0,0
87,70,70,7,63,63,0,0,0,0,0,0
88,53,53,5,48,48,0,0,0,0,0,0
89,26,26,1,25,25,0,0,0,0,0,0
90,33,33,3,30,30,0,0,0,0,0,0
91,49,49,3,46,46,0,0,0,0,0,0
92,70,70,7,63,63,0,0,0,0,0,0
93,76,76,5,71,71,2,0,0,0.0,0,0
94,79,79,5,74,74,0,0,0,0,0,0
95,62,62,2,60,60,0,0,0,0,0,0
96,55,55,1,54,54,0,0,0,0,0,0
97,54,54,1,53,53,0,0,0,0,0,0
98,92,92,9,83,83,0,0,0,0,0,0
99,65,65,4,61,61,0,0,0,0,0,0
100,80,80,6,74,74,0,0,0,0,0,0
101,85,85,11,74,74,0,0,0,0,0,0
102,65,65,3,62,62,0,0,0,0,0,0
103,52,52,1,51,51,0,0,0,0,0,0
104,57,57,1,56,56,0,0,0,0,0,0
105,56,56,3,53,53,0,0,0,0,0,0
106,82,82,7,75,75,0,1,0,0,0.0,0
107,59,59,3,56,56,0,0,0,0,0,0
108,60,60,4,56,56,0,0,0,0,0,0
109,51,51,2,49,49,0,0,0,0,0,0
110,40,40,0,40,40,0,0,0,0,0,0
111,40,40,1,39,39,0,0,0,0,0,0
112,53,53,2,51,51,0,0,0,0,0,0
113,59,59,8,51,51,0,0,0,0,0,0
114,43,43,1,42,42,0,0,0,0,0,0
115,67,67,5,62,62,0,0,0,0,0,0
116,73,73,2,71,71,0,0,0,0,0,0
117,35,35,0,35,35,0,0,0,0,0,0
118,31,31,1,30,30,0,0,0,0,0,0
119,97,97,9,88,88,1,1,1,1.0,1.0,1.0
120,70,70,3,67,67,0,0,0,0,0,0
121,61,61,2,59,59,0,0,0,0,0,0
122,57,57,6,51,51,1,2,0,0.0,0.0,0
123,65,65,3,62,62,0,0,0,0,0,0
124,38,38,0,38,38,0,0,0,0,0,0
125,41,41,1,40,40,0,0,0,0,0,0
126,72,72,8,64,64,0,0,0,0,0,0
127,59,59,4,55,55,0,0,0,0,0,0
128,73,73,5,68,68,0,0,0,0,0,0
129,48,48,2,46,46,1,1,1,1.0,1.0,1.0
130,61,61,6,55,55,0,1,0,0,0.0,0
131,103,103,17,86,86,11,0,0,0.0,0,0
132,49,49,1,48,48,0,0,0,0,0,0
133,53,53,1,52,52,0,0,0,0,0,0
134,58,58,1,57,57,0,0,0,0,0,0
135,54,54,2,52,52,0,0,0,0,0,0
136,60,60,3,57,57,1,0,0,0.0,0,0
137,50,50,0,50,50,0,0,0,0,0,0
138,38,38,0,38,38,0,0,0,0,0,0
139,28,28,2,26,26,0,1,0,0,0.0,0
140,41,41,1,40,40,0,0,0,0,0,0
141,52,52,0,52,52,0,0,0,0,0,0
142,44,44,1,43,43,0,0,0,0,0,0
143,43,43,0,43,43,0,0,0,0,0,0
144,31,31,0,31,31,0,0,0,0,0,0
145,57,57,8,49,49,0,1,0,0,0.0,0
146,42,42,0,42,42,0,0,0,0,0,0
147,80,80,9,71,71,0,1,0,0,0.0,0
148,62,62,2,60,60,0,1,0,0,0.0,0
149,60,60,2,58,58,0,0,0,0,0,0
150,72,72,5,67,67,1,1,0,0.0,0.0,0
151,57,57,2,55,55,0,0,0,0,0,0
152,40,40,2,38,38,0,0,0,0,0,0
153,33,33,4,29,29,2,2,0,0.0,0.0,0
154,39,39,9,30,30,0,0,0,0,0,0
155,48,48,2,46,46,0,0,0,0,0,0
156,47,47,2,45,45,0,0,0,0,0,0
157,50,50,6,44,44,0,0,0,0,0,0
158,54,54,4,50,50,0,0,0,0,0,0
159,35,35,4,31,31,3,0,0,0.0,0,0
160,37,37,1,36,36,0,0,0,0,0,0
161,49,49,2,47,47,0,0,0,0,0,0
162,44,44,2,42,42,0,0,0,0,0,0
163,47,47,2,45,45,0,0,0,0,0,0
164,38,38,1,37,37,0,0,0,0,0,0
165,46,46,1,45,45,0,0,0,0,0,0
166,27,27,0,27,27,0,0,0,0,0,0
167,31,31,1,30,30,0,0,0,0,0,0
168,32,32,1,31,31,0,0,0,0,0,0
169,40,40,0,40,40,0,0,0,0,0,0
170,33,33,3,30,30,2,0,0,0.0,0,0
171,38,38,2,36,36,0,0,0,0,0,0
172,13,13,0,13,13,0,0,0,0,0,0
173,23,23,3,20,20,0,0,0,0,0,0
174,30,30,6,24,24,0,0,0,0,0,0
175,34,34,1,33,33,0,0,0,0,0,0
176,31,31,0,31,31,0,0,0,0,0,0
177,32,32,3,29,29,0,0,0,0,0,0
178,38,38,1,37,37,0,0,0,0,0,0
