Graph_Num,Num_Pred_Nodes,Num_True_Nodes,Common_Nodes,Removed_From_Pred,Removed_From_True,Num_Pred_Edges,Num_True_Edges,Correct_Edges,Precision,Recall,F1
0,1,1,1,0,0,0,0,0,0,0,0
1,24,24,24,0,0,20,20,1,0.05,0.05,0.05000000000000001
2,19,19,19,0,0,14,14,0,0.0,0.0,0
3,78,78,78,0,0,64,52,0,0.0,0.0,0
4,32,32,32,0,0,3,2,0,0.0,0.0,0
5,61,61,61,0,0,51,47,0,0.0,0.0,0
6,27,27,27,0,0,3,3,0,0.0,0.0,0
7,52,52,52,0,0,16,13,0,0.0,0.0,0
8,51,51,51,0,0,33,24,0,0.0,0.0,0
9,47,47,47,0,0,16,13,0,0.0,0.0,0
10,40,40,40,0,0,8,7,0,0.0,0.0,0
11,86,86,86,0,0,25,21,0,0.0,0.0,0
12,34,34,34,0,0,12,9,0,0.0,0.0,0
13,18,18,18,0,0,0,0,0,0,0,0
14,50,50,50,0,0,15,12,0,0.0,0.0,0
15,75,75,75,0,0,65,55,1,0.015384615384615385,0.01818181818181818,0.016666666666666666
16,59,59,59,0,0,37,36,0,0.0,0.0,0
17,46,46,46,0,0,11,11,0,0.0,0.0,0
18,57,57,57,0,0,16,14,0,0.0,0.0,0
19,56,56,56,0,0,4,4,0,0.0,0.0,0
20,38,38,38,0,0,3,3,0,0.0,0.0,0
21,26,26,26,0,0,9,6,0,0.0,0.0,0
22,14,14,14,0,0,7,4,0,0.0,0.0,0
23,38,38,38,0,0,6,5,0,0.0,0.0,0
24,26,26,26,0,0,5,4,0,0.0,0.0,0
25,13,13,13,0,0,1,1,0,0.0,0.0,0
26,21,21,21,0,0,3,3,0,0.0,0.0,0
27,16,16,16,0,0,1,1,0,0.0,0.0,0
28,17,17,17,0,0,0,0,0,0,0,0
29,40,40,40,0,0,1,1,0,0.0,0.0,0
30,32,32,32,0,0,7,5,0,0.0,0.0,0
31,44,44,44,0,0,2,2,0,0.0,0.0,0
32,39,39,39,0,0,4,4,0,0.0,0.0,0
33,23,23,23,0,0,2,2,0,0.0,0.0,0
34,25,25,25,0,0,4,3,0,0.0,0.0,0
35,25,25,25,0,0,3,2,0,0.0,0.0,0
36,40,40,40,0,0,5,4,0,0.0,0.0,0
37,27,27,27,0,0,2,2,0,0.0,0.0,0
38,45,45,45,0,0,4,4,0,0.0,0.0,0
39,16,16,16,0,0,0,0,0,0,0,0
40,16,16,16,0,0,0,0,0,0,0,0
41,12,12,12,0,0,1,1,0,0.0,0.0,0
42,14,14,14,0,0,4,4,0,0.0,0.0,0
43,15,15,15,0,0,0,0,0,0,0,0
44,33,33,33,0,0,11,9,0,0.0,0.0,0
45,25,25,25,0,0,3,2,0,0.0,0.0,0
46,17,17,17,0,0,3,3,0,0.0,0.0,0
47,7,7,7,0,0,0,0,0,0,0,0
48,7,7,7,0,0,0,0,0,0,0,0
49,12,12,12,0,0,1,1,0,0.0,0.0,0
50,13,13,13,0,0,0,0,0,0,0,0
51,10,10,10,0,0,0,0,0,0,0,0
52,12,12,12,0,0,2,1,0,0.0,0.0,0
53,9,9,9,0,0,0,0,0,0,0,0
54,8,8,8,0,0,0,0,0,0,0,0
55,2,2,2,0,0,0,0,0,0,0,0
56,5,5,5,0,0,0,0,0,0,0,0
57,6,6,6,0,0,0,0,0,0,0,0
58,1,1,1,0,0,0,0,0,0,0,0
59,0,0,0,0,0,0,0,0,0,0,0
60,3,3,3,0,0,0,0,0,0,0,0
61,1,1,1,0,0,0,0,0,0,0,0
62,1,1,1,0,0,0,0,0,0,0,0
63,1,1,1,0,0,0,0,0,0,0,0
64,0,0,0,0,0,0,0,0,0,0,0
65,0,0,0,0,0,0,0,0,0,0,0
66,5,5,5,0,0,1,1,0,0.0,0.0,0
67,1,1,1,0,0,0,0,0,0,0,0
68,0,0,0,0,0,0,0,0,0,0,0
69,2,2,2,0,0,0,0,0,0,0,0
70,4,4,4,0,0,0,0,0,0,0,0
71,3,3,3,0,0,0,0,0,0,0,0
72,4,4,4,0,0,0,0,0,0,0,0
73,1,1,1,0,0,0,0,0,0,0,0
74,2,2,2,0,0,0,0,0,0,0,0
75,1,1,1,0,0,0,0,0,0,0,0
76,3,3,3,0,0,0,0,0,0,0,0
77,1,1,1,0,0,0,0,0,0,0,0
78,1,1,1,0,0,0,0,0,0,0,0
79,0,0,0,0,0,0,0,0,0,0,0
80,1,1,1,0,0,0,0,0,0,0,0
81,5,5,5,0,0,0,0,0,0,0,0
82,3,3,3,0,0,0,0,0,0,0,0
83,0,0,0,0,0,0,0,0,0,0,0
84,3,3,3,0,0,0,0,0,0,0,0
85,0,0,0,0,0,0,0,0,0,0,0
86,0,0,0,0,0,0,0,0,0,0,0
87,1,1,1,0,0,0,0,0,0,0,0
88,0,0,0,0,0,0,0,0,0,0,0
89,0,0,0,0,0,0,0,0,0,0,0
90,2,2,2,0,0,0,0,0,0,0,0
91,1,1,1,0,0,0,0,0,0,0,0
92,4,4,4,0,0,0,0,0,0,0,0
93,2,2,2,0,0,0,0,0,0,0,0
94,3,3,3,0,0,0,0,0,0,0,0
95,0,0,0,0,0,0,0,0,0,0,0
96,0,0,0,0,0,0,0,0,0,0,0
97,0,0,0,0,0,0,0,0,0,0,0
98,4,4,4,0,0,0,0,0,0,0,0
99,2,2,2,0,0,0,0,0,0,0,0
100,2,2,2,0,0,0,0,0,0,0,0
101,6,6,6,0,0,0,0,0,0,0,0
102,1,1,1,0,0,0,0,0,0,0,0
103,0,0,0,0,0,0,0,0,0,0,0
104,0,0,0,0,0,0,0,0,0,0,0
105,0,0,0,0,0,0,0,0,0,0,0
106,2,2,2,0,0,0,0,0,0,0,0
107,1,1,1,0,0,0,0,0,0,0,0
108,2,2,2,0,0,0,0,0,0,0,0
109,1,1,1,0,0,0,0,0,0,0,0
110,0,0,0,0,0,0,0,0,0,0,0
111,0,0,0,0,0,0,0,0,0,0,0
112,0,0,0,0,0,0,0,0,0,0,0
113,4,4,4,0,0,0,0,0,0,0,0
114,1,1,1,0,0,0,0,0,0,0,0
115,3,3,3,0,0,0,0,0,0,0,0
116,0,0,0,0,0,0,0,0,0,0,0
117,0,0,0,0,0,0,0,0,0,0,0
118,1,1,1,0,0,0,0,0,0,0,0
119,4,4,4,0,0,1,1,0,0.0,0.0,0
120,1,1,1,0,0,0,0,0,0,0,0
121,0,0,0,0,0,0,0,0,0,0,0
122,4,4,4,0,0,1,1,0,0.0,0.0,0
123,1,1,1,0,0,0,0,0,0,0,0
124,0,0,0,0,0,0,0,0,0,0,0
125,0,0,0,0,0,0,0,0,0,0,0
126,3,3,3,0,0,0,0,0,0,0,0
127,2,2,2,0,0,0,0,0,0,0,0
128,1,1,1,0,0,0,0,0,0,0,0
129,2,2,2,0,0,1,1,1,1.0,1.0,1.0
130,3,3,3,0,0,0,0,0,0,0,0
131,11,11,11,0,0,0,0,0,0,0,0
132,0,0,0,0,0,0,0,0,0,0,0
133,0,0,0,0,0,0,0,0,0,0,0
134,1,1,1,0,0,0,0,0,0,0,0
135,2,2,2,0,0,0,0,0,0,0,0
136,1,1,1,0,0,0,0,0,0,0,0
137,0,0,0,0,0,0,0,0,0,0,0
138,0,0,0,0,0,0,0,0,0,0,0
139,1,1,1,0,0,0,0,0,0,0,0
140,0,0,0,0,0,0,0,0,0,0,0
141,0,0,0,0,0,0,0,0,0,0,0
142,0,0,0,0,0,0,0,0,0,0,0
143,0,0,0,0,0,0,0,0,0,0,0
144,0,0,0,0,0,0,0,0,0,0,0
145,5,5,5,0,0,0,0,0,0,0,0
