Graph_Num,Num_Pred_Nodes,Num_True_Nodes,Common_Nodes,Removed_From_Pred,Removed_From_True,Num_Pred_Edges,Num_True_Edges,Correct_Edges,Precision,Recall,F1
0,0,1,0,0,1,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0
2,0,6,0,0,6,0,0,0,0,0,0
3,2,19,1,1,18,0,0,0,0,0,0
4,22,55,14,8,41,26,7,3,0.11538461538461539,0.42857142857142855,0.18181818181818182
5,17,60,11,6,49,31,7,7,0.22580645161290322,1.0,0.3684210526315789
6,28,72,17,11,55,37,9,6,0.16216216216216217,0.6666666666666666,0.26086956521739135
7,37,75,19,18,56,34,10,6,0.17647058823529413,0.6,0.2727272727272727
8,49,103,30,19,73,115,23,14,0.12173913043478261,0.6086956521739131,0.20289855072463772
9,56,142,44,12,98,144,40,25,0.1736111111111111,0.625,0.2717391304347826
10,61,154,49,12,105,171,36,22,0.1286549707602339,0.6111111111111112,0.21256038647342992
11,80,170,64,16,106,213,54,29,0.13615023474178403,0.5370370370370371,0.21722846441947563
12,71,164,45,26,119,125,16,10,0.08,0.625,0.14184397163120568
13,70,158,48,22,110,123,41,20,0.16260162601626016,0.4878048780487805,0.24390243902439024
14,93,213,78,15,135,317,85,43,0.13564668769716087,0.5058823529411764,0.21393034825870644
15,114,258,88,26,170,315,68,40,0.12698412698412698,0.5882352941176471,0.20887728459530025
16,147,278,118,29,160,426,147,52,0.12206572769953052,0.35374149659863946,0.18150087260034903
17,163,300,124,39,176,485,143,64,0.13195876288659794,0.44755244755244755,0.20382165605095542
18,165,327,130,35,197,522,141,56,0.10727969348659004,0.3971631205673759,0.1689291101055807
19,164,367,122,42,245,475,154,57,0.12,0.37012987012987014,0.18124006359300476
20,149,246,46,103,200,122,12,10,0.08196721311475409,0.8333333333333334,0.14925373134328357
21,154,275,106,48,169,249,109,56,0.2248995983935743,0.5137614678899083,0.3128491620111732
22,146,264,101,45,163,219,116,48,0.2191780821917808,0.41379310344827586,0.2865671641791045
23,189,338,148,41,190,303,159,86,0.2838283828382838,0.5408805031446541,0.3722943722943723
24,169,309,117,52,192,234,96,51,0.21794871794871795,0.53125,0.3090909090909091
25,127,212,57,70,155,56,25,17,0.30357142857142855,0.68,0.4197530864197531
26,154,288,103,51,185,203,101,46,0.22660098522167488,0.45544554455445546,0.3026315789473684
27,135,254,75,60,179,208,44,26,0.125,0.5909090909090909,0.20634920634920634
28,179,323,123,56,200,334,103,38,0.11377245508982035,0.36893203883495146,0.17391304347826086
29,204,380,155,49,225,459,152,57,0.12418300653594772,0.375,0.18657937806873978
30,219,346,145,74,201,337,122,43,0.12759643916913946,0.3524590163934426,0.18736383442265794
31,220,385,175,45,210,555,207,83,0.14954954954954955,0.40096618357487923,0.21784776902887137
32,192,365,139,53,226,358,131,49,0.13687150837988826,0.37404580152671757,0.20040899795501024
33,157,307,107,50,200,236,94,42,0.17796610169491525,0.44680851063829785,0.2545454545454545
34,137,276,91,46,185,185,70,36,0.1945945945945946,0.5142857142857142,0.2823529411764706
35,198,399,142,56,257,452,113,56,0.12389380530973451,0.49557522123893805,0.19823008849557525
36,193,408,128,65,280,435,107,42,0.09655172413793103,0.3925233644859813,0.15498154981549814
37,217,415,147,70,268,499,130,56,0.11222444889779559,0.4307692307692308,0.17806041335453102
38,236,503,178,58,325,656,200,73,0.11128048780487805,0.365,0.17056074766355142
39,163,373,106,57,267,247,81,41,0.1659919028340081,0.5061728395061729,0.25
40,79,215,34,45,181,27,9,5,0.18518518518518517,0.5555555555555556,0.2777777777777778
41,107,221,44,63,177,59,16,14,0.23728813559322035,0.875,0.37333333333333335
42,117,242,57,60,185,77,23,14,0.18181818181818182,0.6086956521739131,0.27999999999999997
43,164,325,101,63,224,136,57,37,0.27205882352941174,0.6491228070175439,0.383419689119171
44,125,308,61,64,247,131,22,17,0.1297709923664122,0.7727272727272727,0.2222222222222222
45,170,319,104,66,215,203,58,40,0.19704433497536947,0.6896551724137931,0.30651340996168586
46,112,299,73,39,226,127,30,19,0.14960629921259844,0.6333333333333333,0.24203821656050958
47,88,207,41,47,166,63,16,10,0.15873015873015872,0.625,0.2531645569620253
48,88,183,41,47,142,57,19,14,0.24561403508771928,0.7368421052631579,0.3684210526315789
49,127,246,72,55,174,101,36,25,0.24752475247524752,0.6944444444444444,0.36496350364963503
50,162,261,93,69,168,82,57,42,0.5121951219512195,0.7368421052631579,0.6043165467625898
51,159,273,103,56,170,192,77,50,0.2604166666666667,0.6493506493506493,0.37174721189591076
52,124,221,75,49,146,95,48,33,0.3473684210526316,0.6875,0.4615384615384616
53,91,175,51,40,124,74,39,23,0.3108108108108108,0.5897435897435898,0.4070796460176991
54,70,171,35,35,136,50,19,16,0.32,0.8421052631578947,0.463768115942029
55,134,213,85,49,128,134,52,31,0.23134328358208955,0.5961538461538461,0.3333333333333333
56,152,221,86,66,135,139,59,38,0.2733812949640288,0.6440677966101694,0.38383838383838387
57,39,77,8,31,69,3,2,2,0.6666666666666666,1.0,0.8
58,2,12,0,2,12,0,0,0,0,0,0
59,6,15,1,5,14,0,0,0,0,0,0
60,2,11,0,2,11,0,0,0,0,0,0
61,2,9,0,2,9,0,0,0,0,0,0
62,2,11,0,2,11,0,0,0,0,0,0
63,0,3,0,0,3,0,0,0,0,0,0
64,4,9,0,4,9,0,0,0,0,0,0
65,4,16,1,3,15,0,0,0,0,0,0
66,3,19,0,3,19,0,0,0,0,0,0
67,4,12,1,3,11,0,0,0,0,0,0
68,0,9,0,0,9,0,0,0,0,0,0
69,33,74,6,27,68,0,0,0,0,0,0
70,52,103,19,33,84,26,13,11,0.4230769230769231,0.8461538461538461,0.5641025641025641
71,54,118,35,19,83,74,24,21,0.28378378378378377,0.875,0.42857142857142855
72,58,129,34,24,95,68,20,15,0.22058823529411764,0.75,0.3409090909090909
73,64,112,36,28,76,44,20,14,0.3181818181818182,0.7,0.4375
74,65,118,38,27,80,67,27,20,0.29850746268656714,0.7407407407407407,0.42553191489361697
75,77,108,37,40,71,70,36,21,0.3,0.5833333333333334,0.3962264150943397
76,56,108,26,30,82,32,18,12,0.375,0.6666666666666666,0.4800000000000001
77,59,108,21,38,87,18,11,6,0.3333333333333333,0.5454545454545454,0.41379310344827586
78,94,111,44,50,67,63,35,23,0.36507936507936506,0.6571428571428571,0.46938775510204084
79,55,107,25,30,82,40,13,11,0.275,0.8461538461538461,0.41509433962264153
80,58,94,39,19,55,53,21,19,0.3584905660377358,0.9047619047619048,0.5135135135135135
81,54,81,27,27,54,19,13,12,0.631578947368421,0.9230769230769231,0.7499999999999999
