Graph_Num,Num_Pred_Nodes,Num_True_Nodes,Common_Nodes,Removed_From_Pred,Removed_From_True,Num_Pred_Edges,Num_True_Edges,Correct_Edges,Precision,Recall,F1
0,0,2,0,0,2,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0
2,0,9,0,0,9,0,0,0,0,0,0
3,78,66,49,29,17,48,12,12,0.25,1.0,0.4
4,34,50,32,2,18,12,2,1,0.08333333333333333,0.5,0.14285714285714285
5,63,78,41,22,37,0,0,0,0,0,0
6,29,49,25,4,24,21,2,0,0.0,0.0,0
7,54,83,44,10,39,43,7,7,0.16279069767441862,1.0,0.28
8,54,96,50,4,46,78,11,6,0.07692307692307693,0.5454545454545454,0.13483146067415733
9,50,99,44,6,55,20,3,1,0.05,0.3333333333333333,0.08695652173913045
10,44,103,38,6,65,41,3,2,0.04878048780487805,0.6666666666666666,0.0909090909090909
11,89,154,78,11,76,32,4,1,0.03125,0.25,0.05555555555555555
12,37,67,34,3,33,64,2,2,0.03125,1.0,0.06060606060606061
13,20,41,19,1,22,18,1,1,0.05555555555555555,1.0,0.10526315789473684
14,53,113,43,10,70,82,2,2,0.024390243902439025,1.0,0.047619047619047616
15,79,160,60,19,100,59,4,4,0.06779661016949153,1.0,0.12698412698412698
16,62,139,45,17,94,23,3,0,0.0,0.0,0
17,50,121,44,6,77,66,2,1,0.015151515151515152,0.5,0.029411764705882356
18,60,134,50,10,84,0,0,0,0,0,0
19,58,105,55,3,50,0,0,0,0,0,0
20,41,98,37,4,61,36,1,1,0.027777777777777776,1.0,0.05405405405405406
21,29,61,23,6,38,0,0,0,0,0,0
22,18,42,13,5,29,0,0,0,0,0,0
23,42,101,35,7,66,34,1,1,0.029411764705882353,1.0,0.05714285714285715
24,29,64,24,5,40,0,0,0,0,0,0
25,15,26,12,3,14,0,0,0,0,0,0
26,23,37,18,5,19,0,0,0,0,0,0
27,19,39,16,3,23,0,0,0,0,0,0
28,20,47,17,3,30,0,0,0,0,0,0
29,43,87,41,2,46,40,1,1,0.025,1.0,0.04878048780487806
30,36,107,30,6,77,0,0,0,0,0,0
31,47,121,43,4,78,0,0,0,0,0,0
32,43,112,37,6,75,0,0,0,0,0,0
33,26,59,23,3,36,12,1,0,0.0,0.0,0
34,28,57,22,6,35,0,0,0,0,0,0
35,28,65,24,4,41,0,0,0,0,0,0
36,43,99,38,5,61,0,0,0,0,0,0
37,32,96,26,6,70,0,0,0,0,0,0
38,48,117,45,3,72,44,2,2,0.045454545454545456,1.0,0.08695652173913045
39,18,40,16,2,24,0,0,0,0,0,0
40,18,40,17,1,23,13,1,1,0.07692307692307693,1.0,0.14285714285714288
41,14,24,11,3,13,0,0,0,0,0,0
42,16,26,11,5,15,0,0,0,0,0,0
43,17,39,15,2,24,0,0,0,0,0,0
44,35,59,25,10,34,0,0,0,0,0,0
45,29,86,26,3,60,40,4,2,0.05,0.5,0.09090909090909091
46,23,103,15,8,88,26,2,2,0.07692307692307693,1.0,0.14285714285714288
47,9,17,7,2,10,0,0,0,0,0,0
48,10,19,8,2,11,7,2,2,0.2857142857142857,1.0,0.4444444444444445
49,14,24,11,3,13,0,0,0,0,0,0
50,17,36,15,2,21,25,3,2,0.08,0.6666666666666666,0.14285714285714285
51,14,29,11,3,18,10,1,1,0.1,1.0,0.18181818181818182
52,17,40,11,6,29,10,1,1,0.1,1.0,0.18181818181818182
53,11,20,9,2,11,0,0,0,0,0,0
54,11,20,9,2,11,8,1,1,0.125,1.0,0.2222222222222222
55,3,4,2,1,2,0,0,0,0,0,0
56,6,10,5,1,5,0,0,0,0,0,0
57,8,15,6,2,9,0,0,0,0,0,0
58,3,3,1,2,2,0,0,0,0,0,0
59,0,0,0,0,0,0,0,0,0,0,0
60,0,6,0,0,6,0,0,0,0,0,0
61,0,2,0,0,2,0,0,0,0,0,0
62,0,2,0,0,2,0,0,0,0,0,0
63,0,2,0,0,2,0,0,0,0,0,0
64,0,0,0,0,0,0,0,0,0,0,0
65,0,0,0,0,0,0,0,0,0,0,0
66,6,9,4,2,5,0,0,0,0,0,0
67,2,2,1,1,1,0,0,0,0,0,0
68,0,0,0,0,0,0,0,0,0,0,0
69,3,4,2,1,2,0,0,0,0,0,0
70,6,9,5,1,4,1,1,0,0.0,0.0,0
71,5,9,3,2,6,0,0,0,0,0,0
72,6,8,4,2,4,0,0,0,0,0,0
73,3,2,1,2,1,0,0,0,0,0,0
74,3,4,2,1,2,0,0,0,0,0,0
75,2,2,1,1,1,0,0,0,0,0,0
76,5,7,3,2,4,0,0,0,0,0,0
77,6,4,2,4,2,1,1,1,1.0,1.0,1.0
78,2,2,1,1,1,0,0,0,0,0,0
79,0,0,0,0,0,0,0,0,0,0,0
80,5,5,1,4,4,0,0,0,0,0,0
81,7,12,5,2,7,0,0,0,0,0,0
82,6,10,3,3,7,0,0,0,0,0,0
83,0,0,0,0,0,0,0,0,0,0,0
84,4,6,3,1,3,0,0,0,0,0,0
85,0,0,0,0,0,0,0,0,0,0,0
86,0,0,0,0,0,0,0,0,0,0,0
87,2,2,1,1,1,0,0,0,0,0,0
88,0,0,0,0,0,0,0,0,0,0,0
89,0,0,0,0,0,0,0,0,0,0,0
90,3,4,2,1,2,0,0,0,0,0,0
91,2,2,1,1,1,0,0,0,0,0,0
92,0,7,0,0,7,0,0,0,0,0,0
93,4,5,2,2,3,0,0,0,0,0,0
94,5,7,4,1,3,2,1,0,0.0,0.0,0
95,0,0,0,0,0,0,0,0,0,0,0
96,0,0,0,0,0,0,0,0,0,0,0
97,0,0,0,0,0,0,0,0,0,0,0
98,5,6,4,1,2,0,0,0,0,0,0
99,4,4,2,2,2,0,0,0,0,0,0
100,4,4,2,2,2,0,0,0,0,0,0
101,8,11,7,1,4,6,3,3,0.5,1.0,0.6666666666666666
102,2,2,1,1,1,0,0,0,0,0,0
103,0,0,0,0,0,0,0,0,0,0,0
104,0,0,0,0,0,0,0,0,0,0,0
105,0,0,0,0,0,0,0,0,0,0,0
106,4,5,2,2,3,0,0,0,0,0,0
107,6,5,1,5,4,0,0,0,0,0,0
108,3,4,2,1,2,0,0,0,0,0,0
109,4,4,1,3,3,0,0,0,0,0,0
110,0,0,0,0,0,0,0,0,0,0,0
111,0,0,0,0,0,0,0,0,0,0,0
112,0,0,0,0,0,0,0,0,0,0,0
113,6,8,4,2,4,0,0,0,0,0,0
114,3,3,1,2,2,0,0,0,0,0,0
115,9,16,4,5,12,3,1,1,0.3333333333333333,1.0,0.5
116,0,0,0,0,0,0,0,0,0,0,0
117,0,0,0,0,0,0,0,0,0,0,0
118,2,2,1,1,1,0,0,0,0,0,0
119,6,6,2,4,4,0,0,0,0,0,0
120,2,2,1,1,1,0,0,0,0,0,0
121,0,0,0,0,0,0,0,0,0,0,0
122,5,6,3,2,3,0,0,0,0,0,0
123,2,2,1,1,1,0,0,0,0,0,0
124,0,0,0,0,0,0,0,0,0,0,0
125,0,0,0,0,0,0,0,0,0,0,0
126,5,7,3,2,4,0,0,0,0,0,0
127,3,4,3,0,1,2,1,1,0.5,1.0,0.6666666666666666
128,2,2,1,1,1,0,0,0,0,0,0
129,0,0,0,0,0,0,0,0,0,0,0
130,5,6,3,2,3,0,0,0,0,0,0
131,12,12,11,1,1,0,0,0,0,0,0
132,0,0,0,0,0,0,0,0,0,0,0
133,0,0,0,0,0,0,0,0,0,0,0
134,2,2,1,1,1,0,0,0,0,0,0
135,3,4,2,1,2,0,0,0,0,0,0
136,3,2,1,2,1,0,0,0,0,0,0
137,0,0,0,0,0,0,0,0,0,0,0
138,0,0,0,0,0,0,0,0,0,0,0
139,2,2,1,1,1,0,0,0,0,0,0
140,0,0,0,0,0,0,0,0,0,0,0
141,0,0,0,0,0,0,0,0,0,0,0
142,0,0,0,0,0,0,0,0,0,0,0
143,0,0,0,0,0,0,0,0,0,0,0
144,0,0,0,0,0,0,0,0,0,0,0
145,7,18,6,1,12,5,1,1,0.2,1.0,0.33333333333333337
146,0,0,0,0,0,0,0,0,0,0,0
147,3,4,2,1,2,0,0,0,0,0,0
148,0,0,0,0,0,0,0,0,0,0,0
149,2,2,1,1,1,0,0,0,0,0,0
150,0,0,0,0,0,0,0,0,0,0,0
151,2,2,1,1,1,0,0,0,0,0,0
152,2,2,1,1,1,0,0,0,0,0,0
153,4,6,2,2,4,0,0,0,0,0,0
154,9,11,7,2,4,0,0,0,0,0,0
155,4,4,3,1,1,2,1,1,0.5,1.0,0.6666666666666666
156,3,3,2,1,1,0,0,0,0,0,0
157,7,11,6,1,5,5,1,1,0.2,1.0,0.33333333333333337
158,6,7,4,2,3,0,0,0,0,0,0
159,4,6,3,1,3,0,0,0,0,0,0
160,2,2,1,1,1,0,0,0,0,0,0
161,3,5,2,1,3,0,0,0,0,0,0
162,2,2,1,1,1,0,0,0,0,0,0
163,3,4,2,1,2,0,0,0,0,0,0
164,0,0,0,0,0,0,0,0,0,0,0
165,2,2,1,1,1,0,0,0,0,0,0
166,0,0,0,0,0,0,0,0,0,0,0
167,2,2,1,1,1,0,0,0,0,0,0
168,3,4,1,2,3,0,0,0,0,0,0
169,0,0,0,0,0,0,0,0,0,0,0
170,3,4,2,1,2,0,0,0,0,0,0
171,7,6,1,6,5,0,0,0,0,0,0
172,0,0,0,0,0,0,0,0,0,0,0
173,3,4,2,1,2,0,0,0,0,0,0
174,0,7,0,0,7,0,0,0,0,0,0
175,2,2,1,1,1,0,0,0,0,0,0
176,0,0,0,0,0,0,0,0,0,0,0
177,4,7,3,1,4,0,0,0,0,0,0
178,0,0,0,0,0,0,0,0,0,0,0
