Graph_Num,Num_Pred_Nodes,Num_True_Nodes,Common_Nodes,Removed_From_Pred,Removed_From_True,Num_Pred_Edges,Num_True_Edges,Correct_Edges,Precision,Recall,F1
0,1,1,1,0,0,0,0,0,0,0,0
1,24,24,24,0,0,20,20,1,0.05,0.05,0.05000000000000001
2,19,19,19,0,0,14,14,0,0.0,0.0,0
3,78,78,78,0,0,64,52,0,0.0,0.0,0
4,32,32,32,0,0,3,2,0,0.0,0.0,0
5,61,61,61,0,0,51,47,0,0.0,0.0,0
6,27,27,27,0,0,3,3,0,0.0,0.0,0
7,52,52,52,0,0,16,13,0,0.0,0.0,0
8,51,51,51,0,0,33,24,0,0.0,0.0,0
9,47,47,47,0,0,16,13,0,0.0,0.0,0
10,40,40,40,0,0,8,7,0,0.0,0.0,0
11,86,86,86,0,0,25,21,0,0.0,0.0,0
12,34,34,34,0,0,12,9,0,0.0,0.0,0
