0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,68,344,0,0,0,129,716,0,0,0,0,7,28,0,0,0,0,0,0,0
139,44,156,0,0,0,54,216,0,0,0,0,0,0,0,0,0,0,0,0,0
2187,8448,7756,876,44,20060,51275,55135,3762,2947,1756,4810,936,2944,357,298,354,260,261,10,75
1905,5567,7380,96,0,15080,31709,44826,483,360,152,525,625,2160,0,0,0,30,70,0,0
4706,18951,34096,2816,100,65428,159820,330127,12459,9700,5576,30790,5672,20928,1818,1512,855,1509,1916,30,315
2084,7605,6352,232,4,20872,41158,42385,987,786,512,1295,890,3300,24,21,36,72,102,0,5
2312,8107,5816,352,12,22332,36837,33871,1185,959,676,1540,884,3136,81,64,105,124,166,0,40
5370,30242,19860,2476,160,121632,200849,185427,9282,8726,10152,11090,5215,16580,1137,953,1080,1035,1245,454,551
3981,16625,9264,1524,120,54892,83057,64423,4647,4450,5408,4845,1093,2772,984,871,513,351,211,579,406
5781,30035,17244,1716,92,122548,178663,141949,6444,6050,7016,7285,3975,12260,957,818,456,532,612,100,50
12501,75825,129496,8348,344,339720,980498,2228881,48900,38917,25268,174905,15418,50672,11397,8778,3108,2801,2936,646,929
5457,24258,23664,1280,44,92660,172388,208677,6156,4917,3252,9425,2297,7088,615,450,222,235,183,15,30
