Graph_Num,Num_Pred_Nodes,Num_True_Nodes,Common_Nodes,Removed_From_Pred,Removed_From_True,Num_Pred_Edges,Num_True_Edges,Correct_Edges,Precision,Recall,F1
0,1,1,0,1,1,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0
2,6,6,1,5,5,0,0,0,0,0,0
3,19,19,8,11,11,14,0,0,0.0,0,0
4,55,55,21,34,34,7,10,2,0.2857142857142857,0.2,0.23529411764705882
5,60,60,25,35,35,22,9,2,0.09090909090909091,0.2222222222222222,0.1290322580645161
6,72,72,34,38,38,13,18,0,0.0,0.0,0
7,74,75,32,42,43,23,18,5,0.21739130434782608,0.2777777777777778,0.24390243902439024
8,103,103,48,55,55,34,44,7,0.20588235294117646,0.1590909090909091,0.1794871794871795
9,141,142,85,56,57,60,69,17,0.2833333333333333,0.2463768115942029,0.26356589147286824
10,151,154,83,68,71,52,76,10,0.19230769230769232,0.13157894736842105,0.15625
11,164,170,96,68,74,96,114,21,0.21875,0.18421052631578946,0.19999999999999998
12,160,164,83,77,81,43,61,8,0.18604651162790697,0.13114754098360656,0.15384615384615383
13,150,158,64,86,94,31,60,10,0.3225806451612903,0.16666666666666666,0.21978021978021975
14,210,213,115,95,98,83,127,24,0.2891566265060241,0.1889763779527559,0.22857142857142856
15,245,258,146,99,112,130,183,30,0.23076923076923078,0.16393442622950818,0.19169329073482425
16,264,278,154,110,124,165,174,39,0.23636363636363636,0.22413793103448276,0.23008849557522126
17,289,300,172,117,128,167,234,51,0.30538922155688625,0.21794871794871795,0.25436408977556113
18,301,327,186,115,141,179,253,48,0.2681564245810056,0.18972332015810275,0.22222222222222224
19,320,367,182,138,185,132,253,33,0.25,0.13043478260869565,0.1714285714285714
20,240,246,105,135,141,43,98,12,0.27906976744186046,0.12244897959183673,0.17021276595744683
21,264,275,132,132,143,116,145,33,0.28448275862068967,0.22758620689655173,0.2528735632183908
22,254,264,124,130,140,138,128,34,0.2463768115942029,0.265625,0.2556390977443609
23,313,338,178,135,160,186,172,49,0.26344086021505375,0.28488372093023256,0.27374301675977647
24,293,309,149,144,160,114,134,38,0.3333333333333333,0.2835820895522388,0.30645161290322576
25,200,212,81,119,131,43,45,19,0.4418604651162791,0.4222222222222222,0.4318181818181818
26,262,288,136,126,152,73,134,22,0.3013698630136986,0.16417910447761194,0.21256038647342992
27,230,254,106,124,148,52,71,18,0.34615384615384615,0.2535211267605634,0.2926829268292683
28,297,323,165,132,158,95,164,32,0.3368421052631579,0.1951219512195122,0.2471042471042471
29,348,380,213,135,167,131,189,31,0.2366412213740458,0.164021164021164,0.19375
30,315,346,185,130,161,129,170,27,0.20930232558139536,0.1588235294117647,0.1806020066889632
31,345,385,201,144,184,165,212,48,0.2909090909090909,0.22641509433962265,0.2546419098143236
32,338,365,179,159,186,107,162,29,0.27102803738317754,0.17901234567901234,0.21561338289962825
33,293,307,156,137,151,87,149,21,0.2413793103448276,0.14093959731543623,0.17796610169491522
34,259,276,122,137,154,58,73,13,0.22413793103448276,0.1780821917808219,0.1984732824427481
35,362,399,206,156,193,123,226,36,0.2926829268292683,0.1592920353982301,0.20630372492836677
36,358,408,196,162,212,119,208,36,0.3025210084033613,0.17307692307692307,0.2201834862385321
37,385,415,217,168,198,155,227,43,0.27741935483870966,0.1894273127753304,0.22513089005235604
38,440,503,280,160,223,188,343,51,0.2712765957446808,0.14868804664723032,0.192090395480226
39,354,373,182,172,191,73,137,22,0.3013698630136986,0.16058394160583941,0.2095238095238095
40,201,215,70,131,145,10,21,1,0.1,0.047619047619047616,0.06451612903225806
41,206,221,66,140,155,12,27,6,0.5,0.2222222222222222,0.30769230769230765
42,214,242,67,147,175,12,22,5,0.4166666666666667,0.22727272727272727,0.29411764705882354
43,307,325,139,168,186,46,64,21,0.45652173913043476,0.328125,0.3818181818181817
44,258,308,109,149,199,27,27,11,0.4074074074074074,0.4074074074074074,0.4074074074074074
45,270,319,104,166,215,41,35,14,0.34146341463414637,0.4,0.368421052631579
46,262,299,110,152,189,44,40,15,0.3409090909090909,0.375,0.35714285714285715
47,188,207,57,131,150,24,19,10,0.4166666666666667,0.5263157894736842,0.46511627906976744
48,163,183,52,111,131,18,15,9,0.5,0.6,0.5454545454545454
49,215,246,78,137,168,27,34,16,0.5925925925925926,0.47058823529411764,0.5245901639344261
50,214,261,84,130,177,45,41,17,0.37777777777777777,0.4146341463414634,0.39534883720930236
51,238,273,104,134,169,57,54,28,0.49122807017543857,0.5185185185185185,0.5045045045045046
52,189,221,78,111,143,45,33,16,0.35555555555555557,0.48484848484848486,0.41025641025641024
53,147,175,44,103,131,27,16,12,0.4444444444444444,0.75,0.5581395348837209
54,151,171,53,98,118,19,25,13,0.6842105263157895,0.52,0.5909090909090909
55,177,213,64,113,149,24,23,12,0.5,0.5217391304347826,0.5106382978723404
56,182,221,74,108,147,42,40,19,0.4523809523809524,0.475,0.46341463414634143
57,69,77,20,49,57,3,2,1,0.3333333333333333,0.5,0.4
58,8,12,0,8,12,0,0,0,0,0,0
59,7,15,0,7,15,0,0,0,0,0,0
60,9,11,1,8,10,0,0,0,0,0,0
61,5,9,0,5,9,0,0,0,0,0,0
62,2,11,0,2,11,0,0,0,0,0,0
63,0,3,0,0,3,0,0,0,0,0,0
64,4,9,0,4,9,0,0,0,0,0,0
65,4,16,0,4,16,0,0,0,0,0,0
66,3,19,0,3,19,0,0,0,0,0,0
67,2,12,0,2,12,0,0,0,0,0,0
68,3,9,0,3,9,0,0,0,0,0,0
69,12,74,2,10,72,0,0,0,0,0,0
70,36,103,17,19,86,14,7,4,0.2857142857142857,0.5714285714285714,0.38095238095238093
71,70,118,31,39,87,16,15,11,0.6875,0.7333333333333333,0.7096774193548386
72,84,129,40,44,89,18,21,12,0.6666666666666666,0.5714285714285714,0.6153846153846153
73,79,112,30,49,82,15,13,7,0.4666666666666667,0.5384615384615384,0.5
74,91,118,32,59,86,23,19,16,0.6956521739130435,0.8421052631578947,0.761904761904762
75,88,108,27,61,81,21,19,11,0.5238095238095238,0.5789473684210527,0.5500000000000002
76,80,108,24,56,84,14,14,6,0.42857142857142855,0.42857142857142855,0.42857142857142855
77,90,108,30,60,78,13,9,5,0.38461538461538464,0.5555555555555556,0.4545454545454546
78,93,111,33,60,78,23,15,11,0.4782608695652174,0.7333333333333333,0.5789473684210527
79,82,107,34,48,73,20,15,11,0.55,0.7333333333333333,0.6285714285714286
80,77,94,30,47,64,17,15,7,0.4117647058823529,0.4666666666666667,0.43749999999999994
81,65,81,22,43,59,9,6,5,0.5555555555555556,0.8333333333333334,0.6666666666666667
82,82,113,32,50,81,14,12,7,0.5,0.5833333333333334,0.5384615384615384
83,61,72,18,43,54,10,6,6,0.6,1.0,0.7499999999999999
84,96,173,43,53,130,40,9,7,0.175,0.7777777777777778,0.2857142857142857
85,73,87,22,51,65,9,8,6,0.6666666666666666,0.75,0.7058823529411765
86,70,80,20,50,60,8,6,6,0.75,1.0,0.8571428571428571
87,60,69,25,35,44,14,9,7,0.5,0.7777777777777778,0.6086956521739131
88,49,53,13,36,40,8,6,6,0.75,1.0,0.8571428571428571
89,22,26,1,21,25,0,0,0,0,0,0
90,26,31,2,24,29,1,1,1,1.0,1.0,1.0
91,29,48,11,18,37,3,3,3,1.0,1.0,1.0
92,39,66,18,21,48,9,10,5,0.5555555555555556,0.5,0.5263157894736842
93,49,74,25,24,49,9,11,2,0.2222222222222222,0.18181818181818182,0.19999999999999998
94,53,76,21,32,55,10,9,5,0.5,0.5555555555555556,0.5263157894736842
95,45,62,13,32,49,7,5,2,0.2857142857142857,0.4,0.3333333333333333
96,47,55,15,32,40,4,4,2,0.5,0.5,0.5
97,46,54,20,26,34,10,8,7,0.7,0.875,0.7777777777777777
98,63,88,37,26,51,21,16,14,0.6666666666666666,0.875,0.7567567567567567
99,50,63,20,30,43,11,14,9,0.8181818181818182,0.6428571428571429,0.7200000000000001
100,56,78,24,32,54,12,8,6,0.5,0.75,0.6
101,65,79,34,31,45,19,16,14,0.7368421052631579,0.875,0.7999999999999999
102,54,64,18,36,46,10,6,5,0.5,0.8333333333333334,0.625
103,41,52,8,33,44,2,2,2,1.0,1.0,1.0
104,44,57,16,28,41,9,7,6,0.6666666666666666,0.8571428571428571,0.75
105,44,56,15,29,41,7,9,7,1.0,0.7777777777777778,0.8750000000000001
106,48,80,19,29,61,9,7,7,0.7777777777777778,1.0,0.8750000000000001
