Graph_Num,Num_Pred_Nodes,Num_True_Nodes,Common_Nodes,Removed_From_Pred,Removed_From_True,Num_Pred_Edges,Num_True_Edges,Correct_Edges,Precision,Recall,F1
0,2,2,1,1,1,0,0,0,0,0,0
1,24,24,24,0,0,0,20,0,0,0.0,0
2,25,25,20,5,5,0,15,0,0,0.0,0
3,97,97,86,11,11,96,83,12,0.125,0.14457831325301204,0.13407821229050276
4,87,87,53,34,34,89,35,4,0.0449438202247191,0.11428571428571428,0.06451612903225808
5,121,121,86,35,35,123,98,8,0.06504065040650407,0.08163265306122448,0.07239819004524888
6,99,99,61,38,38,79,43,1,0.012658227848101266,0.023255813953488372,0.01639344262295082
7,127,127,84,43,43,59,76,5,0.0847457627118644,0.06578947368421052,0.07407407407407408
8,154,154,98,56,56,242,137,10,0.04132231404958678,0.072992700729927,0.052770448548812667
9,189,189,131,58,58,225,146,19,0.08444444444444445,0.13013698630136986,0.10242587601078167
10,194,194,121,73,73,289,152,12,0.04152249134948097,0.07894736842105263,0.05442176870748299
11,256,256,177,79,79,366,260,21,0.05737704918032787,0.08076923076923077,0.06709265175718851
12,198,198,106,92,92,139,108,9,0.06474820143884892,0.08333333333333333,0.0728744939271255
13,176,176,67,109,109,32,68,10,0.3125,0.14705882352941177,0.2
14,263,263,142,121,121,272,194,26,0.09558823529411764,0.13402061855670103,0.11158798283261802
15,333,333,195,138,138,332,361,31,0.09337349397590361,0.08587257617728532,0.08946608946608946
16,337,337,174,163,163,235,253,45,0.19148936170212766,0.17786561264822134,0.1844262295081967
17,346,346,172,174,174,167,234,51,0.30538922155688625,0.21794871794871795,0.25436408977556113
18,384,384,186,198,198,179,253,48,0.2681564245810056,0.18972332015810275,0.22222222222222224
19,423,423,182,241,241,132,253,33,0.25,0.13043478260869565,0.1714285714285714
20,284,284,105,179,179,43,98,12,0.27906976744186046,0.12244897959183673,0.17021276595744683
21,301,301,132,169,169,116,145,33,0.28448275862068967,0.22758620689655173,0.2528735632183908
22,278,278,124,154,154,138,128,34,0.2463768115942029,0.265625,0.2556390977443609
23,376,376,178,198,198,186,172,49,0.26344086021505375,0.28488372093023256,0.27374301675977647
24,335,335,149,186,186,114,134,38,0.3333333333333333,0.2835820895522388,0.30645161290322576
25,225,225,81,144,144,43,45,19,0.4418604651162791,0.4222222222222222,0.4318181818181818
26,309,309,136,173,173,73,134,22,0.3013698630136986,0.16417910447761194,0.21256038647342992
27,270,270,106,164,164,52,71,18,0.34615384615384615,0.2535211267605634,0.2926829268292683
28,340,340,165,175,175,95,164,32,0.3368421052631579,0.1951219512195122,0.2471042471042471
29,420,420,213,207,207,131,189,31,0.2366412213740458,0.164021164021164,0.19375
30,378,378,185,193,193,129,170,27,0.20930232558139536,0.1588235294117647,0.1806020066889632
31,429,429,201,228,228,165,212,48,0.2909090909090909,0.22641509433962265,0.2546419098143236
32,404,404,179,225,225,107,162,29,0.27102803738317754,0.17901234567901234,0.21561338289962825
33,330,330,156,174,174,87,149,21,0.2413793103448276,0.14093959731543623,0.17796610169491522
34,301,301,122,179,179,58,73,13,0.22413793103448276,0.1780821917808219,0.1984732824427481
35,424,424,206,218,218,123,226,36,0.2926829268292683,0.1592920353982301,0.20630372492836677
36,448,448,196,252,252,119,208,36,0.3025210084033613,0.17307692307692307,0.2201834862385321
37,442,442,217,225,225,155,227,43,0.27741935483870966,0.1894273127753304,0.22513089005235604
38,548,548,280,268,268,188,343,51,0.2712765957446808,0.14868804664723032,0.192090395480226
39,389,389,182,207,207,73,137,22,0.3013698630136986,0.16058394160583941,0.2095238095238095
40,231,231,70,161,161,10,21,1,0.1,0.047619047619047616,0.06451612903225806
