Graph_Num,Num_Pred_Nodes,Num_True_Nodes,Common_Nodes,Removed_From_Pred,Removed_From_True,Num_Pred_Edges,Num_True_Edges,Correct_Edges,Precision,Recall,F1
0,1,1,0,1,1,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0
2,6,6,1,5,5,0,0,0,0,0,0
3,19,19,10,9,9,2,0,0,0.0,0,0
4,55,55,26,29,29,25,21,6,0.24,0.2857142857142857,0.2608695652173913
5,60,60,25,35,35,17,14,3,0.17647058823529413,0.21428571428571427,0.1935483870967742
6,72,72,25,47,47,19,13,1,0.05263157894736842,0.07692307692307693,0.0625
7,75,75,33,42,42,16,19,5,0.3125,0.2631578947368421,0.2857142857142857
8,103,103,48,55,55,50,40,12,0.24,0.3,0.2666666666666666
9,142,142,79,63,63,91,59,16,0.17582417582417584,0.2711864406779661,0.21333333333333337
10,154,154,84,70,70,55,65,7,0.12727272727272726,0.1076923076923077,0.11666666666666667
11,170,170,102,68,68,181,103,26,0.143646408839779,0.2524271844660194,0.18309859154929578
12,164,164,77,87,87,88,43,9,0.10227272727272728,0.20930232558139536,0.13740458015267176
13,158,158,67,91,91,75,42,11,0.14666666666666667,0.2619047619047619,0.18803418803418803
14,213,213,136,77,77,173,167,28,0.16184971098265896,0.16766467065868262,0.16470588235294115
15,258,258,160,98,98,251,161,35,0.1394422310756972,0.21739130434782608,0.16990291262135923
16,278,278,174,104,104,400,191,42,0.105,0.2198952879581152,0.14213197969543148
17,300,300,190,110,110,365,230,48,0.13150684931506848,0.20869565217391303,0.16134453781512603
18,327,327,193,134,134,300,227,44,0.14666666666666667,0.19383259911894274,0.16698292220113853
19,367,367,213,154,154,237,253,38,0.16033755274261605,0.15019762845849802,0.15510204081632653
20,246,246,108,138,138,74,65,14,0.1891891891891892,0.2153846153846154,0.2014388489208633
21,275,275,133,142,142,173,101,25,0.14450867052023122,0.24752475247524752,0.18248175182481752
22,264,264,119,145,145,193,97,33,0.17098445595854922,0.3402061855670103,0.2275862068965517
23,338,338,196,142,142,317,201,74,0.2334384858044164,0.3681592039800995,0.28571428571428575
24,309,309,161,148,148,198,119,34,0.1717171717171717,0.2857142857142857,0.21451104100946372
25,212,212,84,128,128,54,43,16,0.2962962962962963,0.37209302325581395,0.32989690721649484
26,288,288,144,144,144,194,136,28,0.14432989690721648,0.20588235294117646,0.16969696969696968
27,254,254,114,140,140,125,67,26,0.208,0.3880597014925373,0.2708333333333333
28,323,323,169,154,154,231,159,43,0.18614718614718614,0.27044025157232704,0.2205128205128205
29,380,380,251,129,129,438,304,62,0.1415525114155251,0.20394736842105263,0.16711590296495957
30,346,346,202,144,144,367,195,49,0.1335149863760218,0.2512820512820513,0.17437722419928825
31,385,385,231,154,154,451,225,57,0.12638580931263857,0.25333333333333335,0.16863905325443787
32,365,365,203,162,162,210,166,43,0.20476190476190476,0.25903614457831325,0.22872340425531915
33,307,307,147,160,160,185,105,24,0.12972972972972974,0.22857142857142856,0.16551724137931037
34,276,276,126,150,150,87,55,17,0.19540229885057472,0.3090909090909091,0.23943661971830987
35,399,399,228,171,171,285,202,45,0.15789473684210525,0.22277227722772278,0.18480492813141683
36,408,408,234,174,174,259,230,46,0.1776061776061776,0.2,0.18813905930470348
37,415,415,243,172,172,207,234,52,0.25120772946859904,0.2222222222222222,0.23582766439909297
38,503,503,321,182,182,461,365,81,0.175704989154013,0.2219178082191781,0.1961259079903148
39,373,373,181,192,192,117,150,32,0.27350427350427353,0.21333333333333335,0.2397003745318352
40,215,215,65,150,150,24,17,5,0.20833333333333334,0.29411764705882354,0.24390243902439027
41,221,221,72,149,149,20,17,2,0.1,0.11764705882352941,0.1081081081081081
42,242,242,84,158,158,60,32,9,0.15,0.28125,0.19565217391304346
43,325,325,155,170,170,120,84,25,0.20833333333333334,0.2976190476190476,0.2450980392156863
44,308,308,129,179,179,41,61,18,0.43902439024390244,0.29508196721311475,0.3529411764705882
45,319,319,153,166,166,78,81,37,0.47435897435897434,0.4567901234567901,0.46540880503144655
46,299,299,120,179,179,54,46,16,0.2962962962962963,0.34782608695652173,0.31999999999999995
47,207,207,74,133,133,32,30,15,0.46875,0.5,0.4838709677419355
48,183,183,57,126,126,25,16,6,0.24,0.375,0.2926829268292683
49,246,246,102,144,144,102,49,19,0.18627450980392157,0.3877551020408163,0.25165562913907286
50,261,261,113,148,148,70,62,29,0.4142857142857143,0.46774193548387094,0.4393939393939394
51,273,273,136,137,137,132,74,37,0.2803030303030303,0.5,0.35922330097087374
52,221,221,103,118,118,90,47,27,0.3,0.574468085106383,0.3941605839416058
53,175,175,64,111,111,42,29,19,0.4523809523809524,0.6551724137931034,0.5352112676056338
54,171,171,54,117,117,19,9,3,0.15789473684210525,0.3333333333333333,0.21428571428571427
55,213,213,94,119,119,43,45,24,0.5581395348837209,0.5333333333333333,0.5454545454545454
56,221,221,101,120,120,81,67,35,0.43209876543209874,0.5223880597014925,0.47297297297297297
57,77,77,14,63,63,2,2,0,0.0,0.0,0
58,12,12,0,12,12,0,0,0,0,0,0
59,15,15,0,15,15,0,0,0,0,0,0
60,11,11,0,11,11,0,0,0,0,0,0
61,9,9,0,9,9,0,0,0,0,0,0
62,11,11,0,11,11,0,0,0,0,0,0
63,3,3,0,3,3,0,0,0,0,0,0
64,9,9,1,8,8,0,0,0,0,0,0
65,16,16,2,14,14,0,0,0,0,0,0
66,19,19,2,17,17,0,0,0,0,0,0
67,12,12,2,10,10,0,0,0,0,0,0
68,9,9,2,7,7,0,0,0,0,0,0
69,74,74,12,62,62,0,4,0,0,0.0,0
70,103,103,34,69,69,19,22,15,0.7894736842105263,0.6818181818181818,0.7317073170731707
71,118,118,55,63,63,36,40,25,0.6944444444444444,0.625,0.6578947368421053
72,129,129,59,70,70,31,26,19,0.6129032258064516,0.7307692307692307,0.6666666666666667
73,112,112,40,72,72,25,14,14,0.56,1.0,0.717948717948718
74,118,118,51,67,67,32,20,13,0.40625,0.65,0.5000000000000001
75,108,108,37,71,71,27,27,17,0.6296296296296297,0.6296296296296297,0.6296296296296297
76,108,108,37,71,71,12,21,7,0.5833333333333334,0.3333333333333333,0.4242424242424242
77,108,108,37,71,71,20,8,6,0.3,0.75,0.4285714285714285
78,111,111,42,69,69,31,19,16,0.5161290322580645,0.8421052631578947,0.6399999999999999
79,107,107,41,66,66,22,14,10,0.45454545454545453,0.7142857142857143,0.5555555555555556
80,94,94,40,54,54,22,14,12,0.5454545454545454,0.8571428571428571,0.6666666666666665
81,81,81,25,56,56,9,7,5,0.5555555555555556,0.7142857142857143,0.6250000000000001
82,113,113,42,71,71,40,17,11,0.275,0.6470588235294118,0.3859649122807018
83,72,72,21,51,51,12,5,5,0.4166666666666667,1.0,0.5882352941176471
84,173,173,83,90,90,77,46,24,0.3116883116883117,0.5217391304347826,0.39024390243902435
85,87,87,16,71,71,6,3,3,0.5,1.0,0.6666666666666666
86,80,80,25,55,55,11,6,6,0.5454545454545454,1.0,0.7058823529411764
87,69,69,20,49,49,7,4,4,0.5714285714285714,1.0,0.7272727272727273
88,53,53,16,37,37,6,6,6,1.0,1.0,1.0
89,26,26,7,19,19,1,1,1,1.0,1.0,1.0
90,31,31,9,22,22,3,3,3,1.0,1.0,1.0
91,48,48,12,36,36,6,4,3,0.5,0.75,0.6
92,66,66,23,43,43,14,15,9,0.6428571428571429,0.6,0.6206896551724138
93,74,74,29,45,45,20,10,5,0.25,0.5,0.3333333333333333
94,76,76,30,46,46,25,6,6,0.24,1.0,0.3870967741935484
95,62,62,20,42,42,6,8,4,0.6666666666666666,0.5,0.5714285714285715
96,55,55,20,35,35,13,5,4,0.3076923076923077,0.8,0.4444444444444444
97,54,54,19,35,35,9,5,4,0.4444444444444444,0.8,0.5714285714285714
98,88,88,43,45,45,35,20,16,0.45714285714285713,0.8,0.5818181818181818
99,63,63,27,36,36,22,16,10,0.45454545454545453,0.625,0.5263157894736842
100,78,78,34,44,44,29,17,14,0.4827586206896552,0.8235294117647058,0.608695652173913
101,79,79,38,41,41,21,16,11,0.5238095238095238,0.6875,0.5945945945945946
102,64,64,20,44,44,8,7,6,0.75,0.8571428571428571,0.7999999999999999
103,52,52,16,36,36,13,4,2,0.15384615384615385,0.5,0.23529411764705882
104,57,57,21,36,36,10,8,5,0.5,0.625,0.5555555555555556
105,56,56,17,39,39,7,6,4,0.5714285714285714,0.6666666666666666,0.6153846153846153
