Graph Number,Average Node Degree,Unique Degree Count,Degree Centrality,Assortivity Coefficient,Clustering Coefficient,Density,Number of Weakly Connected Components,Number of Strongly Connected Components,Number of Nodes,Number of Edges,Eigenvalue_1,Eigenvalue_2,Eigenvalue_3,Eigenvalue_4,Eigenvalue_5
0,1.0,1,1.0,,0.0,0.5,1,2,2,1,0.0,0.0,0.0,0.0,0.0
1,1.6666666666666667,4,0.07246376811594203,-0.4564911920116406,0.0,0.036231884057971016,5,24,24,20,0.0,0.0,0.0,0.0,0.0
2,1.6,4,0.06666666666666667,-0.47872032622584354,0.0,0.03333333333333333,5,25,25,20,0.0,0.0,0.0,0.0,0.0
3,3.0309278350515463,13,0.03157216494845361,-0.13967917160357157,0.043608162270988224,0.015786082474226804,7,82,97,147,1.8477590650225746,-1.8477590650225726,-1.73205080756888,1.7320508075688763,1.4142135623730956
4,2.7586206896551726,11,0.032076984763432244,-0.2628789267916902,0.0011950374019339535,0.01603849238171612,3,78,87,120,1.9318516525781384,-1.931851652578137,1.618033988749898,-1.6180339887498956,-1.0000000000000004
5,3.4214876033057853,14,0.028512396694214882,-0.15467359037761425,0.06245471430206481,0.014256198347107438,2,103,121,207,2.6427672111574063,-2.500621115730195,-1.4573715660978654,-1.4573715660978654,1.4193980263377746
6,3.0303030303030303,13,0.030921459492888066,-0.09342225248728354,0.006842812234969097,0.015460729746444033,3,84,99,150,2.3554802277899483,-1.9308438576198987,1.809934535908193,-1.3475002587745097,-1.0000011697037565
7,2.9606299212598426,12,0.0234970628671416,-0.09200181279691715,0.007592057985758773,0.011748531433570804,9,105,127,188,2.68425736455112,-2.266867174203169,-1.7320508075688787,1.7320508075688754,-1.4306925189115354
8,4.311688311688312,18,0.02818096935743995,-0.035264047939254646,0.037132609928235354,0.014090484678719973,4,105,154,332,3.8304911941947126,2.813805918449883,-2.6158583067497245,-2.357574228865081,-2.357574228865081
9,3.5555555555555554,17,0.01891252955082742,-0.04711766440717811,0.034749612527390304,0.009456264775413711,8,128,189,336,4.061398669755074,-2.363867280582847,-2.363867280582847,2.3101494165380787,-2.2360679774997854
10,4.051546391752577,20,0.020992468351049624,-0.04994870674678886,0.0489869674830257,0.010496234175524812,7,130,194,393,3.8350821759236995,2.729736990308818,-2.725217722332788,-2.53204046193994,-2.53204046193994
