Graph_Num,Num_Pred_Nodes,Num_True_Nodes,Common_Nodes,Removed_From_Pred,Removed_From_True,Num_Pred_Edges,Num_True_Edges,Correct_Edges,Precision,Recall,F1
0,1,2,1,0,1,0,0,0,0,0,0
1,24,24,24,0,0,20,20,1,0.05,0.05,0.05000000000000001
2,19,25,19,0,6,14,14,0,0.0,0.0,0
3,80,97,79,1,18,141,64,12,0.0851063829787234,0.1875,0.1170731707317073
4,54,87,46,8,41,59,18,2,0.03389830508474576,0.1111111111111111,0.05194805194805195
5,78,121,72,6,49,179,93,7,0.03910614525139665,0.07526881720430108,0.051470588235294115
6,55,99,44,11,55,85,20,9,0.10588235294117647,0.45,0.17142857142857143
7,89,127,71,18,56,92,45,4,0.043478260869565216,0.08888888888888889,0.05839416058394161
8,100,154,81,19,73,270,105,19,0.07037037037037037,0.18095238095238095,0.10133333333333333
9,103,189,91,12,98,285,93,35,0.12280701754385964,0.3763440860215054,0.18518518518518517
10,101,194,89,12,105,343,90,27,0.07871720116618076,0.3,0.12471131639722866
11,166,256,150,16,106,383,155,32,0.0835509138381201,0.2064516129032258,0.11895910780669144
12,105,198,79,26,119,199,39,11,0.05527638190954774,0.28205128205128205,0.09243697478991597
13,88,176,66,22,110,219,54,23,0.1050228310502283,0.42592592592592593,0.1684981684981685
14,143,263,128,15,135,458,149,46,0.10043668122270742,0.3087248322147651,0.1515650741350906
15,189,333,163,26,170,710,208,43,0.06056338028169014,0.20673076923076922,0.09368191721132899
16,206,337,177,29,160,635,263,58,0.09133858267716535,0.22053231939163498,0.1291759465478842
17,209,346,170,39,176,669,201,65,0.09715994020926756,0.32338308457711445,0.14942528735632185
18,222,384,187,35,197,620,215,55,0.08870967741935484,0.2558139534883721,0.13173652694610777
19,220,423,178,42,245,520,223,51,0.09807692307692308,0.22869955156950672,0.13728129205921938
20,187,284,84,103,200,219,25,10,0.045662100456621,0.4,0.08196721311475409
21,180,301,132,48,169,379,141,59,0.15567282321899736,0.41843971631205673,0.2269230769230769
22,160,278,115,45,163,358,134,52,0.1452513966480447,0.3880597014925373,0.21138211382113825
23,227,376,186,41,190,599,205,89,0.14858096828046743,0.43414634146341463,0.2213930348258706
24,195,335,143,52,192,294,126,52,0.17687074829931973,0.4126984126984127,0.2476190476190476
25,140,225,70,70,155,102,32,18,0.17647058823529413,0.5625,0.26865671641791045
26,175,309,124,51,185,253,120,46,0.18181818181818182,0.38333333333333336,0.24664879356568364
27,151,270,91,60,179,241,54,23,0.0954356846473029,0.42592592592592593,0.1559322033898305
28,196,340,140,56,200,368,120,39,0.10597826086956522,0.325,0.15983606557377047
29,244,420,195,49,225,554,185,61,0.11010830324909747,0.32972972972972975,0.16508795669824086
30,251,378,177,74,201,621,173,46,0.07407407407407407,0.2658959537572254,0.1158690176322418
31,264,429,219,45,210,642,270,81,0.1261682242990654,0.3,0.1776315789473684
32,231,404,178,53,226,397,188,52,0.1309823677581864,0.2765957446808511,0.17777777777777778
33,180,330,130,50,200,343,121,41,0.119533527696793,0.33884297520661155,0.1767241379310345
34,162,301,116,46,185,256,91,39,0.15234375,0.42857142857142855,0.2247838616714697
35,223,424,167,56,257,558,143,60,0.10752688172043011,0.4195804195804196,0.17118402282453637
36,233,448,168,65,280,446,146,43,0.09641255605381166,0.2945205479452055,0.14527027027027026
37,244,442,174,70,268,512,175,54,0.10546875,0.30857142857142855,0.1572052401746725
38,281,548,223,58,325,701,242,76,0.10841654778887304,0.3140495867768595,0.16118769883351008
39,179,389,122,57,267,355,91,41,0.11549295774647887,0.45054945054945056,0.18385650224215247
40,95,231,50,45,181,24,15,5,0.20833333333333334,0.3333333333333333,0.25641025641025644
41,119,233,56,63,177,77,20,14,0.18181818181818182,0.7,0.28865979381443296
42,131,256,71,60,185,73,31,14,0.1917808219178082,0.45161290322580644,0.2692307692307693
43,179,340,116,63,224,111,67,38,0.34234234234234234,0.5671641791044776,0.42696629213483145
44,158,341,94,64,247,172,43,18,0.10465116279069768,0.4186046511627907,0.16744186046511628
45,195,344,129,66,215,258,87,42,0.16279069767441862,0.4827586206896552,0.24347826086956526
46,129,316,90,39,226,159,54,18,0.11320754716981132,0.3333333333333333,0.16901408450704225
47,95,214,48,47,166,49,21,10,0.20408163265306123,0.47619047619047616,0.2857142857142857
48,95,190,48,47,142,69,21,14,0.2028985507246377,0.6666666666666666,0.3111111111111111
49,139,258,84,55,174,118,41,24,0.2033898305084746,0.5853658536585366,0.3018867924528302
50,175,274,106,69,168,171,75,44,0.2573099415204678,0.5866666666666667,0.35772357723577236
51,169,283,113,56,170,194,86,49,0.25257731958762886,0.5697674418604651,0.35000000000000003
52,136,233,87,49,146,146,56,34,0.2328767123287671,0.6071428571428571,0.33663366336633666
53,100,184,60,40,124,104,42,24,0.23076923076923078,0.5714285714285714,0.3287671232876712
54,78,179,43,35,136,63,22,16,0.25396825396825395,0.7272727272727273,0.3764705882352941
55,136,215,87,49,128,119,53,33,0.2773109243697479,0.6226415094339622,0.38372093023255816
56,157,226,91,66,135,104,63,38,0.36538461538461536,0.6031746031746031,0.4550898203592814
57,45,83,14,31,69,3,2,2,0.6666666666666666,1.0,0.8
58,3,13,1,2,12,0,0,0,0,0,0
59,6,15,1,5,14,0,0,0,0,0,0
60,5,14,3,2,11,0,0,0,0,0,0
61,3,10,1,2,9,0,0,0,0,0,0
62,3,12,1,2,11,0,0,0,0,0,0
63,1,4,1,0,3,0,0,0,0,0,0
64,4,9,0,4,9,0,0,0,0,0,0
65,4,16,1,3,15,0,0,0,0,0,0
66,8,24,5,3,19,1,1,0,0.0,0.0,0
67,5,13,2,3,11,0,0,0,0,0,0
68,0,9,0,0,9,0,0,0,0,0,0
69,35,76,8,27,68,0,0,0,0,0,0
70,56,107,23,33,84,38,16,11,0.2894736842105263,0.6875,0.4074074074074074
71,57,121,38,19,83,93,25,21,0.22580645161290322,0.84,0.3559322033898305
72,62,133,38,24,95,68,22,15,0.22058823529411764,0.6818181818181818,0.3333333333333333
73,65,113,37,28,76,60,20,14,0.23333333333333334,0.7,0.35
74,67,120,40,27,80,31,28,20,0.6451612903225806,0.7142857142857143,0.6779661016949152
