Graph_Num,Num_Pred_Nodes,Num_True_Nodes,Common_Nodes,Removed_From_Pred,Removed_From_True,Num_Pred_Edges,Num_True_Edges,Correct_Edges,Precision,Recall,F1
0,0,1,0,0,1,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0
2,0,6,0,0,6,0,0,0,0,0,0
3,2,19,1,1,18,0,0,0,0,0,0
4,22,55,14,8,41,24,7,2,0.08333333333333333,0.2857142857142857,0.12903225806451613
5,17,60,11,6,49,34,7,7,0.20588235294117646,1.0,0.34146341463414637
6,28,72,17,11,55,55,9,7,0.12727272727272726,0.7777777777777778,0.21874999999999994
7,37,75,19,18,56,34,10,4,0.11764705882352941,0.4,0.1818181818181818
8,49,103,30,19,73,103,23,13,0.1262135922330097,0.5652173913043478,0.20634920634920634
9,56,142,44,12,98,152,40,29,0.19078947368421054,0.725,0.30208333333333337
10,61,154,49,12,105,210,36,23,0.10952380952380952,0.6388888888888888,0.18699186991869918
11,80,170,64,16,106,186,54,28,0.15053763440860216,0.5185185185185185,0.23333333333333336
12,71,164,45,26,119,119,16,10,0.08403361344537816,0.625,0.14814814814814817
13,70,158,48,22,110,183,41,22,0.12021857923497267,0.5365853658536586,0.1964285714285714
14,93,213,78,15,135,300,85,43,0.14333333333333334,0.5058823529411764,0.2233766233766234
15,114,258,88,26,170,370,68,39,0.10540540540540541,0.5735294117647058,0.1780821917808219
16,147,278,118,29,160,442,147,55,0.1244343891402715,0.3741496598639456,0.1867572156196944
17,163,300,124,39,176,492,143,61,0.12398373983739837,0.42657342657342656,0.19212598425196847
18,165,327,130,35,197,434,141,53,0.12211981566820276,0.375886524822695,0.18434782608695652
19,164,367,122,42,245,411,154,51,0.12408759124087591,0.33116883116883117,0.1805309734513274
20,149,246,46,103,200,108,12,10,0.09259259259259259,0.8333333333333334,0.16666666666666666
21,154,275,106,48,169,300,109,55,0.18333333333333332,0.5045871559633027,0.2689486552567237
22,146,264,101,45,163,306,116,52,0.16993464052287582,0.4482758620689655,0.24644549763033174
23,189,338,148,41,190,467,159,89,0.1905781584582441,0.559748427672956,0.28434504792332266
24,169,309,117,52,192,244,96,52,0.21311475409836064,0.5416666666666666,0.30588235294117644
25,127,212,57,70,155,88,25,17,0.19318181818181818,0.68,0.3008849557522124
26,154,288,103,51,185,216,101,46,0.21296296296296297,0.45544554455445546,0.2902208201892745
27,135,254,75,60,179,208,44,23,0.11057692307692307,0.5227272727272727,0.18253968253968253
28,179,323,123,56,200,342,103,39,0.11403508771929824,0.3786407766990291,0.1752808988764045
29,204,380,155,49,225,461,152,60,0.1301518438177874,0.39473684210526316,0.1957585644371941
30,219,346,145,74,201,487,122,45,0.09240246406570841,0.36885245901639346,0.1477832512315271
31,220,385,175,45,210,509,207,80,0.15717092337917485,0.3864734299516908,0.22346368715083798
32,192,365,139,53,226,315,131,50,0.15873015873015872,0.3816793893129771,0.22421524663677128
33,157,307,107,50,200,282,94,41,0.1453900709219858,0.43617021276595747,0.21808510638297876
34,137,276,91,46,185,226,70,36,0.1592920353982301,0.5142857142857142,0.24324324324324323
35,198,399,142,56,257,485,113,60,0.12371134020618557,0.5309734513274337,0.20066889632107024
36,193,408,128,65,280,327,107,43,0.13149847094801223,0.40186915887850466,0.1981566820276498
37,217,415,147,70,268,414,130,54,0.13043478260869565,0.4153846153846154,0.1985294117647059
38,236,503,178,58,325,569,200,75,0.13181019332161686,0.375,0.19505851755526654
39,163,373,106,57,267,325,81,41,0.12615384615384614,0.5061728395061729,0.20197044334975367
40,79,215,34,45,181,24,9,5,0.20833333333333334,0.5555555555555556,0.30303030303030304
41,107,221,44,63,177,71,16,14,0.19718309859154928,0.875,0.3218390804597701
42,117,242,57,60,185,69,23,14,0.2028985507246377,0.6086956521739131,0.30434782608695654
43,164,325,101,63,224,84,57,38,0.4523809523809524,0.6666666666666666,0.5390070921985816
44,125,308,61,64,247,128,22,17,0.1328125,0.7727272727272727,0.22666666666666668
45,170,319,104,66,215,213,58,41,0.19248826291079812,0.7068965517241379,0.3025830258302583
46,112,299,73,39,226,105,30,18,0.17142857142857143,0.6,0.26666666666666666
47,88,207,41,47,166,49,16,10,0.20408163265306123,0.625,0.3076923076923077
48,88,183,41,47,142,58,19,14,0.2413793103448276,0.7368421052631579,0.3636363636363636
49,127,246,72,55,174,111,36,24,0.21621621621621623,0.6666666666666666,0.326530612244898
50,162,261,93,69,168,120,57,42,0.35,0.7368421052631579,0.47457627118644063
51,159,273,103,56,170,174,77,49,0.28160919540229884,0.6363636363636364,0.3904382470119522
52,124,221,75,49,146,129,48,34,0.26356589147286824,0.7083333333333334,0.384180790960452
53,91,175,51,40,124,87,39,24,0.27586206896551724,0.6153846153846154,0.380952380952381
54,70,171,35,35,136,52,19,16,0.3076923076923077,0.8421052631578947,0.4507042253521127
55,134,213,85,49,128,117,52,33,0.28205128205128205,0.6346153846153846,0.3905325443786982
56,152,221,86,66,135,99,59,38,0.3838383838383838,0.6440677966101694,0.4810126582278481
57,39,77,8,31,69,3,2,2,0.6666666666666666,1.0,0.8
58,2,12,0,2,12,0,0,0,0,0,0
59,6,15,1,5,14,0,0,0,0,0,0
60,2,11,0,2,11,0,0,0,0,0,0
61,2,9,0,2,9,0,0,0,0,0,0
62,2,11,0,2,11,0,0,0,0,0,0
63,0,3,0,0,3,0,0,0,0,0,0
64,4,9,0,4,9,0,0,0,0,0,0
65,4,16,1,3,15,0,0,0,0,0,0
66,3,19,0,3,19,0,0,0,0,0,0
67,4,12,1,3,11,0,0,0,0,0,0
68,0,9,0,0,9,0,0,0,0,0,0
69,33,74,6,27,68,0,0,0,0,0,0
70,52,103,19,33,84,34,13,11,0.3235294117647059,0.8461538461538461,0.46808510638297873
71,54,118,35,19,83,87,24,21,0.2413793103448276,0.875,0.3783783783783784
72,58,129,34,24,95,62,20,15,0.24193548387096775,0.75,0.36585365853658536
73,64,112,36,28,76,60,20,14,0.23333333333333334,0.7,0.35
74,65,118,38,27,80,29,27,20,0.6896551724137931,0.7407407407407407,0.7142857142857143
75,77,108,37,40,71,44,36,22,0.5,0.6111111111111112,0.55
76,56,108,26,30,82,41,18,12,0.2926829268292683,0.6666666666666666,0.4067796610169492
77,59,108,21,38,87,31,11,6,0.1935483870967742,0.5454545454545454,0.2857142857142857
78,94,111,44,50,67,64,35,24,0.375,0.6857142857142857,0.4848484848484848
79,55,107,25,30,82,33,13,11,0.3333333333333333,0.8461538461538461,0.47826086956521735
80,58,94,39,19,55,52,21,19,0.36538461538461536,0.9047619047619048,0.5205479452054794
81,54,81,27,27,54,21,13,12,0.5714285714285714,0.9230769230769231,0.7058823529411765
