Graph_Num,Precision_New,Recall_New,F1_New,Accuracy_New,Precision_Old,Recall_Old,F1_Old,Accuracy_Old,Precision_All,Recall_All,F1_All
0,1.0,1.0,1.0,1.0,0.0,0.0,0,0.0,0.5,0.5,0.5
1,1.0,1.0,1.0,1.0,0,0,0,0,1.0,1.0,1.0
2,1.0,1.0,1.0,1.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.8,0.8,0.8000000000000002
3,1.0,1.0,1.0,1.0,0.47368421052631576,0.47368421052631576,0.47368421052631576,0.47368421052631576,0.8969072164948454,0.8969072164948454,0.8969072164948453
4,1.0,1.0,1.0,1.0,0.34545454545454546,0.34545454545454546,0.34545454545454546,0.34545454545454546,0.5862068965517241,0.5862068965517241,0.5862068965517241
5,1.0,1.0,1.0,1.0,0.36666666666666664,0.36666666666666664,0.36666666666666664,0.36666666666666664,0.6859504132231405,0.6859504132231405,0.6859504132231405
6,1.0,1.0,1.0,1.0,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.43434343434343436,0.43434343434343436,0.4343434343434344
7,1.0,1.0,1.0,1.0,0.25333333333333335,0.25333333333333335,0.25333333333333335,0.25333333333333335,0.5590551181102362,0.5590551181102362,0.5590551181102362
8,1.0,1.0,1.0,1.0,0.23300970873786409,0.23300970873786409,0.23300970873786409,0.23300970873786409,0.487012987012987,0.487012987012987,0.487012987012987
9,1.0,1.0,1.0,1.0,0.44366197183098594,0.44366197183098594,0.44366197183098594,0.44366197183098594,0.582010582010582,0.582010582010582,0.582010582010582
10,1.0,1.0,1.0,1.0,0.44805194805194803,0.44805194805194803,0.4480519480519481,0.44805194805194803,0.5618556701030928,0.5618556701030928,0.5618556701030928
11,1.0,1.0,1.0,1.0,0.34705882352941175,0.34705882352941175,0.34705882352941175,0.34705882352941175,0.56640625,0.56640625,0.56640625
12,1.0,1.0,1.0,1.0,0.3719512195121951,0.3719512195121951,0.3719512195121952,0.3719512195121951,0.4797979797979798,0.4797979797979798,0.4797979797979798
13,1.0,1.0,1.0,1.0,0.2721518987341772,0.2721518987341772,0.2721518987341772,0.2721518987341772,0.3465909090909091,0.3465909090909091,0.3465909090909091
14,1.0,1.0,1.0,1.0,0.3474178403755869,0.3474178403755869,0.3474178403755869,0.3474178403755869,0.4714828897338403,0.4714828897338403,0.4714828897338403
15,1.0,1.0,1.0,1.0,0.37209302325581395,0.37209302325581395,0.3720930232558139,0.37209302325581395,0.5135135135135135,0.5135135135135135,0.5135135135135135
16,1.0,1.0,1.0,1.0,0.41007194244604317,0.41007194244604317,0.41007194244604317,0.41007194244604317,0.5133531157270029,0.5133531157270029,0.5133531157270029
17,1.0,1.0,1.0,1.0,0.36666666666666664,0.36666666666666664,0.36666666666666664,0.36666666666666664,0.4508670520231214,0.4508670520231214,0.4508670520231214
18,1.0,1.0,1.0,1.0,0.3669724770642202,0.3669724770642202,0.3669724770642202,0.3669724770642202,0.4609375,0.4609375,0.4609375
19,1.0,1.0,1.0,1.0,0.3814713896457766,0.3814713896457766,0.38147138964577654,0.3814713896457766,0.46335697399527187,0.46335697399527187,0.46335697399527187
20,1.0,1.0,1.0,1.0,0.2682926829268293,0.2682926829268293,0.2682926829268293,0.2682926829268293,0.36619718309859156,0.36619718309859156,0.36619718309859156
21,1.0,1.0,1.0,1.0,0.3054545454545455,0.3054545454545455,0.3054545454545455,0.3054545454545455,0.3654485049833887,0.3654485049833887,0.3654485049833887
22,1.0,1.0,1.0,1.0,0.2537878787878788,0.2537878787878788,0.2537878787878788,0.2537878787878788,0.29136690647482016,0.29136690647482016,0.29136690647482016
23,1.0,1.0,1.0,1.0,0.32840236686390534,0.32840236686390534,0.32840236686390534,0.32840236686390534,0.3962765957446808,0.3962765957446808,0.3962765957446808
24,1.0,1.0,1.0,1.0,0.31715210355987056,0.31715210355987056,0.31715210355987056,0.31715210355987056,0.3701492537313433,0.3701492537313433,0.3701492537313433
25,1.0,1.0,1.0,1.0,0.24056603773584906,0.24056603773584906,0.24056603773584906,0.24056603773584906,0.28444444444444444,0.28444444444444444,0.28444444444444444
26,1.0,1.0,1.0,1.0,0.3159722222222222,0.3159722222222222,0.3159722222222222,0.3159722222222222,0.36245954692556637,0.36245954692556637,0.3624595469255663
27,1.0,1.0,1.0,1.0,0.2047244094488189,0.2047244094488189,0.2047244094488189,0.2047244094488189,0.2518518518518518,0.2518518518518518,0.2518518518518518
28,1.0,1.0,1.0,1.0,0.3188854489164087,0.3188854489164087,0.3188854489164087,0.3188854489164087,0.35294117647058826,0.35294117647058826,0.35294117647058826
29,1.0,1.0,1.0,1.0,0.3736842105263158,0.3736842105263158,0.3736842105263158,0.3736842105263158,0.43333333333333335,0.43333333333333335,0.43333333333333335
30,1.0,1.0,1.0,1.0,0.3179190751445087,0.3179190751445087,0.3179190751445087,0.3179190751445087,0.37566137566137564,0.37566137566137564,0.37566137566137564
31,1.0,1.0,1.0,1.0,0.2909090909090909,0.2909090909090909,0.2909090909090909,0.2909090909090909,0.36363636363636365,0.36363636363636365,0.36363636363636365
32,1.0,1.0,1.0,1.0,0.30684931506849317,0.30684931506849317,0.30684931506849317,0.30684931506849317,0.37376237623762376,0.37376237623762376,0.37376237623762376
33,1.0,1.0,1.0,1.0,0.26058631921824105,0.26058631921824105,0.26058631921824105,0.26058631921824105,0.31212121212121213,0.31212121212121213,0.31212121212121213
34,1.0,1.0,1.0,1.0,0.26811594202898553,0.26811594202898553,0.26811594202898553,0.26811594202898553,0.3289036544850498,0.3289036544850498,0.3289036544850498
35,1.0,1.0,1.0,1.0,0.3358395989974937,0.3358395989974937,0.3358395989974937,0.3358395989974937,0.375,0.375,0.375
36,1.0,1.0,1.0,1.0,0.35049019607843135,0.35049019607843135,0.35049019607843135,0.35049019607843135,0.40848214285714285,0.40848214285714285,0.40848214285714285
37,1.0,1.0,1.0,1.0,0.30843373493975906,0.30843373493975906,0.30843373493975906,0.30843373493975906,0.3506787330316742,0.3506787330316742,0.3506787330316742
38,1.0,1.0,1.0,1.0,0.4135188866799205,0.4135188866799205,0.4135188866799205,0.4135188866799205,0.46167883211678834,0.46167883211678834,0.46167883211678834
39,1.0,1.0,1.0,1.0,0.3136729222520107,0.3136729222520107,0.3136729222520107,0.3136729222520107,0.34190231362467866,0.34190231362467866,0.34190231362467866
40,1.0,1.0,1.0,1.0,0.17209302325581396,0.17209302325581396,0.17209302325581396,0.17209302325581396,0.22943722943722944,0.22943722943722944,0.22943722943722944
41,1.0,1.0,1.0,1.0,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.19742489270386265,0.19742489270386265,0.19742489270386265
42,1.0,1.0,1.0,1.0,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.2265625,0.2265625,0.2265625
43,1.0,1.0,1.0,1.0,0.26461538461538464,0.26461538461538464,0.26461538461538464,0.26461538461538464,0.29705882352941176,0.29705882352941176,0.29705882352941176
44,1.0,1.0,1.0,1.0,0.21753246753246752,0.21753246753246752,0.21753246753246752,0.21753246753246752,0.2932551319648094,0.2932551319648094,0.2932551319648094
45,1.0,1.0,1.0,1.0,0.21316614420062696,0.21316614420062696,0.21316614420062696,0.21316614420062696,0.2703488372093023,0.2703488372093023,0.2703488372093023
46,1.0,1.0,1.0,1.0,0.2140468227424749,0.2140468227424749,0.2140468227424749,0.2140468227424749,0.2563291139240506,0.2563291139240506,0.2563291139240506
47,1.0,1.0,1.0,1.0,0.12077294685990338,0.12077294685990338,0.12077294685990338,0.12077294685990338,0.14953271028037382,0.14953271028037382,0.14953271028037382
48,1.0,1.0,1.0,1.0,0.11475409836065574,0.11475409836065574,0.11475409836065574,0.11475409836065574,0.14736842105263157,0.14736842105263157,0.14736842105263157
49,1.0,1.0,1.0,1.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.2054263565891473,0.2054263565891473,0.2054263565891473
