Graph_Num,Num_Pred_Nodes,Num_True_Nodes,Common_Nodes,Removed_From_Pred,Removed_From_True,Num_Pred_Edges,Num_True_Edges,Correct_Edges,Precision,Recall,F1
0,2,2,1,1,1,0,0,0,0,0,0
1,24,24,24,0,0,0,20,0,0,0.0,0
2,25,25,20,5,5,0,15,0,0,0.0,0
3,97,97,91,6,6,46,106,0,0.0,0.0,0
4,87,87,68,19,19,108,51,9,0.08333333333333333,0.17647058823529413,0.11320754716981131
5,121,121,94,27,27,83,102,4,0.04819277108433735,0.0392156862745098,0.04324324324324324
6,99,99,63,36,36,103,53,3,0.02912621359223301,0.05660377358490566,0.038461538461538464
7,127,127,94,33,33,71,88,8,0.11267605633802817,0.09090909090909091,0.10062893081761008
8,154,154,109,45,45,179,152,16,0.0893854748603352,0.10526315789473684,0.09667673716012083
9,189,189,136,53,53,306,154,24,0.0784313725490196,0.15584415584415584,0.10434782608695652
10,194,194,142,52,52,327,204,18,0.05504587155963303,0.08823529411764706,0.06779661016949153
11,256,256,190,66,66,483,217,26,0.053830227743271224,0.11981566820276497,0.07428571428571429
12,198,198,116,82,82,226,105,11,0.048672566371681415,0.10476190476190476,0.06646525679758308
13,176,176,98,78,78,139,86,10,0.07194244604316546,0.11627906976744186,0.08888888888888889
14,263,263,176,87,87,400,204,22,0.055,0.10784313725490197,0.07284768211920531
15,333,333,246,87,87,566,436,40,0.0706713780918728,0.09174311926605505,0.07984031936127745
16,337,337,230,107,107,582,337,54,0.09278350515463918,0.16023738872403562,0.11751904243743201
17,346,346,228,118,118,635,326,50,0.07874015748031496,0.15337423312883436,0.1040582726326743
18,384,384,262,122,122,674,364,56,0.0830860534124629,0.15384615384615385,0.10789980732177264
19,423,423,266,157,157,584,336,42,0.07191780821917808,0.125,0.09130434782608694
20,284,284,149,135,135,377,140,22,0.058355437665782495,0.15714285714285714,0.0851063829787234
21,301,301,168,133,133,342,181,38,0.1111111111111111,0.20994475138121546,0.14531548757170173
22,278,278,131,147,147,199,144,55,0.27638190954773867,0.3819444444444444,0.3206997084548105
23,376,376,216,160,160,500,225,63,0.126,0.28,0.17379310344827587
24,335,335,187,148,148,298,158,43,0.14429530201342283,0.2721518987341772,0.1885964912280702
25,225,225,98,127,127,117,47,18,0.15384615384615385,0.3829787234042553,0.21951219512195122
26,309,309,154,155,155,223,138,38,0.17040358744394618,0.2753623188405797,0.2105263157894737
27,270,270,130,140,140,127,84,24,0.1889763779527559,0.2857142857142857,0.22748815165876776
28,340,340,188,152,152,238,190,49,0.20588235294117646,0.2578947368421053,0.22897196261682243
29,420,420,258,162,162,684,293,61,0.0891812865497076,0.20819112627986347,0.12487205731832139
30,378,378,206,172,172,414,204,53,0.1280193236714976,0.25980392156862747,0.17152103559870552
31,429,429,241,188,188,674,250,62,0.09198813056379822,0.248,0.13419913419913418
32,404,404,236,168,168,408,246,38,0.09313725490196079,0.15447154471544716,0.1162079510703364
33,330,330,170,160,160,254,156,36,0.14173228346456693,0.23076923076923078,0.17560975609756097
34,301,301,138,163,163,224,87,16,0.07142857142857142,0.1839080459770115,0.10289389067524117
35,424,424,225,199,199,413,158,51,0.1234866828087167,0.3227848101265823,0.1786339754816112
36,448,448,239,209,209,686,248,55,0.08017492711370262,0.2217741935483871,0.1177730192719486
37,442,442,244,198,198,347,288,54,0.15561959654178675,0.1875,0.1700787401574803
38,548,548,326,222,222,802,388,72,0.08977556109725686,0.18556701030927836,0.12100840336134454
39,389,389,183,206,206,206,131,30,0.14563106796116504,0.22900763358778625,0.17804154302670622
40,231,231,83,148,148,98,27,6,0.061224489795918366,0.2222222222222222,0.096
41,233,233,63,170,170,62,15,4,0.06451612903225806,0.26666666666666666,0.1038961038961039
