Graph_Num,Num_Pred_Nodes,Num_True_Nodes,Common_Nodes,Removed_From_Pred,Removed_From_True,Num_Pred_Edges,Num_True_Edges,Correct_Edges,Precision,Recall,F1
0,1,2,1,0,1,0,0,0,0,0,0
1,24,24,24,0,0,20,20,1,0.05,0.05,0.05000000000000001
2,19,25,19,0,6,14,14,0,0.0,0.0,0
3,80,97,79,1,18,141,64,12,0.0851063829787234,0.1875,0.1170731707317073
4,54,87,46,8,41,63,18,5,0.07936507936507936,0.2777777777777778,0.12345679012345678
5,78,121,72,6,49,178,93,7,0.03932584269662921,0.07526881720430108,0.05166051660516605
6,55,99,44,11,55,88,20,7,0.07954545454545454,0.35,0.12962962962962962
7,89,127,71,18,56,102,45,5,0.049019607843137254,0.1111111111111111,0.06802721088435373
8,100,154,81,19,73,131,105,13,0.09923664122137404,0.12380952380952381,0.11016949152542374
9,103,189,91,12,98,284,93,34,0.11971830985915492,0.3655913978494624,0.18037135278514588
10,101,194,89,12,105,316,90,25,0.07911392405063292,0.2777777777777778,0.12315270935960593
11,166,256,150,16,106,454,155,31,0.06828193832599119,0.2,0.10180623973727422
12,105,198,79,26,119,245,39,11,0.044897959183673466,0.28205128205128205,0.07746478873239436
13,88,176,66,22,110,158,54,21,0.13291139240506328,0.3888888888888889,0.1981132075471698
14,143,263,128,15,135,452,149,41,0.09070796460176991,0.2751677852348993,0.13643926788685523
15,189,333,163,26,170,672,208,42,0.0625,0.20192307692307693,0.09545454545454546
16,206,337,177,29,160,625,263,62,0.0992,0.23574144486692014,0.13963963963963963
17,209,346,170,39,176,676,201,65,0.09615384615384616,0.32338308457711445,0.1482326111744584
18,222,384,187,35,197,687,215,54,0.07860262008733625,0.25116279069767444,0.1197339246119734
19,220,423,178,42,245,584,223,60,0.10273972602739725,0.26905829596412556,0.14869888475836432
20,187,284,84,103,200,187,25,10,0.053475935828877004,0.4,0.09433962264150944
21,180,301,132,48,169,477,141,61,0.1278825995807128,0.4326241134751773,0.197411003236246
22,160,278,115,45,163,375,134,50,0.13333333333333333,0.373134328358209,0.19646365422396855
23,227,376,186,41,190,617,205,88,0.1426256077795786,0.4292682926829268,0.21411192214111924
24,195,335,143,52,192,313,126,51,0.16293929712460065,0.40476190476190477,0.23234624145785876
25,140,225,70,70,155,129,32,18,0.13953488372093023,0.5625,0.2236024844720497
26,175,309,124,51,185,271,120,46,0.16974169741697417,0.38333333333333336,0.23529411764705885
27,151,270,91,60,179,272,54,24,0.08823529411764706,0.4444444444444444,0.147239263803681
28,196,340,140,56,200,366,120,40,0.1092896174863388,0.3333333333333333,0.1646090534979424
29,244,420,195,49,225,464,185,54,0.11637931034482758,0.2918918918918919,0.1664098613251156
30,251,378,177,74,201,618,173,47,0.07605177993527508,0.27167630057803466,0.1188369152970923
31,264,429,219,45,210,591,270,79,0.13367174280879865,0.29259259259259257,0.18350754936120792
32,231,404,178,53,226,529,188,52,0.09829867674858223,0.2765957446808511,0.14504881450488144
33,180,330,130,50,200,339,121,41,0.12094395280235988,0.33884297520661155,0.1782608695652174
34,162,301,116,46,185,285,91,34,0.11929824561403508,0.37362637362637363,0.18085106382978722
35,223,424,167,56,257,546,143,58,0.10622710622710622,0.40559440559440557,0.1683599419448476
36,233,448,168,65,280,521,146,49,0.09404990403071017,0.3356164383561644,0.14692653673163417
37,244,442,174,70,268,494,175,57,0.11538461538461539,0.32571428571428573,0.17040358744394618
38,281,548,223,58,325,757,242,75,0.09907529722589167,0.30991735537190085,0.15015015015015015
39,179,389,122,57,267,366,91,42,0.11475409836065574,0.46153846153846156,0.1838074398249453
40,95,231,50,45,181,49,15,5,0.10204081632653061,0.3333333333333333,0.15625
41,119,233,56,63,177,69,20,14,0.2028985507246377,0.7,0.3146067415730337
42,131,256,71,60,185,78,31,13,0.16666666666666666,0.41935483870967744,0.23853211009174308
43,179,340,116,63,224,207,67,38,0.18357487922705315,0.5671641791044776,0.2773722627737226
44,158,341,94,64,247,172,43,18,0.10465116279069768,0.4186046511627907,0.16744186046511628
45,195,344,129,66,215,216,87,41,0.18981481481481483,0.47126436781609193,0.2706270627062706
46,129,316,90,39,226,190,54,19,0.1,0.35185185185185186,0.1557377049180328
47,95,214,48,47,166,73,21,10,0.136986301369863,0.47619047619047616,0.2127659574468085
48,95,190,48,47,142,67,21,14,0.208955223880597,0.6666666666666666,0.3181818181818181
49,139,258,84,55,174,119,41,23,0.19327731092436976,0.5609756097560976,0.28750000000000003
50,175,274,106,69,168,191,75,44,0.23036649214659685,0.5866666666666667,0.3308270676691729
51,169,283,113,56,170,233,86,52,0.22317596566523606,0.6046511627906976,0.3260188087774295
52,136,233,87,49,146,190,56,34,0.17894736842105263,0.6071428571428571,0.2764227642276423
53,100,184,60,40,124,94,42,26,0.2765957446808511,0.6190476190476191,0.38235294117647056
54,78,179,43,35,136,26,22,16,0.6153846153846154,0.7272727272727273,0.6666666666666667
55,136,215,87,49,128,120,53,32,0.26666666666666666,0.6037735849056604,0.3699421965317919
56,157,226,91,66,135,147,63,39,0.2653061224489796,0.6190476190476191,0.37142857142857144
57,45,83,14,31,69,14,2,2,0.14285714285714285,1.0,0.25
58,3,13,1,2,12,0,0,0,0,0,0
59,6,15,1,5,14,0,0,0,0,0,0
60,5,14,3,2,11,0,0,0,0,0,0
61,3,10,1,2,9,0,0,0,0,0,0
62,3,12,1,2,11,0,0,0,0,0,0
63,1,4,1,0,3,0,0,0,0,0,0
64,4,9,0,4,9,0,0,0,0,0,0
65,4,16,1,3,15,0,0,0,0,0,0
66,8,24,5,3,19,1,1,0,0.0,0.0,0
67,5,13,2,3,11,0,0,0,0,0,0
68,0,9,0,0,9,0,0,0,0,0,0
69,35,76,8,27,68,0,0,0,0,0,0
70,56,107,23,33,84,39,16,11,0.28205128205128205,0.6875,0.4
71,57,121,38,19,83,74,25,21,0.28378378378378377,0.84,0.42424242424242425
72,62,133,38,24,95,55,22,15,0.2727272727272727,0.6818181818181818,0.3896103896103896
73,65,113,37,28,76,47,20,14,0.2978723404255319,0.7,0.417910447761194
74,67,120,40,27,80,35,28,20,0.5714285714285714,0.7142857142857143,0.634920634920635
