Graph_Num,Num_Pred_Nodes,Num_True_Nodes,Common_Nodes,Removed_From_Pred,Removed_From_True,Num_Pred_Edges,Num_True_Edges,Correct_Edges,Precision,Recall,F1
0,0,1,0,0,1,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0
2,0,6,0,0,6,0,0,0,0,0,0
3,2,19,1,1,18,0,0,0,0,0,0
4,22,55,14,8,41,28,7,3,0.10714285714285714,0.42857142857142855,0.17142857142857143
5,17,60,11,6,49,33,7,7,0.21212121212121213,1.0,0.35
6,28,72,17,11,55,61,9,7,0.11475409836065574,0.7777777777777778,0.19999999999999998
7,37,75,19,18,56,34,10,4,0.11764705882352941,0.4,0.1818181818181818
8,49,103,30,19,73,66,23,12,0.18181818181818182,0.5217391304347826,0.2696629213483146
9,56,142,44,12,98,151,40,30,0.1986754966887417,0.75,0.3141361256544502
10,61,154,49,12,105,183,36,21,0.11475409836065574,0.5833333333333334,0.1917808219178082
11,80,170,64,16,106,220,54,29,0.1318181818181818,0.5370370370370371,0.2116788321167883
12,71,164,45,26,119,165,16,10,0.06060606060606061,0.625,0.11049723756906078
13,70,158,48,22,110,140,41,21,0.15,0.5121951219512195,0.23204419889502761
14,93,213,78,15,135,294,85,40,0.1360544217687075,0.47058823529411764,0.21108179419525067
15,114,258,88,26,170,332,68,39,0.11746987951807229,0.5735294117647058,0.195
16,147,278,118,29,160,432,147,58,0.13425925925925927,0.3945578231292517,0.2003454231433506
17,163,300,124,39,176,545,143,63,0.11559633027522936,0.4405594405594406,0.18313953488372095
18,165,327,130,35,197,501,141,54,0.10778443113772455,0.3829787234042553,0.16822429906542058
19,164,367,122,42,245,475,154,59,0.12421052631578948,0.38311688311688313,0.18759936406995228
20,149,246,46,103,200,108,12,10,0.09259259259259259,0.8333333333333334,0.16666666666666666
21,154,275,106,48,169,398,109,60,0.1507537688442211,0.5504587155963303,0.23668639053254434
22,146,264,101,45,163,323,116,50,0.15479876160990713,0.43103448275862066,0.22779043280182232
23,189,338,148,41,190,485,159,88,0.18144329896907216,0.5534591194968553,0.27329192546583847
24,169,309,117,52,192,289,96,51,0.17647058823529413,0.53125,0.2649350649350649
25,127,212,57,70,155,110,25,17,0.15454545454545454,0.68,0.2518518518518518
26,154,288,103,51,185,268,101,46,0.17164179104477612,0.45544554455445546,0.24932249322493225
27,135,254,75,60,179,237,44,24,0.10126582278481013,0.5454545454545454,0.1708185053380783
28,179,323,123,56,200,323,103,40,0.1238390092879257,0.3883495145631068,0.18779342723004694
29,204,380,155,49,225,371,152,54,0.14555256064690028,0.35526315789473684,0.20650095602294458
30,219,346,145,74,201,484,122,46,0.09504132231404959,0.3770491803278688,0.15181518151815182
31,220,385,175,45,210,458,207,79,0.17248908296943233,0.38164251207729466,0.23759398496240605
32,192,365,139,53,226,381,131,49,0.12860892388451445,0.37404580152671757,0.19140625000000003
33,157,307,107,50,200,301,94,41,0.1362126245847176,0.43617021276595747,0.20759493670886076
34,137,276,91,46,185,231,70,34,0.1471861471861472,0.4857142857142857,0.2259136212624585
35,198,399,142,56,257,473,113,58,0.1226215644820296,0.5132743362831859,0.19795221843003413
36,193,408,128,65,280,402,107,41,0.10199004975124377,0.38317757009345793,0.16110019646365423
37,217,415,147,70,268,369,130,56,0.15176151761517614,0.4307692307692308,0.22444889779559118
38,236,503,178,58,325,625,200,74,0.1184,0.37,0.17939393939393938
39,163,373,106,57,267,336,81,42,0.125,0.5185185185185185,0.2014388489208633
40,79,215,34,45,181,36,9,5,0.1388888888888889,0.5555555555555556,0.22222222222222227
41,107,221,44,63,177,56,16,14,0.25,0.875,0.3888888888888889
42,117,242,57,60,185,60,23,13,0.21666666666666667,0.5652173913043478,0.3132530120481928
43,164,325,101,63,224,180,57,38,0.2111111111111111,0.6666666666666666,0.32067510548523204
44,125,308,61,64,247,110,22,17,0.15454545454545454,0.7727272727272727,0.25757575757575757
45,170,319,104,66,215,171,58,40,0.23391812865497075,0.6896551724137931,0.34934497816593885
46,112,299,73,39,226,153,30,18,0.11764705882352941,0.6,0.19672131147540983
47,88,207,41,47,166,60,16,10,0.16666666666666666,0.625,0.2631578947368421
48,88,183,41,47,142,49,19,14,0.2857142857142857,0.7368421052631579,0.4117647058823529
49,127,246,72,55,174,106,36,23,0.2169811320754717,0.6388888888888888,0.32394366197183094
50,162,261,93,69,168,153,57,42,0.27450980392156865,0.7368421052631579,0.4
51,159,273,103,56,170,203,77,50,0.24630541871921183,0.6493506493506493,0.35714285714285715
52,124,221,75,49,146,140,48,34,0.24285714285714285,0.7083333333333334,0.36170212765957444
53,91,175,51,40,124,85,39,26,0.3058823529411765,0.6666666666666666,0.41935483870967744
54,70,171,35,35,136,26,19,16,0.6153846153846154,0.8421052631578947,0.7111111111111111
55,134,213,85,49,128,118,52,31,0.2627118644067797,0.5961538461538461,0.36470588235294116
56,152,221,86,66,135,142,59,39,0.2746478873239437,0.6610169491525424,0.3880597014925373
57,39,77,8,31,69,8,2,2,0.25,1.0,0.4
58,2,12,0,2,12,0,0,0,0,0,0
59,6,15,1,5,14,0,0,0,0,0,0
60,2,11,0,2,11,0,0,0,0,0,0
61,2,9,0,2,9,0,0,0,0,0,0
62,2,11,0,2,11,0,0,0,0,0,0
63,0,3,0,0,3,0,0,0,0,0,0
64,4,9,0,4,9,0,0,0,0,0,0
65,4,16,1,3,15,0,0,0,0,0,0
66,3,19,0,3,19,0,0,0,0,0,0
67,4,12,1,3,11,0,0,0,0,0,0
68,0,9,0,0,9,0,0,0,0,0,0
69,33,74,6,27,68,0,0,0,0,0,0
70,52,103,19,33,84,34,13,11,0.3235294117647059,0.8461538461538461,0.46808510638297873
71,54,118,35,19,83,68,24,21,0.3088235294117647,0.875,0.45652173913043487
72,58,129,34,24,95,49,20,15,0.30612244897959184,0.75,0.43478260869565216
73,64,112,36,28,76,45,20,14,0.3111111111111111,0.7,0.43076923076923074
74,65,118,38,27,80,33,27,20,0.6060606060606061,0.7407407407407407,0.6666666666666666
75,77,108,37,40,71,50,36,22,0.44,0.6111111111111112,0.5116279069767442
76,56,108,26,30,82,48,18,12,0.25,0.6666666666666666,0.36363636363636365
77,59,108,21,38,87,30,11,6,0.2,0.5454545454545454,0.29268292682926833
78,94,111,44,50,67,69,35,23,0.3333333333333333,0.6571428571428571,0.4423076923076923
79,55,107,25,30,82,41,13,11,0.2682926829268293,0.8461538461538461,0.4074074074074075
80,58,94,39,19,55,50,21,19,0.38,0.9047619047619048,0.5352112676056339
81,54,81,27,27,54,14,13,12,0.8571428571428571,0.9230769230769231,0.888888888888889
82,58,113,32,26,81,38,20,14,0.3684210526315789,0.7,0.48275862068965514
