Graph_Num,Num_Pred_Nodes,Num_True_Nodes,Common_Nodes,Removed_From_Pred,Removed_From_True,Num_Pred_Edges,Num_True_Edges,Correct_Edges,Precision,Recall,F1
0,1,2,1,0,1,0,0,0,0,0,0
1,24,24,24,0,0,0,20,0,0,0.0,0
2,19,25,19,0,6,0,14,0,0,0.0,0
3,80,97,79,1,18,82,64,12,0.14634146341463414,0.1875,0.16438356164383558
4,54,87,46,8,41,104,18,4,0.038461538461538464,0.2222222222222222,0.0655737704918033
5,78,121,72,6,49,145,93,7,0.04827586206896552,0.07526881720430108,0.058823529411764705
6,55,99,44,11,55,136,20,8,0.058823529411764705,0.4,0.10256410256410256
7,90,127,72,18,55,161,45,6,0.037267080745341616,0.13333333333333333,0.05825242718446603
8,100,154,81,19,73,189,105,14,0.07407407407407407,0.13333333333333333,0.09523809523809523
9,104,189,92,12,97,283,93,28,0.0989399293286219,0.3010752688172043,0.14893617021276598
10,103,194,91,12,103,373,89,24,0.064343163538874,0.2696629213483146,0.1038961038961039
11,171,256,155,16,101,371,156,30,0.08086253369272237,0.19230769230769232,0.11385199240986717
12,102,198,79,23,119,266,42,10,0.03759398496240601,0.23809523809523808,0.06493506493506493
13,90,176,71,19,105,259,51,16,0.06177606177606178,0.3137254901960784,0.1032258064516129
14,144,263,131,13,132,524,153,39,0.07442748091603053,0.2549019607843137,0.11521418020679468
15,197,333,174,23,159,702,220,44,0.06267806267806268,0.2,0.09544468546637744
16,211,337,185,26,152,654,264,53,0.08103975535168195,0.20075757575757575,0.11546840958605663
17,211,346,176,35,170,750,204,60,0.08,0.29411764705882354,0.12578616352201258
18,245,384,210,35,174,696,231,48,0.06896551724137931,0.2077922077922078,0.10355987055016183
19,257,423,217,40,206,701,250,46,0.06562054208273894,0.184,0.09674027339642483
20,175,284,85,90,199,362,30,12,0.03314917127071823,0.4,0.06122448979591836
21,183,301,138,45,163,539,126,54,0.10018552875695733,0.42857142857142855,0.16240601503759397
22,155,278,114,41,164,342,117,46,0.13450292397660818,0.39316239316239315,0.20043572984749455
23,228,376,191,37,185,687,199,70,0.10189228529839883,0.35175879396984927,0.1580135440180587
24,182,335,137,45,198,475,102,45,0.09473684210526316,0.4411764705882353,0.15597920277296362
25,125,225,76,49,149,217,30,15,0.06912442396313365,0.5,0.12145748987854252
26,168,309,127,41,182,407,108,35,0.085995085995086,0.32407407407407407,0.1359223300970874
27,148,270,99,49,171,337,49,18,0.05341246290801187,0.3673469387755102,0.09326424870466321
28,171,340,131,40,209,555,80,21,0.03783783783783784,0.2625,0.06614173228346457
29,219,420,184,35,236,647,144,38,0.05873261205564142,0.2638888888888889,0.09608091024020228
30,225,378,169,56,209,678,132,31,0.045722713864306784,0.23484848484848486,0.07654320987654321
31,267,429,232,35,197,788,253,58,0.07360406091370558,0.22924901185770752,0.11143131604226705
32,223,404,181,42,223,691,169,37,0.053545586107091175,0.21893491124260356,0.086046511627907
33,166,330,127,39,203,452,106,36,0.07964601769911504,0.33962264150943394,0.12903225806451613
34,151,301,118,33,183,360,90,29,0.08055555555555556,0.32222222222222224,0.12888888888888891
35,218,424,179,39,245,715,138,46,0.06433566433566433,0.3333333333333333,0.10785463071512309
36,251,448,199,52,249,796,170,33,0.0414572864321608,0.19411764705882353,0.06832298136645963
37,238,442,183,55,259,756,182,46,0.06084656084656084,0.25274725274725274,0.09808102345415778
38,293,548,252,41,296,1084,195,56,0.05166051660516605,0.28717948717948716,0.08756841282251758
39,171,389,118,53,271,507,73,30,0.05917159763313609,0.410958904109589,0.10344827586206896
