Graph_Num,Num_Pred_Nodes,Num_True_Nodes,Common_Nodes,Removed_From_Pred,Removed_From_True,Num_Pred_Edges,Num_True_Edges,Correct_Edges,Precision,Recall,F1
0,0,2,0,0,2,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0
2,0,9,0,0,9,0,0,0,0,0,0
3,78,66,49,29,17,48,12,12,0.25,1.0,0.4
4,30,50,29,1,21,42,2,2,0.047619047619047616,1.0,0.0909090909090909
5,64,78,42,22,36,41,1,1,0.024390243902439025,1.0,0.047619047619047616
6,29,49,25,4,24,21,3,2,0.09523809523809523,0.6666666666666666,0.16666666666666666
7,55,84,46,9,38,78,4,2,0.02564102564102564,0.5,0.048780487804878044
8,54,96,49,5,47,48,2,2,0.041666666666666664,1.0,0.07999999999999999
9,51,101,46,5,55,88,2,2,0.022727272727272728,1.0,0.044444444444444446
10,47,105,41,6,64,81,4,3,0.037037037037037035,0.75,0.07058823529411765
11,95,158,84,11,74,106,10,6,0.05660377358490566,0.6,0.10344827586206896
12,41,78,36,5,42,0,0,0,0,0,0
13,29,59,26,3,33,0,0,0,0,0,0
14,56,115,45,11,70,31,1,0,0.0,0.0,0
15,92,174,72,20,102,155,3,2,0.012903225806451613,0.6666666666666666,0.02531645569620253
16,76,156,56,20,100,53,1,1,0.018867924528301886,1.0,0.037037037037037035
17,61,140,53,8,87,45,1,1,0.022222222222222223,1.0,0.04347826086956522
18,85,165,70,15,95,51,2,0,0.0,0.0,0
19,96,156,95,1,61,68,2,2,0.029411764705882353,1.0,0.05714285714285715
20,48,111,41,7,70,0,0,0,0,0,0
21,40,69,30,10,39,0,0,0,0,0,0
22,27,61,22,5,39,0,0,0,0,0,0
23,68,141,58,10,83,57,1,1,0.017543859649122806,1.0,0.034482758620689655
24,41,92,35,6,57,28,1,0,0.0,0.0,0
25,27,48,25,2,23,8,1,0,0.0,0.0,0
26,47,73,41,6,32,0,0,0,0,0,0
27,44,73,35,9,38,57,2,2,0.03508771929824561,1.0,0.06779661016949151
28,47,102,43,4,59,0,0,0,0,0,0
29,74,143,69,5,74,0,0,0,0,0,0
30,66,160,57,9,103,0,0,0,0,0,0
31,87,172,73,14,99,98,4,2,0.02040816326530612,0.5,0.039215686274509796
32,69,149,58,11,91,57,1,1,0.017543859649122806,1.0,0.034482758620689655
33,40,75,30,10,45,0,0,0,0,0,0
34,44,88,36,8,52,31,1,1,0.03225806451612903,1.0,0.0625
35,64,113,52,12,61,97,2,2,0.020618556701030927,1.0,0.04040404040404041
36,93,172,77,16,95,0,0,0,0,0,0
37,61,144,55,6,89,5,2,0,0.0,0.0,0
38,110,204,103,7,101,101,2,2,0.019801980198019802,1.0,0.038834951456310676
39,38,87,37,1,50,36,2,1,0.027777777777777776,0.5,0.05263157894736842
40,32,60,27,5,33,0,0,0,0,0,0
41,29,48,26,3,22,0,0,0,0,0,0
42,41,72,33,8,39,32,1,1,0.03125,1.0,0.06060606060606061
43,36,71,29,7,42,0,0,0,0,0,0
44,85,127,62,23,65,0,0,0,0,0,0
45,77,145,60,17,85,56,4,3,0.05357142857142857,0.75,0.09999999999999999
46,58,127,39,19,88,42,3,2,0.047619047619047616,0.6666666666666666,0.08888888888888889
47,27,40,22,5,18,2,0,0,0.0,0,0
48,29,47,22,7,25,0,0,0,0,0,0
49,41,73,35,6,38,0,0,0,0,0,0
50,62,95,48,14,47,0,0,0,0,0,0
51,47,83,39,8,44,0,0,0,0,0,0
52,47,83,34,13,49,0,0,0,0,0,0
53,39,61,30,9,31,0,0,0,0,0,0
54,31,60,28,3,32,0,0,0,0,0,0
55,38,64,29,9,35,10,1,0,0.0,0.0,0
56,48,65,37,11,28,0,0,0,0,0,0
57,15,27,13,2,14,0,0,0,0,0,0
58,0,7,0,0,7,0,0,0,0,0,0
59,0,6,0,0,6,0,0,0,0,0,0
60,0,8,0,0,8,0,0,0,0,0,0
61,0,6,0,0,6,0,0,0,0,0,0
62,0,7,0,0,7,0,0,0,0,0,0
63,0,0,0,0,0,0,0,0,0,0,0
64,0,5,0,0,5,0,0,0,0,0,0
65,0,10,0,0,10,0,0,0,0,0,0
66,0,7,0,0,7,0,0,0,0,0,0
67,0,4,0,0,4,0,0,0,0,0,0
68,0,7,0,0,7,0,0,0,0,0,0
69,0,33,0,0,33,0,0,0,0,0,0
70,68,60,41,27,19,40,16,16,0.4,1.0,0.5714285714285715
71,48,61,36,12,25,42,8,7,0.16666666666666666,0.875,0.27999999999999997
72,47,51,25,22,26,24,1,1,0.041666666666666664,1.0,0.07999999999999999
73,31,43,17,14,26,0,0,0,0,0,0
74,31,38,22,9,16,7,10,2,0.2857142857142857,0.2,0.23529411764705882
75,19,34,18,1,16,11,7,5,0.45454545454545453,0.7142857142857143,0.5555555555555556
76,32,49,25,7,24,10,5,2,0.2,0.4,0.26666666666666666
77,21,28,15,6,13,0,0,0,0,0,0
78,21,23,16,5,7,15,4,4,0.26666666666666666,1.0,0.4210526315789474
79,27,32,17,10,15,16,2,2,0.125,1.0,0.2222222222222222
80,18,24,10,8,14,0,0,0,0,0,0
81,22,31,17,5,14,16,4,4,0.25,1.0,0.4
82,28,35,11,17,24,10,1,1,0.1,1.0,0.18181818181818182
83,13,20,8,5,12,0,0,0,0,0,0
84,58,62,7,51,55,6,0,0,0.0,0,0
85,15,20,11,4,9,0,0,0,0,0,0
86,12,15,7,5,8,0,0,0,0,0,0
87,8,10,3,5,7,0,0,0,0,0,0
88,5,8,3,2,5,0,0,0,0,0,0
89,0,0,0,0,0,0,0,0,0,0,0
90,8,11,5,3,6,0,0,0,0,0,0
91,14,20,6,8,14,0,0,0,0,0,0
92,31,41,28,3,13,27,1,1,0.037037037037037035,1.0,0.07142857142857142
93,27,33,15,12,18,0,0,0,0,0,0
94,29,29,17,12,12,2,2,2,1.0,1.0,1.0
95,17,20,11,6,9,10,1,1,0.1,1.0,0.18181818181818182
96,5,8,2,3,6,0,0,0,0,0,0
97,7,11,6,1,5,0,0,0,0,0,0
98,31,36,20,11,16,0,0,0,0,0,0
99,18,26,13,5,13,0,0,0,0,0,0
100,27,33,19,8,14,17,5,3,0.17647058823529413,0.6,0.2727272727272727
101,18,19,8,10,11,5,1,1,0.2,1.0,0.33333333333333337
102,8,12,4,4,8,0,0,0,0,0,0
103,10,14,5,5,9,0,0,0,0,0,0
104,11,19,5,6,14,0,0,0,0,0,0
105,16,21,12,4,9,10,2,2,0.2,1.0,0.33333333333333337
106,25,38,13,12,25,0,0,0,0,0,0
107,14,17,7,7,10,0,0,0,0,0,0
108,16,22,12,4,10,2,1,0,0.0,0.0,0
109,6,10,3,3,7,2,0,0,0.0,0,0
110,7,12,4,3,8,0,0,0,0,0,0
111,4,4,0,4,4,0,0,0,0,0,0
112,9,13,5,4,8,4,0,0,0.0,0,0
113,8,12,4,4,8,0,0,0,0,0,0
114,12,19,10,2,9,4,3,2,0.5,0.6666666666666666,0.5714285714285715
115,16,17,4,12,13,0,0,0,0,0,0
116,32,35,27,5,8,0,0,0,0,0,0
117,6,8,4,2,4,0,0,0,0,0,0
118,10,11,5,5,6,0,0,0,0,0,0
119,36,41,18,18,23,0,0,0,0,0,0
120,12,16,9,3,7,0,0,0,0,0,0
121,18,21,10,8,11,0,0,0,0,0,0
122,20,21,12,8,9,0,0,0,0,0,0
123,14,16,7,7,9,0,0,0,0,0,0
124,4,6,2,2,4,0,0,0,0,0,0
125,5,6,3,2,3,0,0,0,0,0,0
126,22,26,10,12,16,0,0,0,0,0,0
127,22,26,17,5,9,2,1,1,0.5,1.0,0.6666666666666666
128,21,29,12,9,17,0,0,0,0,0,0
129,11,14,6,5,8,0,0,0,0,0,0
130,12,16,5,7,11,0,0,0,0,0,0
131,59,65,55,4,10,54,1,1,0.018518518518518517,1.0,0.03636363636363636
132,13,19,9,4,10,0,0,0,0,0,0
133,11,14,5,6,9,0,0,0,0,0,0
134,13,22,8,5,14,0,0,0,0,0,0
135,18,23,12,6,11,11,1,1,0.09090909090909091,1.0,0.16666666666666669
136,20,25,12,8,13,0,0,0,0,0,0
137,5,8,2,3,6,0,0,0,0,0,0
138,10,14,7,3,7,4,1,1,0.25,1.0,0.4
139,5,6,3,2,3,0,0,0,0,0,0
140,12,16,7,5,9,0,0,0,0,0,0
141,9,14,4,5,10,0,0,0,0,0,0
142,14,21,12,2,9,4,2,0,0.0,0.0,0
143,6,9,3,3,6,0,0,0,0,0,0
144,8,12,6,2,6,0,0,0,0,0,0
145,18,23,5,13,18,4,0,0,0.0,0,0
146,14,14,7,7,7,0,0,0,0,0,0
147,38,40,24,14,16,23,5,5,0.21739130434782608,1.0,0.3571428571428571
148,13,20,10,3,10,0,0,0,0,0,0
149,18,19,10,8,9,0,0,0,0,0,0
150,19,18,5,14,13,4,0,0,0.0,0,0
151,9,12,6,3,6,0,0,0,0,0,0
152,10,12,6,4,6,5,0,0,0.0,0,0
153,5,8,0,5,8,0,0,0,0,0,0
154,14,16,11,3,5,10,2,2,0.2,1.0,0.33333333333333337
155,24,27,15,9,12,0,0,0,0,0,0
156,10,11,5,5,6,4,0,0,0.0,0,0
157,21,26,10,11,16,9,1,1,0.1111111111111111,1.0,0.19999999999999998
158,16,19,12,4,7,11,5,5,0.45454545454545453,1.0,0.625
159,10,14,7,3,7,6,1,1,0.16666666666666666,1.0,0.2857142857142857
160,6,9,3,3,6,0,0,0,0,0,0
161,16,18,11,5,7,10,3,3,0.3,1.0,0.4615384615384615
162,11,16,2,9,14,1,0,0,0.0,0,0
163,10,17,8,2,9,7,1,1,0.14285714285714285,1.0,0.25
164,14,16,10,4,6,0,0,0,0,0,0
165,9,13,5,4,8,4,1,1,0.25,1.0,0.4
166,4,4,2,2,2,1,0,0,0.0,0,0
167,7,9,2,5,7,0,0,0,0,0,0
168,8,12,5,3,7,4,1,1,0.25,1.0,0.4
169,6,8,1,5,7,0,0,0,0,0,0
170,9,10,5,4,5,0,0,0,0,0,0
171,10,12,3,7,9,2,0,0,0.0,0,0
