Graph_Num,Num_Pred_Nodes,Num_True_Nodes,Common_Nodes,Removed_From_Pred,Removed_From_True,Num_Pred_Edges,Num_True_Edges,Correct_Edges,Precision,Recall,F1
0,2,2,1,1,1,0,0,0,0,0,0
1,24,24,24,0,0,0,20,0,0,0.0,0
2,25,25,20,5,5,6,15,0,0.0,0.0,0
3,97,97,85,12,12,86,91,12,0.13953488372093023,0.13186813186813187,0.13559322033898305
4,87,87,66,21,21,94,59,6,0.06382978723404255,0.1016949152542373,0.07843137254901962
5,121,121,91,30,30,99,123,6,0.06060606060606061,0.04878048780487805,0.05405405405405405
6,99,99,67,32,32,117,77,2,0.017094017094017096,0.025974025974025976,0.020618556701030927
7,127,127,88,39,39,162,80,2,0.012345679012345678,0.025,0.01652892561983471
8,154,154,102,52,52,230,160,12,0.05217391304347826,0.075,0.061538461538461535
9,189,189,139,50,50,254,189,12,0.047244094488188976,0.06349206349206349,0.05417607223476298
10,194,194,136,58,58,324,166,17,0.05246913580246913,0.10240963855421686,0.06938775510204082
11,256,256,198,58,58,495,326,30,0.06060606060606061,0.09202453987730061,0.0730816077953715
12,198,198,128,70,70,309,160,19,0.061488673139158574,0.11875,0.08102345415778252
13,176,176,107,69,69,256,105,17,0.06640625,0.1619047619047619,0.09418282548476455
14,263,263,173,90,90,508,226,19,0.03740157480314961,0.084070796460177,0.051771117166212535
15,333,333,250,83,83,695,484,31,0.04460431654676259,0.0640495867768595,0.05258693808312128
16,337,337,251,86,86,695,413,33,0.04748201438848921,0.07990314769975787,0.059566787003610115
17,346,346,244,102,102,797,425,36,0.0451693851944793,0.08470588235294117,0.05891980360065467
18,384,384,282,102,102,781,426,33,0.04225352112676056,0.07746478873239436,0.054681027340513666
19,423,423,293,130,130,617,411,27,0.04376012965964344,0.06569343065693431,0.05252918287937744
20,284,284,165,119,119,295,181,6,0.020338983050847456,0.03314917127071823,0.025210084033613443
21,301,301,171,130,130,561,199,33,0.058823529411764705,0.1658291457286432,0.0868421052631579
22,278,278,165,113,113,305,213,33,0.10819672131147541,0.15492957746478872,0.1274131274131274
23,376,376,255,121,121,687,315,40,0.05822416302765648,0.12698412698412698,0.07984031936127745
24,335,335,212,123,123,447,208,26,0.058165548098434,0.125,0.07938931297709924
25,225,225,109,116,116,194,51,11,0.05670103092783505,0.21568627450980393,0.08979591836734693
26,309,309,190,119,119,357,171,10,0.028011204481792718,0.05847953216374269,0.03787878787878788
27,270,270,159,111,111,349,148,20,0.05730659025787966,0.13513513513513514,0.08048289738430585
28,340,340,209,131,131,586,205,29,0.04948805460750853,0.14146341463414633,0.07332490518331226
29,420,420,313,107,107,752,334,27,0.03590425531914894,0.08083832335329341,0.049723756906077346
30,378,378,260,118,118,756,348,23,0.03042328042328042,0.06609195402298851,0.041666666666666664
31,429,429,312,117,117,795,425,31,0.0389937106918239,0.07294117647058823,0.05081967213114754
32,404,404,272,132,132,692,319,20,0.028901734104046242,0.06269592476489028,0.03956478733926805
33,330,330,198,132,132,423,193,17,0.04018912529550828,0.08808290155440414,0.0551948051948052
34,301,301,172,129,129,335,149,13,0.03880597014925373,0.087248322147651,0.053719008264462804
35,424,424,274,150,150,718,258,25,0.034818941504178275,0.09689922480620156,0.05122950819672131
36,448,448,304,144,144,683,357,17,0.024890190336749635,0.047619047619047616,0.03269230769230769
37,442,442,304,138,138,752,365,32,0.0425531914893617,0.08767123287671233,0.05729632945389436
38,548,548,397,151,151,1098,468,48,0.04371584699453552,0.10256410256410256,0.06130268199233717
39,389,389,228,161,161,526,198,29,0.055133079847908745,0.14646464646464646,0.08011049723756906
40,231,231,94,137,137,120,28,1,0.008333333333333333,0.03571428571428571,0.013513513513513514
