Graph_Num,Num_Pred_Nodes,Num_True_Nodes,Common_Nodes,Removed_From_Pred,Removed_From_True,Num_Pred_Edges,Num_True_Edges,Correct_Edges,Precision,Recall,F1
0,1,1,1,0,0,0,0,0,0,0,0
1,24,24,24,0,0,0,20,0,0,0.0,0
2,19,19,19,0,0,0,14,0,0,0.0,0
3,78,78,78,0,0,5,52,0,0.0,0.0,0
4,32,32,32,0,0,50,2,0,0.0,0.0,0
5,61,61,61,0,0,40,47,0,0.0,0.0,0
6,27,27,27,0,0,66,3,1,0.015151515151515152,0.3333333333333333,0.028985507246376812
7,53,53,53,0,0,36,13,0,0.0,0.0,0
8,51,51,51,0,0,108,24,0,0.0,0.0,0
9,48,48,48,0,0,119,13,1,0.008403361344537815,0.07692307692307693,0.01515151515151515
10,43,43,43,0,0,179,8,1,0.00558659217877095,0.125,0.010695187165775402
11,92,92,92,0,0,179,22,0,0.0,0.0,0
12,38,38,38,0,0,162,9,1,0.006172839506172839,0.1111111111111111,0.011695906432748537
13,26,26,26,0,0,155,0,0,0.0,0,0
14,53,53,53,0,0,261,13,0,0.0,0.0,0
15,88,88,88,0,0,304,61,3,0.009868421052631578,0.04918032786885246,0.01643835616438356
16,73,73,73,0,0,334,39,1,0.0029940119760479044,0.02564102564102564,0.005361930294906166
17,57,57,57,0,0,449,13,1,0.0022271714922048997,0.07692307692307693,0.004329004329004329
18,83,83,83,0,0,397,20,0,0.0,0.0,0
19,103,103,103,0,0,384,4,0,0.0,0.0,0
20,44,44,44,0,0,266,7,2,0.007518796992481203,0.2857142857142857,0.014652014652014652
21,37,37,37,0,0,378,10,6,0.015873015873015872,0.6,0.030927835051546386
22,24,24,24,0,0,136,5,1,0.007352941176470588,0.2,0.014184397163120567
23,63,63,63,0,0,322,8,0,0.0,0.0,0
24,42,42,42,0,0,276,7,3,0.010869565217391304,0.42857142857142855,0.021201413427561835
25,25,25,25,0,0,140,1,1,0.007142857142857143,1.0,0.014184397163120567
26,47,47,47,0,0,272,4,2,0.007352941176470588,0.5,0.014492753623188406
27,40,40,40,0,0,198,6,0,0.0,0.0,0
28,43,43,43,0,0,373,0,0,0.0,0,0
29,72,72,72,0,0,448,3,0,0.0,0.0,0
30,63,63,63,0,0,422,11,0,0.0,0.0,0
31,84,84,84,0,0,386,17,1,0.0025906735751295338,0.058823529411764705,0.004962779156327544
32,66,66,66,0,0,378,10,1,0.0026455026455026454,0.1,0.005154639175257732
33,37,37,37,0,0,280,6,2,0.007142857142857143,0.3333333333333333,0.013986013986013986
34,42,42,42,0,0,208,7,0,0.0,0.0,0
35,62,62,62,0,0,468,11,2,0.004273504273504274,0.18181818181818182,0.008350730688935283
36,90,90,90,0,0,460,21,1,0.002173913043478261,0.047619047619047616,0.004158004158004158
37,57,57,57,0,0,478,6,0,0.0,0.0,0
