Graph_Num,Num_Pred_Nodes,Num_True_Nodes,Common_Nodes,Removed_From_Pred,Removed_From_True,Num_Pred_Edges,Num_True_Edges,Correct_Edges,Precision,Recall,F1
0,1,1,0,1,1,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0
2,6,6,1,5,5,0,0,0,0,0,0
3,19,19,7,12,12,4,1,0,0.0,0.0,0
4,55,55,34,21,21,12,34,4,0.3333333333333333,0.11764705882352941,0.1739130434782609
5,60,60,30,30,30,26,19,3,0.11538461538461539,0.15789473684210525,0.13333333333333333
6,72,72,40,32,32,24,38,1,0.041666666666666664,0.02631578947368421,0.03225806451612904
7,74,74,35,39,39,31,16,2,0.06451612903225806,0.125,0.0851063829787234
8,103,103,51,52,52,39,58,12,0.3076923076923077,0.20689655172413793,0.24742268041237114
9,141,141,91,50,50,65,97,11,0.16923076923076924,0.1134020618556701,0.1358024691358025
10,151,151,93,58,58,59,84,10,0.1694915254237288,0.11904761904761904,0.13986013986013984
11,164,164,106,58,58,102,153,25,0.24509803921568626,0.16339869281045752,0.19607843137254902
12,160,160,90,70,70,53,100,14,0.2641509433962264,0.14,0.1830065359477124
13,150,150,81,69,69,50,76,14,0.28,0.18421052631578946,0.2222222222222222
14,210,210,120,90,90,102,140,14,0.13725490196078433,0.1,0.11570247933884298
15,245,245,162,83,83,186,226,24,0.12903225806451613,0.10619469026548672,0.11650485436893203
16,264,264,178,86,86,188,258,30,0.1595744680851064,0.11627906976744186,0.1345291479820628
17,289,289,187,102,102,166,307,34,0.20481927710843373,0.11074918566775244,0.14376321353065538
18,301,301,199,102,102,186,288,32,0.17204301075268819,0.1111111111111111,0.1350210970464135
19,320,320,190,130,130,130,277,27,0.2076923076923077,0.09747292418772563,0.1326781326781327
20,240,240,121,119,119,29,107,4,0.13793103448275862,0.037383177570093455,0.0588235294117647
21,264,264,134,130,130,105,153,25,0.23809523809523808,0.16339869281045752,0.19379844961240308
22,254,254,141,113,113,131,174,31,0.2366412213740458,0.1781609195402299,0.20327868852459016
23,313,313,192,121,121,185,221,40,0.21621621621621623,0.18099547511312217,0.19704433497536947
24,293,293,170,123,123,119,150,23,0.19327731092436976,0.15333333333333332,0.17100371747211898
25,200,200,84,116,116,45,39,10,0.2222222222222222,0.2564102564102564,0.23809523809523808
26,262,262,143,119,119,85,135,8,0.09411764705882353,0.05925925925925926,0.07272727272727274
27,230,230,119,111,111,79,103,16,0.20253164556962025,0.1553398058252427,0.1758241758241758
28,297,297,166,131,131,115,161,27,0.23478260869565218,0.16770186335403728,0.1956521739130435
29,348,348,241,107,107,164,254,24,0.14634146341463414,0.09448818897637795,0.11483253588516745
30,315,315,197,118,118,153,233,22,0.1437908496732026,0.0944206008583691,0.11398963730569948
31,345,345,228,117,117,201,289,30,0.14925373134328357,0.10380622837370242,0.12244897959183673
32,338,338,206,132,132,132,207,18,0.13636363636363635,0.08695652173913043,0.10619469026548672
33,293,293,161,132,132,106,148,15,0.14150943396226415,0.10135135135135136,0.11811023622047245
34,259,259,130,129,129,85,105,13,0.15294117647058825,0.12380952380952381,0.1368421052631579
35,362,362,212,150,150,131,188,19,0.1450381679389313,0.10106382978723404,0.11912225705329153
36,358,358,214,144,144,123,230,16,0.13008130081300814,0.06956521739130435,0.0906515580736544
37,385,385,247,138,138,160,262,30,0.1875,0.11450381679389313,0.14218009478672988
38,440,440,289,151,151,204,354,47,0.23039215686274508,0.1327683615819209,0.16845878136200715
39,354,354,193,161,161,110,165,29,0.2636363636363636,0.17575757575757575,0.21090909090909093
40,201,201,64,137,137,15,11,0,0.0,0.0,0
41,206,206,67,139,139,7,30,1,0.14285714285714285,0.03333333333333333,0.05405405405405406
42,214,214,70,144,144,18,25,4,0.2222222222222222,0.16,0.18604651162790697
43,307,307,145,162,162,46,74,12,0.2608695652173913,0.16216216216216217,0.2
44,258,258,116,142,142,39,57,7,0.1794871794871795,0.12280701754385964,0.14583333333333334
45,270,270,146,124,124,65,96,22,0.3384615384615385,0.22916666666666666,0.2732919254658385
46,262,262,131,131,131,54,61,10,0.18518518518518517,0.16393442622950818,0.17391304347826084
47,188,188,70,118,118,20,27,6,0.3,0.2222222222222222,0.25531914893617025
48,163,163,49,114,114,11,23,1,0.09090909090909091,0.043478260869565216,0.0588235294117647
49,215,215,98,117,117,29,52,12,0.41379310344827586,0.23076923076923078,0.29629629629629634
50,214,214,100,114,114,48,47,14,0.2916666666666667,0.2978723404255319,0.29473684210526313
51,238,238,123,115,115,66,88,25,0.3787878787878788,0.2840909090909091,0.32467532467532473
52,189,189,99,90,90,57,53,14,0.24561403508771928,0.2641509433962264,0.2545454545454545
53,147,147,62,85,85,38,39,13,0.34210526315789475,0.3333333333333333,0.33766233766233766
54,151,151,46,105,105,16,18,4,0.25,0.2222222222222222,0.23529411764705882
55,177,177,75,102,102,24,25,8,0.3333333333333333,0.32,0.32653061224489793
56,182,182,89,93,93,57,58,18,0.3157894736842105,0.3103448275862069,0.31304347826086953
57,69,69,16,53,53,7,3,2,0.2857142857142857,0.6666666666666666,0.4
58,8,8,0,8,8,0,0,0,0,0,0
59,7,7,0,7,7,0,0,0,0,0,0
60,9,9,0,9,9,0,0,0,0,0,0
61,5,5,0,5,5,0,0,0,0,0,0
62,2,2,0,2,2,0,0,0,0,0,0
63,0,0,0,0,0,0,0,0,0,0,0
64,4,4,0,4,4,0,0,0,0,0,0
65,4,4,0,4,4,0,0,0,0,0,0
66,3,3,0,3,3,0,0,0,0,0,0
67,2,2,0,2,2,0,0,0,0,0,0
68,3,3,0,3,3,0,0,0,0,0,0
69,12,12,4,8,8,2,0,0,0.0,0,0
70,36,36,14,22,22,12,4,3,0.25,0.75,0.375
71,70,70,39,31,31,32,25,15,0.46875,0.6,0.5263157894736842
72,84,84,44,40,40,27,21,8,0.2962962962962963,0.38095238095238093,0.3333333333333333
73,79,79,29,50,50,19,10,8,0.42105263157894735,0.8,0.5517241379310345
74,91,91,36,55,55,26,11,7,0.2692307692307692,0.6363636363636364,0.37837837837837834
75,88,88,31,57,57,22,24,14,0.6363636363636364,0.5833333333333334,0.6086956521739131
76,80,80,27,53,53,12,18,6,0.5,0.3333333333333333,0.4
77,90,90,30,60,60,11,11,6,0.5454545454545454,0.5454545454545454,0.5454545454545454
78,93,93,44,49,49,41,20,12,0.2926829268292683,0.6,0.39344262295081966
79,82,82,35,47,47,24,16,9,0.375,0.5625,0.45
80,77,77,25,52,52,25,9,5,0.2,0.5555555555555556,0.29411764705882354
81,65,65,25,40,40,11,6,5,0.45454545454545453,0.8333333333333334,0.5882352941176471
82,82,82,34,48,48,18,12,10,0.5555555555555556,0.8333333333333334,0.6666666666666667
83,61,61,23,38,38,16,7,6,0.375,0.8571428571428571,0.5217391304347825
84,96,96,44,52,52,41,18,5,0.12195121951219512,0.2777777777777778,0.16949152542372883
85,73,73,20,53,53,3,5,1,0.3333333333333333,0.2,0.25
86,70,70,17,53,53,6,6,6,1.0,1.0,1.0
87,60,60,21,39,39,14,10,9,0.6428571428571429,0.9,0.75
88,49,49,15,34,34,4,4,4,1.0,1.0,1.0
89,22,22,6,16,16,2,2,2,1.0,1.0,1.0
90,26,26,9,17,17,4,3,3,0.75,1.0,0.8571428571428571
91,29,29,4,25,25,0,1,0,0,0.0,0
92,39,39,15,24,24,9,8,6,0.6666666666666666,0.75,0.7058823529411765
93,49,49,21,28,28,6,8,3,0.5,0.375,0.42857142857142855
94,53,53,29,24,24,18,14,10,0.5555555555555556,0.7142857142857143,0.6250000000000001
95,45,45,18,27,27,8,6,5,0.625,0.8333333333333334,0.7142857142857143
96,47,47,19,28,28,8,6,6,0.75,1.0,0.8571428571428571
97,46,46,18,28,28,9,6,4,0.4444444444444444,0.6666666666666666,0.5333333333333333
98,63,63,30,33,33,19,9,8,0.42105263157894735,0.8888888888888888,0.5714285714285714
99,50,50,16,34,34,4,4,2,0.5,0.5,0.5
100,56,56,28,28,28,18,13,7,0.3888888888888889,0.5384615384615384,0.45161290322580644
101,65,65,29,36,36,19,11,7,0.3684210526315789,0.6363636363636364,0.4666666666666667
102,54,54,24,30,30,15,13,9,0.6,0.6923076923076923,0.6428571428571429
103,41,41,11,30,30,6,3,1,0.16666666666666666,0.3333333333333333,0.2222222222222222
104,44,44,16,28,28,8,5,4,0.5,0.8,0.6153846153846154
105,44,44,13,31,31,7,4,3,0.42857142857142855,0.75,0.5454545454545454
