Graph_Num,Num_Pred_Nodes,Num_True_Nodes,Common_Nodes,Removed_From_Pred,Removed_From_True,Num_Pred_Edges,Num_True_Edges,Correct_Edges,Precision,Recall,F1
0,1,2,1,0,1,0,0,0,0,0,0
1,24,24,24,0,0,0,20,0,0,0.0,0
2,19,25,19,0,6,0,14,0,0,0.0,0
3,80,97,79,1,18,82,64,12,0.14634146341463414,0.1875,0.16438356164383558
4,54,87,46,8,41,104,18,2,0.019230769230769232,0.1111111111111111,0.03278688524590165
5,78,121,72,6,49,172,93,8,0.046511627906976744,0.08602150537634409,0.06037735849056604
6,55,99,44,11,55,139,20,8,0.05755395683453238,0.4,0.10062893081761008
7,90,127,72,18,55,159,45,7,0.0440251572327044,0.15555555555555556,0.06862745098039215
8,100,154,81,19,73,272,105,16,0.058823529411764705,0.1523809523809524,0.08488063660477453
9,104,189,92,12,97,306,93,32,0.10457516339869281,0.34408602150537637,0.16040100250626566
10,103,194,91,12,103,373,89,28,0.07506702412868632,0.3146067415730337,0.12121212121212122
11,171,256,155,16,101,463,156,34,0.0734341252699784,0.21794871794871795,0.10985460420032311
12,102,198,79,23,119,312,42,10,0.03205128205128205,0.23809523809523808,0.05649717514124293
13,90,176,71,19,105,259,51,17,0.06563706563706563,0.3333333333333333,0.1096774193548387
14,144,263,131,13,132,485,153,47,0.09690721649484536,0.30718954248366015,0.14733542319749218
15,197,333,174,23,159,786,220,48,0.061068702290076333,0.21818181818181817,0.09542743538767394
16,211,337,185,26,152,691,264,53,0.07670043415340087,0.20075757575757575,0.11099476439790575
17,211,346,176,35,170,809,204,60,0.07416563658838071,0.29411764705882354,0.11846001974333661
18,245,384,210,35,174,776,231,49,0.06314432989690721,0.21212121212121213,0.09731876861966235
19,257,423,217,40,206,705,250,46,0.06524822695035461,0.184,0.09633507853403142
20,175,284,85,90,199,347,30,14,0.040345821325648415,0.4666666666666667,0.0742705570291777
21,183,301,138,45,163,577,126,54,0.09358752166377816,0.42857142857142855,0.15362731152204837
22,155,278,114,41,164,325,117,45,0.13846153846153847,0.38461538461538464,0.20361990950226247
23,228,376,191,37,185,688,199,69,0.1002906976744186,0.34673366834170855,0.15558060879368657
24,182,335,137,45,198,476,102,45,0.09453781512605042,0.4411764705882353,0.1557093425605536
25,125,225,76,49,149,217,30,15,0.06912442396313365,0.5,0.12145748987854252
26,168,309,127,41,182,407,108,35,0.085995085995086,0.32407407407407407,0.1359223300970874
27,148,270,99,49,171,337,49,16,0.04747774480712166,0.32653061224489793,0.08290155440414508
28,171,340,131,40,209,555,80,21,0.03783783783783784,0.2625,0.06614173228346457
29,219,420,184,35,236,647,144,38,0.05873261205564142,0.2638888888888889,0.09608091024020228
30,225,378,169,56,209,733,132,31,0.04229195088676671,0.23484848484848486,0.07167630057803467
31,267,429,232,35,197,785,253,60,0.07643312101910828,0.23715415019762845,0.11560693641618495
32,223,404,181,42,223,689,169,41,0.059506531204644414,0.24260355029585798,0.09557109557109557
33,166,330,127,39,203,415,106,35,0.08433734939759036,0.330188679245283,0.13435700575815737
34,151,301,118,33,183,360,90,28,0.07777777777777778,0.3111111111111111,0.12444444444444444
35,218,424,179,39,245,717,138,48,0.06694560669456066,0.34782608695652173,0.11228070175438595
36,251,448,199,52,249,706,170,33,0.046742209631728045,0.19411764705882353,0.07534246575342467
37,238,442,183,55,259,748,182,47,0.06283422459893048,0.25824175824175827,0.10107526881720431
38,293,548,252,41,296,992,195,54,0.05443548387096774,0.27692307692307694,0.09098567818028644
