Graph_Num,Num_Pred_Nodes,Num_True_Nodes,Common_Nodes,Removed_From_Pred,Removed_From_True,Num_Pred_Edges,Num_True_Edges,Correct_Edges,Precision,Recall,F1
0,38,38,3,35,35,0,0,0,0,0,0
1,40,40,4,36,36,2,2,2,1.0,1.0,1.0
2,60,60,3,57,57,0,0,0,0,0,0
3,93,93,9,84,84,2,2,2,1.0,1.0,1.0
4,81,81,12,69,69,4,5,3,0.75,0.6,0.6666666666666665
5,83,83,11,72,72,4,4,4,1.0,1.0,1.0
6,62,62,4,58,58,1,1,1,1.0,1.0,1.0
7,46,46,3,43,43,0,0,0,0,0,0
8,87,87,7,80,80,11,2,1,0.09090909090909091,0.5,0.15384615384615385
9,111,111,5,106,106,0,0,0,0,0,0
10,346,346,49,297,297,4,10,3,0.75,0.3,0.4285714285714285
11,189,189,14,175,175,2,4,1,0.5,0.25,0.3333333333333333
12,76,76,2,74,74,1,1,1,1.0,1.0,1.0
13,72,72,5,67,67,2,3,2,1.0,0.6666666666666666,0.8
14,55,55,3,52,52,1,1,1,1.0,1.0,1.0
15,63,63,3,60,60,2,2,2,1.0,1.0,1.0
16,67,67,6,61,61,2,1,1,0.5,1.0,0.6666666666666666
17,44,44,3,41,41,0,0,0,0,0,0
18,37,37,7,30,30,6,6,4,0.6666666666666666,0.6666666666666666,0.6666666666666666
19,28,28,2,26,26,0,0,0,0,0,0
20,27,27,3,24,24,0,0,0,0,0,0
21,33,33,5,28,28,3,2,2,0.6666666666666666,1.0,0.8
22,45,45,6,39,39,2,1,1,0.5,1.0,0.6666666666666666
23,26,26,4,22,22,3,0,0,0.0,0,0
24,26,26,2,24,24,0,0,0,0,0,0
25,35,35,4,31,31,0,0,0,0,0,0
26,27,27,3,24,24,0,0,0,0,0,0
27,37,37,6,31,31,2,0,0,0.0,0,0
28,21,21,2,19,19,0,0,0,0,0,0
29,25,25,3,22,22,1,1,1,1.0,1.0,1.0
30,25,25,4,21,21,0,0,0,0,0,0
31,19,19,0,19,19,0,0,0,0,0,0
32,28,28,3,25,25,3,0,0,0.0,0,0
33,62,62,3,59,59,0,1,0,0,0.0,0
34,48,48,3,45,45,1,0,0,0.0,0,0
35,49,49,3,46,46,1,0,0,0.0,0,0
36,39,39,2,37,37,0,1,0,0,0.0,0
37,62,62,4,58,58,1,1,1,1.0,1.0,1.0
38,27,27,3,24,24,2,2,2,1.0,1.0,1.0
39,38,38,2,36,36,0,1,0,0,0.0,0
40,88,88,15,73,73,12,7,4,0.3333333333333333,0.5714285714285714,0.4210526315789474
41,130,130,9,121,121,2,3,1,0.5,0.3333333333333333,0.4
42,82,82,7,75,75,2,1,1,0.5,1.0,0.6666666666666666
43,68,68,3,65,65,0,0,0,0,0,0
44,153,153,14,139,139,6,3,3,0.5,1.0,0.6666666666666666
45,243,243,30,213,213,11,8,7,0.6363636363636364,0.875,0.7368421052631579
46,343,343,62,281,281,47,19,15,0.3191489361702128,0.7894736842105263,0.4545454545454545
47,249,249,30,219,219,15,17,12,0.8,0.7058823529411765,0.7500000000000001
48,147,147,10,137,137,8,6,6,0.75,1.0,0.8571428571428571
49,129,129,7,122,122,2,2,2,1.0,1.0,1.0
50,116,116,9,107,107,4,1,1,0.25,1.0,0.4
51,96,96,5,91,91,0,0,0,0,0,0
52,89,89,5,84,84,1,1,1,1.0,1.0,1.0
53,82,82,6,76,76,4,2,2,0.5,1.0,0.6666666666666666
54,54,54,5,49,49,1,1,1,1.0,1.0,1.0
55,63,63,5,58,58,2,2,2,1.0,1.0,1.0
56,87,87,9,78,78,4,3,2,0.5,0.6666666666666666,0.5714285714285715
57,79,79,10,69,69,2,1,0,0.0,0.0,0
58,63,63,7,56,56,5,3,3,0.6,1.0,0.7499999999999999
59,78,78,9,69,69,4,2,2,0.5,1.0,0.6666666666666666
60,79,79,9,70,70,8,3,3,0.375,1.0,0.5454545454545454
61,78,78,9,69,69,4,3,1,0.25,0.3333333333333333,0.28571428571428575
62,48,48,3,45,45,0,0,0,0,0,0
63,39,39,4,35,35,3,2,2,0.6666666666666666,1.0,0.8
64,67,67,5,62,62,3,3,3,1.0,1.0,1.0
65,52,52,8,44,44,3,4,3,1.0,0.75,0.8571428571428571
