Graph_Num,Num_Pred_Nodes,Num_True_Nodes,Common_Nodes,Removed_From_Pred,Removed_From_True,Num_Pred_Edges,Num_True_Edges,Correct_Edges,Precision,Recall,F1
0,217,217,188,29,29,81,140,3,0.037037037037037035,0.02142857142857143,0.027149321266968326
1,258,258,223,35,35,4,149,2,0.5,0.013422818791946308,0.026143790849673203
2,233,233,177,56,56,14,116,3,0.21428571428571427,0.02586206896551724,0.04615384615384615
3,429,429,354,75,75,41,299,3,0.07317073170731707,0.010033444816053512,0.01764705882352941
4,359,359,292,67,67,14,220,5,0.35714285714285715,0.022727272727272728,0.04273504273504274
5,287,287,219,68,68,21,155,9,0.42857142857142855,0.05806451612903226,0.10227272727272728
6,218,218,171,47,47,85,128,14,0.16470588235294117,0.109375,0.13145539906103287
7,182,182,144,38,38,14,90,5,0.35714285714285715,0.05555555555555555,0.09615384615384616
8,1629,1629,1561,68,68,60,1562,11,0.18333333333333332,0.007042253521126761,0.013563501849568435
9,429,429,329,100,100,35,209,2,0.05714285714285714,0.009569377990430622,0.016393442622950817
10,1226,1226,930,296,296,93,578,2,0.021505376344086023,0.0034602076124567475,0.005961251862891207
11,525,525,355,170,170,54,225,2,0.037037037037037035,0.008888888888888889,0.014336917562724013
12,248,248,182,66,66,10,123,2,0.2,0.016260162601626018,0.030075187969924814
13,224,224,170,54,54,28,112,15,0.5357142857142857,0.13392857142857142,0.21428571428571427
14,204,204,166,38,38,38,107,15,0.39473684210526316,0.14018691588785046,0.2068965517241379
15,168,168,120,48,48,21,82,12,0.5714285714285714,0.14634146341463414,0.23300970873786406
16,204,204,157,47,47,29,116,21,0.7241379310344828,0.1810344827586207,0.2896551724137931
17,180,180,146,34,34,57,100,8,0.14035087719298245,0.08,0.1019108280254777
18,166,166,141,25,25,16,91,8,0.5,0.08791208791208792,0.14953271028037385
19,153,153,133,20,20,45,85,7,0.15555555555555556,0.08235294117647059,0.1076923076923077
20,146,146,128,18,18,11,79,3,0.2727272727272727,0.0379746835443038,0.06666666666666667
21,170,170,145,25,25,42,88,3,0.07142857142857142,0.03409090909090909,0.04615384615384615
22,200,200,167,33,33,14,108,7,0.5,0.06481481481481481,0.11475409836065574
23,133,133,115,18,18,49,76,6,0.12244897959183673,0.07894736842105263,0.096
24,125,125,104,21,21,4,64,1,0.25,0.015625,0.029411764705882353
25,224,224,198,26,26,50,114,1,0.02,0.008771929824561403,0.012195121951219511
26,159,159,140,19,19,14,96,5,0.35714285714285715,0.052083333333333336,0.09090909090909091
27,130,130,104,26,26,10,66,5,0.5,0.07575757575757576,0.13157894736842105
28,109,109,96,13,13,40,66,9,0.225,0.13636363636363635,0.169811320754717
29,141,141,123,18,18,6,84,3,0.5,0.03571428571428571,0.06666666666666667
30,106,106,87,19,19,5,53,5,1.0,0.09433962264150944,0.1724137931034483
31,105,105,89,16,16,1,56,0,0.0,0.0,0
32,1219,1219,1196,23,23,13,1192,2,0.15384615384615385,0.0016778523489932886,0.0033195020746887966
33,175,175,117,58,58,5,63,0,0.0,0.0,0
34,216,216,174,42,42,63,101,2,0.031746031746031744,0.019801980198019802,0.024390243902439022
35,162,162,120,42,42,11,73,1,0.09090909090909091,0.0136986301369863,0.023809523809523808
36,186,186,152,34,34,3,84,1,0.3333333333333333,0.011904761904761904,0.022988505747126436
37,179,179,125,54,54,8,86,4,0.5,0.046511627906976744,0.0851063829787234
38,122,122,104,18,18,12,76,7,0.5833333333333334,0.09210526315789473,0.1590909090909091
39,167,167,140,27,27,13,96,3,0.23076923076923078,0.03125,0.05504587155963303
40,1537,1537,1474,63,63,75,1010,15,0.2,0.01485148514851485,0.027649769585253454
