Graph_Num,Num_Pred_Nodes,Num_True_Nodes,Common_Nodes,Removed_From_Pred,Removed_From_True,Num_Pred_Edges,Num_True_Edges,Correct_Edges,Precision,Recall,F1
0,66,74,14,52,60,0,0,0,0,0,0
1,67,76,14,53,62,0,0,0,0,0,0
2,60,68,12,48,56,0,0,0,0,0,0
3,103,127,16,87,111,0,0,0,0,0,0
4,113,113,9,104,104,0,0,0,0,0,0
5,80,92,16,64,76,0,0,0,0,0,0
6,58,63,8,50,55,7,1,1,0.14285714285714285,1.0,0.25
7,37,46,5,32,41,0,0,0,0,0,0
8,110,121,3,107,118,0,0,0,0,0,0
9,131,148,25,106,123,0,0,0,0,0,0
10,450,527,137,313,390,0,0,0,0,0,0
11,170,195,35,135,160,0,0,0,0,0,0
12,82,93,24,58,69,0,0,0,0,0,0
13,62,77,10,52,67,0,0,0,0,0,0
14,31,41,4,27,37,0,0,0,0,0,0
15,43,53,15,28,38,0,0,0,0,0,0
16,49,54,13,36,41,0,0,0,0,0,0
17,47,51,16,31,35,0,0,0,0,0,0
18,37,44,6,31,38,0,0,0,0,0,0
19,32,34,10,22,24,9,2,2,0.2222222222222222,1.0,0.3636363636363636
20,32,41,13,19,28,0,0,0,0,0,0
21,38,45,8,30,37,7,2,2,0.2857142857142857,1.0,0.4444444444444445
22,49,53,3,46,50,0,0,0,0,0,0
23,41,43,16,25,27,15,3,3,0.2,1.0,0.33333333333333337
24,35,39,9,26,30,0,0,0,0,0,0
25,41,45,6,35,39,5,1,1,0.2,1.0,0.33333333333333337
26,40,37,8,32,29,0,0,0,0,0,0
27,34,35,3,31,32,0,0,0,0,0,0
28,27,29,8,19,21,7,2,2,0.2857142857142857,1.0,0.4444444444444445
29,33,32,6,27,26,0,0,0,0,0,0
30,21,25,5,16,20,0,0,0,0,0,0
31,36,41,10,26,31,0,0,0,0,0,0
32,51,56,1,50,55,0,0,0,0,0,0
33,63,84,25,38,59,0,0,0,0,0,0
34,62,81,15,47,66,14,2,2,0.14285714285714285,1.0,0.25
35,47,56,13,34,43,0,0,0,0,0,0
36,43,61,8,35,53,0,0,0,0,0,0
37,71,75,18,53,57,0,0,0,0,0,0
38,34,35,4,30,31,0,0,0,0,0,0
39,45,47,13,32,34,0,0,0,0,0,0
40,305,303,53,252,250,0,0,0,0,0,0
41,208,211,75,133,136,0,0,0,0,0,0
42,68,75,21,47,54,0,0,0,0,0,0
43,66,72,13,53,59,0,0,0,0,0,0
44,122,144,24,98,120,0,0,0,0,0,0
45,281,318,98,183,220,0,0,0,0,0,0
46,398,464,119,279,345,0,0,0,0,0,0
47,255,274,103,152,171,0,0,0,0,0,0
48,177,199,92,85,107,0,0,0,0,0,0
49,140,152,62,78,90,0,0,0,0,0,0
50,121,138,50,71,88,0,0,0,0,0,0
51,119,132,56,63,76,0,0,0,0,0,0
52,134,154,54,80,100,0,0,0,0,0,0
53,144,167,71,73,96,0,0,0,0,0,0
54,93,102,41,52,61,0,0,0,0,0,0
55,101,113,48,53,65,0,0,0,0,0,0
56,136,151,52,84,99,0,0,0,0,0,0
57,122,136,59,63,77,0,0,0,0,0,0
58,124,132,52,72,80,0,0,0,0,0,0
59,125,134,62,63,72,0,0,0,0,0,0
60,124,134,50,74,84,0,0,0,0,0,0
61,123,138,40,83,98,0,0,0,0,0,0
62,89,101,39,50,62,0,0,0,0,0,0
63,83,86,49,34,37,0,0,0,0,0,0
64,117,128,58,59,70,0,0,0,0,0,0
65,93,98,49,44,49,48,0,0,0.0,0,0
66,125,139,46,79,93,0,0,0,0,0,0
67,97,110,40,57,70,0,0,0,0,0,0
68,72,79,25,47,54,24,4,4,0.16666666666666666,1.0,0.2857142857142857
69,78,83,35,43,48,0,0,0,0,0,0
70,66,72,30,36,42,29,0,0,0.0,0,0
71,57,60,23,34,37,0,0,0,0,0,0
72,73,83,37,36,46,0,0,0,0,0,0
73,85,91,51,34,40,50,2,2,0.04,1.0,0.07692307692307693
74,73,83,33,40,50,0,0,0,0,0,0
75,84,92,43,41,49,0,0,0,0,0,0
76,44,52,25,19,27,0,0,0,0,0,0
77,37,44,14,23,30,0,0,0,0,0,0
78,49,54,21,28,33,0,0,0,0,0,0
79,66,71,36,30,35,35,1,1,0.02857142857142857,1.0,0.05555555555555556
80,63,61,26,37,35,25,0,0,0.0,0,0
81,39,43,21,18,22,20,1,1,0.05,1.0,0.09523809523809523
82,50,54,15,35,39,14,0,0,0.0,0,0
83,37,40,21,16,19,0,0,0,0,0,0
84,47,49,21,26,28,20,1,1,0.05,1.0,0.09523809523809523
85,49,52,25,24,27,24,1,1,0.041666666666666664,1.0,0.07999999999999999
